Text,Date,Favorites,Retweets,Tweet ID
"The first & foremost duty of the federal government is ""to provide for the common defense."" That's exactly what the 2018 NDAA accomplishes, which now heads to the President's desk. https://tinyurl.com/y9bm2y4m pic.twitter.com/GmIW3zR0Yg",2017-11-30 17:19:36,7,3,936283585891487744
My wife Marie and I would like to thank Bridget Blehm and For Families of Active Military (FFAM) for hosting another incredible Thanksgiving meal for our troops and their families.pic.twitter.com/xcfAqaHppb – at East Lake Village Recreation,2017-11-24 20:04:13,21,5,934150684773056524
"We have so much to be thankful for, and this year I’d like to share the story of one Yorba Linda resident that deserves our gratitude... https://tinyurl.com/yagnqg2a pic.twitter.com/8pl2awJlnW",2017-11-23 15:30:00,14,5,933719289261187072
#SmallBizSat is coming! Make sure to #ShopSmall on Nov. 25th and support the small businesses that unite our Southern California communities.pic.twitter.com/GpGjFIhKz2,2017-11-22 18:34:30,15,7,933403331879428096
It's no surprise to many of us living in Southern California... but the website @FatherlyHQ recently ranked Yorba Linda as one of the top cities to raise kids in the US! Read more:https://www.fatherly.com/love-money/these-are-the-best-100-cities-to-raise-kids-in-the-u-s/ …,2017-11-20 19:00:00,17,6,932684973085208576
Glad admin will delay big game trophy decision. We must ensure populations of endangered species are managed responsibly.https://tinyurl.com/ya87ka3d ,2017-11-20 15:19:07,54,13,932629384917331968
Elephants & other big game in Africa are blood currency for terrorist organizations & they're being killed at an alarming rate.https://foreignaffairs.house.gov/press-release/chairman-royce-statement-big-game-trophy-decision/ …,2017-11-17 18:40:01,433,416,931592777720360961
"Enacting pro-growth tax policies will directly lead to more economic prosperity for every single American. While H.R. 1 is not perfect, it’s a good start. I’m committed to ensuring that the final product works for all Californians. https://royce.house.gov/news/documentsingle.aspx?DocumentID=398575 …pic.twitter.com/2vPs5KTnHk",2017-11-16 19:22:41,30,10,931241131127595010
Taxpayers have been forced to bail out the National Flood Insurance Program. This bill helps prevent bailouts on the taxpayer dime! https://royce.house.gov/news/documentsingle.aspx?DocumentID=398573 …pic.twitter.com/DUJ3wFS1IC,2017-11-15 00:10:42,24,10,930588834173243398
"Honored to help recognize two local leaders--James P. Previti, President of Frontier Enterprises & Drexel Smith of the Drexel Consulting Group--at the Meals on Wheels, Industry Inc. Annual Dinner and Auction!pic.twitter.com/i9372Eox72",2017-11-13 22:44:08,11,3,930204662300659713
"We had a great Veterans Day Ceremony with the Knights of Columbus in Walnut, California. I'm proud of local heroes and you should be too!pic.twitter.com/J2lp06hmsb",2017-11-13 18:43:19,27,7,930144057380261888
The military service of our 19 million American veterans continues to inspire future generations. Let’s recommit ourselves to ensuring no American forgets the true cost of freedom. #VeteransDaypic.twitter.com/qs0w59aWQg,2017-11-11 16:55:19,34,20,929392103267930115
From the Halls of Montezuma to the shores of Tripoli... Happy 242nd Birthday to the U.S. Marine Corps! #SemperFi @USMChttps://www.youtube.com/watch?v=2JQ0bzoOgrM …,2017-11-10 17:57:11,24,3,929045285430550528
Our goal is denuclearization of North Korea. Click here to watch my interview this morning with @FoxNews @AmericaNewsroom:https://foreignaffairs.house.gov/blog/chairman-royce-fox-goal-denuclearization-north-korea/ …,2017-11-08 17:27:48,20,5,928313114721964032
"Great to meet with Mark Thorpe, CEO of Ontario International Airport, to discuss the latest updates on additional, nonstop flights from ONT to Taiwan beginning in Spring, 2018.pic.twitter.com/JMSuhvt6CF",2017-11-07 22:57:26,22,7,928033682618712064
So incredibly proud of Yorba Linda resident Bridget Blehm as she is sworn in today as Civilian Aide to @SecArmy! https://tinyurl.com/yamkdkku pic.twitter.com/bWbicJYNry,2017-11-07 19:35:57,9,0,927982979057635328
Have you RSVP'd for my Wildfire Assistance Seminar yet??? Click the link to learn more: https://tinyurl.com/yc72ftsa pic.twitter.com/jdCVmgshiH,2017-11-06 21:24:06,5,5,927647806193586181
It's time for hard diplomacy with Beijing to address urgent threats posed by North Korea’s nuclear program.http://video.foxnews.com/v/5633938542001/?#sp=show-clips …,2017-11-03 15:57:59,17,6,926478570515566592
There’s no reason for further delay. North Korea should be relisted as a State Sponsor of Terror.https://foreignaffairs.house.gov/blog/recap-north-korean-defector-tells/ …,2017-11-02 18:59:37,14,11,926161895165497344
MARK YOUR CALENDARS: Wildfire Assistance Seminar for local residents living in the 39th Congressional District. https://tinyurl.com/yc72ftsa pic.twitter.com/8Sc1SOcdCI,2017-11-02 17:49:42,7,6,926144301054287877
"Today, the House took bipartisan action to prevent California wildfires BEFORE they occur. Read more: https://royce.house.gov/news/documentsingle.aspx?DocumentID=398551 …pic.twitter.com/xu45GHAsvF",2017-11-01 23:00:53,14,5,925860222622666752
Yesterday’s terrorist attack in Manhattan only strengthens the resolve of the U.S. to eliminate ISIS & its ideology.http://www.cnn.com/2017/10/31/us/new-york-shots-fired/index.html …,2017-11-01 19:53:23,6,1,925813038015569922
"Terror attack in Manhattan is heartbreaking. Praying for victims, their families & 1st responders. Will closely monitor investigation.",2017-10-31 23:55:07,21,6,925511484880424960
"Make sure to check out these last-minute Trick-or-Treat safety tips from @thesafetychick. 
https://www.today.com/video/5-trick-or-treat-safety-tips-for-kids-57647683782 …
#HappyHalloween2017",2017-10-31 19:33:58,6,3,925445762649075712
Grateful to have Chairman @RepMcCaul join me in Orange County to discuss improving resources for our Intelligence Assessment Center.pic.twitter.com/WE1bvJNhGD,2017-10-31 17:52:08,16,3,925420136588333056
Congrats to all 2017 Winter Love Joy Scholarship recipients! Had a great time honoring these students at the Hsi Lai Temple this weekend.pic.twitter.com/y30Uh3XEoI,2017-10-30 17:50:02,12,1,925057217904218114
Best Team. Best Bats. Best Town. @TrinityBatco #ThisTeamhttps://tinyurl.com/ybq8jpe8 ,2017-10-26 00:43:05,33,13,923349225785749504
"""They fought with gallantry and courage under the most difficult conditions.""https://www.youtube.com/watch?v=iU3cgRAvMBU …",2017-10-25 22:38:07,22,7,923317778488201216
It was a great honor to join House & Senate leaders today in presenting the Congressional Gold Medal to Filipino veterans of World War II.pic.twitter.com/sI8amH58QQ,2017-10-25 19:55:02,97,21,923276736158224385
It was great to discuss anti-trafficking issues with local constituents today as a part of #IJMSummit17 @IJMpic.twitter.com/wQZyfniHA5,2017-10-24 21:12:11,53,13,922933763037958146
Great news for CA businesses: House Reauthorizes Fast-Track Travel Program by a Vote of 401-2. Read more: https://tinyurl.com/y9c7a2ep pic.twitter.com/nEYog7e56h,2017-10-24 14:12:14,9,4,922828080930066433
Heroic efforts by @FBI agents to rescue 84 children/arrest 120 traffickers in a multi-state human trafficking ring.https://www.nbcnews.com/news/us-news/84-children-rescued-120-human-traffickers-arrested-across-u-s-n812156 …,2017-10-19 19:42:14,35,19,921099190566047744
Great to partner with @OCHTTF to host Anti-Human Trafficking Training Seminar for hospitality industry leaders. https://tinyurl.com/ybxlkryv pic.twitter.com/9V6Gjahhcn,2017-10-19 18:45:51,12,3,921085000254140418
REMINDER: 2018 US Military Academy nominations are due to my Brea Office by THIS FRIDAY at 5:00 PM. Learn more here: https://tinyurl.com/y7yu5o48 pic.twitter.com/1mVoRlClYL,2017-10-18 22:15:21,9,6,920775334840143873
Every business has a story to tell & I think they deserve to be heard. Check out my latest #LocalBusinessSpotlight: https://tinyurl.com/y9c36eu5 pic.twitter.com/4zxeiOnE90,2017-10-18 16:16:34,7,4,920685043412013056
"In this week's e-newsletter:
-Canyon Fire 2 Updates
-Containing Iran
-My visit to Los Altos High School
Click here: https://tinyurl.com/yb7c3ewx pic.twitter.com/DpZugmgeif",2017-10-16 16:00:01,14,7,919956103172993025
"Congrats to my fellow @csuf Titan alum Justin Turner on his EPIC walk-off home run to lift @Dodgers over the Cubs! 
#TusksUp @redturn2pic.twitter.com/ttqxGZaboO",2017-10-16 15:07:10,18,8,919942803970457601
***Canyon Fire 2 Update*** Blaze inches toward full containment on Day 4; 241 may reopenhttps://tinyurl.com/y7sd5zmz ,2017-10-13 14:22:20,5,5,918844354801827840
"In recognition for their invaluable service, Filipino WWII Veterans will be awarded the… https://www.instagram.com/p/BaKLovBDhOl/ ",2017-10-12 19:06:43,20,5,918553535599513603
"***Canyon Fire 2 Update***
All Orange residents can return home as evacuation orders from Canyon Fire 2 are liftedhttps://tinyurl.com/yb586sf6 ",2017-10-12 14:26:31,7,6,918483019714920448
Thanks to the students from Los Altos High School who put together this great video of my visit to promote @CongressionalAC! #HouseOfCodepic.twitter.com/3fZzQWfrRB,2017-10-11 16:38:24,17,6,918153824614875136
Please use the following Google Map to stay up to date on the latest developments with Canyon Fire 2:http://www.ocregister.com/2017/10/09/this-map-shows-where-the-anaheim-hills-brush-fire-is-burning/ …,2017-10-11 14:08:55,4,6,918116204719599616
I told Equifax’s former CEO that the massive data breach is inexcusable; consumer data must be protected!http://thehill.com/policy/cybersecurity/354252-five-takeaways-from-equifaxs-brutal-week …,2017-10-10 22:25:19,28,12,917878740151160832
Had a fun & educational time at Children's Museum at La Habra! Was proud to support their grant to improve STEM learning for preschoolers.pic.twitter.com/6VGNpoQJ1V,2017-10-06 23:03:49,21,4,916438878428557312
"In the face of horrific tragedy, Americans everywhere stand united with the victims and first responders in Las Vegas.",2017-10-02 14:01:12,44,11,914852771073085440
"As Yom Kippur begins this evening, I'd like to wish all those of the Jewish faith an easy fast & prayers for a peaceful year ahead.pic.twitter.com/IjSQLoOhQD",2017-09-30 01:00:00,31,12,913931402135130113
"Today I got to learn from @LPVROP students about how their hands-on, interactive classes are preparing them for an ever-evolving workforce.pic.twitter.com/nzqku97i5s",2017-09-29 23:06:42,14,4,913902888954540032
Big thanks to LA County Sheriff Jim McDonnell for visiting my Rowland Heights office today to discuss community safety improvements. @LASDHQpic.twitter.com/LTLtzWCNB5,2017-09-29 20:01:58,13,4,913856397414191105
Waiving the Jones Act for emergency relief is the right call. Our fellow citizens in Puerto Rico desperately need aid.,2017-09-28 13:38:21,56,9,913397470553571328
