Text,Date,Favorites,Retweets,Tweet ID
"What an idiot... Does @realDonaldTrump foolishly think a border wall would have prevented 9/11, Charleston, San Bernardino, Orlando, Las Vegas, and Sutherland Springs?",2017-11-26 13:57:51,516,230,934783259086639111
Wishing you all a safe and happy Thanksgiving with family and friends #Thanksgiving2017pic.twitter.com/vqknxJrqk8,2017-11-23 13:28:06,15,4,933688612297826304
"Today, I stood against the @HouseGOP tax cut bill that will increase our national debt & leave a terrible legacy for our children and grandchildren. I cast my vote against this bill on behalf of South TX working families... http://goo.gl/Di1zvC  #TaxCutsAndJobsAct",2017-11-16 21:56:39,97,32,931279876354699271
Today we honor the sacrifice of the brave heroes that have protected and defended our freedoms. Thank you for your service. #VeteransDay2017pic.twitter.com/wQ2MJ6LGvN,2017-11-11 14:38:14,16,7,929357605557989376
Deeply saddened to hear of the senseless taking of lives in Sutherland Springs. My thoughts and prayers are with all those impacted,2017-11-06 00:07:34,31,12,927326556976009217
"Latinas, their families, and our country suffer because of the #genderpaygap. We must all work to #closethepaygap now. #LatinaEqualPaypic.twitter.com/w2fRDcjAx6",2017-11-02 18:58:23,26,15,926161585701310467
No woman or man should fear that she or he might face their attacker alone.  #StopTheAbuse #DomesticViolenceAwarenessMonth,2017-10-24 16:15:35,27,9,922859122319679489
D's have no business giving R's any room on this. Do they support @realDonaldTrump's repeal of DACA or a clean DREAM Act? It should be clearhttps://twitter.com/bridgetbhc/status/918462561875644416 …,2017-10-12 17:17:15,13,6,918525986752385024
"Praying for the victims, their families, and first responders of the senseless tragedy in Las Vegas.",2017-10-02 12:03:31,38,15,914823155600052224
"Does your #DACA expire between now and March 5, 2018? Submit your renewal application before October 5, 2017. https://goo.gl/BDvFSJ pic.twitter.com/zLdCsz96ps",2017-09-29 15:30:56,7,3,913788188019347456
Happy to see my friend @SteveScalise doing well and back on the House Floor,2017-09-28 15:00:32,8,0,913418150804430849
Today is National #VoterRegistrationDay. Take this opportunity to get yourself set up to vote by visiting http://vote.gov .,2017-09-26 21:29:12,8,4,912791186041184256
#GrahamCassidy will strip health care from millions of hardworking Americans. We must defeat this bill.pic.twitter.com/bkCo2H43Hu,2017-09-21 19:56:16,17,7,910955859638964224
Trump heartlessly ended the #DACA program leaving it up to lawmakers to act. We must pass a clean #DreamAct without delay. #HereToStaypic.twitter.com/rrxZNzWl4h,2017-09-20 19:55:37,22,9,910593309357244416
"Great meeting with Andrea Benton of @wbc_cc. Happy to support H.R. 1680, the Women's Business Centers Improvements Act of 2017.pic.twitter.com/AOlkONR18u",2017-09-14 15:58:05,12,4,908359203340898304
Today we remember the lives lost 16 years ago and honor the bravery & selflessness of the first responders and service members #NeverForgetpic.twitter.com/NG3QMRrRwV,2017-09-11 16:38:58,90,34,907282329365876737
"DREAMers are our neighbors, our children's classmates, and members of our military. I stand with you to #DefendDACApic.twitter.com/8ux6O3EYBD",2017-09-01 02:42:38,226,160,903447981256572928
This morning I'm talking to local press about the visits I made to areas affected by #HurricaneHarveypic.twitter.com/ap1JDTJma7,2017-08-31 15:11:04,15,7,903273943364227073
"Press conference w @farenthold, @JohnCornyn, @GovAbbott, county judges, and others for a #HurricaneHarvey updatepic.twitter.com/YDuqVNEqeG",2017-08-28 19:06:14,5,6,902245959995973635
My statement with information for constituents of #TX34 in need of disaster assistance due to #HurricaneHarvey @fema @RedCross @NWSpic.twitter.com/s0pJRVjAbK,2017-08-26 22:05:38,23,35,901566331513864193
My statement regarding @POTUS's padoning of @RealSheriffJoe during #HurricaneHarveypic.twitter.com/5fDYeaC2B5,2017-08-26 02:05:04,116,67,901264198952472577
A few helpful tips you can follow to stay safe during #HurricaneHarvey (Visit https://goo.gl/EZTqeP  to view PDF)pic.twitter.com/uB3BnIGLdX,2017-08-25 21:55:52,6,4,901201487094853633
