Text,Date,Favorites,Retweets,Tweet ID
"On this day in 1907, Oklahoma became the 46th state admitted to the union. Happy Oklahoma Statehood Day!pic.twitter.com/0QJxznfyHr",2017-11-16 16:13:11,28,6,931193440016257024
"This year, #VeteransDay marks the centennial of our country's entry into WWI. Those brave young Americans who fought in the Great War helped bring an end to one of the bloodiest conflicts in modern history and established a proud tradition of service. https://lucas.house.gov/frankly-speaking/centennial-america%E2%80%99s-entrance-wwi …pic.twitter.com/3dlkrvEoBe",2017-11-11 15:53:23,10,3,929376519012667392
"At @HouseScience today, I discussed the importance of Ag research & education in securing our country’s food supplyhttps://www.youtube.com/watch?v=1CwGuYP1Duo …",2017-11-02 17:21:54,13,10,926137303705243650
Look forward to hosting 5 town hall meetings next week! You can find the full schedule on my website: https://lucas.house.gov/press-release/lucas-announces-town-hall-meetings-woodward-buffalo-beaver-guymon-and-boise-city …pic.twitter.com/Jiis5cWKeb,2017-10-12 15:08:42,3,2,918493635959754752
Pleasure to sit down with @okstate President @burnshargis this afternoon to catch up on the latest in our nation's capital & back home!pic.twitter.com/zMn87EcOj2,2017-10-04 21:12:53,16,4,915686184122224644
Visited w/ @OklahomaBankers to discuss financial services matters that will impact their efforts to serve OK's communities and businessespic.twitter.com/9R82V6W6Kk,2017-10-03 20:24:19,13,6,915311574650441728
"Today we honor the service of the over 83,000 Americans who are missing in action from conflicts dating back to WWII. #POWMIARecognitionDaypic.twitter.com/stQfqkFN4j",2017-09-15 19:31:50,14,9,908775382626816000
US Service Academy nomination apps are due by October 13th. Please share w/ any students who may be interested! https://lucas.house.gov/serving-you/military-academy-nominations …pic.twitter.com/ypQ1iRtaPY,2017-09-14 19:38:24,3,2,908414647904194566
Proud of @rfbo & partners “Farm to Food Bank” effort to improve access to healthy foods for hungry Oklahomans & encourage soil conservation!pic.twitter.com/rst03HFZP0,2017-09-12 17:17:39,10,8,907654452039086080
"16 years later, we continue to honor the memories of those taken from us too soon and the heroism of our first responders. #NeverForgetpic.twitter.com/Cdsanhc4sN",2017-09-11 15:48:29,14,5,907269624873537542
"Thanks to everyone who joined our town halls in Alva, Cherokee & Fairview! Look forward to hosting 5 more next week! https://lucas.house.gov/serving-you/town-halls …pic.twitter.com/0dNerUBMha",2017-08-23 17:17:57,8,4,900406771289817090
Congrats to @vperezy of Clinton HS who's in DC this week for #LCTeachInst to bring @LibraryCongress to our classrooms back home! #cpsredspic.twitter.com/VCnytyBe5x,2017-07-31 16:10:21,11,2,892054839424942081
"Spoke to FFA leaders from across the country this morning at @USDA, including @FFAOK President @HughbanksRidge & Secretary @truitttaylor_pic.twitter.com/MbcqZ2Cbts",2017-07-26 19:38:17,87,13,890295224479748096
Congratulations to @Tom_Fanning_Ag1 for being named Cattleman of the Year by @OKCattlemen! http://www.woodwardnews.net/news/tom-fanning-named-cattleman-of-the-year/article_8fdf0db6-70eb-11e7-afe8-5f6cd46466cb.html …pic.twitter.com/DkNYGaKvlb,2017-07-25 18:49:26,26,5,889920544518418433
It was a privilege to take part in the White House Made in America Roundtable to support products made here at home.https://youtu.be/a6edf_H0dnQ?t=18m12s …,2017-07-20 15:50:11,6,2,888063494372904961
Thanks to @okstate_agVP for providing his valuable insight at today's @HouseAgNews hearing on rural infrastructure! https://lucas.house.gov/press-release/lucas-highlights-importance-land-grant-universities-oklahoma-state-ag-dean …pic.twitter.com/3ZUUwJddRj,2017-07-19 22:10:06,13,5,887796715625033728
Oklahoma's very own @ditchwitch highlighted some of their amazing products today at the White House Made in America product showcase!pic.twitter.com/kTc0BqtX1x,2017-07-17 21:03:43,22,4,887055234471780356
The passage of the defense spending bill today marks a commitment to rebuild and modernize our military: https://lucas.house.gov/press-release/lucas-statement-passage-fy-2018-defense-authorization …pic.twitter.com/KqcBljpCqK,2017-07-14 19:16:32,7,2,885941099155652608
Wishing everyone a happy and safe Independence Day! Thank you to all the men and women who have served to defend the freedoms we enjoy todaypic.twitter.com/6ku691YlEc,2017-07-04 19:56:58,15,5,882327394006310912
Enjoyed the opportunity to visit with @Oklahoma4H students today in DC!pic.twitter.com/1Mmul9vqSG,2017-06-21 18:44:33,23,7,877598128219840512
Our thoughts & prayers are with my friend @SteveScalise & others injured this morning. Thankful for the incredible service of @CapitolPolice,2017-06-14 13:52:56,33,12,874988026539192322
The #CHOICEAct promotes economic opportunity on Main Street & restores accountability on Wall Street. http://lucas.house.gov/press-release/lucas-votes-pass-financial-choice-act …pic.twitter.com/VxAhyPGqQl,2017-06-08 21:08:14,2,3,872923243816124416
'Phony telephone number scam targets veterans' – share with any friends/family who use the Veterans Choice Programhttps://www.consumer.ftc.gov/blog/phony-telephone-number-scam-targets-veterans …,2017-05-15 20:25:21,3,2,864215145106612224
I applaud the Trump administration for proactively securing a trade deal with China that supports U.S. beefhttp://lucas.house.gov/press-release/lucas-statement-us-china-trade-deal …,2017-05-12 20:57:13,10,7,863135999060267009
