Text,Date,Favorites,Retweets,Tweet ID
"The @FCC plan to repeal #NetNeutrality regulations will directly hurt students, small business owners, and seniors across #America. We must work together to close the digital divide. Watch the @krgv story below:http://bit.ly/2iqfDEq ",2017-11-30 17:11:23,3,2,936281516723884032
"Recientemente, pasé el día de acción de gracias con nuestras fuerzas armadas en Afganistán. Vean mi entrevista con Telemundo 40:http://bit.ly/2zzn4fJ ",2017-11-29 20:38:54,9,3,935971352233771010
We have received hundreds of calls supporting #NetNeutrality this week & I will fight for a free and open internet. Read my statement below:pic.twitter.com/3YJgb51wjO,2017-11-28 21:01:18,35,21,935614601831608320
"It’s my job to be accessible, last week we officially opened our Falfurrias Office for business. Visit Tuesdays from 9am-12pm/1pm-4pm!pic.twitter.com/5jPooFxHD4",2017-11-28 01:25:42,6,1,935318753994264582
"Thank you, from the bottom of my heart, to U.S. Army Staff Sergeant Carabajal and the rest of our armed forces serving in #Afghanistan for letting me spend #Thanksgiving2017 with them.pic.twitter.com/7PCDlvKWs5",2017-11-27 14:55:13,15,3,935160083733975046
Today is #SmallBusinessSaturday so remember to go out and support your local community businesses!,2017-11-25 17:09:41,7,1,934469148373110784
"#HappyThanksgiving, today we reflect on the freedoms we enjoy & give thanks for the opportunities we have been given.pic.twitter.com/VKcMzNzVHj",2017-11-23 23:26:21,7,1,933839164864450566
"To those of you traveling this holiday season, happy holidays and be safe! #HappyThanksgivingpic.twitter.com/m1UHPbSgfM",2017-11-22 14:49:58,4,2,933346825163198464
ICYMI: McAllen Performing Arts Center & the Valley Symphony Orchestra on their first Christmas concert last Friday. Congrats!pic.twitter.com/wBeF8lm9Qz,2017-11-21 19:39:06,4,1,933057202063134722
I cannot support a #TaxBill that hurts the brave men & women who fought for #America. I choose to stand by #TX15 veterans. #NotOnePenny,2017-11-16 19:25:17,7,5,931241783828406275
Repealing medical expense deductions for #veterans makes it harder for American heroes to handle heavy medical financial burdens #NotOnePenny,2017-11-16 16:36:52,5,5,931199398121525248
This #TaxBill will harm U.S. veterans by repealing the Work Opportunity Tax Credit & the Disabled Access Tax Credit which will directly affect #veterans #NotOnePennypic.twitter.com/Z26KajNduf,2017-11-16 16:22:50,2,1,931195870095257600
.@USCBO confirms the tax bill will trigger $25 billion dollars in Medicare cuts next year. #NotOnePenny,2017-11-16 01:12:26,4,4,930966758151938048
I stand with #TX15 seniors & @AARP to oppose deep cuts to Medicare in the @HouseGOP’s tax bill. #NotOnePennypic.twitter.com/9bVHAIy1Ns,2017-11-16 00:26:17,4,3,930955145181040640
.@HouseGOP’s tax bill will force Americans with student loans to pay higher taxes. RT if you oppose. #NotOnePennypic.twitter.com/v5GFXRTF0M,2017-11-15 21:03:07,36,52,930904016413962241
@RepArrington & I are working with our fellow Texans to eradicate the spread of cattle fever tick in #TXhttp://bit.ly/2iU2gII ,2017-11-15 00:10:15,0,0,930588721065398272
"Congratulations to Jorge A. Hernandez of Pharr, Texas, on his appointment to the Hass Avocado Board #TX15GettingitRightpic.twitter.com/40OD1ELNNS",2017-11-14 21:01:59,4,2,930541344048795654
"On Saturday, I had the incredible honor of joining our local heroes and community leaders at the Pharr Veterans Day Parade #VeteransDay2017pic.twitter.com/mzNjmtvBlH",2017-11-13 17:09:40,7,2,930120492845092867
"We honor the service members that have served, or are currently serving, in the US military—I have deep admiration for these American heroes #VeteransDay2017pic.twitter.com/6tpazUJgv1",2017-11-11 17:08:48,5,2,929395495314903040
Join me in celebrating our nation’s brave men and women this Saturday in @Pharr at the Veterans Day Parade #ThankAVeteran #VeteransDay2017pic.twitter.com/CmSkMZlX50,2017-11-10 19:09:05,5,4,929063377514745856
"Watch my @CNN interview w/ @WolfBlitzer about the horrific mass shooting in #SutherlandSprings, mental health issues, & updating gun laws.pic.twitter.com/PsNmbiAvcG",2017-11-08 18:42:07,4,3,928331817765220359
"As your congressman, I join my fellow Problem Solvers to resolve the issues you care about #TX15GettingItRightpic.twitter.com/3zPOoRsE9V",2017-11-07 21:11:45,5,1,928007087791144961
"With great examples like @SenatorCollins and @JoeManchinWV, let’s rest assured that each side is working diligently for the American peoplepic.twitter.com/HRE6lPXa5t",2017-11-07 21:04:52,3,1,928005354432155649
Today we discussed the @NoLabelsOrg that works to create open conversations between all parties to keep a #FixNotFight mentality in Congresspic.twitter.com/Ysuaz23URu,2017-11-07 20:59:34,5,1,928004019594973184
I am proud to have joined House and Senate colleagues today - both sides of the aisle - to discuss the work of the #ProblemsSolversCaucuspic.twitter.com/4kfq8Cxtgu,2017-11-07 20:54:16,4,1,928002684925435906
"In the wake of this tragedy, we must lend support to Sutherland Springs & all working to bring safety & stability to the community #TxStrong",2017-11-06 20:41:55,6,2,927637188845719552
"My heart goes to those affected by today’s shooting at First Baptist Church in Sutherland Springs, Texas. Thank you to the first responders.pic.twitter.com/qlYBnsLDGj",2017-11-05 22:02:08,34,17,927294991625609216
Spearheaded a bipartisan & bicameral letter w/ @RepArrington and fellow Texans to @SecretaryZinke asking for help w/ fever tick eradicationpic.twitter.com/mfxljwmoF4,2017-11-03 17:06:48,7,4,926495891913166849
Health coverage for 9 million children across the U.S. hangs in the balance until we reauthorize #CHIP. Watch the story on @KRGV below:pic.twitter.com/64k2oepNux,2017-11-02 15:36:48,4,3,926110853224632320
#ACA open enrollment starts TODAY! Please sign up if you are not covered. Sign up here: http://bit.ly/1GyI6wV  #TX15 #GetCoveredpic.twitter.com/HsNOXu53HY,2017-11-01 14:10:03,10,12,925726634015150080
"Gave keynote address at Edinburg Chamber of Commerce Public Affairs Luncheon – spoke on trade, banking, tax reform, & other issues in #TX15pic.twitter.com/Naqv3ytj3l",2017-10-31 18:19:13,4,4,925426952445550592
"#TX15 has received over $12 million from @HUD in funding for Community Development Block Grants, Emergency Solutions Grants, & HOME programpic.twitter.com/qtSOVaQSz4",2017-10-30 20:28:06,2,1,925096998377803779
