Text,Date,Favorites,Retweets,Tweet ID
"Enjoyed meeting with my friends from @americanacad, including  Chancellor Blank from @UWMadison, to discuss undergraduate education.pic.twitter.com/M17PPTDrxO",2017-11-30 18:43:01,4,2,936304576751439879
Always good to see #WI @NAIFA. In today's meeting we talked about tax reform and other insurance issues.pic.twitter.com/zQcFBUcuPS,2017-11-30 15:45:16,3,4,936259842792214528
"I was proud to co-sponsor this resolution, and I'm proud that the House of Representatives is now requiring all members, officers and staffers to complete sexual harassment training. This is long overdue.http://lat.ms/2i3lxY8 ",2017-11-29 21:23:41,5,4,935982624228724736
I've held at least one town hall in every county of Wisconsin's Sixth District -- 45 town halls in total -- since I was elected to Congress. See the locations here:https://multiplottr.com/?map_id=133017 ,2017-11-29 21:16:20,4,0,935980773076881408
My bipartisan amdmt w @repmarkpocan requiring @Interior to consider the threat of invasive species when ordering installations of fishways is more important now than ever before:http://bit.ly/2zR26Nn ,2017-11-29 21:05:58,3,2,935978162768498688
Today is the 70th anniversary of the @UN partition vote that helped pave the way toward #Israel's independence. #StandWithIsrael http://bit.ly/2zAOn9y ,2017-11-29 14:45:00,1,1,935882292123357184
"The opioid crisis is a public health emergency. Today, @GOPoversight and I held a field hearing at Johns Hopkins Hospital to discuss what can be done to combat the opioid epidemic.http://bit.ly/2zAmYVf ",2017-11-28 22:27:21,7,4,935636254712004608
Today is #GivingTuesday. Kick off the holiday season by supporting your favorite charity!pic.twitter.com/sFBCfoMqUW,2017-11-28 21:23:37,4,3,935620217547485184
Tune in TODAY as @GOPoversight holds a field hearing to discuss combating the opioid crisis.https://twitter.com/GOPoversight/status/935262672458838016 …,2017-11-28 15:28:16,2,2,935530789650993152
The public deserves to know what’s really going on regarding sexual harassment settlements among members of Congress. It’s time to do away with this behavior once and for all.http://bit.ly/2iZeoJ2 ,2017-11-28 13:52:58,4,2,935506808059375617
"While I've been at home in #Wisconsin this week, I've hosted town halls, toured Marinette Marine and more. See photos here: http://bit.ly/2ndERrc ",2017-11-27 21:22:55,0,1,935257652887801856
Visiting D.C. in 2018? Request a tour of the Capitol or White House through my office: http://bit.ly/2qP1qSK pic.twitter.com/oewkZ2paiq,2017-11-27 20:23:10,2,1,935242615066431488
I hope you have a wonderful #Thanksgiving!pic.twitter.com/reuM8uNUOj,2017-11-23 16:04:53,4,2,933728067947724800
Took a lunch break during town halls with the Beaver Dam Rotary Club yesterday. Thanks for having me!pic.twitter.com/cAJXxNsEwN,2017-11-21 23:49:27,0,1,933120202132168704
Thanks to everyone who came out to town halls - especially students from Sheboygan Co. Christian HS. It's great to see young people engaged!pic.twitter.com/p63c7I4954,2017-11-21 20:36:40,2,2,933071685523312640
Enjoyed my morning at the @UWMadison Tommy Thompson Center kick-off panel discussing congressional leadership.pic.twitter.com/YFoKayIznP,2017-11-17 18:06:41,1,1,931584393172389888
November is #NationalAdoptionMonth and tomorrow is #NationalAdoptionDay. I'm proud to cosponsor the National Adoption Month Resolution to raise awareness about children in need of loving families. #adoptiongivespic.twitter.com/v6k7mGsofi,2017-11-17 15:39:09,7,4,931547263939366912
I joined @nbc15_madison last night to discuss why I support the House tax reform bill.https://youtu.be/nbXfonNu7_0 ,2017-11-16 15:00:17,4,1,931175093274841088
"Congratulations to Gordy Veldboom, owner of Oostburg Concrete, for being named the Sheboygan County Economic Driver of the Year!http://shebpr.es/2mxnbWU ",2017-11-16 14:40:21,2,1,931170075872321536
I had the opportunity to question @USDOL Secretary Acosta about the dept.'s priorities during a @EdWorkforce hearing. Watch the interaction (beginning at the 2:11:31 mark):https://youtu.be/ftGWoqgeja4 ,2017-11-15 22:38:58,0,0,930928138439282688
"Questioned officials on the effectiveness of federal agencies' Regulatory Reform Task Forces during an @GOPoversight subcommittee hearing. After speaking w/ officials, it seems that progress is being made on reforming the task forces.http://bit.ly/2AGMS9T ",2017-11-14 21:37:30,2,1,930550282441969664
It was an honor to speak at the Oshkosh High/West Veterans Honor Wall unveiling this past weekend. The wall honors former students who served in the military.pic.twitter.com/zyzlcmxzWS,2017-11-14 21:11:40,3,1,930543781220319232
"I'll be hosting five town hall meetings on Sun., Nov. 19 and Mon., Nov. 20. in Two Rivers, Oostburg, Plymouth, Randolph and Fairwater. I hope you can join me!http://bit.ly/2AELDYF ",2017-11-13 19:59:43,1,4,930163283788795907
pic.twitter.com/Kk8aBo7Phm,2017-11-11 16:52:22,4,3,929391359651385344
