Text,Date,Favorites,Retweets,Tweet ID
"It was great to see my friend Max, a rare disease patient who has fought for the 21st Century Cures Act, at today's Health Subcommittee hearing.  Progress is being made and we are providing hope for millions of Americans like Max.pic.twitter.com/Homf0s6kNH",2017-11-30 23:16:15,12,5,936373337017774085
Funding for the Children's Health Insurance Program (CHIP) is too important to be used as a political bargaining tool. I urge my Senate colleagues to move forward this week by passing the House-approved bill to continue funding of this vital program.http://thehill.com/homenews/state-watch/361896-states-preparing-for-childrens-health-insurance-program-to-run-out-of …,2017-11-28 15:04:33,6,4,935524820485369857
This is alarming and unacceptable.  I look forward to holding the VA accountable for making the improvements they have promised.http://www.cnn.com/2017/11/27/politics/veteran-affairs-report/index.html …,2017-11-28 15:02:54,9,6,935524409032560642
"Congratulations to the Countryside High School students who won the Congressional App Competition. The app they developed, Procrastin8, is a creative time management tool that could be very useful to people of all ages. Their work will be displayed in the Capitol.pic.twitter.com/KTFhaHmLkF",2017-11-28 15:01:49,8,1,935524132795703296
I have assembled a work group of leaders in the Veteran community to create a framework for improvements that can be made to the Transition Assistance Program provided by the Departments of Defense and Labor.  The update I received of their important work is very promising.pic.twitter.com/dLxl1WC9UO,2017-11-28 15:00:07,1,1,935523707145027585
pic.twitter.com/LgLg0EWzQs,2017-11-17 22:02:33,8,4,931643750039851008
Your information is incorrect.,2017-11-16 20:12:41,0,0,931253712256995329
"Today, I urged the VA to rectify the injustice Blue Water Navy Veterans experience.  I will keep fighting for these heroes. https://bilirakis.house.gov/sites/bilirakis.house.gov/files/wysiwyg_uploaded/Letter%20to%20Shulkin%2C%20Blue%20Water%20Navy%20Veterans.pdf …",2017-11-15 20:13:41,10,10,930891577920237570
Proud to attend Veterans Day celebrations around District 12 to honor our heroes.pic.twitter.com/GG3ipmQ4JM,2017-11-11 18:21:55,17,4,929413896275988481
I do not support privatization of the VA,2017-11-11 18:19:59,1,2,929413412362301440
"Michael, this is a priority for me.  I have been working closely with Chairman Roe to identify an offset.  Unfortunately, the one identified last week did not have enough support to move forward.  I will continue to fight for you!",2017-11-11 18:19:43,0,1,929413342858547200
Thank you for your service.  Happy Veterans Day!,2017-11-11 18:18:06,0,2,929412938984820742
"""As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them”- President Kennedy.  I look forward to continuing to honor the sacrifice of our Veterans by serving as their voice in Washington.pic.twitter.com/IzCMEUGKRC",2017-11-11 13:47:09,25,10,929344751878524928
ICYMI: Check out my OpEd.http://www.washingtonexaminer.com/rep-gus-bilirakis-this-veterans-day-do-more-than-say-thank-you/article/2640064 …,2017-11-09 11:17:43,7,7,928582366871851008
"The afternoon shift is underway at my Stars, Stripes and Smiles event to provide free dental to Vets in Pasco.  Thanks to all the dentists!pic.twitter.com/0yWagICgMr",2017-11-03 16:11:20,9,5,926481930660581378
Working on legislation to do just that. I believe oral health is an important part of overall health.,2017-11-03 14:12:12,1,1,926451951046414336
Proud to speak on the Floor in favor of CHIP bill to ensure healthcare for 9 million kids.https://youtu.be/-UFo0ZVFrW8 ,2017-11-03 14:09:26,6,5,926451255697903618
"Today, my Stars, Stripes and Smiles event is providing free dental care to Veterans.pic.twitter.com/isDoBzKfBI",2017-11-03 12:24:14,25,5,926424779086843904
"Still reviewing new tax bill. So far, it looks to provide relief to middle class...my ultimate goal. Learn more:https://fairandsimple.gop/?utm_source=JOLT&utm_campaign=c459cca419-EMAIL_CAMPAIGN_2017_04_24&utm_medium=email&utm_term=0_9655b8353e-c459cca419-147172961 …",2017-11-02 19:15:25,6,3,926165871046922242
In today's E& C hearing we discussed federal efforts to combat opioid abusehttps://www.youtube.com/watch?v=8D_tkDUcJbU&feature=youtu.be …,2017-10-25 19:40:25,6,2,923273059183857664
In today's VA hearing we discussed improvements to and reauthorization of CHOICE program.https://www.youtube.com/watch?v=1hEHdVcRaaY …,2017-10-24 15:46:32,7,5,922851811677089792
Read my response to today's editorial about a bi-partisan bill I co-sponsored two years ago.https://bilirakis.house.gov/media/press-releases/letter-editor-response-editorial-entitled-rubio-bilirakis-owe-floridians …,2017-10-20 19:49:48,11,6,921463481383211014
"Today, we are one step closer to fixing the broken tax code. https://housegop.app.box.com/s/0c5j9exhjnlhqimfs293nnrljikxlwi1?utm_source=JOLT&utm_campaign=492502d009-EMAIL_CAMPAIGN_2017_04_24&utm_medium=email&utm_term=0_9655b8353e-492502d009-147172961 …",2017-10-05 17:15:33,16,2,915988846302711809
We're currently considering key health bills including CHIP and Community Health Centers. View my opening remarks:https://youtu.be/wCPH8GyEYuU ,2017-10-04 20:11:03,7,4,915670622281326592
"Friday is National Manufacturing Day, an opportunity for students to learn about exciting career opportunities .https://www.youtube.com/watch?v=RHOWCUo62NY&feature=youtu.be …",2017-10-04 19:40:54,8,2,915663037343952900
CHIP has enough funds to continue operations until Dec. We are voting on CHIP today.,2017-10-04 16:49:29,0,1,915619896129724416
I was proud to vote in favor of the Pain-Capable Unborn Child Protection Act. I will always fight on behalf of those who don't have a voice.pic.twitter.com/Ap5YmGN4QH,2017-10-03 22:31:27,26,7,915343568742559746
Today’s Equifax hearing provided important insight into what went wrong and how we can better protect consumers.https://youtu.be/4CHruXx-R8c ,2017-10-03 18:11:10,3,4,915278064594178048
ICYMI:https://townhall.com/columnists/congressmangusbilirakis/2017/09/26/keeping-our-seniors-and-disabled-safe-during-the-next-disaster-n2386696 …,2017-09-29 16:19:41,4,6,913800460154359820
It is a priority. My understanding is that there's sufficient funding to continue operating the program w/o interruption until December.,2017-09-29 02:59:43,0,2,913599142009634816
I'm very concerned about recent data breach. Looking forward to Equifax hearing next week. Here are tips from FTC:https://www.consumer.ftc.gov/blog/2017/09/equifax-data-breach-what-do?utm_source=govdelivery …,2017-09-28 20:46:15,4,4,913505156196655105
"Once again this year, I am partnering w. WPDA and PHSC to host Stars, Stripes and Smiles to give free dental care to Veterans.pic.twitter.com/yIygarmpzf",2017-09-28 19:31:35,10,6,913486363588222977
Community Health Centers are a high priority for me.  I will continue to fight for their full funding.,2017-09-26 20:32:50,0,0,912777003065061377
My bill provides a tax credit to help people prepare for hurricanes.  Check it out: https://app.criticalmention.com/app/#clip/view/29663924?token=240d2018-4594-44f6-b690-941a878f3c6a …,2017-09-26 17:54:01,9,2,912737035739332608
Good turn-out at the job fair I hosted today in Wesley Chapel with over 50 employers and 150 job seekers. Thank you to all of our partners.pic.twitter.com/R8Z43Re2ui,2017-09-26 16:20:09,6,4,912713410420379649
"Vanessa, help is on the way.  Check out my FB page for an update on federal support to Puerto Rico.",2017-09-26 16:11:13,2,1,912711165406531584
I presented a bill to continue important programs and benefits for Veterans.  Check out my comments on the Floor:https://youtu.be/Cmd1J5VnN9k ,2017-09-26 16:09:33,8,3,912710745728716800
FEMA has released info about DSNAP for Pinellas County. More to come on Pasco and Hillsborough soon. Visit:  https://www.dcf.state.fl.us/programs/access/fff/siteLocations.shtml …,2017-09-25 20:16:13,0,1,912410433923043328
"Please see info from FEMA and Pasco Co. about a town hall tonight for victims of Hurricane Irma. I'll be in DC, but my staff will be there.pic.twitter.com/nkbOB0CkVV",2017-09-25 15:30:33,6,6,912338539970428928
"On this Gold Star Mother's and Family's Day, we remember. May their memories be eternal!pic.twitter.com/wGLIU0VhwV",2017-09-24 15:02:57,12,6,911969206945624064
Great to honor the service of many WWII Veterans in ceremony today. #GreatestGenerationpic.twitter.com/fUGI1diezO,2017-09-23 21:20:23,17,4,911701803846307841
"If you disagree with the outcome of your FEMA application, you can appeal.pic.twitter.com/6q2CSgA68c",2017-09-22 21:24:13,2,3,911340380548947968
Here’s what to expect after filing a FEMA applicationpic.twitter.com/Bze2bQOfq9,2017-09-22 21:22:51,1,1,911340036746039301
"USDA approved DSNAP for Florida, food stamps for Irma victims who lost food and wouldn't otherwise qualify for aid.  More details to come.pic.twitter.com/L5sPbQpZSY",2017-09-22 20:49:24,7,5,911331621080649728
"Today, I partnered with Sen. Latvala, Rep. Sprowls, and Shepherd Center to feed Irma victims in Tarpon.  Happy to help so many people!pic.twitter.com/97MTeRktiL",2017-09-22 20:44:20,14,7,911330346083512320
Come down to the Shepherd Center in Tarpon. We have a great deal of food to give away in the next hr.pic.twitter.com/ycpCVL4uEP,2017-09-22 18:28:47,12,6,911296233939128321
Is he still without power?,2017-09-18 22:36:59,0,1,909909143993094144
Are you still without power?,2017-09-18 22:35:26,0,1,909908754224881665
My pleasure!,2017-09-18 22:32:25,1,1,909907994527326208
Pinellas residents w. roof damage from Irma check out Operation Blue Roof:  http://www.usace.army.mil/Missions/Emergency-Operations/National-Response-Framework/Temporary-Roofing/ …,2017-09-16 12:12:09,1,3,909027123465195520
Yesterday the Health Subcommittee discussed how workforce programs help the elderly.https://youtu.be/1AqJWzCx2eE ,2017-09-15 17:03:41,3,1,908738100767141888
"I was proud to support the Make America Secure and Prosperous Act, which funds our nation's top priorities while reducing overall spending.pic.twitter.com/366lrcXIY0",2017-09-15 16:29:44,9,4,908729556651118592
ICYMI: Always great to work hard on behalf of my constituents:http://www.tampabay.com/news/weather/hurricanes/pasco-fema-reverses-course-on-aid-eligibility-for-residents/2337385 …,2017-09-14 21:57:00,5,3,908449528931602432
ICYMI: Check out this story in the Laker about my Opioid Summit:http://lakerlutznews.com/lln/?p=49722 ,2017-09-14 21:40:54,0,1,908445478764806144
"@davidkrauss Yes, we've been working on it.  It was restored at 4 pm today",2017-09-14 21:40:04,0,2,908445266134650881
It was my pleasure to discuss this important issue.https://twitter.com/HappyQuailPress/status/908337295975178242 …,2017-09-14 21:38:52,0,0,908444967026221056
@FlaMediaQueen we are working on it right now! Help is on the way.,2017-09-13 21:59:47,1,2,908087839849631745
We are working on it right now!,2017-09-13 21:59:17,1,1,908087715530493952
@RepGusBilirakis is working closely with Pinellas Co to get residents of Bay Tree Center help due to hurricane.,2017-09-13 21:58:50,3,2,908087600233287680
@RepGusBilirakis is working closely with Pinellas Co. to get this fixed immediately!,2017-09-13 21:55:42,1,1,908086814686240772
@RepGusBilirakis is working closely with Pinellas Co to get this fixed,2017-09-13 21:55:10,1,1,908086679164121088
Congressman Bilirakis is working closely with Pinellas Co. to get this fixed immediately!,2017-09-13 21:53:55,1,1,908086365954473985
Pasco received the designation for FEMA Individual Assistance today,2017-09-13 21:27:43,0,0,908079772575703045
"Today, the Subcommittee on Health advanced my bill to crack down on Medicare fraud, which is vital to the preservation of the program.pic.twitter.com/KOoMc4lBYM",2017-09-13 21:23:24,3,2,908078683805667329
Call 727-847-2411 for immediate help.  Apply for FEMA aid athttp://www.disasterassistance.gov ,2017-09-13 21:13:05,1,1,908076090542915584
Great news for Pasco!  Just got FEMA Individual Assistance.  To file a claim go to http://www.disasterassistance.gov ,2017-09-13 16:57:28,18,18,908011762125037570
"We need an all-hands-on-deck effort to fight the opioid epidemic. I support @POTUS
declaring a national emergency.http://www.foxnews.com/politics/2017/08/10/trump-officially-declares-opioid-crisis-national-emergency.html …",2017-08-11 15:44:56,18,4,896034706046816256
"Met with AlphaUMI, a workforce training center in Tarpon. We discussed breaking down barriers for Vets to access career assistance programs.pic.twitter.com/R8UdzZQB3p",2017-08-10 19:25:44,8,2,895727886212239360
Good progress this year on my bills to support Vets & lower generic drug prices. More to be done & I'll keep working to get results for FL12pic.twitter.com/NvqVdAXyfw,2017-08-10 15:11:28,10,3,895663896987676672
"An important #BilirakisBilloftheDay: the OPEN Act will help find cures for rare diseases. My friend Max, a rare disease patient, agrees.pic.twitter.com/RVRLfv1vqJ",2017-08-08 15:48:39,10,2,894948481227522048
"Today, we honor the heroes who courageously served & earned the oldest U.S. military decoration for combat-wounded Veterans. #PurpleHeartDaypic.twitter.com/Rugcvd6Nnt",2017-08-07 15:14:58,27,8,894577613674565637
Happy 227th birthday to the @USCG and in particular Air Station Clearwater! Thank you for keeping our country safe.,2017-08-04 19:47:08,28,7,893558945406754822
"The FDA Reauthorization Act:
Passed Congress 
Includes my bill to spur new generic drugs
#BilirakisBilloftheDayhttp://www.washingtonexaminer.com/senate-passes-fda-funding-package/article/2630528 …",2017-08-04 16:26:34,3,2,893508469755699201
The Medical Preparedness & Allowable Use Act helps first responders protect themselves and the public in an emergency #BilirakisBilloftheDaypic.twitter.com/OVfoX1Fbmm,2017-08-03 20:39:19,5,7,893209688887742464
Wesley Chapel is one of the fastest growing areas in Tampa Bay and in the country. #PascoProudhttp://www.tampabay.com/news/business/retail/wesley-chapel-continues-to-thrive-and-expand-despite-a-national-retail/2332444 …,2017-08-03 17:02:37,8,4,893155155444715521
"Fantastic turnout at this morning’s Zephyrhills Chamber breakfast – 125+ joined me for a discussion on tax reform, health care, and more.pic.twitter.com/3SAxUzQBWM",2017-08-03 15:27:10,9,2,893131134657339392
Thank you to the folks at Honeywell for showing me around the Clearwater facility today. About 300 FL-12 constituents are employed here.pic.twitter.com/JatgevFat1,2017-08-02 21:45:36,14,1,892863980913512448
#BilirakisBilloftheDay I was proud to support the Making America Secure Appropriations Act to ensure our military is ready to fight terrorpic.twitter.com/pXtFINXQXh,2017-08-02 14:59:05,16,7,892761676361150464
"Today’s #BilirakisBilloftheDay: the Congenital Heart Futures Reauthorization Act, my bill to promote research & awareness of CHDs.pic.twitter.com/0jy5p7QAAE",2017-08-01 20:01:04,29,14,892475287539249155
Honored to receive the Spirit of Enterprise Award from Wesley Chapel Chamber of Commerce Chairwoman Jennifer Cofini.pic.twitter.com/8EJLjEDsJ9,2017-08-01 17:10:11,16,3,892432280878284800
I have long supported the Anclote River Dredging Project. Read my letter to FL officials urging approval for fundinghttps://bilirakis.house.gov/media/press-releases/bilirakis-calls-funding-anclote-river-dredging-project …,2017-07-31 20:28:19,5,1,892119755456491521
A state of emergency has been declared in FL12 for #TropicalStormEmily. Please heed all local warnings & stay safe!http://www.tampabay.com/news/weather/tropical-depression-six-forms-in-gulf-of-mexico-heavy-rainfall-for-tampa/2332063 …,2017-07-31 17:49:50,6,6,892079872046231552
"On this week’s #DiscussWithGus: ACA repeal & replace, funding our military, and extending the VA Choice Program.https://www.youtube.com/watch?v=tIrxKT8Ml8k …",2017-07-28 20:02:06,7,5,891025995268018176
"On #NationalInternDay, I want to say a big thank you to this summer’s FL12 interns for all your fantastic work!pic.twitter.com/oMBWJ5xPm1",2017-07-27 21:45:52,14,2,890689722871316480
My bill the ACCESS Act will help ensure self-driving car technology puts seniors & those with disabilities in the driver's seat pic.twitter.com/v0c725sOzR,2017-07-27 19:25:08,8,2,890654302884175872
Glad to have Pasco County’s State Representative @DannyBurgessFL and his family stop by my office today in the nation’s capital!pic.twitter.com/LflKgf8ppa,2017-07-25 22:34:54,26,5,889977285608132609
"We passed the #ForeverGIBill today to improve, expand, and modernize GI Bill education benefits for our Veterans. https://bilirakis.house.gov/media/press-releases/bilirakis-applauds-passage-bill-expand-improve-gi-bill-veterans …pic.twitter.com/0JAGXSGvcX",2017-07-24 23:35:11,44,18,889630069626458113
Met w/ Pasco County Administrator @dan_biles in Land O’Lakes at the site of the recent sinkhole to discuss clean-up efforts & public safety.pic.twitter.com/yXq0kkDGtr,2017-07-21 21:35:32,16,3,888512795318272000
Enjoyed visiting AmSkills this morning in New Port Richey to learn more about their manufacturing apprenticeship programs.pic.twitter.com/GtkRDpGXku,2017-07-21 19:45:42,12,4,888485154540400640
"On this week’s #DiscussWithGus: Medicare fraud, what's next for ACA repeal & replace, and expanding the GI Bill.https://www.youtube.com/watch?v=KTghpXUf-Q4 …",2017-07-21 16:30:25,3,1,888436008903159809
"My bill, the Pups for Patriots Act, supports service dog therapy for our nation's heroes at the VA.https://bilirakis.house.gov/media/press-releases/bilirakis-introduces-pups-patriots-act …",2017-07-20 21:54:51,33,16,888155265283043329
".@SenJohnMcCain is a fighter, a dedicated public servant, and a true American hero. Prayers go out to him and his family.",2017-07-20 01:07:48,43,10,887841437768970244
Reached out today to CSX to urge action on the recent crossing arm malfunctions in Pasco County.https://bilirakis.house.gov/media/press-releases/bilirakis-urges-action-csx-crossing-arm-malfunctions-pasco-county …,2017-07-19 22:46:38,12,4,887805909753266176
Medicare fraud hurts seniors & all taxpayers. That’s why I introduced a bipartisan bill to strengthen the penalties: https://bilirakis.house.gov/media/press-releases/bilirakis-and-castor-introduce-bill-strengthen-medicare-fraud-penalties …pic.twitter.com/TABqRHRJbM,2017-07-19 15:09:11,15,5,887690791073832961
"Joined @HouseVetAffairs, @WhiteHouse, @HHSGov, & @CDCgov today for a productive roundtable on tackling the opioid crisis among Veterans.pic.twitter.com/GYwmTiZhwk",2017-07-18 18:33:42,5,3,887379872443768833
"Watch now: @HouseVetAffairs hearing on the expanded GI Bill, including my provision to modernize claims processinghttps://veterans.house.gov/calendar/eventsingle.aspx?EventID=1819 …",2017-07-17 23:19:54,9,4,887089507102863360
Great event w/ the Wesley Chapel Chamber & Japanese Consul General to discuss how Japan-Florida relations can help our local businesses growpic.twitter.com/nDrSutuyvX,2017-07-17 14:04:26,2,2,886949718777114628
"On this week’s #DiscussWithGus: bipartisanship in Congress, net neutrality, and fighting the opioid crisis.https://www.youtube.com/watch?v=qxDxBvIlnTM …",2017-07-14 17:37:17,2,1,885916119571345410
"Friends in Land O’Lakes, please be careful in your neighborhood today and heed all local emergency notifications.http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/bn9/2017/7/14/homes_evacuated_in_l.html …",2017-07-14 16:48:44,4,4,885903901979017216
"Happy to welcome Congressional Art Competition winner Clare Hernandez of Dade City to DC! ""Portrait of an Unknown Soldier"" is now on displaypic.twitter.com/o5IZhs36wh",2017-07-13 19:01:58,13,2,885575043299909633
"We passed three bills today to #EndTrafficking, strengthen detection systems, and protect vulnerable citizens from becoming victims.pic.twitter.com/uoWBqOVSau",2017-07-12 21:44:35,13,8,885253581892444161
We're bringing FDA into the 21st Century with the FDA Reauthorization Act. Glad it includes my provision to spur generic drug competition.pic.twitter.com/WrikXRmqm3,2017-07-12 19:37:41,8,2,885221646973501442
"Important @HouseCommerce hearing with state leaders about what initiatives are working, & what isn't, in the fight against the opioid crisispic.twitter.com/c3MzrROFOk",2017-07-12 18:16:13,9,10,885201142787059724
"Meeting with Florida CHIP CEO to discuss ensuring the program continues to provide quality, affordable insurance to Florida children.pic.twitter.com/AG6eg7Yqde",2017-07-11 20:19:28,8,2,884869773460459522
".@UF study finds generic drug prices rise as competition goes down. Read how my provision would help address this:
https://bilirakis.house.gov/media/press-releases/university-florida-study-finds-generic-drug-prices-rise-competition-goes-down …pic.twitter.com/ypm6QDu4x8",2017-07-11 19:56:23,5,2,884863964194242561
Sad to hear about the loss of 16 Marines in an aircraft crash in Mississippi. Let us keep their families & fellow Marines in our prayers.,2017-07-11 14:19:20,14,4,884779143870722053
