Text,Date,Favorites,Retweets,Tweet ID
"Our country desperately needs real #TaxReform, but @SpeakerRyan and @GOP are merely selling us more #CronyCapitalism and #DonorWelfare labeled as “reform.” It's high time we see past these shallow promises. The American people deserve better from Congress.https://www.huffingtonpost.com/entry/what-ryan-and-trump-dont-want-you-to-know-about-the_us_5a205cafe4b0545e64bf9110 …",2017-11-30 20:09:20,13,9,936326299953647616
Join me today at 7am ET on @NPR’s @MorningEdition as @NPRgreene and I discuss the role Congress can play in addressing and combatting sexual harrassment.https://www.npr.org/programs/morning-edition/ …,2017-11-30 11:26:47,28,4,936194793801166848
"Today’s announcement not only stresses the need for enhanced transparency in the #PrivateSector, but it also underscores the necessity for #PressFreedom and a responsive @EPA that can hold companies accountable for violating federal laws. https://gwenmoore.house.gov/press-releases/epa-finds-local-industrial-refurbishing-plants-in-violation-of-federal-law/ … @john_diedrichpic.twitter.com/YaWtAfpeEq",2017-11-29 21:51:41,20,14,935989668994338816
The #GOPTaxScam is a massive tax cut for billionaires & corporations that decimates two essential sources of funding for #AffordableHousing: the low income housing tax credit & multifamily housing revenue bonds. #Milwaukee needs #AffordableHousing #CutsHurt,2017-11-28 20:38:08,20,10,935608772751392769
Navajo (Diné) Code Talkers played an essential role in helping America win the war against fascism. @RealDonaldTrump’s racial slurs must not be allowed to overshadow the bravery and valor of these World War II heroes.,2017-11-28 16:58:48,57,15,935553575303942146
"This #CyberMonday, shop for more than just holiday gifts! Sign up for a quality, affordable health insurance plan on http://www.HealthCare.gov .

Call 2-1-1 for free enrollment assistance & appointments or text your zip code to 898-211.",2017-11-27 22:53:35,7,6,935280472258641920
The president's lawless attempt to appoint @MickMulvaneyOMB as #CFPB Acting Director threatens the very core of US rule of law. @realDonaldTrump's tweets & whims don't supersede statute. There is no doubt Leandra English is the rightful @CFPB Acting Director.pic.twitter.com/f7aEnukeTL,2017-11-27 21:21:06,19,9,935257196174217217
"As of today, 10,008 #Dreamers have lost #DACA status since @realDonaldTrump ended the program. Everyday Congress delays taking action, 122 #Dreamers lose their #DACA protection. We cannot afford this inaction. We must pass the #DreamActNow #ProtectDreamershttps://www.americanprogress.org/issues/immigration/news/2017/11/09/442502/thousands-daca-recipients-already-losing-protection-deportation/ …",2017-11-27 20:48:04,42,43,935248881666969602
"Scrapping #NetNeutrality would hurt our economy and put the brakes on innovation and entrepreneurship. @RealDonaldTrump and @AjitPaiFCC are playing with  on this one.

And @boydanaaa: You’re my constituent. My staff and I will always be here to serve and address your concerns.https://twitter.com/boydanaaa/status/934569709294505984 …",2017-11-26 00:01:49,36,8,934572866753802240
"On this #Thanksgiving, I'm especially grateful for the resolve of those who refuse to give in to injustice, the courage of those who continue to speak truth to power, and the #CivilRights icons who came before us who made it all possible. #HappyThanksgiving #GivingThankspic.twitter.com/MDvUQX8LQV",2017-11-23 18:11:26,41,11,933759915419566080
"Thank you to everyone who joined me yesterday to sound the alarm on the #GOPTaxScam. We can't let the @GOP line the pockets of the richest Americans, while raising taxes on middle class families @MayorOfMKE @CityofOakCreek Mayor Dan Bukiewicz  @CitizenActionWI @Lps1968 @MTEAunionpic.twitter.com/nQ0SjPWev3",2017-11-21 18:58:56,26,12,933047093069012993
"In 2017, at least 25 #transgender people – mostly trans women of color – have been killed. As we honor the memories of #transgender individuals lost to senseless violence, we must unite to end this pattern of hate. #TransgenderDayofRemembrance #TDORhttps://www.hrc.org/resources/violence-against-the-transgender-community-in-2017 …",2017-11-20 20:04:09,41,22,932701114662866944
"This week, FCC Chairman @AjitPaiFCC is set to unveil plans for a final vote to decimate #NetNeutrality protections. 

We must #SaveNetNeutrality for a free and open internet.",2017-11-20 18:21:51,17,14,932675372348592132
"Today in Milwaukee: @MayorOfMKE and local leaders will join me at the Washington Park Senior Center for a press conference on the the alarming local and national impact of the #GOPTaxPlan. 

https://gwenmoore.house.gov/press-releases/rep-moore-hosts-press-conference-on-gop-tax-plan/ …",2017-11-20 15:18:39,8,1,932629269276184581
So proud of our undefeated 11-0 Big Ten West Champs. Let's go @BadgerFootball #OnWisconsinpic.twitter.com/D6rGKz1Icx,2017-11-18 21:32:39,16,3,931998612795674626
"The #GOP loved the #Lifeline program when Reagan created it.

They loved it when #GWB expanded it after #HurricaneKatrina.

Then @BarackObama took office & they pushed the #ObamaPhone narrative to vilify it. 

Now @realDonaldTrump's @FCC wants it gone. https://thinkprogress.org/trump-ajit-pai-lifeline-cell-phones-3b84c682038e/ …",2017-11-17 20:16:05,12,6,931616956016484352
