Text,Date,Favorites,Retweets,Tweet ID
Great to speak with @MorningsMaria on @FoxBusiness this a.m. Clear & proven @POTUS has authority to name Mulvaney as Acting @CFPBDirector.pic.twitter.com/OFe36Bbyrn,2017-11-29 16:37:44,12,4,935910658612367360
Looking forward to a good conversation w/ @MariaBartiromo on @MorningsMaria. Join us on @FoxBusiness in a few short minutes.pic.twitter.com/98gBNh4JXo,2017-11-29 13:24:31,8,2,935862035753074689
Join me & @TeamCavuto on @FoxNews in a couple of mins. We are talking about @CFPBdirector and what can be done to fix this rogue agency.pic.twitter.com/4CMtY1NAfZ,2017-11-28 21:21:45,17,4,935619746644578304
My full statement on @POTUS pick to appoint OMB Director Mulvaney as Acting Director of @CFPB:https://hensarling.house.gov/media-center/press-releases/chairman-hensarling-statement-on-mulvaney-appointment-to-cfpb …,2017-11-25 18:46:15,11,5,934493452099837952
"From my family to yours, have a peaceful and relaxing Thanksgiving.pic.twitter.com/0NywzRhpwR",2017-11-23 20:03:59,13,4,933788236228460544
"Proud to support #taxreform today. The American people can now imagine a tax code that brings jobs and capital back to America. It is all about better jobs, fairer taxes, and bigger paychecks. @HouseGOP @WaysandMeansGOPpic.twitter.com/3pIN4TEYff",2017-11-16 18:26:15,17,8,931226928752689152
"This #VeteransDay, we pause to reflect upon the selfless service of our women and men in uniform. More: https://www.facebook.com/RepHensarling/posts/10156052856184789 …pic.twitter.com/EoiwzxDPFg",2017-11-11 23:34:39,9,3,929492599785836544
".@JudgeTedPoe is a steadfast leader & protector of the Constitution. He’s a plain-speaking, proud Texan that will be missed. He could always be counted on to carry the message for our great state. I wish Ted the best of luck with his next step. And that’s just the way it is.",2017-11-08 19:21:52,14,5,928341820395966464
Proud to support bipartisan legislation to save our local businesses – time to put an end to confusing overregulation.pic.twitter.com/xdFnOW7A5V,2017-11-08 19:15:15,6,2,928340156779724805
"Texans & Americans are ready for a fundamental shift in our tax code through meaningful, pro-growth #taxreform.pic.twitter.com/bHoeA5N2Qv",2017-11-07 00:17:25,8,4,927691422983163904
It is my sincere hope & belief that the Lord will lift #SutherlandSprings victims up during this tragic time.https://hensarling.house.gov/media-center/press-releases/hensarling-statement-on-tragedy-in-sutherland-springs …,2017-11-06 14:58:08,4,3,927550672979025920
"Thanks for a great interview, @BloombergTV. Always enjoy speaking w/ @kevcirilli.https://twitter.com/business/status/926434277910122497 …",2017-11-03 13:22:08,7,4,926439350052802561
.@LamarSmithTX21 is a principled leader who I have known & genuinely admired since 1984. Grateful to have worked alongside you.pic.twitter.com/qAXdT7jkq8,2017-11-02 23:20:53,12,3,926227642159976449
Obamacare's IPAB sticks gov't where it has no business - in your personal health care decisions. House voted to eliminate this board today.pic.twitter.com/n02iI6GfWM,2017-11-02 22:09:16,7,4,926209622570041346
.@HouseGOP #taxreform enables the American People to:pic.twitter.com/v7X3DSpZcx,2017-11-02 21:00:56,1,1,926192424682229760
.@HouseGOP #taxreform enables the American People to:pic.twitter.com/K1btiFIwdr,2017-11-02 20:29:43,3,1,926184570688548865
.@HouseGOP #taxreform enables the American People to:pic.twitter.com/WpRlirVgNM,2017-11-02 20:15:39,3,1,926181029693489152
.@HouseGOP #taxreform enables the American People to:pic.twitter.com/PcB9M10tcD,2017-11-02 20:08:46,21,9,926179296980426752
"Americans are going to see a fairer, flatter, simpler & more competitive tax code with @HouseGOP #taxreform plan. Hear more via @SquawkCNBC.pic.twitter.com/7ixUOGyiVA",2017-11-02 14:38:38,13,9,926096215636430853
"This morning, join me on @SquawkCNBC around 7:40 (6:40 CT). We’re talking abt #taxreform & my decision to not seek re-election. @CNBC",2017-11-02 11:00:59,2,2,926041442367229952
My full statement on not seeking re-election in 2018:pic.twitter.com/2mkUIxtAED,2017-10-31 20:35:27,49,39,925461236942286848
