Text,Date,Favorites,Retweets,Tweet ID
"This Thanksgiving, I’m thankful for all the men and women serving overseas who are unable to be with their families. Thank you for protecting our freedom and Happy Thanksgiving.pic.twitter.com/e0GC0mQGTM",2017-11-23 13:49:56,15,6,933694105258926081
"This afternoon the House voted to reform our tax system. Our goal is to grow our economy and ensure that businesses of all sizes have the capital necessary to hire more employees, grow their operations, and finally give American workers the raise they deserve.",2017-11-16 19:04:14,26,7,931236486397288449
"On this Veterans Day, I'm grateful so many risked their lives to protect our freedom. Thank you for your service... https://goo.gl/ZkpF47 ",2017-11-11 12:58:49,5,1,929332584722649088
"Today the Ways and Means Committee voted to reform our tax code for the first time in over 30 years. Cutting taxes will grow our economy, ensuring the United States is on a level playing field with the rest of the world.",2017-11-09 20:43:01,54,24,928724631338606593
"The House voted this morning to expand sanctions on Iran to stop their ballistic missile program. Yesterday, ... https://goo.gl/Rq9PTZ ",2017-10-26 15:13:00,8,4,923568148250537984
I met some great folks last week in the district. Thank you for having me!pic.twitter.com/bdxkxaDyxi,2017-10-25 13:00:12,18,2,923172339428315136
My prayers are with all of the victims and their families this morning in Las Vegas. Our first responders deserve thanks.,2017-10-02 13:34:39,25,8,914846088141639682
The House passed a bill today aimed at keeping illegal immigrant gang members out of the United States ... https://goo.gl/3u6fRr ,2017-09-14 19:04:00,19,7,908405993524088833
"Please join me in remembering those who lost their lives on September 11, 2001. We must never forget.",2017-09-11 13:16:40,32,9,907231419231031297
Thank you to everyone who hosted me last week in the district! ... https://goo.gl/6zDk85 ,2017-09-07 15:20:03,2,2,905812918876426244
I had a great time last week touring facilities and meeting with folks in the district! ... https://goo.gl/iBwFQQ ,2017-08-29 20:50:03,7,4,902634472356667393
Praying for all of those hurt in Charlottesville. All Americans must come together against racism and hatred ... https://goo.gl/727qbo ,2017-08-13 21:41:09,14,1,896849127551762432
I'm committed to creating a simplified tax code that lowers the tax rate for hard-working Americans ... https://goo.gl/BP4d48 ,2017-07-25 13:09:49,21,6,889835078133493764
