Text,Date,Favorites,Retweets,Tweet ID
"Good piece in the @detroitnews on the CFPB. Glad @NolanFinleyDN, @Ingrid_Jacques, and their team are covering this unaccountable ""rogue"" agency!http://www.detroitnews.com/story/opinion/editorials/2017/11/29/cfpb-cordray-trump-watchdog-oversight/108146432/ …",2017-11-30 16:17:52,4,7,936268049031876608
State Champs!!!! Congratulations Muskegon on an incredible season!https://twitter.com/onmuskegon/status/934617707290484737 …,2017-11-26 14:55:32,16,2,934797777032368128
Thanks to Stewart Varney and team @FoxBusiness for having me on to discuss the very serious issue of sexual harassment in DC and how Congress needs to react.,2017-11-21 15:52:39,16,8,933000212452380673
Ran into my friend @jasoninthehouse Chaffetz at @FoxNews today. When you changing your Twitter handle to JasonWASinthehouse?? Miss you in DC my friend!pic.twitter.com/YUu3J9jY67,2017-11-21 15:47:51,10,3,932999005667241985
"Blessings, grace and peace to the friends and family of Agent Martinez.https://twitter.com/customsborder/status/932325813562888197 …",2017-11-20 20:05:25,7,5,932701434465980416
".@WSJ headline: ""U.S. Growth Forecasts Are on the Rise"" Our tax reform plan will strengthen the middle class, increase opportunity, create jobs, and lift economic growth even further. Learn more at http://fairandsimple.gop !",2017-11-20 14:31:52,29,7,932617495378317312
my pleasure!https://twitter.com/SrtaRoskamp/status/931592374001823746 …,2017-11-17 20:06:50,8,2,931614628546863105
ICYMI: This week the @FinancialCmte passed my bipartisan bill /w @repgregorymeeks to help more low income families attain a qualified mortgage and achieve the American Dream!https://financialregnews.com/house-financial-services-committee-advances-bill-help-low-income-families-get-qualified-mortgages/ …,2017-11-17 20:05:46,6,5,931614359087927297
A great day indeed Mr. @VP and I am proud to have been a part of it!https://twitter.com/vp/status/931246074869755904 …,2017-11-17 00:01:12,8,2,931311219176194048
Congratulations to my friend and constituent on this new job representing the US to the Kingdom of the Netherlands! #Dutchhttps://twitter.com/senatecloakroom/status/928755144224886784 …,2017-11-09 23:01:55,20,14,928759585162383360
Interesting meeting today w/ @jonfitchdotnet that reminded me why I love this job. There's something new and different almost every day. What do you think of treating #MMA like boxing? #HR44pic.twitter.com/N9BJUIkdoy,2017-11-08 01:43:22,95,30,928075441277091840
Congratulations @HollandHSSoccer #StateChamps!,2017-11-04 19:16:17,19,4,926890862398894080
Watching fmr Philly Fed Pres @CharlesPlosser make lots of sense on @BloombergTV re: the Fed Chair appt & the proper role of the #Fed.,2017-11-02 18:38:49,0,2,926156661672284161
My prayers are with friends and family in #NYC tonight. Saddened by the tragic losses but thankful more were not hurt. Thnx 1st responders!,2017-11-01 01:31:28,6,8,925535731199762432
"2/2 Proud 2b at Tri-Cities #RTL dinner tonight hearing Shauna talk about her precious daughter, conceived in hate but has brought love & joy",2017-10-27 00:50:27,5,4,923713469710569472
Pregnant after rape Shauna Prewitt was sued for joint custody. Law school followed as she fought to stop the practicepic.twitter.com/jXGchv7mqU,2017-10-27 00:47:26,4,3,923712710990233601
"Obamanomics was great for Wall Street, not for the middle class. Our tax reform framework will grow the middle classhttps://www.wsj.com/articles/the-wages-of-corporate-taxes-1508799171 …",2017-10-24 11:59:06,1,2,922794575370113025
pic.twitter.com/gEkzcsNivH,2017-10-19 21:21:55,9,4,921124275892948992
"Our pro-growth, pro-middle class tax reform will create jobs & help hardworking families across Michigan! http://www.detroitnews.com/story/opinion/2017/10/14/michigan-deserves-tax-reform/106647050/ … #tcot",2017-10-15 13:43:36,8,7,919559384346349568
"Tom, I wanted to make sure you knew that I supported the relief package for PR, USVI, TX, FL, & CA yesterday https://www.facebook.com/rephuizenga/posts/1442611265792441 …",2017-10-13 14:07:03,0,1,918840509493366785
Don't Forget! The @GRYMCA Veggie Van is in Baldwin today promoting healthy choices with fresh fruits and vegetables!http://www.mlive.com/news/grand-rapids/index.ssf/2017/10/veggie_van_gives_away_carrots.html#incart_river_index …,2017-10-12 19:49:26,4,3,918564287894958087
Thank you @GVSU for continuing to be a leader in providing West Michigan veterans with educational opportunities!https://www.gvsu.edu/gvnow/2017/gvsu-earns-federal-grant-to-support-degree-completion-for-area-veterans-10186.htm …,2017-10-11 15:21:31,8,5,918134472981270528
