Text,Date,Favorites,Retweets,Tweet ID
"As a Marine, @ToysForTots_USA is one of my favorite charity organizations. To learn more about the history of Toys for Tots or how you can be a part of this great organization visit https://www.toysfortots.org ",2017-11-28 17:42:00,1,1,935564445341929477
"The holidays offer many opportunities to support your favorite charity and help those who are in need. On this #GivingTuesday, I encourage each of you to reach out to your favorite local charity to see how you can best help those in need in your community.pic.twitter.com/2ZK1N28Q66",2017-11-28 17:39:47,5,0,935563889479168000
"Today we reflect on the many blessings we have as Americans.

From my family to yours, I hope you had a very Happy Thanksgiving.",2017-11-24 03:47:55,10,0,933904992439865344
"What were you doing in 1986?

It’s been over 30 years since we have reformed our tax code.

It’s time to unleash our country’s economic potential by providing tax relief for hard-working Americans. 

#TaxReformTuesdaypic.twitter.com/tKfVneCMyu",2017-11-21 19:30:53,8,2,933055131217690624
"Last week I introduced H.R. 4429, the Cormorant Control Act, to address cormorant depredation in #Mi01https://bergman.house.gov/news/documentsingle.aspx?DocumentID=137 …",2017-11-21 10:27:51,1,0,932918475273723904
For my full statement: https://bergman.house.gov/news/documentsingle.aspx?DocumentID=136 …pic.twitter.com/g03Ittwhch,2017-11-16 19:38:10,3,1,931245027342340097
"Breaking: The House just voted to pass major tax reform for the first time in over 30 years. 

In a major victory for the hard-working people of #Mi01, the Tax Cuts and Jobs Act passed the U.S. House!",2017-11-16 19:04:33,58,20,931236566634201088
"I spoke with @onetoughnerd today about the recent information on the damaged coating on pipeline 5. 

Here’s a link to my full statement —> 

https://bergman.house.gov/news/documentquery.aspx?DocumentTypeID=27 …",2017-11-14 18:57:16,3,5,930509955676934144
"Gaylord Middle School put on one of the most impressive Veteran’s Day ceremonies I’ve ever attended and I wanted to share one of the very touching parts of the ceremony with you. 

Gabe (8th grade) was joined by the entire school singing a Veteran’s Day version of “Hallelujah.”pic.twitter.com/qaI4EgBh5v",2017-11-12 23:38:44,66,23,929856014119157760
"Happy Veteran's Day to all who have served.

It was great to see my friends from the Keweenaw Bay Tribe present the Colors at today's @NorthernMichU football game.pic.twitter.com/9blqXKmuZT",2017-11-11 22:36:51,20,4,929478052916146176
"On the air now with Jerry Coyne in Grayling on Q100. Talking VA, and Veterans Day!",2017-11-09 19:22:01,0,0,928704248396898305
"How about a @USMC #TBT? 

When I retired from the Marine Corps I handed the flag to one of the most qualified men in the country, my friend General John Kelly.

Ooh-rah and happy birthday @USMCpic.twitter.com/YRsJO9sWvO",2017-11-09 19:02:23,16,2,928699304662982656
"We have to understand, responsible gun ownership, which we do, is the right thing!https://twitter.com/sbgc2c/status/928359653418860544 …",2017-11-09 01:49:19,7,2,928439324491862021
Complete transparency is essential for the modernization of the VA’s electronic health records.https://twitter.com/housevetaffairs/status/926445340978446336 …,2017-11-06 12:25:05,1,0,927512156693843968
Today I voted in favor of H.R. 3922 to provide funding for CHIP and Community Health Clinics.https://bergman.house.gov/news/documentsingle.aspx?DocumentID=125 …,2017-11-03 18:02:10,11,1,926509822975102977
Proper management is essential to maintain the health of our forests. Proud to support the Resilient Federal Forests Act.https://twitter.com/michiganforest/status/926084000686444544 …,2017-11-03 10:55:53,1,0,926402544531886080
It’s time for tax relief for working Americans.https://bergman.house.gov/news/documentsingle.aspx?DocumentID=119 …,2017-11-02 20:48:22,6,2,926189262575489026
Reminder: Tomorrow at noon is the deadline to submit your app for the @CongressionalAC.,2017-10-31 19:38:00,2,0,925446778706677760
"Today, I voted to pass the FY2018 budget and unlock the door to tax reform.  

To learn more visit —>https://bergman.house.gov/news/documentsingle.aspx?DocumentID=117 …",2017-10-26 18:09:46,19,4,923612635257589761
"On with @ProudExDemocrat now - talking tax reform, budget, and our upcoming community engagement event in Traverse City.",2017-10-26 11:37:10,7,0,923513831317495808
"Honored to join @SpeakerRyan to sign the Whistleblower Protection Act. 

This is an vital step in ensuring quality care for all Veterans.https://twitter.com/speakerryan/status/922960343525199874 …",2017-10-25 13:07:49,5,3,923174257160523776
"It was great to be a part of the @USMC Marathon today. 

Even better was getting to meet a young Marine from Traverse City. 

Ooh Rah Marinepic.twitter.com/hGFYeP9lfl",2017-10-23 01:16:55,14,1,922270578429579272
Coming up on @CNN  to talk about putting politics aside and putting country and our military families first.pic.twitter.com/qctbIjNWYl,2017-10-22 20:49:49,10,2,922203358655668225
Well said @TuckerCarlson!https://twitter.com/ffweekend/status/921677482545373184 …,2017-10-21 19:34:13,5,1,921821946874155008
"Gen. Kelly said it best. 

Exploiting gold star families for political points is never ok. 

There is no excuse for this poor behavior!https://twitter.com/foxbusiness/status/921161106995007489 …",2017-10-21 04:02:44,12,5,921587533837950976
"If there is any one issue that should bring our nation together, it’s our gold star families.",2017-10-21 02:40:20,13,2,921566794019737600
Great to be with Walt Lindala this morning.pic.twitter.com/vpD82yfWpD,2017-10-19 11:46:51,6,1,920979553299951616
Thanks for leading the pledge at tonight’s event @J23Marcushttps://twitter.com/j23marcus/status/920817095025221632 …,2017-10-19 02:17:47,4,0,920836345454579713
Thanks for the great event tonight Marquette.https://twitter.com/nicole_tv6/status/920780185783463942 …,2017-10-19 00:27:42,1,0,920808643003420672
Looking forward to tonight’s dialogue.https://twitter.com/andrewlacombe/status/920580197283491840 …,2017-10-18 11:08:52,4,1,920607609190797312
Great to be back in Presque Isle County today to visit the @LampreyControl Biological Station.https://twitter.com/lampreycontrol/status/920390975184408577 …,2017-10-17 21:22:06,3,0,920399547284770817
