Text,Date,Favorites,Retweets,Tweet ID
The Senate is voting soon on a Republican tax plan that will hurt your wallet AND your health.pic.twitter.com/ZezwTk00Xh,2017-11-30 18:25:19,29,12,936300123507785729
".@POTUS is lending validity to hate groups that incite violence & divide us. #Disgraceful. As Americans & citizens of the world, we must stand against hate.https://www.nytimes.com/2017/11/29/us/politics/trump-anti-muslim-videos-jayda-fransen.html …",2017-11-29 18:33:46,57,12,935939859369340928
"The #GOPTaxScam raises taxes on 82 million middle class families & explodes the deficit by $1.5 trillion. We need to put families first, not big businesses.",2017-11-29 16:56:24,40,14,935915357633761280
"A free & open internet is critical to the economy & a functioning democracy. Internet providers should not be allowed to decide what websites you can visit, nor should they be allowed to charge differently based on content. To the  FCC, I say we must protect #NetNeutrality",2017-11-21 19:55:32,342,145,933061333960019969
Today we uplift the names of transgender people who have been killed in 2017 and honor their memories #TDOR,2017-11-20 19:17:00,53,14,932689251027836928
"Proud of my Youth Advisory Council for hosting a Youth Summit in Boulder, discussing topics critical to the U.S.pic.twitter.com/nfBzO8SguI",2017-11-18 22:21:33,20,5,932010918447235072
Breaking: Republicans in the House of Representatives voted to pass a tax bill that will raise taxes on many middle class Americans and explode the deficit by $1.5 trillion.pic.twitter.com/7FMLPTti4F,2017-11-16 19:16:12,22,13,931239496535953408
Net Neutrality regulations make the internet available to everyone. We cannot let our internet service providers limit our access to the ever-growing digital world. I call on my colleagues to reject the gutting of these regulations & protect the internet freedom of all Americans.,2017-11-16 15:48:13,100,30,931187158312013829
The GOP tax plan includes anti-choice language that threatens women’s constitutional rights to abortion and privacy. I introduced an amendment to remove this intrusive section of the plan. Attacks on reproductive rights have no place in a tax bill – or anywhere.pic.twitter.com/WNEizH5E1G,2017-11-16 00:29:01,84,37,930955830962393088
"Proud to be a member of the @AF_Academy Board of Visitors. Welcome to D.C., Lt. Gen. Silveria, AFA superintendent.pic.twitter.com/H2bJKfLz0Q",2017-11-15 18:13:58,5,2,930861446287720448
I am grateful that the U.S. House of Representatives has decided to implement mandatory anti-harassment & anti-discrimination trainings for all members & staff to protect everyone who serves our country in Capitol Hill & at home,2017-11-14 22:03:43,75,12,930556877477425152
Honoring veterans today on #VeteransDay and everyday with words AND actions. http://polis.house.gov/UploadedFiles/veterans_affairs.pdf …,2017-11-11 20:08:45,13,4,929440781781188608
ATTN Veterans: My staff will be at @CUBoulder - Center for Community (C4C) on the 3rd floor from 11 a.m. - 2 p.m. to meet w/ any veteran about claims and benefits.  Stop by!,2017-11-08 17:20:56,14,6,928311388396802048
We cannot stand by & let the situation in Venezuela get any worse. My bipartisan call for action w/ @RepMikeCoffman:http://www.aurorasentinel.com/opinion/congressmen-coffman-polis-fight-venezuelas-future/ …,2017-11-06 22:50:12,20,6,927669473083117576
Protect your family w/ a plan that covers essential health benefits like ER services & newborn care http://ConnectForHealthCO.com  #GetCovered,2017-11-06 19:41:46,11,6,927622052907020289
Devastated by another mass shooting. Too many souls senselessly gone. Praying for healing. We must act.,2017-11-05 23:54:57,114,18,927323380889526272
The #GOPTaxPlan will raise the national debt by $1.5 trillion. That’s trillion with a “T.”pic.twitter.com/ChX9z9oQzs,2017-11-02 20:45:16,28,27,926188481612742657
"To maintain the temperature of Earth, we must triple government investment in low-emissions tech; our depends on ithttps://www.washingtonpost.com/news/powerpost/paloma/the-energy-202/2017/10/31/the-energy-202-clean-energy-investment-needs-to-triple-to-halt-catastrophic-warming-finds-new-report/59f794c630fb0468e7653ef1/?utm_term=.e2e371965590 …",2017-11-02 19:45:46,18,7,926173508958392322
