Text,Date,Favorites,Retweets,Tweet ID
The Tax Cuts and Jobs Act is a TAX CUT for Missouri. The Senate should work quickly to pass this bill so we can deliver an early Christmas present to folks back home. #TaxCutsAndJobsAct #TaxCutspic.twitter.com/FTkAV2hltR,2017-11-30 19:12:26,11,3,936311981925130240
It was great to be with @realDonaldTrump in MO today. We are putting America & Missouri FIRST with the #TaxCutsAndJobsAct  full statement pic.twitter.com/QZy7K2wq72,2017-11-29 23:23:55,30,11,936012881367388160
Listening to @realDonaldTrump talk about putting #AmericaFirst with #TaxCuts for hardworking Missourians and our plan to make America competitive again. Senate must act quickly to pass #TaxCutsAndJobsActpic.twitter.com/jvXpkOe85O,2017-11-29 21:08:03,40,17,935978688738447360
"Wheels up!   @realDonaldTrump and I are on our way to Missouri to talk about #TaxCuts for middle-income families, farmers and small business owners.pic.twitter.com/ep76QNUeO0 – at Joint Base Andrews",2017-11-29 17:38:20,25,5,935925911790260224
I am headed to Missouri with @realDonaldTrump to talk about the importance of #TaxCuts for American families. Ready to see our economy unleashed! #TaxCutsAndJobsActhttp://ow.ly/b8Yr30gTpGJ ,2017-11-29 15:27:59,65,24,935893107110969344
"We will not stand by and allow #NorthKorea to continue with this behavior. In the words of @realDonaldTrump, ""Do not try us.""http://ow.ly/DglX30gTpDz ",2017-11-29 14:57:12,8,6,935885360881692673
"Whether they are fixing a WWII veteran’s house, serving a holiday meal to families in need or packing boxes for Operation Christmas Child, Missourians are great at giving back. What are your plans to #GiveBack this holiday season? #GivingTuesdaypic.twitter.com/X2YZZAyawo",2017-11-29 01:08:51,4,3,935676900609003520
".@realDonaldTrump met with the Senate today to encourage them to move forward with the #TaxCutsAndJobsAct. The House of Representatives passed this legislation two weeks ago, and it is time for the Senate to do the same so we can deliver #TaxCuts to all Americans.",2017-11-28 23:16:57,17,9,935648739062177792
"Have you heard? The REAL ID waiver I requested from @DHSgov was honored. I worked w/DHS to make sure you could keep your MO driver's license & board a plane past 1/22/18. Today, they announced that they are granting a waiver for MO through 10/10/18.http://ow.ly/YtUJ30gS2Nh ",2017-11-28 17:01:07,15,6,935554158580715521
Excited to see the Pemiscot-Dunklin Electric Co-Op making progress on #RuralBroadband & taking the lead on installing fiber in the Bootheel. It's important to make sure everyone from the biggest town to the smallest family farm has access to #broadband. @AjitPaiFCCpic.twitter.com/CS3aY0zlyb,2017-11-28 03:25:21,23,7,935348863178887168
