Text,Date,Favorites,Retweets,Tweet ID
More obstruction of justice? Trump tries to stop legislative inquiries in #TrumpRussiaCollusionhttps://www.nytimes.com/2017/11/30/us/politics/trump-russia-senate-intel.html …,2017-12-01 02:19:41,60,43,936419502014783488
Trump is going to campaign for #RoyMoore.  Wow. A predator campaigns for a pedophile.  Disgusting.,2017-12-01 01:57:43,245,125,936413974756814848
What have we come to when Congress votes on massive GOP #TaxScam without even knowing what is in the bill? This is just outrageous.  This is not democracy in action. Call your senators.  Tell them to vote NO.,2017-12-01 01:49:08,81,46,936411814690205697
"Newest report says #GOPTaxScam will NOT pay for itself..not even close.  Will create trillion dollar hole in the deficit,  even after accounting for economic growth. Just kill this thing and start over!",2017-12-01 01:45:59,103,52,936411019836116992
"GOP has CANCELED tonight’s vote on #GOPtaxscam. They still don’t have enough votes to pass this huge giveaway to the richest Americans and corporations.
 
Keep calling your Members of Congress and make your voice heard.  : 202-224-3121",2017-12-01 01:39:35,761,541,936409409965756416
This is absolutely bonkers. #GOPTaxScamhttps://twitter.com/AliABCNews/status/936374037588140032 …,2017-11-30 23:50:31,370,234,936381959844126727
"We could be tackling crushing college debts for millions of students. Instead, the #GOPTaxScam gives outsourcers a tax break to send jobs overseas.pic.twitter.com/UnkVQAXikC",2017-11-30 22:34:14,49,36,936362764037079041
"The system we have right now is stacked against the victim. 

Watch my full appearance on #AM2DM discussing sexual harassment and how we in Congress must demonstrate zero tolerance for it:pic.twitter.com/FZEttNk1MH",2017-11-30 20:35:02,27,13,936332765284503553
So proud to work with these women!https://www.thestranger.com/slog/2017/11/29/25595003/seattle-meet-your-matriarchy …,2017-11-30 20:29:46,68,16,936331439985045505
There are sneak-attacks on healthcare and the environment - on the Affordable Care Act and the Arctic National Wildlife Refuge - in this so-called tax reform bill. It is outrageous on every single level and it is nothing but a scam. #KilltheBillhttps://twitter.com/SenFeinstein/status/936294091863855105 …,2017-11-30 18:48:55,157,137,936306063258857478
"Here is what happened in Kansas and why we must #KilltheBill and stop the GOP tax scam: ""Growth stalled, revenue fell and infrastructure and education services suffered. Now, the state faces a budget shortfall of more than $800 million.""http://www.wbur.org/hereandnow/2017/10/25/sam-brownback-kansas-tax-cuts …",2017-11-30 18:07:52,164,223,936295731496980481
"""Nothing is more fun than being stuck in traffic.""https://twitter.com/RichardRubinDC/status/935949106018648065 …",2017-11-30 17:51:02,35,8,936291493492359168
