Text,Date,Favorites,Retweets,Tweet ID
"In today's interview w/ @NYinDC, I emphasized the importance of including #PuertoRico in Federal Tax Reform. No American citizen  should be taxed as a foreigner.pic.twitter.com/ZSIkPcFIPu",2017-11-30 23:06:39,44,26,936370922814148609
"Just had a productive discussion w/ @RepMarcyKaptur & @NydiaVelazquez about changing the vision of policies like the Stafford Act. Amending these laws is vital to guarantee the construction of modern, efficient, & resilient electric grid for #PuertoRico.pic.twitter.com/c1XeE6pe3u",2017-11-30 18:59:58,32,16,936308842903801856
"El 6 de diciembre @SBAgov ofrecerá un taller sobre cómo obtener préstamos por desastres y a interés bajo, con el fin de generar empleos en la comunidad. El taller es gratis. Regístrese ahora!https://content.govdelivery.com/accounts/USSBA/bulletins/1c85d00 …",2017-11-30 16:53:42,21,17,936277068207321088
"On December 6th @SBAgov will be holding a Disaster Workshop in Hato Rey. The workshop will focus on obtaining low-interest, direct disaster loans for main sources of employment in the community. Free to attend! Space is limited, register now! 

https://content.govdelivery.com/accounts/USSBA/bulletins/1c85d00 …",2017-11-30 16:36:35,15,11,936272757792395264
Thank you @KaiserFamFound for hosting this important dicussion. I’ll continue working with Congress and federal stakeholders to address the health care inequities the American citizens of Puerto Rico facepic.twitter.com/Yvzy2O00UE,2017-11-30 15:16:50,32,15,936252690019037185
Discussing the immediate healthcare challenges faced by Americans in PR in the aftermath of Hurricane Maria.pic.twitter.com/43X4Ns4pKa,2017-11-30 15:02:10,46,29,936248998754701319
"Discutiendo mis propuestas para encaminar la recuperación de #PuertoRico junto al Alcalde de Comerío, @josiansantiagopic.twitter.com/g7FQYweITd",2017-11-29 22:04:53,13,6,935992991516430342
At today's @NatResources Committee Markup. Glad to catch up w/ my friend @RepRobBishop.pic.twitter.com/HlP09WBpiV,2017-11-29 21:26:42,10,3,935983379752812545
Currently w/ @SecHacienda discussing Federal #TaxReform & #PuertoRico's economic future. I will continue working in coordination w/ Congress until we have a universal tax code that includes Americans living in PR.pic.twitter.com/YISADLn8Ud,2017-11-29 20:50:39,71,37,935974308182155264
Hoy tuve la oportunidad de dialogar con los estudiantes puertorriqueños que participan en el internado Córdova y Fernós. Fue un honor conocer de su compromiso con nuestra Isla.pic.twitter.com/fmuKL7FG9G,2017-11-29 18:46:59,42,15,935943185624428544
"""In the 7 weeks since, she has been spearheading the effort to help the island rebuild, lobbying for aid & relief here in DC, & escorting delegations to PR so they can see the devastation for themselves. Her work is inspiring."" Thanks @RiponSociety, it's been humbling.pic.twitter.com/a5EhidPDfb",2017-11-29 17:13:03,60,38,935919547739267073
Recent reports on faulty reporting and lack of accountability of underperforming medical providers within the VA is deeply troubling. Our veterans deserve only the best medical care available. The VA & their staff is responsible for ensuring nothing else.pic.twitter.com/owDshrMEzG,2017-11-29 16:32:47,10,3,935909415705866247
At this morning's VA Subcommittee on Oversight & Investigations Hearing addressing provider quality as well as timely & effective reporting of substandard services performed within VHA facilities.pic.twitter.com/r488zZRYH6,2017-11-29 15:55:06,21,10,935899930731995137
González works on a dozen possible amendments regarding Puerto Rico @ElNuevoDiahttp://www.elnuevodia.com/english/english/nota/gonzalezworksonadozenpossibleamendmentsregardingpuertorico-2378136/ …,2017-11-29 13:34:23,22,16,935864520379072512
"Discussing my proposals to include #PuertoRico in Federal Tax Reform w/ my friend & Chairman of the @WaysandMeansGOP Tax Policy Subcommittee, @PeterRoskam.pic.twitter.com/Z6J98cH8ss",2017-11-28 22:55:04,45,23,935643230703702016
With Sergio Marxuach from Puerto Rican think tank @grupocne. It is of the upmost importance that PR is rebuilt efficiently while creating infrastructure that is sustainable.pic.twitter.com/ix0W4xrRSK,2017-11-28 18:23:20,27,17,935574846725029888
"Exhorto a los estudiantes a q evalúen continuar sus estudios subgraduados, sirviéndole a la nación desde las fuerzas armadas. 
Para aquellos q ya aplicaron a las academias militares, les anuncio que extendimos hasta el 15 de diciembre el periodo de solicitud para las nominacionespic.twitter.com/w0OkuuOa6Q",2017-11-28 18:21:35,98,61,935574407854084097
"With @omarjmarrero, head of the newly created Central Recovery & Reconstruction Office of Puerto Rico discussing the Island's future.pic.twitter.com/F1fEKPZHn9",2017-11-28 17:18:42,32,20,935558581264449538
"Comparto comunicado sobre asignación de fondos, por parte de Justicia federal, para reclutamiento de personal de ley y orden y en donde exhortó a los agricultores a solicitar la ayuda que Agricultura federal anunció la semana pasada y que asciende a $10.9millonespic.twitter.com/rdPnVQERrW",2017-11-27 19:02:10,98,51,935222233114529793
"Our small businesses provide top rate service and are fundamental to the growth our economy. Let's support our small businesses.
#SmallBusinessSaturday #SmallBizpic.twitter.com/jTvi2JJBWy",2017-11-25 18:04:12,43,20,934482868990021632
"La @NOAA atendió nuestra petición   y nos confirmó q extenderán la permanencia de los radares de monitoreo del tiempo q iban a retirar hoy, ya q los q habían en PR quedaron inservibles por María. Se hará evaluación para mantener su presencia mientras sea necesario.pic.twitter.com/Bd1eLTDjZX",2017-11-24 14:34:52,141,54,934067801517588480
Thanks to all the men and women who have lent us a hand in our time of need; to the volunteers and to the federal and local officials who have given their all unreservedly so we can together move ahead. Thank you!pic.twitter.com/KkeVlmVFPu,2017-11-23 17:11:54,42,17,933744929746059264
"Luego del impacto de María es momento de dar GRACIAS porque nos vamos a levantar, porque Dios nos ha permitido recibir la ayuda de tantos. Es el momento de probar la madera de la que estamos hechos y que a pesar de tantas vicisitudes nos vamos a poner de pie. pic.twitter.com/EVDN9MsEJ8",2017-11-23 11:05:36,196,58,933652749601902592
.@FEMA briefing w/ @RepBrianFitz on operations & recovery missions in #PuertoRico.pic.twitter.com/YgTybOgR7e,2017-11-22 20:52:50,25,8,933438141574320130
"Alongside @fema officials updating my colleague, @RepBrianFitz, on the obstacles #PuertoRico faces moving forward. Congress is dedicated to the needs of Americans in PR.pic.twitter.com/vht5UQ9vZ4",2017-11-22 20:38:18,16,10,933434486116749312
