Text,Date,Favorites,Retweets,Tweet ID
It was great to have my friend and Fort Wayne City Councilman Jason Arp and his wife Cindy in D.C. today.pic.twitter.com/Xln2sJYf5e,2017-11-30 20:34:45,9,1,936332695566733312
"Sad to hear about the passing of the legendary actor and singer Jim Nabors. He played an integral role in the tradition of the Indy 500, and we’ll never forget his rendition of “Back Home Again in Indiana.”https://youtu.be/CeTmxOGV-QI ",2017-11-30 18:59:16,12,9,936308666927546375
Today I spoke with members of my Manufacturing Coalition – comprised of some of the leading manufacturers throughout #IN03 – to discuss how #taxreform will provide much needed relief to Hoosier employers and workers. Grateful to have their input on such an important issue.pic.twitter.com/YdkFH3bDsL,2017-11-30 18:49:09,6,3,936306119072518145
I’m proud to be an original co-sponsor of this important piece of legislation to increase transparency on the congressional sexual harassment claims process. This bipartisan effort will ensure tax dollars aren’t being used to quietly pay for settlements.http://www.foxnews.com/politics/2017/11/29/house-lawmakers-introduce-bill-to-expose-secret-settlements-end-hush-fund.html …,2017-11-30 17:17:19,4,5,936283008432209921
"Had an enjoyable and thorough discussion with RADM Harley, President of @NavalWarCollege. Institutions like these help prepare our service members and civilians for the future of modern warfare. #GoNavypic.twitter.com/taL3FlxvCH",2017-11-30 15:35:52,5,1,936257478542675968
More than 100 economists agree: Tax Reform will ignite economic growth and put more money in the pockets of hard-working Hoosier families. Congress needs to get this done.http://www.businessinsider.com/trump-tax-reform-opinion-congress-pass-2017-11 …,2017-11-30 14:16:20,8,5,936237462698983425
Today I met with @BayanRahman to discuss recent security and humanitarian developments in @Kurdistan and the Middle East.pic.twitter.com/elRr0mngBy,2017-11-29 23:29:38,46,15,936014317618688000
"“That’s no moon, it’s a space station!” If you’re in D.C., look up to see the ISS pass over the Nation’s capital at 5:34 p.m.https://spotthestation.nasa.gov/ ",2017-11-29 22:00:00,3,1,935991762174099456
"As we learn more about the poor behavior of many of our leaders in politics, media and entertainment, I am grateful to have @SusanWBrooks serving as Chairwoman of the House Ethics Committee. Her integrity and leadership are a bright light during a dark time.",2017-11-29 21:43:45,45,13,935987671494791170
"The breakdown is clear. As @IBDInvestors writes, every income bracket will receive tax relief under the Senate #taxreform plan. Now it’s time for both chambers to come together and deliver results for American workers and families.https://www.investors.com/politics/editorials/the-latest-tax-cut-lie-the-senate-bill-will-hurt-the-poor/ …",2017-11-29 18:31:29,3,3,935939284674273282
Exciting news for the American people. @ShopFloorNAM explains how the U.S. economy grew by 3.3 percent in the third quarter. I look forward to continue supporting policies that will unleash even more economic growth.http://www.shopfloor.org/2017/11/real-gdp-growth-revised-3-3-third-quarter/?utm_medium=NAMSocial&utm_source=Twitter&utm_campaign=EconNews …,2017-11-29 16:32:46,0,2,935909409309544453
Good to see @VP reaffirm that this move is being considered. Relocating our embassy would send a message to the world that the United States recognizes Jerusalem as Israel’s capital and stands with our cherished ally.https://nypost.com/2017/11/28/pence-says-trump-actively-considering-embassy-move-in-israel/ …,2017-11-29 14:03:21,25,8,935871809144147969
"Glad to see that the Court ruled in favor of the Trump administration’s decision to install Mick Mulvaney as Acting @CFPBDirector. As I tweeted yesterday, this move was both completely legal and in the best interest of consumers.https://www.politico.com/story/2017/11/28/breaking-news-court-rules-for-trump-on-cfpb-265051 …",2017-11-28 23:55:16,17,5,935658382517817349
ICYMI: Last night I called on Congress to take several steps to prevent and respond to sexual harassment on Capitol Hill. Read my full statement here:https://banks.house.gov/media/press-releases/banks-congress-should-lead-example-do-more-end-sexual-harassment …,2017-11-28 23:36:00,4,3,935653532681883648
"My Senate colleagues are working to create more than 925,000 new jobs through #TaxReform, and a new report from @jctgov and @USCBO shows every income group will receive a tax cut. Let’s get tax reform across the finish line.https://taxfoundation.org/details-analysis-2017-senate-tax-cuts-and-jobs-act/ …",2017-11-28 21:21:00,5,3,935619559104561152
The Kim regime will not give up on its nuclear ambitions and aggressive actions. This test further affirms @POTUS was right to re-designate North Korea as a state sponsor of terrorism.http://www.foxnews.com/world/2017/11/28/north-korea-fires-ballistic-missile-south-korea-officials-say.html …,2017-11-28 19:54:37,9,3,935597818567413760
"As @marjoriesba writes, it is time for justice to be served and for Planned Parenthood to be held accountable.http://dailysignal.com/2017/11/27/planned-parenthood-deep-trouble-law-turning-point/ …",2017-11-28 16:26:02,3,4,935545327335047170
Congratulations to @BishopDwengerHS football coach Chris Svartzkopf on a great career and best wishes on your next chapter. Thank you for providing a great example to young athletes and cancer survivors across northeast Indiana. http://www.news-sentinel.com/news/local-news/2017/11/27/bishop-dwenger-coach-chris-svarczkopf-announces-retirement/ …,2017-11-28 14:51:29,18,6,935521532402655232
"This evening, I called on Congress to lead by example and do more to end sexual harassment on Capitol Hill. Read more here → https://www.facebook.com/RepJimBanks/posts/1743882672573565 …pic.twitter.com/VZ3uG2CQpW",2017-11-27 23:48:12,20,6,935294216640585728
Cheering on Fort Wayne native and top 11 finalist @AddisonAgen on @NBCTheVoice tonight. #IN03 is rooting for you!,2017-11-27 23:31:00,22,8,935289887867076609
"Director @MickMulvaneyOMB is a strong choice to serve as the Acting Director of the CFPB. @POTUS is right to use his legal authority granted under the Vacancies Act, and I commend him for working to put consumers first during this time of transition.http://www.weeklystandard.com/the-definitive-explanation-of-why-trump-is-right-on-mulvaney-english-and-the-cfpb/article/2010607#.WhwnmKpJSKQ …",2017-11-27 21:09:19,6,3,935254230100840449
"It’s National #TaxSecurity Awareness Week, and there’s plenty of tips to ensure your online security. Be sure to use strong passwords combining numbers, letters and special characters, and avoid unprotected wifi. Read more tips here: http://www.irs.gov/securitysummit ",2017-11-27 20:10:53,3,2,935239525529505792
It was great to see a longtime #FortWayne tradition on @CBSSunday this weekend. Thanks to @MoRocca for sharing his visit to the Johnny Appleseed Festival.https://www.cbsnews.com/news/was-johnny-appleseed-for-real/ …,2017-11-27 17:26:42,12,6,935198207134531584
Today is #SmallBusinessSaturday! Remember to support our great local businesses here in #IN03.pic.twitter.com/inxp0eAcwA,2017-11-25 14:02:01,6,2,934421919754887168
"It’s encouraging to see more young Americans step up to fill growing consumer demand. The number of farmers under the age of 35 is increasing, and so is the number of first time farmers with college degrees.https://www.washingtonpost.com/business/economy/a-growing-number-of-young-americans-are-leaving-desk-jobs-to-farm/2017/11/23/e3c018ae-c64e-11e7-afe9-4f60b5a6c4a0_story.html?utm_term=.798e780c5750 …",2017-11-24 18:09:00,273,128,934121689469743104
"Thanks to my friend @RepShimkus and his generous donation to the Wells County Museum, #IN03 has been reunited with another piece of its history. https://news-banner.com/2017/11/music-to-their-ears/ …",2017-11-24 15:50:50,8,1,934086916831633408
Congratulations to Tom Griffiths of Kendallville on being appointed to the United Soybean Board by @SecretarySonnyhttp://www.insideindianabusiness.com/story/36909864/soybean-alliance-chair-appointed-to-national-board …,2017-11-24 14:48:09,5,3,934071143652306944
Wishing #IN03 a Happy Thanksgiving!pic.twitter.com/0DkO1ZgPea,2017-11-23 22:04:00,11,1,933818441680613376
Here’s just a few of the many things I’m thankful for this #Thanksgiving. What are you thankful for?pic.twitter.com/v8bUlh91qO,2017-11-23 14:28:00,28,3,933703685066166273
"Joined a bipartisan letter to Treasury Secretary Mnuchin asking for a comprehensive strategy for cracking down on Hamas. As Iran renews its financial support for Hamas, it is critical for the United States to isolate this terrorist network.http://thehill.com/news-by-subject/defense-homeland-security/361472-lawmakers-call-on-treasury-to-take-tougher-stance …",2017-11-22 18:26:01,6,4,933401194629910547
"I appreciated the briefing and tour from the leadership team at the Fort Wayne VA Hospital yesterday. At the end of my visit, we signed the “No Wrong Door Philosophy” pledge to help prevent veteran suicide and care for our veterans.pic.twitter.com/gRmOWOaTeX",2017-11-22 17:30:45,8,5,933387285504118784
A picture is worth a thousand words. The United States must do all it can to stand up to both Russian and Syrian aggression.pic.twitter.com/gjOg2nl5VQ,2017-11-22 16:22:00,6,5,933369987062001664
I have a new favorite columnist. Very exciting to have @purduemitch share his creativity and wisdom with a national audience.https://www.washingtonpost.com/pr/wp/2017/11/21/washington-post-opinions-adds-mitchell-e-daniels-jr-as-contributing-columnist/?utm_term=.59519be21d34 …,2017-11-22 15:33:40,16,6,933357821147734016
The news this morning of a Navy plane crash in the Pacific is devastating. Relieved that eight sailors are in good condition and praying for the search of the missing three.,2017-11-22 14:31:12,17,5,933342101697331201
Glad to see Robert Mugabe resign as President of Zimbabwe. His rule was marked by human rights violations and economic repression. Hopefully the people of Zimbabwe can look toward a democratic and prosperous future.,2017-11-22 01:34:46,15,4,933146704894861312
"As I've advocated before, left unchecked Russia’s continued aggression presents a serious threat to American allies near the Crimean Peninsula. Providing Ukraine with defensive lethal assistance is an important step toward bringing peace to this region.http://abcnews.go.com/Politics/trump-presented-47m-deal-arm-ukraine-russia/story?id=51235203 …",2017-11-21 19:24:00,13,7,933053400476012544
"This morning I presented a historic violin owned by @RepShimkus to Wells County Historian Jim Sturgeon. Once owned by Wells County native Colonel Mount Frantz, the violin will now reside at the Wells County Historical Museum. Read the full story → https://www.facebook.com/RepJimBanks/posts/1741709792790853 …pic.twitter.com/yJiWEiydPX",2017-11-21 17:16:26,9,2,933021298120384512
"Today on #NationalEntrepreneursDay, I applaud the innovation of #IN03 entrepreneurs like Chuck Surack of @SweetwaterSound who created his successful music business from scratch.",2017-11-21 14:03:01,4,3,932972623029452801
Live now with @WOWOFORTWAYNE. Tune in!,2017-11-20 21:49:37,1,2,932727658672254976
