Text,Date,Favorites,Retweets,Tweet ID
It was an honor to commemorate California’s Sikh American Awareness & Appreciation month in the U.S. House. The many contributions made by #Sikh Americans have made us a stronger nation and play an integral role in the health & future of our #SanJoaquin Valley. @we_are_sikhspic.twitter.com/WrcbBPNEWI,2017-11-30 23:59:08,4,2,936384132271230976
"The #ProblemSolversCaucus is a #bipartisan group of representatives working to find a path forward for #ResponsibleGovernance, so it was great to have Fr. @USDOT Sec. @RayLaHood & @GovEdRendell - who have a history of working for bipartisan commonsense solutions - join us today.pic.twitter.com/JBSClsZNcx",2017-11-30 19:23:24,0,2,936314740640567298
Today I discussed the need for #infrastructure investment w/ former @USDOT Sec. @RayLaHood and former @GovEdRendell during our #ProblemSolversCaucus meeting.pic.twitter.com/cVtLUkdCfA,2017-11-30 19:18:49,0,1,936313587072675840
"Congrats to @Fresno_State Head Football Coach, Jeff Tedford, for being named @MountainWest Coach of the Year & our 16 players who earned conference postseason honors! #GoDogs #BeBoldhttps://twitter.com/FresnoStateFB/status/935953284581310464 …",2017-11-29 20:00:33,16,2,935961701631119360
"It was great to meet w/ @SelfHelpEnt & others in @RuralCoalition to discuss the challenges #RuralAmerica faces.  In addition to supporting @usdaRD programs, we must continue to work together on a #bipartisan basis to ensure we serve all Americans, regardless of where they live.pic.twitter.com/Z6FOQ9iF5d",2017-11-29 18:39:03,9,4,935941189139918848
Congratulations to our @Fresno_State Bulldogs for another great win and being ranked No. 24 in the nation in @espn's Power Rankings! Way to #BeBold! #GoDogs!https://twitter.com/FresnoStateFB/status/934633705246662656 …,2017-11-26 18:20:09,24,1,934849269756022786
"Wishing you, your family, and your loved ones a happy and safe Thanksgiving! #Thanksgiving2017pic.twitter.com/ivZe5JsXbL",2017-11-23 17:45:05,14,3,933753280831746048
"For my full statement on @FCC Chairman @AjitPaiFCC's proposal to repeal 2015 #NetNeutrality rules: https://goo.gl/Wh1vXw 
#OpenInternet #SaveNetNeutrality #ProtectNetNeutralitypic.twitter.com/2dlIFZGmGb",2017-11-22 17:14:45,10,6,933383260935245825
"An #OpenInternet w/ equal access is important to our future. The internet is an essential tool for businesses & individuals to connect, engage, innovate, raise their voice, & share their vision. I #SupportNetNeutrality to protect consumers, businesses, & equal access for all.pic.twitter.com/nkNNmtviIs",2017-11-22 17:10:52,28,19,933382282194366464
Leaders from #SanJoaquin Valley veterans groups & I met yesterday in Fresno to discuss how together we can better serve #veterans & their families. I look forward to continuing our shared efforts to ensure our veterans & their families get the services & benefits they have earnedpic.twitter.com/4QQ4FHPAWm,2017-11-21 20:44:56,8,4,933073768603406336
"Strengthening #CTE is good for our students, our communities, & our businesses, which is why we came together in the House – Rs & Ds – to pass this legislation in June, and why we are joining together to urge the Senate to act. For the signed letter: https://goo.gl/2mHRzR pic.twitter.com/H3Rk4eS9xx",2017-11-21 17:43:03,2,1,933027994439966721
