Text,Date,Favorites,Retweets,Tweet ID
"The Opioid Abuse Deterrence, Research, and Recovery Act addresses overprescription by placing a limit on a patient's first opioid prescription for acute-pain to no more than seven days.pic.twitter.com/e6evmyMyte",2017-11-30 21:40:34,2,1,936349257765879810
"ICYMI: Yesterday, my colleague @RepMarkMeadows and I were with @Varneyco on @FoxBusiness speaking about our new legislation, the Opioid Abuse Deterrence, Research, and Recovery Act--a bill targeting the opioid epidemic that is destroying our communities throughout the nation:pic.twitter.com/mJqxMe2bk1",2017-11-30 20:06:57,4,2,936325699337707521
"91 Americans die each day due to opioid misuse.  The Opioid Abuse Deterrence, Research, and Recovery Act addresses this crisis by placing limits on a patient's first opioid prescription for acute-pain to no more than seven days.pic.twitter.com/mpzpC57FkE",2017-11-30 15:57:22,4,4,936262891619090434
"The Opioid Abuse Deterrence, Research, and Recovery Act introduced today will go a long way in helping our nation get on the road to recovery by placing common-sense parameters around prescription medication.

Read my full Op-Ed published by @FoxNews here: http://fxn.ws/2i1VDE0 pic.twitter.com/gKRD5f6a6k",2017-11-30 03:28:18,6,5,936074381591134208
"Today marks a step forward in our fight against the #OpioidCrisis as my colleague @RepMarkMeadows and I introduced the Opioid Abuse Deterrence, Research, and Recovery Act. Heading now to @cwru event to speak more on Ohio specific opioid prevention tactics.pic.twitter.com/dWNgcnzJox",2017-11-29 17:33:51,5,3,935924781551116289
TUNE IN at 11:00A.M. to see me discuss the #OpioidEpidemic with my colleague @RepMarkMeadows on @Varneyco @FoxBusinesspic.twitter.com/d0kryWa36N,2017-11-29 15:38:13,4,1,935895683462287361
"Last week, I spoke with @DanaPerino on @FoxNews about the importance of growing our economy. We must do better than the last eight years with 1.5% economic growth.

You can watch the entire clip from @dailybriefing here: http://bit.ly/2A9LCyV pic.twitter.com/Bovo7g5TNL",2017-11-28 14:42:10,1,1,935519188738863104
"How quickly we get our tax rates in place is critical to the success of our #taxreform plan. 

You can watch my full segment on @markets here: https://bloom.bg/2AfgvQF pic.twitter.com/KdV4gSYmMa",2017-11-27 20:04:28,2,1,935237913012592640
Join me Wednesday at 4:00P.M. for a special Facebook Live with my colleague @RepMarkMeadows of North Carolina to discuss & answer questions about the #OpioidEpidemic that is ravaging our communities.pic.twitter.com/p17hqsYtbO,2017-11-27 19:02:22,1,3,935222281269325826
"This week, my staff spoke on @Wadsworthradio about our district office and the services we provide.  Thank you, Wadsworth Community Radio, for having my exceptional staff on-air and highlighting how my office can assist our constituents.pic.twitter.com/PuLiF0Q004",2017-11-25 15:43:03,2,2,934447346712301568
"Earlier in the week, I joined @DanaPerino and @dailybriefing on @FoxNews serving as the resident CPA to help answer questions on how the #TaxsCutsandJobsAct will help you, your family, and your business. You can watch the full clip here:pic.twitter.com/BVZVSIHCbE",2017-11-24 21:16:11,5,3,934168795962331137
"This year, I am thankful I get to celebrate my Mom's 91st birthdaypic.twitter.com/mbNCmEE4ke",2017-11-24 00:06:48,53,8,933849344402509826
There was one unifying message in our office: Thanksgiving is best served in OHIO! Wishing you & your loved ones a wonderful holiday.pic.twitter.com/X2RSq9zbSn,2017-11-23 16:32:58,12,5,933735133018034176
Best part about joining @bpolitics other than speaking to financial experts... the office food! Thanks for having mehttps://www.bloomberg.com/politics/videos/2017-11-21/rep-renacci-expects-true-conference-on-tax-bills-video …,2017-11-22 11:23:02,1,1,933294749082988544
Crunching numbers before I join @DanaPerino on @dailybriefing @FoxNews as the resident CPA to talk about the #TaxCutsandJobsActpic.twitter.com/mEw0ZCdDfE,2017-11-21 19:32:43,24,6,933055595531390976
Talking Turkeys  @BloombergTV with @kevcirilli @SheryAhnNews — J/K #TaxReform before Christmas on @businesspic.twitter.com/jD151zUyyU,2017-11-21 18:13:53,7,7,933035756536434689
Always a pleasure joining @Varneyco in studio. We will talk about how the Senators will fair when Stuart puts on the heat to get this package to 1600 Penn #TaxReformpic.twitter.com/U0piatE5d0,2017-11-21 16:04:55,2,2,933003299153960962
"""To be truly successful in America, you have to have additional job training or education after high school."" via - @billwillswtam @wtam1100pic.twitter.com/KaRbZ2sTZd",2017-11-21 11:45:00,3,2,932937889092198401
"""As the first in my family to go to college, I'm a big believer in post-high school job training."" - via @billwillswtam @wtam1100pic.twitter.com/V1O88Cl2OS",2017-11-21 11:30:02,7,2,932934122653106176
TUNE IN at 6:22A.M. to hear me talk to @billwillswtam on @wtam1100 about my bipartisan bill to better prepare homeless youth for secondary education.pic.twitter.com/YAAb50gsWL,2017-11-21 11:00:02,1,2,932926572419432448
I'm joining them in studio tomorrow - Thanks for the promo!,2017-11-20 19:36:58,0,1,932694276710027265
"Over the weekend, I spoke with @ANHQDC on @FoxNews to discuss the upcoming #TaxReform process. You can watch the clip here:pic.twitter.com/wQLLJT1UEd",2017-11-20 19:32:11,5,5,932693071862648833
Thanks for checking out my website @JasenSokol - my staff will be pleased to hear some people still use it. https://renacci.house.gov/index.cfm/home ,2017-11-20 18:27:34,1,1,932676812081106949
TUNE IN NOW to hear me speak with @JasenSokol on @1590WAKR about my bipartisan legislation to better prepare homeless youth for secondary education.pic.twitter.com/eRjSAxYAUR,2017-11-20 18:05:54,0,1,932671356147298305
TUNE IN to @FoxNews talking about sustained growth and making sure middle income tax payers are getting a breakpic.twitter.com/LwUtFBx7e7,2017-11-19 23:23:05,1,1,932388790118879233
TUNE IN to @FoxNews tonight at 6:15P.M. to see me on @ANHQDC with @EricShawnTV talking about our historic week passing the #TaxCutsandJobsAct in the House.pic.twitter.com/AQxDgdu6b1,2017-11-19 23:00:01,0,1,932382987605327873
This week was a historic one as we voted to pass the #TaxCutsAndJobsAct in the House. Here is my #WeekInReview:pic.twitter.com/2pIoWGxvN2,2017-11-17 19:48:16,4,2,931609955584610306
 hail @FrantzRadio with that opening monologue praising @senorrinhatch efforts to highlight fact vs fiction on who gets these tax cuts. Looking forward to joining you now.,2017-11-17 14:22:17,11,3,931527917322031104
Thanks for having me @tomkeene - I'll see what I can do about that @Browns amendment ;),2017-11-17 14:05:07,2,1,931523598870896641
