Text,Date,Favorites,Retweets,Tweet ID
"I am proud of the leadership of @nikkihaley @realDonaldTrump. They are promoting peace through strength, and I support their call for China to cut off oil to North Korea.pic.twitter.com/DH6zpCC2z3",2017-11-30 19:44:22,7,2,936320015099457536
"South Carolinians are grateful for Iris Campbell’s dedication to our citizens. 

VIDEO of my remarks on the House floor  https://youtu.be/UNrC6zpmtHk pic.twitter.com/EzEhShcmC3",2017-11-28 19:56:04,8,4,935598184306565120
Tomorrow is Small Business Saturday! Please join us & support small businesses across the district. #SmallBizSat #ShopSmallpic.twitter.com/VERVnNDJ7s,2017-11-24 17:55:05,18,5,934118185900695552
"Wishing everyone a #HappyThanksgiving! This is a time to have gratitude for our families, our country, our military, military families, first responders, and many more. We have so much to be thankful for with the many freedoms we enjoy in our great country.pic.twitter.com/2T2XBLMFM2",2017-11-23 15:59:03,34,7,933726600088227840
Grateful to visit @VAMCColumbiaSC with @RepRalphNorman and speak with the courageous men and women who have risked their lives to serve our country.pic.twitter.com/QOxs6Jt0Om,2017-11-22 17:16:31,12,3,933383704906485760
"Iris Campbell loved the people of S.C., and they loved her. Iris was the Campbell family’s rock, and her outstanding contributions in public service, like those of her late husband, will be long remembered. Roxanne and I extend our deepest sympathy to the Campbell family.",2017-11-21 18:41:18,14,4,933042655742787585
Big thank you to our friends at the Casual Pint in downtown Lexington for hosting us & to Keven Cohen’s listeners for great calls!pic.twitter.com/WWyI89uELa – at The Casual Pint - LexingtonSC,2017-11-20 23:04:56,5,2,932746611356205056
We’re live on The Point with Keven Cohen - taking calls from listeners and talking issues! Come see us at the Casual Pint in Lexington.pic.twitter.com/JDMBeXspcM – at The Casual Pint - LexingtonSC,2017-11-20 22:21:51,10,3,932735769969643521
"I thank @realDonaldTrump for demonstrating once again that strong and decisive leadership on the world's stage is what it takes to keep U.S. families safe. 

Read my full statement on POTUS designating North Korea as a state sponsor of terrorism here: http://goo.gl/TimaV8 pic.twitter.com/Od9ZEaVPUw",2017-11-20 19:30:55,11,2,932692750696370178
"Great meeting with students, faculty, and staff at @DiscoverCIU this morning. Thank you for having me!pic.twitter.com/kdmpznuwOp",2017-11-20 17:11:08,8,3,932657575283355648
"After months of talking about tax cuts, the American people wanted Congress to take action. That’s exactly what Republicans have done.pic.twitter.com/FOWRIQgExH",2017-11-16 20:07:01,8,1,931252287783219200
"I am grateful that @HouseForeign passed H.R. 3542, the Hamas Human Shields Prevention Act today. This bill would impose direct sanctions on Hamas terrorists who violate international law and abuse human rights by using civilians as human shields. It is time we stand up to Hamas.pic.twitter.com/oqw2hrAuaf",2017-11-15 18:22:32,23,15,930863602663378959
"I am so grateful that yesterday the House passed the #FY18NDAA conference report which authorizes funding for vital military and national security investments, and does away with the harmful widow's tax. 

Read my statement here: https://goo.gl/on9Yqu pic.twitter.com/i7nk2M7h9O",2017-11-15 15:09:22,6,3,930814991049117696
Yesterday I was grateful to join Ms. Poole's class at New Providence Elementary in celebrating #VeteransDay2017. Each and every day we thank the brave men and women who serve our country and protect our families.pic.twitter.com/mYWQVzfFd3,2017-11-11 16:11:58,14,1,929381195858800641
"On November 11th and every day of the year we thank our veterans and military families for their dedication to protecting American families. 

Today, we wish @USMC Happy Birthday and thank them for 242 years of committed service to our country! #VeteransDay #HappyBirthdayMarinespic.twitter.com/zSukh7STNA",2017-11-10 18:59:57,43,6,929061079199764483
"Grateful to join colleagues @RepRooney & @RepByrne in introducing the Current Employee Representation Act. 

Businesses flourish & the economy grows when employees are empowered & unions are accountable to those who join the workforce. Read more here http://goo.gl/aujwmS ",2017-11-09 19:49:03,5,2,928711050987491329
