Text,Date,Favorites,Retweets,Tweet ID
https://youtu.be/iAJdKngbd2U ,2017-11-30 18:52:31,2,2,936306967685074944
I hope you and your loved ones had a wonderful Thanksgiving! I loved being able to share your story on the House floor. You both are so inspiring. Keep in touch!,2017-11-29 19:30:53,0,1,935954234859835392
I really enjoyed reading this article from @reason. The authors bring up some really great points.http://reason.com/archives/2017/10/26/the-fragile-generation …,2017-11-21 16:28:55,3,3,933009339950030848
pic.twitter.com/8QqUWG7W3S,2017-11-16 17:18:59,2,3,931209997605855232
https://youtu.be/DI1lXMQOOWc ,2017-11-16 16:31:56,0,1,931198159262449666
Congratulations to the @UTKnoxville College of Law on reaching a  milestone of 70 years of service to our community through their Students Clinic which helps UT students get prepared for life beyond graduation.https://youtu.be/6vXtcu5hvdk ,2017-11-14 17:50:22,4,1,930493120919326723
https://youtu.be/GlM473gNBUA ,2017-11-08 16:00:23,0,2,928291115513581573
I am proud to work with @JeffFlake and @SenatorShaheen to lessen burdens on taxpayers.http://thehill.com/opinion/finance/359166-reform-our-crop-insurance-program-to-reduce-the-burden-on-taxpayers …,2017-11-08 15:30:17,1,2,928283539174580225
16 years is too long. Hear my thoughts on Afghanistan from the @GOPoversight National Security hearing today.https://youtu.be/asM5GVG0P5s ,2017-11-01 20:37:33,5,4,925824151797018625
I always look forward to seeing what great work @wuerker comes up with. I hope you enjoy his piece that appeared in @politico on October 25.pic.twitter.com/3I3jU9rlzw,2017-10-27 15:57:58,23,21,923941853640167424
High tax states are losing businesses and people.http://www.washingtontimes.com/news/2017/oct/22/trump-tax-cuts-will-work-if-given-time/ …,2017-10-24 14:45:36,9,2,922836478782255104
I got to visit with Superintendent Cash of @NatlParkService  at the Capitol today. Learn more about his work here: http://wate.com/2017/09/06/great-smoky-mountains-national-park-superintendent-selected-to-serve-in-washington/ …pic.twitter.com/ttXnJjuaLm,2017-10-04 21:44:49,3,1,915694221792866310
I was pleased to meet with these veterans who helped preserve our freedom during their trip to DC today.Hope you can celebrate them tonight!https://twitter.com/CityKnoxvilleTN/status/915688612288761856 …,2017-10-04 21:30:43,2,1,915690672329494528
I am looking forward to seeing Zaevion Dobson's memory and story of sacrifice highlighted by @ESPN tonight.http://www.knoxnews.com/story/sports/high-school/2017/09/27/espn-30-for-30-documentary-zaevion-dobson-about-healing/708130001/ …,2017-09-28 21:06:36,30,11,913510275738947584
I spoke on the house floor today about a very special young man who lost his life because no one had access to AEDs.https://www.youtube.com/watch?v=prhkaEeev1k&feature=youtu.be&a …,2017-09-27 19:57:28,3,0,913130491418726401
Yesterday I cosponsored House Bill HR36 by @RepTrentFranks which would protect the unborn from being aborted after 20 weeks in the womb.,2017-09-27 15:53:43,8,3,913069148942557184
I really appreciated spending time with the team working hard to serve the lovely patients I met who have to undergo dialysis treatments.https://twitter.com/DaVita/status/910180983806160896 …,2017-09-19 18:28:24,3,0,910208971499278336
I added a video to a @YouTube playlist http://youtu.be/Fe4qMIN68yw?a  Empire Stopper,2017-09-13 15:57:30,1,3,907996669450575873
Can you believe our National Debt has now reached 20 TRILLION dollars for the first time in history? http://go.shr.lc/2wWs92T  - @washtimes,2017-09-13 13:22:52,3,4,907957755763294209
Please join me in honoring the innocent lives lost and changed by the attacks on our Nation 16 years ago today. #NeverForget #September11thpic.twitter.com/79sbgoN52r,2017-09-11 13:56:38,15,5,907241475603419136
GOP Congressman: Trump Losing Me on Foreign Policy | The American Conservative http://www.theamericanconservative.com/articles/gop-congressman-trump-losing-me-on-foreign-policy/ … via @amconmag,2017-09-05 16:37:34,13,5,905107651952070657
http://wate.com/2017/08/28/ways-east-tennesseans-can-help-hurricane-harvey-victims/ …,2017-08-29 16:17:27,3,3,902565871910096896
http://www.tennessean.com/story/news/2017/08/13/fifteen-years-after-iraq-vote-rep-jimmy-duncan-ending-political-career-his-own-terms/552269001/ …,2017-08-15 13:55:19,31,19,897456671609552897
http://www.newsweek.com/trump-north-korea-missiles-nuclear-scientists-649702 …,2017-08-14 20:07:16,5,1,897187888277880832
16 years later...http://www.chroniclesmagazine.org/2017/September/41/9/magazine/article/10840729/ …,2017-08-08 21:13:39,4,1,895030267584425984
https://www.counterpunch.org/2017/07/28/collateral-damage-u-s-sanctions-aimed-at-russia-strike-western-european-allies/ …pic.twitter.com/MH6Q16A627,2017-07-28 20:48:54,10,4,891037772605263872
Naming a bridge on the Foothills Parkway is a fitting tribute for a man who did so much for the Park. http://www.thedailytimes.com/news/duncan-bill-honors-late-daily-times-editor-stone-with-foothills/article_73c0fdb8-9830-5750-bb94-cecabb48e4f3.html …pic.twitter.com/nGXnOckFIU,2017-07-28 14:16:41,6,0,890939067638087682
http://www.tennessean.com/story/news/2017/07/19/rep-john-j-duncan-jr-va-hospital-knoxville-not-matter-if-but-when/492870001/ …,2017-07-20 21:15:43,4,3,888145419334807552
You can watch my floor speech from yesterday on our Health Care problems impacting East Tennesseans by clicking here:https://youtu.be/EFfmZJs0rI0 ,2017-07-20 19:02:33,6,5,888111904534568960
Enjoyed  meeting w/@DeptVetAffairs Midsouth Healthcare Network to discuss issues with our local  facilities for vetspic.twitter.com/n3qQQVJJIA,2017-07-12 18:16:31,9,1,885201218821292032
I added a video to a @YouTube playlist http://youtu.be/zIoIIdwC0Mk?a  HEALTHIER ACT 2017,2017-06-22 16:32:15,4,2,877927223239389184
The HEALTHIER Act encourages states to pass laws that allow doctors to volunteer their services across state lines & give free healthcare.pic.twitter.com/2tacNPztZk,2017-06-21 21:02:53,10,4,877632940636643330
"Happy to join my good friend, Stan Brock of @ramusaorg and colleagues @DesJarlaisTN04 and @RepMGriffith to promote the HEALTHIER Act today.pic.twitter.com/ydbkN1FkId",2017-06-21 21:00:59,13,6,877632464172314624
Rebecca Williams of the East TN Chapter of @alzassociation got our Knoxville office to wear purple to raise awareness of the disease.pic.twitter.com/ufSK7wxHt2,2017-06-21 18:47:56,26,1,877598981592948737
Did you get a chance to see the article I wrote recently for the  @amconmag?http://www.theamericanconservative.com/articles/how-environmentalists-destroyed-small-towns/ …,2017-06-21 17:29:49,7,1,877579322806210560
It was great to see @cwedmonds10 and his grandson in Washington.They are working hard to see those who sacrificed for others are honored.https://twitter.com/cwedmonds10/status/877244620735991808 …,2017-06-20 20:29:11,5,3,877262073444671490
This great video by @DrewPetrimoulx explains why in the world the @DeptVetAffairs owns a hotel in the first place. Hope to get it sold!https://twitter.com/DrewPetrimoulx/status/876927289447120897 …,2017-06-20 14:04:44,4,2,877165322377232384
I hope that all the victims of today's shooting at the VA baseball field have a speedy recovery. My sympathy and best wishes go to them.,2017-06-14 15:00:31,46,12,875005032772620288
I added a video to a @YouTube playlist http://youtu.be/lx9hq6n8HQ4?a  Editorial Journalism on the Front Page,2017-06-09 14:09:55,3,4,873180359135023104
"Director Comey said,""I'm confident. When I left as director I had seen no indication of that whatsoever,"" in response to @SenatorBurr.",2017-06-08 21:52:25,8,3,872934363889008640
"@SenatorBurr said ""Are you confident that no votes cast in the 2016 presidential election were altered?""",2017-06-08 21:51:03,2,2,872934019649896449
Director Comey said in his testimony that not one vote had been altered in the 2016 election by anything the Russians did...,2017-06-08 21:48:37,15,7,872933409848532992
The @DeptVetAffairs needs to get out of the 5 star hotel business.pic.twitter.com/WqdzVcKAEo,2017-06-06 21:54:22,6,4,872210080883765249
73 years ago today thousands of Americans and Allies fought for the lives of the innocent. We watched them then. We remember them now. #DDayhttps://twitter.com/Heritage/status/872064783067095045 …,2017-06-06 13:29:34,8,5,872083040767488000
I was so pleased to join my colleagues today at the @WhiteHouse to celebrate the @POTUS's plan to improve our infrastructure.pic.twitter.com/rkL7miWe1d,2017-06-05 20:08:22,22,8,871821015910887424
