Text,Date,Favorites,Retweets,Tweet ID
"Earlier this evening, I spoke on the House floor to honor the life of Maurice Hinchey. He was a dedicated public servant and advocate for the causes he believed in.pic.twitter.com/QoEpGk9aEE",2017-12-01 00:24:06,19,5,936390412545044481
It’s time we set politics aside and focus on governing responsibly. I joined my colleagues in the Problem Solvers Caucus calling for a long-term budget solution with input from both parties.https://faso.house.gov/news/documentsingle.aspx?DocumentID=738 …,2017-11-30 15:24:35,14,3,936254639107952641
Great news for our school kids and our dairy farmers. @USDA eases rules and now allows flavored one-percent milk in school lunch programs. Nutritious and tastes great!,2017-11-30 01:07:53,8,2,936039042269044737
"If successful businesses close shop and move somewhere else, we lose those jobs and the state tax revenue they create.https://twitter.com/SBGC2C/status/935911459082694657 …",2017-11-29 22:39:41,9,2,936001748963086336
Tech Sgt. James A. Dawson is an American hero whose life is a shining example of the values our country stands for. I was proud to join his family in a ceremony to honor his life.pic.twitter.com/orLFhPAwrb,2017-11-28 23:20:30,7,3,935649630251077632
I was on @FoxBusiness with @TeamCavuto to talk tax reform and how we can protect New York families.pic.twitter.com/wndKmp7j7d,2017-11-28 21:18:16,7,1,935618869624016897
I’m about to be on @FoxBusiness with @TeamCavuto to talk tax reform and protecting New York families. Tune in.pic.twitter.com/jIYffuq8E9,2017-11-28 18:24:00,7,2,935575017122861059
NYS scaffold law is crushing taxpayers and local economies. Long past time for reform. #scaffoldlawhttp://www.whec.com/nys-exposed/19th-century-law-still-costing-ny-taxpayers-/4664082/ …,2017-11-17 21:10:42,8,4,931630698427047936
Gov. Cuomo has never spoken to me directly on any issue since I took office.  My focus is on helping NY families and workers. http://www.nystateofpolitics.com/2017/11/cuomo-claim-roils-house-republicans/ …,2017-11-17 16:17:37,62,32,931556942765592576
Getting ready to join Charles Payne on @FoxBusiness at 6pm to talk tax reformpic.twitter.com/QudMfA2iLp,2017-11-16 22:57:24,6,3,931295166073376768
"Today I introduced the ""Go to High School, Go to College Act"" with @RepMarciaFudge learn more here -->https://faso.house.gov/news/documentsingle.aspx?DocumentID=720 …",2017-11-16 21:09:54,15,6,931268109893332993
"I support comprehensive tax reform, but today I joined some of my New York colleagues for a press conference to discuss why we just couldn't support the tax reform proposal in its current form. #TaxReformpic.twitter.com/LTfMB7vnDv",2017-11-16 20:07:30,36,7,931252409254514689
"Unfortunately, I do not believe the current tax bill being considered by the House ensures that New York families will be better off. As such, I will vote no when the bill is considered in the House of Representatives tomorrow. #taxreformhttps://faso.house.gov/news/documentsingle.aspx?DocumentID=718 …",2017-11-15 22:04:47,266,69,930919536815165440
getting ready to interview with @NY1 and @SPECNewsAlbany to discuss #taxreformpic.twitter.com/hvqqfk7UtV,2017-11-14 21:26:07,4,2,930547416285220864
"It was a pleasure to join Ag Secretary Sonny Perdue, along with Reps. Stefanik and Tenney, in Upstate New York on Monday for a ""Future of Family Farming"" roundtable. Special thanks to Jeff and Jan King of King Brother's Dairy for hosting the event!http://wamc.org/post/agriculture-secretary-perdue-tours-upstate-farms …",2017-11-14 20:40:12,5,2,930535861153927168
