Text,Date,Favorites,Retweets,Tweet ID
Bipartisan legislation I intro'd with @RepEsty to combat human trafficking on our nation's highways was approved by @Transport and is now headed to the floor for a vote -->http://bit.ly/2jz59z2 ,2017-11-30 20:20:53,1,1,936329204240707586
Here's how the tax reform bill that passed the House last week will provide tax relief for #CNY families and help our local economy grow -->http://bit.ly/2zWisn3 ,2017-11-21 14:52:26,6,10,932985058918588416
WATCH: I've intro'd bipartisan legislation w/ @RepTomSuozzi to prevent the over-prescription of highly addictive opioids and painkillers --> http://bit.ly/2hFOIA7 ,2017-11-20 21:13:21,5,2,932718532776943618
Check out my video recap of our recent bipartisan @HouseHomeland delegation visit to the Middle East & Europe --> http://bit.ly/2yYFRR4 ,2017-11-19 16:41:51,1,4,932287818394689536
Congratulations to all of the families in #CNY that finalized adoptions this morning at the annual #NationalAdoptionDay Ceremony in Onondaga County!pic.twitter.com/zEXe5BJspq,2017-11-17 20:51:23,28,7,931625839078334464
I'm confident the tax reform bill I supported today will help #NY24 families & local biz.  Here's why  --> http://bit.ly/2A5qXNc ,2017-11-17 01:03:16,25,8,931326838445625345
"Presented today with a bill that provides tax cuts for the vast majority of working families in my district and which will allow our local businesses the opportunity to invest in our workforce, I chose to vote yes -->http://bit.ly/2zGjX93 ",2017-11-16 19:28:21,21,10,931242554938535936
I want to hear from you on tax reform.  Share your opinion by clicking here --> http://bit.ly/2zXpoB5 ,2017-11-14 20:50:25,8,24,930538432794972163
In honor of #VeteransDay I joined @SPECNewsCNY to host Take a Vet to School Day @SyracuseSchools Grant Middle to connect local veterans with #NY24 studentspic.twitter.com/uiZ1eBeT8b,2017-11-13 19:02:30,18,4,930148887993769984
Check out a recap of our recent @HouseHomeland delegation visit to Middle East & Europe --> http://bit.ly/2hsKSuF pic.twitter.com/OoWKu5xBdF,2017-10-31 16:12:18,0,2,925395011709165568
Drug abuse can happen when leftover prescriptions are mishandled at home. Thank you to @DEAHQ for holding today's prescription drop off.pic.twitter.com/2dXjKZ7L0q,2017-10-25 18:19:26,9,8,923252679090024456
Check out our full trip report from @HouseHomeland delegation visit to the Middle East & Europe  --> http://bit.ly/2y6vb1E pic.twitter.com/eCkYcKbdMp,2017-10-25 15:57:36,5,4,923216984866807808
.@HouseHomeland delegation examined last point of departure airports and aviation security in Jordan & Germany --> http://bit.ly/2leuiCX pic.twitter.com/xzkj3oPkcz,2017-10-24 18:51:54,3,2,922898463347695616
Each year I'm honored to nominate  #NY24 students to attend U.S. service academies. Deadline to apply is 11/3 --> http://bit.ly/2yCTwk3 pic.twitter.com/tiMOmprfJg,2017-10-23 18:56:35,1,3,922537250537332736
Our @HouseHomeland delegation discussed critical information sharing between our European partners at @NCTV_NL in The Hague.pic.twitter.com/BqtfvlsEeA,2017-10-20 11:45:32,3,2,921341612545978368
Executive Director of @Europol @rwainwright67 spoke with @HouseHomeland members on enhancing our global security & collective partnershippic.twitter.com/1BmV2veCCF,2017-10-19 13:14:22,1,1,921001579171450880
The @HouseHomeland delegation was briefed at @PortofRotterdam on the safe and secure handling of shipping in and out of Europepic.twitter.com/hjjvjTTgoI,2017-10-18 18:49:38,4,2,920723565351243777
".@HouseHomeland delegation met with airport officials at @Schipol to learn
more about aviation security enhancements of our foreign partnerspic.twitter.com/zKZGKCRIjd",2017-10-18 16:23:18,3,3,920686736639954944
Tune in to watch my @HouseHomeland Subcmte hearing on improving aviation security --> http://bit.ly/2htDaTX pic.twitter.com/gYdZUkIPsR,2017-09-26 14:51:33,2,4,912691115953967106
Beautiful day in #CNY for the Ride for @ClearPath4Vets. Here with WWII vet Marty before start of the Ride.pic.twitter.com/el3q76cZMu,2017-09-24 20:03:20,8,2,912044802199441408
Joined my @Transport colleague @RepEsty to introduce 2 bipartisan bills to combat horrors of human trafficking ->http://bit.ly/2xynYL2 ,2017-09-21 19:20:25,2,2,910946837275738113
The House unanimously passed a measure I intro'd to restore critical water infrastructure funding for #CNY --> http://bit.ly/2gP8zfu ,2017-09-08 17:16:00,31,7,906204485281832962
Participating in #NicksRide4Friends to raise awareness and funds for those struggling w/ heroin addiction & honor life of Nick Campagnolapic.twitter.com/r01cSpv0h3,2017-08-19 17:32:50,16,4,898960963973640194
Excited to announce an investment in the site of the former Fulton Nestle facility -->http://bit.ly/2u9gcCP ,2017-08-04 20:28:24,9,0,893569331333931008
ICYMI - introduced bipartisan bill w @RepSeanMaloney to strengthen tick prevention efforts in #CNY -->http://bit.ly/2suiVpV ,2017-08-01 16:16:01,9,4,892418650522742784
Proud of the results we've been able to deliver in the first 6 mo of this year to constituents across all four counties of #NY24 -->pic.twitter.com/M6G5FY1bx2,2017-07-18 13:50:36,15,2,887308624917389313
Proud of our efforts this Congress to pass six bipartisan measures I've introduced through the House --->pic.twitter.com/FnwRC1Tsxb,2017-07-13 20:11:14,17,4,885592474558844929
