Text,Date,Favorites,Retweets,Tweet ID
"What’s on the chopping block if the #GOPTaxScam passes? Medicare, Medicaid, Social Security, and other vital initiatives for millions of hard-working Americans.pic.twitter.com/U0X0GvobJ1",2017-11-30 21:11:08,20,11,936341853187854338
Approximately 122 #DREAMers lose their #DACA protections every day. Congress must pass the #DREAMAct to #ProtectDREAMers. RT if you agree!pic.twitter.com/URkKaXo9tQ,2017-11-28 16:01:01,75,67,935539033136037889
Thousands of #DREAMers have already lost their #DACA protections and thousands more will lose them if Congress doesn't act. #DREAMActNowhttps://www.vox.com/policy-and-politics/2017/11/10/16633956/daca-deadline-missed-renew?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter …,2017-11-27 20:05:37,21,22,935238199269568514
"Happy Thanksgiving to everyone in San Diego and Imperial Valley! Wishing you, your friends, and loved ones a happy and safe holiday.pic.twitter.com/WkaQEdJqpK",2017-11-23 18:24:55,11,2,933763308737490944
"As we prepare to get together with our loved ones for Thanksgiving, we can't forget about the #DREAMers. Thank you to the #DREAMers who met with @HispanicCaucus and shared an early Thanksgiving meal with us. We will keep fighting for the #DREAMAct alongside you.pic.twitter.com/HPGSPYo93Z",2017-11-22 17:18:47,24,10,933384277244502016
#NetNeutrality is critical to ensuring that everyone has open access to the internet. We must defend it. #SaveNetNeutrality,2017-11-22 16:18:09,43,25,933369016806146049
An unknown number of veterans of the U.S. Armed Forces have been unceremoniously deported. We must bring these #DeportedVeterans home so that they can get the care they need.pic.twitter.com/kzo7yaR3bS,2017-11-21 16:21:52,31,17,933007562818981888
"On Transgender Day of Remembrance, we must raise awareness about the violence faced by the trans community and pledge to continue to condemn and call out violence, hatred, and discrimination against all #trans people. #TDOR",2017-11-20 18:59:24,20,6,932684819212980229
"I had the opportunity to talk with young #DREAMers and hear some of their stories. They're future EMTs, cosmetologists, and business leaders. We need to pass a clean #DREAMAct to allow them to continue contributing to our country & working to achieve the American dream.pic.twitter.com/OLLN1jjSin",2017-11-20 17:25:07,7,3,932661093029294080
Congratulations to the young people who took the naturalization oath at the New Americans Museum in San Diego!pic.twitter.com/Teqx4TSpqb,2017-11-20 15:11:52,20,3,932627560349011968
"Californians have until January 31, 2018, to sign up for health insurance under @CoveredCA. Visit http://CoveredCA.com   to find the plan that works best for you and your family. #GetCoveredpic.twitter.com/Ct944lOv6V",2017-11-17 17:30:46,12,13,931575353230921728
"With an increase in taxes and drastic cuts to essential programs, hardworking Americans in my district, and across the country, will feel the effect of the #GOPTaxScam in their wallets. Statement https://vargas.house.gov/media-center/press-releases/rep-vargas-statement-on-the-passage-of-the-gop-tax-scam …",2017-11-16 19:20:26,10,6,931240561650040832
The @USCBO confirmed that the #GOPTaxScam will trigger $25 billion dollars in Medicare cuts next year. Seniors can’t afford this GOP tax bill!,2017-11-16 16:31:12,4,5,931197972762767361
At a press conference speaking about how the #GOPTaxScam gives tax cuts to millionaires that will be paid for by massive spending cuts to programs that help working families struggling to make ends meet.pic.twitter.com/1p1UA8H8rm,2017-11-15 19:25:46,16,11,930879515890417664
"Congratulations to the Kitchenistas who graduated from the Cooking for Salud adult nutrition education program! This generation of graduates gained important tools that will help them transform their cooking, improve their health, and promote healthy living in our communities.pic.twitter.com/iVS0B6f6rz",2017-11-14 21:54:57,3,1,930554671814664192
"Winners under the #GOPTaxScam:
• The rich 

Who pays the bill?
• Seniors
• Students
• Veterans
• Working familiespic.twitter.com/FVoYYD7MQZ",2017-11-14 17:12:57,230,231,930483703427534850
Congratulations to the nominees and winners of the SD Veterans Museum 2017-2018 Veteran of the Year award! Thank you for your service and your ongoing commitment to our veteran and military communities.pic.twitter.com/YDYL7s4jFr,2017-11-13 21:10:26,3,1,930181081889943558
"California, you have until January 31, 2018, to sign up for health insurance through @CoveredCA. Compare plans and find the right one for you and your family. #GetCoveredhttps://twitter.com/CoveredCA/status/930133256753766402 …",2017-11-13 18:10:29,8,5,930135795511562240
