Text,Date,Favorites,Retweets,Tweet ID
"Proud to co-sponsor the Congressional Accountability and Hush Fund Elimination Act, which prohibits the use of public, taxpayer funds to settle sexual assault and sexual harassment claims. This kind of misconduct is inappropriate wherever it happens.http://www.foxnews.com/politics/2017/11/29/house-lawmakers-introduce-bill-to-expose-secret-settlements-end-hush-fund.html …",2017-11-30 23:10:51,12,6,936371978981793792
Had a great visit to Nichols Tillage Tools yesterday in Sterling. We need to reform the tax code and push for better internet access in rural Colorado to help companies like these grow and create jobs.http://www.journal-advocate.com/sterling-local_news/ci_31483714/rep-buck-tours-local-manufacturing-business …,2017-11-28 20:10:35,6,4,935601839294373894
I'm proud to know so many passionate #SmallBusiness owners across the 4th CD. Congress needs to work on policies that allow them to thrive.https://twitter.com/colo_politics/status/934474287280476160 …,2017-11-25 18:59:07,10,4,934496690115002368
Small businesses form the backbone of economy and our community.https://www.greeleytribune.com/news/local/ken-buck-draws-attention-to-small-businesses-before-small-business-saturday/ …,2017-11-25 18:56:11,2,2,934495949992239104
I have so many things to be thankful for on this Thanksgiving Day. So I wrote about them in this column:https://www.greeleytribune.com/news/opinion/buck-take-time-today-to-be-thankful-for-all-we-have/ …,2017-11-23 19:03:27,11,4,933773003221020672
Take this time of thanksgiving to truly appreciate those people around you who make our community and this country thrive. #ThanksgivingDay,2017-11-23 19:02:42,19,4,933772814305452035
Robin and Dusty from my district office met with Disabled American Veterans (DAV) Chapter No. 41 at the County Steak Out in Fort Morgan this week to discuss important veterans issues.pic.twitter.com/53Qwpcos5O,2017-11-18 14:50:00,20,4,931897282357813248
"Today, I supported a tax bill that I believe is the first step towards growing our economy and creating jobs. We must follow-up this historic legislation by reducing federal spending and reducing regulations on small business.pic.twitter.com/c0wBH3rcDX",2017-11-16 22:27:26,19,4,931287622533697538
Taxpayers should not be forced to subsidize Hollywood's cover-up of sexual assault and sexual harassment.https://www.greeleytribune.com/news/local/ken-buck-calls-for-end-to-tax-breaks-for-companies-sexual-assault-harassment-pay-offs/ …,2017-11-15 21:38:35,24,14,930912943209893889
"America has been watching #Hollywood for decades, but not watching closely enough. Congress should not be subsidizing an industry that turns a blind eye to sexual assault.https://buck.house.gov/media-center/press-releases/ken-buck-offers-amendment-fight-sexual-assault-hollywood …",2017-11-14 22:51:20,30,9,930568864051720192
"Today, I introduced an amendment to HR 1 to prohibit tax subsidies for legal settlements related to sexual assault or sexual harassment. Congress should not be enabling a culture of deceit and depravity in #Hollywood. https://buck.house.gov/media-center/press-releases/ken-buck-offers-amendment-fight-sexual-assault-hollywood …",2017-11-14 22:50:05,8,2,930568549323636736
Thank you to all who have served. #VeteransDay,2017-11-12 03:46:32,24,5,929555985932447750
Read the letter I wrote to veterans this year:http://www.fortmorgantimes.com/opinion-columnists/ci_31445333/letter-veterans-from-u-s-rep-ken-buck …,2017-11-12 03:46:19,8,3,929555932400553984
"For years, Hollywood has turned a blind eye to sexual abuse and harassment. Congress must not. The federal government should not be subsidizing an industry that engages in this kind of behavior.http://www.breitbart.com/big-hollywood/2017/11/07/rep-ken-buck-asks-congress-cut-tax-deductions-sexual-harassment-settlements-wake-harveywood-scandal/ …",2017-11-08 15:55:55,16,8,928289993445072896
"Saddened to hear about the events in Sutherland Springs, Texas today. The victims and their families need our prayers.",2017-11-06 03:23:26,25,5,927375848654721026
I took to the floor with several of my colleagues to highlight House accomplishments and call on the Senate to act.http://www.breitbart.com/big-government/2017/11/02/rep-ken-buck-conservatives-chastise-senate-holding-300-house-passed-bills-urge-senate-drop-filibuster/ …,2017-11-03 18:50:55,17,8,926522090970378240
Thank you to @JudgeTedPoe for joining me tonight to discuss the Email Privacy Act. I encourage the Senate to pass this important bill.,2017-11-02 23:10:10,4,1,926224945897713664
Thanks to @RepAlexMooney for talking about the Financial CHOICE Act tonight. The Senate needs to pass this important legislation into law.,2017-11-02 23:08:36,3,2,926224552610418694
"Thanks to @RepGosar for talking about his important bill, #HR372. We need competition in the health insurance market to lower costs.",2017-11-02 23:05:10,9,5,926223689095499776
On the House floor talking about House accomplishments and calling on the Senate to pass the important legislation we've sent them.,2017-11-02 23:02:12,11,5,926222943943843840
I'm praying tonight for those impacted by this attack in Thornton.http://kdvr.com/2017/11/01/multiple-parties-down-in-shooting-at-thornton-walmart-police-say/ …,2017-11-02 02:52:46,16,5,925918579446476800
Extremists who attack oil pipelines potentially endanger both Colorado families and energy industry workers.https://twitter.com/WesternWireNet/status/923923610233737216 …,2017-10-27 21:11:29,10,6,924020751858008065
I proudly voted tonight for the Stop Settlement Slush Funds Act. DOJ settlement dollars should go to the victims or taxpayers. #HR732,2017-10-24 23:05:49,35,15,922962361450983425
"For more information on participating in the #CongressionalAppChallenge, visit this website: http://www.congressionalappchallenge.us/ ",2017-10-19 18:58:15,5,4,921088118865920000
Just a little less than 2 weeks to submit your app for the #CongressionalAppChallenge! @CongressionalAC #STEM #code http://www.congressionalappchallenge.us/ ,2017-10-19 18:57:36,7,4,921087957687263236
I'm proud to have someone representing the proud agricultural tradition of our district on the world stage. #CO04,2017-10-05 18:41:02,8,3,916010356933349376
Jason will be competing in the world championship of livestock auctioneering next summer in Wisconsin.,2017-10-05 18:40:38,3,2,916010254848135169
"Congrats to Jason Santomaso, from Sterling, who was named the Runner-Up Champion at the World Livestock Auctioneering Contest a few days ago",2017-10-05 18:40:17,9,2,916010169263325190
"We have a responsibility to the unborn children, our families, our communities and humanity to end the injustice of late-term abortion #HR36",2017-10-04 18:06:47,37,14,915639350964125698
"Last night, I supported legislation that protects unborn children across America. #HR36 #PainCapable",2017-10-04 18:06:21,35,13,915639239722881024
Our country must stand together in support of the families of the victims and the community. #LasVegas,2017-10-02 14:39:00,28,7,914862284354224128
I'm praying for all of those impacted by the evil events in Las Vegas last night.,2017-10-02 14:38:37,32,4,914862188074094594
Keep an eye out Sunday for my interview on Full Measure with @SharylAttkisson. We need to change the way Washington works.https://twitter.com/fullmeasurenews/status/913871107974995968 …,2017-09-29 21:03:24,35,16,913871857413173248
Voted this week to ensure that someone w/ an outstanding arrest warrant for a felony or parole violation can't receive SSI payments #CUFFAct,2017-09-29 18:49:01,42,12,913838040405209088
Do you know Hispanic Americans who have made big contributions to the 4th CD community? Share their stories here:https://buck.house.gov/hispanic-heritage-month …,2017-09-28 20:37:43,4,4,913503006464888838
Our country has a spending problem. We need to fix this for our children and grandchildren's sake.https://www.cbsnews.com/news/national-debt-hits-historic-20-trillion-mark/ …,2017-09-12 13:38:46,27,18,907599370387849216
"To remember those dark days is to live with the same courage, resolve, vigilance & compassion that overflowed after the attack. #NeverForget",2017-09-11 14:56:28,9,3,907256533884571648
Spending some time today remembering those we lost on #September11. #NeverForget,2017-09-11 14:54:30,15,6,907256038528778240
Glad to see @SecretarySonny is working to make the @USDA more efficient: https://www.usda.gov/media/press-releases/2017/09/07/secretary-perdue-announces-usda-improvements-customer-service …,2017-09-07 18:24:31,9,3,905859341672120320
We must continue to come together as a nation in support of those Americans whose lives have been drastically altered by Hurricane Harvey,2017-09-06 21:07:26,22,7,905537951676993536
"Today, I voted for an $8 billion aid package to assist those impacted by Hurricane Harvey.",2017-09-06 21:06:02,27,4,905537601150619654
White supremacists are ignorant and hateful. All Americans must unite against racial intolerance and bigoted ideology.,2017-08-13 14:00:01,156,46,896733080760791041
ATF will be helping with the investigation into how the fire started:http://kdvr.com/2017/08/08/federal-officials-to-help-with-wind-mill-fire-investigation/ …,2017-08-08 20:29:51,9,4,895019245335195648
We've had a challenging few days in Windsor after the mill burned down over the weekend. I'm thankful no one was harmed.,2017-08-08 20:28:57,14,3,895019018431721472
"If Colorado values have worked for 141 years, then they can work for many more. #ColoradoDay",2017-08-01 20:31:25,9,4,892482926432190465
"I'm in Washington to fight for Colorado values like hard work, independence, and family. #ColoradoDay",2017-08-01 20:31:12,17,4,892482869414723584
Enjoyed questioning my college economics professor about a balanced budget this week: https://www.facebook.com/repkenbuck/videos/2019408074751320/ …,2017-07-28 15:55:30,4,3,890963936224440320
The Congressional App Challenge has begun! http://www.congressionalappchallenge.us/ ,2017-07-27 13:11:04,3,0,890560168882298884
The Arkansas Valley Conduit will provide clean drinking water to SE CO: http://www.chieftain.com/opinion/ideas/buck-fighting-for-conduit-system-to-provide-clean-drinking-water/article_e011f635-d6a2-5e45-97a5-95c03ddafbb6.html …,2017-07-17 21:34:47,13,7,887063052809588736
I voted for the National Defense Authorization Act today to build a 21st century military that takes care of our troops. #NDAA,2017-07-14 16:51:15,19,3,885904538120663040
Heard today from @SecShulkin on the naming of the new VA Hospital in Aurora: https://buck.house.gov/sites/buck.house.gov/files/wysiwyg_uploaded/2017-7-13%20-%20Shulkin%20letter%20to%20Buck.pdf …,2017-07-13 22:10:04,4,3,885622380105695238
On the floor right now to vote for my amendment to the #NDAA,2017-07-13 21:32:10,8,3,885612842778591232
My amendment simply requires the DoD to use the most cost-efficient fuel sources. #NDAA,2017-07-13 19:55:10,10,3,885588434689110016
I'll be speaking on the House floor in a few minutes about my amendment to the National Defense Authorization Act #NDAA,2017-07-13 19:40:37,6,0,885584770578747392
The House passed three important bills this week to combat human trafficking: https://www.facebook.com/repkenbuck/videos/1992450737447054/ …,2017-07-13 19:38:59,9,1,885584361034305536
To end corruption in Washington we need to end burrowing. Read my op-ed to learn more:http://www.timescall.com/columnists/opinion-local/ci_31121239/ken-buck-bring-end-burrowing-political-appointees …,2017-07-11 20:34:39,15,7,884873594244923392
"By unleashing American energy, we can create jobs in our state and improve Colorado's economy.https://www.doi.gov/pressreleases/zinke-signs-secretarial-order-streamline-process-federal-onshore-oil-and-gas-leasing …",2017-07-06 21:43:17,11,3,883078927379566592
"Happy #IndependenceDay! We're so blessed to live in this great land, a nation that was founded on freedom and liberty. #4thOfJuly2017",2017-07-04 16:04:03,17,4,882268778716958720
Talking to Neil Cavuto in a couple of minutes about why we should cancel August recess.,2017-07-03 20:01:09,21,7,881966060882284545
"Today, 5 mil Americans are living with Alzheimer’s. By 2050, it could be 16 mil. We must continue the fight against this disease. #ENDALZ",2017-06-30 15:21:01,17,2,880808397129621504
"Proud to co-sponsor #HR3114, the Export-Import Bank Termination Act of 2017 #ExIm",2017-06-30 14:25:32,17,3,880794436309061633
Voted for the No Sanctuary for Criminals Act (#HR3003) and Kate's Law (#HR3004) today to keep Coloradans safe.,2017-06-29 21:45:28,65,25,880542760960499712
I applaud the Trump administration's decision to repeal the overreaching WOTUS rules of the past administration:https://buck.house.gov/media-center/press-releases/ken-buck-praises-wotus-repeal …,2017-06-27 20:35:37,18,5,879800406834110466
