Text,Date,Favorites,Retweets,Tweet ID
"DFW Airport should be considered as the nation's premier transportation hub...I am honored to represent DFW Airport in Congress and look forward to the seeing the impacts these improvements will have on air-travel, trade and job creation in North Texas.https://twitter.com/DFWAirport/status/935532297767485440 …",2017-11-28 22:30:04,5,2,935636939855880192
On #SmallBusinessSaturday we highlight the cornerstone of the American economy — the main street small business. #SmallBiz employs 4.5 million Texans and makes up 98% of all Texas businesses.pic.twitter.com/J9HslDvwMT,2017-11-25 22:22:59,8,3,934547992870301696
I'm thankful for the opportunity to spend time with veterans and members of the greatest generation living right here in #TX24. During this #ThanksgivingWeek let's remember their service and sacrifice as well as those currently serving in our Armed Forces.pic.twitter.com/WkMg54SDK1,2017-11-21 22:37:51,8,2,933102183666634757
.@HoustonChron: Texas unemployment rate falls to record lowhttp://www.chron.com/business/economy/article/Texas-unemployment-rate-falls-to-record-low-12365549.php …,2017-11-17 20:23:41,3,4,931618866316435458
"""This is an historic opportunity to reject the status quo & provide real tax relief to the families, individuals and businesses in #TX24."" 

  My floor speech on the Tax Cuts and Jobs Acthttps://www.youtube.com/watch?v=DDAlycPUxC4 …",2017-11-16 22:48:14,98,31,931292857712832513
"The House just passed the Tax Cuts & Jobs Act and here’s what it does:
 Lowers tax rates for hardworking taxpayers
 Increases the standard deduction
 Eliminates special interest deductions and closes loopholes
Learn More  http://FairandSimple.gop pic.twitter.com/M3RJ5NgFUe",2017-11-16 21:53:06,28,12,931278984339435520
It was a great honor to be with so many North Texas veterans in Grapevine this weekend at our 6th annual Veterans Fair. Thank you to all who have served in defense of our nation! #VeteransDay2017pic.twitter.com/nfYOp6SUcf,2017-11-13 22:56:44,6,5,930207831197929473
"Happy Birthday, Marines! #USMC242https://twitter.com/USMC/status/928970521085014016 …",2017-11-10 18:54:03,8,3,929059595829628929
"When we fix our broken tax code and make it more competitive for North Texas companies competing in this global economy, those companies re-invest in America. AT&T supports thousands of jobs in North Texas including many right here in #TX24.https://marchant.house.gov/business-wire-att-invest-additional-1-billion-united-states-competitive-tax-rate-enacted/ …",2017-11-09 00:24:35,4,2,928418003783438336
"News out of Dallas for when pro-growth #TaxReform becomes law. 

AT&T to Invest an Additional $1 Billion in the United States if Competitive Tax Rate Enactedhttp://www.businesswire.com/news/home/20171108006040/en/ATT-Invest-Additional-1-Billion-United-States …",2017-11-09 00:06:52,2,3,928413541413146624
We're making America's broken tax code fairer & more competitive for everyone. #TaxReformTuesdayhttp://youtube.com/watch?v=Pt7y3ErzDf4 …,2017-11-07 21:05:35,10,3,928005533365342208
Horrific news from #SutherlandSprings this morning. Join me in prayer for the victims and families involved in this tragedy.,2017-11-05 21:49:32,58,15,927291818835836929
"#TaxReform is for the working families in North Texas that are ready for increased wages from a booming economy.
 http://FairAndSimple.gop  pic.twitter.com/9zR9roGpVT",2017-11-03 21:43:25,45,13,926565505166659586
What does the Tax Cuts and Jobs Act mean for you and your family? #1182more https://waysandmeans.house.gov/wp-content/uploads/2017/11/WM_TCJA_TP.pdf …pic.twitter.com/Z2AN3N1U0o,2017-11-02 23:36:33,3,2,926231587859156992
"The Tax Cuts and Jobs Act seizes the opportunity to create a more competitive tax code for #SmallBiz in North Texas 
https://marchant.house.gov/taxreform/ pic.twitter.com/qxbIHMImc6",2017-11-02 22:51:11,5,1,926220168321265664
"The Tax Cuts and Jobs Act is a historic step toward fixing America's broken, outdated, uncompetitive tax code. Visit http://marchant.house.gov/taxreform pic.twitter.com/TxhxcIQlgr",2017-11-02 22:43:59,13,3,926218357807951872
I'm so thankful for the swift action of the first responders in #Manhattan. Praying for the victims and families of today's terror attack.,2017-10-31 22:14:23,14,2,925486135232655360
CBS: DOJ announces settlement with Tea Party groupshttps://www.cbsnews.com/news/doj-announces-settlement-with-tea-party-groups/ …,2017-10-27 21:45:52,4,3,924029403495100416
Statement: House Passing Budget Puts Us One Step Closer to #TaxReform and a Booming Economy for Every American http://bit.ly/2xquBMG pic.twitter.com/OthfJoI6iU,2017-10-26 15:49:25,156,42,923577312628695041
Unrigging America's broken tax code through #taxreform means American workers and families keep more of their money http://FairandSimple.gop pic.twitter.com/51yoo9Jfh8,2017-10-19 22:00:55,6,1,921134091340341248
"Delivering a fairer, flatter tax code through #TaxReform begins by lowering rates & doubling the std. deduction. http://FairandSimple.gop pic.twitter.com/xeZwgDo1yS",2017-10-19 19:48:55,3,3,921100872247074816
"Texas families deserve a raise. Study shows that delivering on #TaxReform would raise wages an avg of $4,000. http://bit.ly/2x60ERY pic.twitter.com/Id3XsvLF4t",2017-10-18 20:00:21,4,2,920741359765553152
What does #TaxReform mean for Texas workers? It means you keeping more of your money. Learn More: http://FairandSimple.gop pic.twitter.com/YIMpcNE4u8,2017-10-18 19:55:49,27,14,920740219867025408
"Our uncompetitive tax code hurts local business. We're lowering their rate to help them grow. 
 https://fairandsimple.gop/?utm_source=repkenmarchant … #TaxReformTuesdaypic.twitter.com/LUUXhL8FTE",2017-10-17 19:18:03,10,5,920368328761323520
This is #TaxReform that let's you keep more of your money. This is tax relief for all. Learn More: https://fairandsimple.gop/?utm_source=repkenmarchant … #TaxReformTuesdaypic.twitter.com/XbwT5fptc2,2017-10-17 15:52:01,8,5,920316477991014400
"Our tax code is broken. That's why we're making a simpler, fairer tax code for American families & small business   
https://fairandsimple.gop/?utm_source=repkenmarchant …pic.twitter.com/8PnABSHD3F",2017-10-16 22:06:31,14,5,920048336039825408
The @USNavy turns 242 today. Thank you to the generations of brave sailors that have served and sacrificed since 1775. #242NavyBdayhttps://twitter.com/USNavy/status/918803117327704065 …,2017-10-13 14:55:10,7,4,918852620281876480
"Wishing a  #HappyBirthday to my dear friend and American hero, Congressman Sam Johnson. Thank you for your continued service to our country.pic.twitter.com/D5mkvzYPIf",2017-10-11 20:57:30,12,2,918219028862328833
"Happening Now: @WaysandMeansGOP markup to repeal Obamacare’s IPAB & improve seniors’ access to medicare.

Live Here:https://youtu.be/8A0TQ08jBdw ",2017-10-04 14:42:50,4,2,915588025584844800
"I cosponsored #MicahsLaw, a life-saving piece of legislation passed today by the House. #HR36 the Pain-Capable Unborn Child Protection Act.pic.twitter.com/oTCnzmjYvv",2017-10-03 22:06:53,82,27,915337383972888577
Heartbreaking news this morning from #LasVegas. Join me in prayer for the victims and families affected by this senseless violence.,2017-10-02 12:53:01,9,4,914835614083829765
I joined a bipartisan group at the WH w/ @POTUS & @VP.  Our common goal is bigger paychecks for hardworking Americans through #TaxReform.pic.twitter.com/KXXSGFxNvN,2017-09-26 21:59:41,16,6,912798856777170946
