Text,Date,Favorites,Retweets,Tweet ID
Lance Bill Ends Taxpayer-Funded Cover Ups of Sexual Harassment - Insider NJhttps://www.insidernj.com/press-release/lance-bill-ends-taxpayer-funded-cover-ups-sexual-harassment/?utm_campaign=shareaholic&utm_medium=twitter&utm_source=socialnetwork …,2017-11-30 00:38:03,58,10,936031536197046273
Heidi and I wish everyone a wonderful Thanksgiving holiday.  As we sit down at the table with friends and family let us remember and be thankful for those women and men in our U.S. Armed Forces a world away serving our Nation. — L.L.,2017-11-22 17:06:28,65,8,933381174533283840
"""I believe transparency is the best way to proceed regarding these matters,"" Lance said on CNN's ""New Day.""http://thehill.com/homenews/house/361499-gop-rep-taxpayer-money-should-not-pay-for-settlements …",2017-11-22 13:30:34,20,8,933326844442669056
The House-passed proposal would negatively affect too many hard-working constituents and small businesses in my congressional district and many other parts of New Jersey.  My full statement:https://lance.house.gov/newsroom/press-releases/lance-statement-on-tax-vote …,2017-11-16 19:12:11,130,28,931238484811091970
"2. Congress should take the lead on this issue and pass @RepSpeier mandatory sexual harassment training legislation, which I am cosponsoring.",2017-11-16 17:29:48,31,7,931212723337211904
Sexual harassment is morally abhorrent and has no place in our society regardless of political affiliation.  Any member of Congress or candidate for Congress who admits to or has been credibly accused of it is not qualified to serve in public office.,2017-11-16 17:28:32,95,16,931212403710316544
"""I think tax reform should benefit all Americans and not pick winner states over loser states,"" Lance said.https://www.cnbc.com/2017/11/08/tax-reform-bill-picks-winner-states-over-loser-states-nj-rep-leonard-lance.html …",2017-11-09 03:09:38,97,21,928459536863776768
I’ve called on Secretary Mattis to conduct a comprehensive review to ensure other lapses similar to the Devin Kelley case do not exist.pic.twitter.com/RNtQwpGj0m,2017-11-07 18:57:54,67,11,927973402014617601
I spoke in favor of renewing the CHIP program & ensuring community health centers receive the funding they need.  https://www.c-span.org/video/?c4689579/lance-speaks-house-floor-urge-reauthorization-chip …,2017-11-03 15:52:48,67,11,926477267655708672
Please contact my Westfield office at 908-518-7733 if you are an NJ7 constituent.  Let’s see if we can help. — L.L.,2017-11-03 12:59:18,1,2,926433605747924992
"Mourning horrific NYC attack. Thank you @NYPDnews, @FDNY and first responders. ALWAYS on duty protecting NYC and millions of visitors.",2017-10-31 22:21:59,40,7,925488044995694592
"Rep. Leonard Lance, R-N.J., walks through the Capitol after the House passed a budget, with Lance voting nay,pic.twitter.com/IrzLNtTy0E",2017-10-27 11:01:00,74,18,923867117547606016
I could not vote for a budget that eliminated the ability of NJ families to deduct state and local taxes. — L.L.https://lance.house.gov/newsroom/press-releases/lance-statement-on-budgetsalt-elimination-vote …,2017-10-26 20:09:53,127,20,923642863967178752
"""Leadership wants to move tax reform forward, but I think we need the right kind of tax reform,"" Lance said.http://www.nj.com/politics/index.ssf/2017/10/your_property_tax_break_just_became_more_endangere.html …",2017-10-26 19:58:44,34,7,923640055478079488
