Text,Date,Favorites,Retweets,Tweet ID
82 MILLION households will experience a tax hike from this #GOPTaxScam—changing the way of life for countless of Americans for the worst.https://mobile.nytimes.com/2017/11/29/business/republican-tax-cut.html?_r=0&referer=https://t.co/LaFkNAMMh0?amp=1&referer= …,2017-11-30 21:48:56,8,12,936351365508497409
CALIFORNIANS: Every minute counts—ACA #OpenEnrollment is still going. Make sure that you visit http://www.CoveredCA.com  to shop and compare health plans. See below for important dates  #GetCoveredpic.twitter.com/9wDOG5FNH4,2017-11-29 21:18:03,14,12,935981205941571584
I will keep fighting for victims of harassment and assault as I have always done. 8/8,2017-11-29 20:34:55,4,1,935970351045140481
"Mandatory training to prevent sexual harassment is the first step, but the process is broken and we must do more to fix it. 7/8",2017-11-29 20:34:08,3,1,935970154403500032
"These are very hard issues and Members of Congress must be free to have serious, productive conversations in order to enact the best policy. 6/8",2017-11-29 20:33:07,2,1,935969894847348738
"For the sake of victims, we must provide a fair process to adjudicate the facts. 5/8",2017-11-29 20:31:58,0,1,935969606409342976
"Taxpayers should not be forced to subsidize abusive conduct, but we must be careful not make settlements harder to reach and risk victims not getting proper compensation for the harm caused to them. 4/8",2017-11-29 20:31:05,0,1,935969385755312128
"Some, if not many, victims want and deserve to settle their complaints privately - each case is unique. 3/8",2017-11-29 20:29:19,1,1,935968941175918592
We must act swiftly but we must also be careful in crafting the right policy. 2/8,2017-11-29 20:28:27,1,1,935968723328012288
Someone clearly misconstrued the point I was making. Members of Congress should be held to the highest standards - just like all other public servants. 1/8,2017-11-29 20:27:53,3,2,935968581564723200
Republicans are out of touch with the needs of the middle class. The phony #GOPTaxScam puts big corporations first and working families last.,2017-11-29 16:40:50,27,16,935911439113613312
WATCH LIVE: @HouseDemocrats’ weekly press conference at 10:30 AM (ET)/ 7:30 AM (PT).  https://www.facebook.com/HouseDemocrats/videos/10155795283798548/ …,2017-11-29 14:13:12,1,1,935874288934162433
This headline tells you all you need to know about who the GOP fighting for. #GOPTaxScam #ItsAScam https://goo.gl/C3syjD pic.twitter.com/r513qsLEON,2017-11-28 16:20:33,190,176,935543949766340608
"11 Legislative Days. That’s how much time we have left to #ProtectDREAMers. 

Republicans, Do. Your. Job. Bring the #DREAMAct for a vote.pic.twitter.com/ZoQeXceR9b",2017-11-28 16:00:16,18,15,935538844673470465
"The Republican tax plan would not only hurt millions of working families and the poor, but also add $2.3 TRILLION to the national debt. If Republicans pass this tax plan, I don't want to hear them complain about deficits again.https://www.washingtonpost.com/news/wonk/wp/2017/11/26/senate-gop-tax-bill-hurts-the-poor-more-than-originally-thought-cbo-finds/?hpid=hp_rhp-top-table-main_cbo-tax-915pm%3Ahomepage%2Fstory&utm_term=.15892f1783ec …",2017-11-27 22:41:48,23,24,935277504553799680
"My Washington, DC office is now accepting full time internship applications for the spring. Interested candidates should email their resume, cover letter & a brief writing sample to DCInternship.CA38@mail.house.gov with ""CA38 Internship"" in the subject line.pic.twitter.com/TovpBTbfDS",2017-11-27 21:41:33,10,16,935262342371250177
Time is running out. Congress has 12 legislative days left to #ProtectDREAMers. Republicans need to get serious and work with Democrats to pass the #DREAMAct now.pic.twitter.com/sGalJHIyd3,2017-11-27 20:02:15,140,108,935237353198800896
Deseándote a ti y a tu familia un Feliz Día de Acción de Gracias. pic.twitter.com/UhtywahFbB,2017-11-23 15:47:27,14,4,933723677476179968
Wishing you and your family a Happy Thanksgiving. pic.twitter.com/ubXj6tJvZu,2017-11-23 15:47:03,13,2,933723579014959104
Some servicemembers face financial challenges when they return home because of credit card payments they missed while deployed. The Fair Credit Reporting for Servicemembers Act provides context to credit agencies on why they might have missed a payment. https://lindasanchez.house.gov/media-center/press-releases/linda-s-nchez-introduces-legislation-promote-fair-credit-reporting …pic.twitter.com/dHuv9q3ooF,2017-11-21 21:17:06,4,2,933081862032982020
I stand with the trans community as we mourn the 25 lives lost this year. On #TDOR we renew our commitment to work towards a more inclusive and compassionate future.pic.twitter.com/1X32ReH7oG,2017-11-20 19:06:36,25,14,932686633794785281
 #OpenEnrollment REMINDER: Don’t let time fly by—visit http://coveredCA.com  to shop and compare plans. See below for important dates.pic.twitter.com/G4b8OE5FlV,2017-11-19 17:55:46,5,4,932306418685894657
