Text,Date,Favorites,Retweets,Tweet ID
"20 of us are questioning Stephen Miller about his knowledge of Russian mtgs & contacts during the 2016 pres campaign. With daily revelations about how Putin’s preferred candidate reached the White House, it is clear we must keep persisting for the truth. https://doggett.house.gov/sites/doggett.house.gov/files/Letter%20to%20Stephen%20Miller%20-%20Final%20Signed%2011.30.17.pdf …",2017-12-01 00:07:37,130,41,936386263204147200
".@NYTimes makes an important point about #GOPTaxScam: it “could widen American economic inequality while diminishing the power of local communities to marshal relief for vulnerable people.""https://www.nytimes.com/2017/11/29/business/republican-tax-cut.html?_r=0 …",2017-11-30 23:19:06,91,90,936374056781217792
".@AARP joins effort to stop #GOPTaxScam, warning of sweeping cuts to Medicare & Medicaid and tax hikes on seniors.https://www.prnewswire.com/news-releases/aarp-letter-to-senate-tax-legislation-could-spur-significant-cuts-to-medicare-300564448.html …",2017-11-30 17:49:49,40,29,936291188503732224
"Our Nation deserves so much more from our leaders than this untruthful, shameful fear-mongering.https://www.nytimes.com/2017/11/29/us/politics/trump-anti-muslim-videos-jayda-fransen.html …",2017-11-30 00:12:23,128,36,936025074968260610
"Great to join @delvalleISD
@humanitiestexas and many friends to present the Outstanding Teaching of the Humanities Award to Victoria Longoria. http://www.humanitiestexas.org/news/press/del-valle-teacher-receives-statewide-award …",2017-11-29 18:49:40,4,0,935943861926551552
"Who are the biggest losers under the House #GOPTaxScam? Among them, Americans who want to go to college or pay for high medical expenses, and our kids and grandkids who will be saddled with over a trillion dollars in debt.",2017-11-29 17:32:09,76,50,935924356428988422
"Instead of investing in American workers, the #GOPTaxScam gives multinational corporations YUUUUGE tax breaks for outsourcing jobs and profits.",2017-11-29 16:50:02,18,15,935913754549727232
You can read more via @ExpressNewshttp://www.mysanantonio.com/business/local/article/National-Geographic-Traveler-magazine-lists-San-12389482.php …,2017-11-29 01:55:32,4,1,935688648577732608
"SA has been named one of 21 must-see destinations in 2018 as a part of @NatGeoTravel #BestTrips2018. This well-deserved recognition is because of our community's long history of cultural engagement, efforts toward sustainability, heritage preservation & ecological conservation.",2017-11-29 01:35:56,60,13,935683714310443009
"No gov regulation can substitute for the vigilant eye of a parent or gift purchaser. The @USCPSC has helped keep some unsafe toys off store shelves, like choking hazards or toys with toxic chemicals, but your care is key. @AustinChronicle @PointAustinhttps://www.austinchronicle.com/daily/news/2017-11-27/dangerous-toys-this-holiday-season/ …",2017-11-28 20:43:51,3,1,935610210638548992
"Dreamers’ futures should be nonnegotiable. Congress must pass the #DreamAct now & provide protection to #Dreamers that Trump abandoned. Many of these hardworking young ppl have only known America as home & have contributed to our great Nation as servicemembers, teachers & more.",2017-11-28 18:51:09,38,17,935581847442083840
"The @CFPB has put $12 bil into the pockets of harmed consumers, addressed over 1 mil consumer complaints & implemented critical regulations on Wall Street & predatory lenders.Trump's illegal installment of an Acting Director threatens this critical work.https://www.washingtonpost.com/news/posteverything/wp/2017/11/27/sorry-mr-president-you-cant-make-mulvaney-acting-head-of-cfpb/?utm_term=.610e6e672392 …",2017-11-28 16:04:11,17,10,935539831421177856
Sec. of State Tillerson is duty-bound to follow the law and report the countries that conscript children to fight in bloody wars.https://www.reuters.com/article/us-usa-tillerson-childsoldiers/u-s-diplomats-accuse-tillerson-of-breaking-child-soldiers-law-idUSKBN1DL0EA …,2017-11-28 00:38:46,27,14,935306940518985729
Protecting our #Dreamers should unify us this holiday season. Republican leadership should permit a floor vote on the #DreamAct now.,2017-11-27 20:53:19,61,19,935250204944674816
I appreciated the chance to visit with you today and listen to your questions.https://twitter.com/DelValleISD/status/935193116583350272 …,2017-11-27 20:43:50,15,2,935247819149017088
"Fate of job-killing, high-debt, low-growth #GOPTaxScam turns on how quickly the truth can catch up with its many lieshttps://www.nytimes.com/2017/11/25/opinion/sunday/the-republican-tax-on-the-future.html …",2017-11-27 16:50:02,78,66,935188980806701057
"After a harrowing ordeal, Felipe Abonza-Lopez has been freed from ICE detention. If he was not charged with any crime, why was his DACA permit revoked? I will keep pressing for answers for Felipe & insisting upon passing the #DreamAct for all our Dreamers.http://www.expressnews.com/news/local/article/Immigrant-with-amputated-leg-who-alleged-12372252.php …",2017-11-27 02:48:52,144,63,934977294824890368
"As we celebrate the holiday season, remain vigilant about hidden hazards when choosing toy gifts. I joined @childrenshospsa @TexPIRG to release the “Trouble in Toyland” report, which offers safety guidelines & exs of toys that pose potential risks. @KENS5http://www.kens5.com/news/local/toxic-toys-sold-on-store-shelves-1/493757835 …",2017-11-27 00:24:36,6,2,934940989298479105
