Text,Date,Favorites,Retweets,Tweet ID
I strongly support moving the U.S. Embassy in Israel to Jerusalem and encourage @POTUS to begin the relocation process. Israel is our closest ally and the Holy City should be rightfully recognized as its capital.https://www.wsj.com/articles/white-house-considering-plan-for-relocating-embassy-in-israel-1512070058 …,2017-11-30 20:38:29,11,4,936333633610309632
Good news -- Legislation I cosponsored to ensure the rights of law abiding gun owners aren't restricted across state lines is headed to the House floor.https://www.cbsnews.com/news/house-panel-backs-bill-expanding-gun-owners-rights/ …,2017-11-30 16:29:48,9,10,936271049880154112
"Today, the House voted to make sexual harassment training mandatory for all members and their staff. This is an important first step but it's clear more must be done.pic.twitter.com/mMxaUSGBID",2017-11-29 22:23:48,18,12,935997750411452417
Taxpayer dollars should never be used to protect members of Congress and silence victims of sexual assault. I joined @DanaPerino on @FoxNews today to discuss my legislation that would stop this.pic.twitter.com/RlwP4Sjbq8,2017-11-28 21:18:13,12,6,935618860220321794
Joining @DanaPerino on @FoxNews to discuss tax cuts and efforts to protect victims of sexual assault in Congress...tune in to the @dailybriefing!pic.twitter.com/gstPfBVOCq,2017-11-28 19:25:55,4,2,935590597024534528
"It’s not OK that taxpayer money is used to silence victims of sexual harassment. If these victims want to tell their story, they should be empowered to do so.https://messer.house.gov/news/documentsingle.aspx?DocumentID=704 …",2017-11-27 21:56:50,17,9,935266190926188546
"From our family to yours, Happy Thanksgiving! As we spend time with family and friends, I hope we all can adopt a ‘gratitude attitude.' We are a blessed nation!
http://thestatehousefile.com/commentary-attitude-gratitude/33726/ …",2017-11-23 16:44:09,9,1,933737947043639296
I am pro-life because all human life has dignity and must be protected. Thankful for the opportunity to serve Hoosiers and fight for the right to life each and every day.pic.twitter.com/GRmpuFRxQU,2017-11-22 20:12:18,32,12,933427944617381891
GOOD NEWS - The Ed Department has restored Pell Grant eligibility to ITT Tech students. Thanks to Trump Administration for doing right by these students and ensuring they have a path forward to continue their education.https://messer.house.gov/news/documentsingle.aspx?DocumentID=701 …,2017-11-22 15:56:11,8,3,933363489871138817
Opening night for Indiana high school basketball. Greensburg Pirates vs. North Decatur Chargers. Fun to be at this one!pic.twitter.com/y13XlpknNz,2017-11-22 01:35:16,54,9,933146831764312065
I agree with @POTUS: North Korea continues to pose a serious threat to the rest of the world. Kim Jong-un's rogue regime belongs on the state sponsors of terror list.http://www.foxnews.com/politics/2017/11/20/president-trump-has-announced-north-korea-has-been-designated-state-sponsor-terror.html …,2017-11-20 20:33:12,9,2,932708428555935750
"ICYMI: I joined @SandraSmithFox on @FoxNews yesterday after the House passed a tax cut plan to give working Hoosiers a pay raise. Now, the U.S. Senate needs to act.pic.twitter.com/JV8bXTEx0s",2017-11-17 18:36:27,51,14,931591881737240576
