Text,Date,Favorites,Retweets,Tweet ID
Number of days since the House of Representatives sent the Senate all twelve appropriations bills funding the government:pic.twitter.com/TJKVQd7n2D,2017-11-30 15:02:24,36,29,936249057642762241
Congressman Griffith visited Radford High School yesterday for a discussion about innovative teaching and learning opportunities.pic.twitter.com/Ez0NLDMSfe,2017-11-28 19:34:47,4,3,935592828209688578
Congressman Griffith's Weekly E-Newsletter 11.27.17 Topics: No Surprise Here – Green Climate Fund is a Boondoggle; German Electionshttps://goo.gl/PB9r2v ,2017-11-27 19:26:53,3,4,935228454232100865
Congressman Griffith's Weekly E-Newsletter 11.20.17: A Song of Thanksgivinghttp://goo.gl/UavUrq ,2017-11-20 15:59:11,4,3,932639468334518272
The House today voted to move the United States toward a tax system that delivers jobs and economic growth.https://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398832 …,2017-11-16 18:56:21,6,10,931234500683681792
Griffith Supports Bill to Reform Flood Insurancehttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398831 …,2017-11-14 22:12:32,2,7,930559098424320005
"Each November 11, Americans honor the men and women who have served in the Armed Forces. We owe our everlasting gratitude to those who risked their lives for this country and its ideals.https://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398826 …",2017-11-10 14:49:37,1,4,928998083509346304
"Congressman Griffith spoke on the House floor this afternoon in support of bills to improve licensing for hydropower infrastructure, including closed-loop pumped storage hydropower in abandoned mine lands.https://www.youtube.com/watch?v=JGH1oVKw1m8 …",2017-11-08 19:41:26,23,10,928346743007334400
Congressman Griffith's Weekly E-Newsletter 11.6.17 Topics: Tax Reform Update; CHIPhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398824 …,2017-11-06 23:07:23,1,2,927673798257766400
Griffith Votes to Protect Medicarepic.twitter.com/TsvsqQ0MWx,2017-11-02 21:40:59,4,5,926202503284379650
"Griffith, Goodlatte Send Letter to FERC on Colonial Pipelinehttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398822 …",2017-10-30 19:59:10,3,2,925089715317035008
Congressman Griffith's Weekly E-Newsletter: Lessons from the Storms; The “Windshield Phenomenon;” For History Lovershttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398819 …,2017-10-30 15:10:42,4,2,925017121209438210
Griffith Statement on Budgethttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398818 …,2017-10-26 15:09:30,2,7,923567266536534016
Griffith Responds to McAuliffe Letter on CHIPhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398817 …,2017-10-25 17:43:50,5,6,923243719918223361
"Congressman Griffith's Weekly E-Newsletter 10.23.17: Good Riddance to ""Sue and Settle""https://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398813 …",2017-10-23 20:07:49,4,6,922555180771659776
Griffith Promotes Ninth District Locations for National Prescription Drug Take Back Dayhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398811 …,2017-10-19 14:15:14,3,2,921016896786518016
Congressman Griffith's Weekly E-Newsletter 10.16.17: Energy Independence is Closer Than Ever; Cost Sharing Reductionhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398807 …,2017-10-16 16:52:00,3,4,919969184167137280
Griffith Statement on Withdrawal of Clean Power Planhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398805 …,2017-10-11 00:40:12,4,9,917912684758290434
Congressman Griffith's Weekly E-Newsletter 10.9.17: Right-to-Try Update; Budget Update; Catalonia and Columbushttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398804 …,2017-10-09 14:09:19,0,2,917391529395843073
Congressman Griffith's Weekly E-Newsletter 10.2.17: Tax Reform Delivers for the American Peoplehttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398803 …,2017-10-02 21:34:38,4,7,914966883547406338
ICYMI: Congressman Griffith Discusses Tax Reform on MSNBChttps://www.youtube.com/watch?time_continue=1&v=qnB2iAp5V6U …,2017-09-29 17:57:49,4,5,913825156342087685
Griffith Applauds Rural Development Funds to Coalfield Communitieshttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398800 …,2017-09-27 18:03:23,3,3,913101780149571584
Congressman Griffith greeted a delegation from India in his office today and received a book presented by its author.pic.twitter.com/qBSC3iw7GD,2017-09-26 21:46:49,23,8,912795621492391937
Congressman Griffith's Weekly E-Newsletter 9.25.17 Topics: Healthcare and Foreign Affairshttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398799 …,2017-09-25 20:45:30,2,5,912417802765692934
Ninth District Traveling Staff Office Hours for Octoberhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398798 …,2017-09-20 20:40:51,0,5,910604692320813056
"Congressman Griffith's E-Newsletter: Bringing Back Options for Health Insurance, Self-Driving Cars, Tax Reformhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398792 …",2017-09-18 15:28:11,5,9,909801232105115648
Griffith Statement on Anthem Reentering Virginia’s Individual Health Insurance Markethttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398791 …,2017-09-15 18:19:29,2,9,908757175308341248
Congressman Griffith's Weekly E-Newsletter 9.11.17: Disaster Relief and the Debt Ceilinghttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398790 …,2017-09-11 14:26:56,3,4,907249101301043201
Griffith Honors Anniversary of 9/11https://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398789 …,2017-09-11 13:00:22,3,2,907227316711018496
Griffith Welcomes 40 New Jobs to Pulaski Countyhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398788 …,2017-09-08 17:03:02,3,3,906201220741824513
Griffith Applauds Studies of Two Southwest Virginia Sites for Pumped Storage Hydropowerhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398787 …,2017-09-07 15:02:18,4,4,905808452789968896
Griffith Statement on Optima Withdrawal from Obamacare Exchanges in Ninth Districthttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398786 …,2017-09-06 22:18:03,3,6,905555724910112768
Congressman Griffith's Weekly E-Newsletter 9.4.17 Topics: Hurricane Harvey and Investment in the Ninthhttps://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=398784 …,2017-09-04 19:05:20,3,5,904782449758142466
