Text,Date,Favorites,Retweets,Tweet ID
"Background checks save lives. 24 years ago, President Clinton signed the Brady Handgun Violence Prevention Act into law. Every day Congress does not act to eradicate gun violence in America, we forfeit more innocent lives.pic.twitter.com/vNT9VJYe86",2017-11-30 23:09:29,17,8,936371634771984385
"Happy birthday, Shirley Chisholm!https://twitter.com/theroot/status/936283636860583941 …",2017-11-30 21:42:37,40,18,936349775347290114
"Our nation’s teachers deserve better pay and more resources, not higher taxes. #GOPTaxScamhttp://www.news5cleveland.com/news/local-news/oh-cuyahoga/cleveland-teachers-concerned-teacher-tax-credit-will-be-repealed-in-new-tax-plan …",2017-11-30 15:20:57,16,4,936253726708391936
"Congressional Republicans let #CHIP expire 60 days ago, putting more than 9 million children at risk of losing health care coverage, including 223,000 Ohio children. This is unacceptable.https://www.washingtonpost.com/national/health-science/states-prepare-to-shut-down-childrens-health-programs-if-congress-doesnt-act/2017/11/23/01a6169e-ba7d-11e7-be94-fabb0f1e9ffb_story.html?utm_term=.b367db711363 …",2017-11-29 21:35:27,6,4,935985581665988608
"Without the #DREAMAct, our economy would lose $460.3 billion from the national GDP over the next decade. It's time to act. #ProtectDREAMerspic.twitter.com/yQgzE9sa5J",2017-11-28 16:48:41,52,30,935551028396806146
REMINDER: Your last chance to enroll for 2018 coverage is December 15! #GetCovered at http://HealthCare.gov  before it’s too late.pic.twitter.com/89GrihH1Fs,2017-11-27 22:00:04,42,46,935267000741277696
"According to the nonpartisan @uscbo, Americans earning less than $75,000 would be worse off under the #GOPTaxScam by 2027.https://www.washingtonpost.com/news/wonk/wp/2017/11/26/senate-gop-tax-bill-hurts-the-poor-more-than-originally-thought-cbo-finds/?hpid=hp_rhp-top-table-main_cbo-tax-915pm%3Ahomepage%2Fstory&utm_term=.d41df9bd5c42 …",2017-11-27 15:42:18,37,64,935171936052801541
"Did you have coverage through http://HealthCare.gov  for 2017? You will need to sign up again before December 15 to ensure you’re covered for 2018. For many, you may pay less in 2018 than you did this year. #GetCoveredhttp://thehill.com/policy/healthcare/361623-surge-in-obamacare-signups-surprises-experts …",2017-11-26 17:00:03,20,21,934829112002252800
"One in three women and girls will experience violence in their lifetime. On International Day to End Violence Against Women, we must work together to make the world safer for women and girls. #OrangeTheWorldpic.twitter.com/QYQUB5P8Ta",2017-11-25 18:26:32,58,43,934488490796085254
"Hey #OH11, today is #SmallBizSat! Where are you planning to #ShopSmall?pic.twitter.com/YRLXvexCt7",2017-11-25 14:30:04,23,4,934428978693017601
Don't wait. Only 21 days left to #GetCovered at http://HealthCare.gov .pic.twitter.com/pSBekgPGxB,2017-11-24 17:30:02,45,31,934111883388362752
"#Thanksgiving Day checklist:
 Enjoy time with family & friends. 
 Sign up for health insurance at http://HealthCare.gov . 
 Peace of mind. 
#GetCoveredpic.twitter.com/grAXCZTVo8",2017-11-23 17:52:01,22,17,933755025796534272
Wishing you and your family a safe and wonderful Thanksgiving!pic.twitter.com/j125tPNmqS,2017-11-23 15:45:04,31,8,933723081188687872
"Did you miss last week’s episode of @ToTheContrary? Watch it here: 
http://www.pbs.org/video/women-thought-leaders-rep-marcia-fudge-ukqfgp/ … #WomenThoughtLeaders",2017-11-22 21:34:04,9,5,933448518769004547
