Text,Date,Favorites,Retweets,Tweet ID
Today I had a great visit with the International Military Students - they are attending the Aviation Captain Career Course at Fort Rucker. Thanks for taking the time to talk with me!pic.twitter.com/pp0ycNUoWm,2017-11-30 21:05:07,5,3,936340337672511488
"I'm in the @HouseJudiciary markup of H.R. 38, the Concealed Carry Reciprocity Act of 2017. This bill would ensure that 2A extends to all law-abiding Americans & allow citizens who qualify for concealed carry in their states to carry in any state they travel.https://twitter.com/HouseJudiciary/status/935886960132022274 …",2017-11-29 17:47:36,16,6,935928243412242432
Great news! I'm glad to see the Senate take this big step towards delivering #TaxReform to the American people.https://twitter.com/BudgetGOP/status/935602959785910272 …,2017-11-28 20:16:13,13,2,935603256184713216
"Started the week off by visiting the Starbase STEM program at Maxwell Air Force Base in Montgomery. This program is such an asset to the River Region, & I was glad to learn more about the opportunities it provides to young students in our community.pic.twitter.com/7OEQPwTP2z",2017-11-27 19:05:08,7,3,935222980254289923
Happy Thanksgiving to you and your family!pic.twitter.com/Qic70tUGjD,2017-11-23 17:10:47,56,11,933744651034533888
"Over the last few months, I've been fortunate to have Caroline Buchanan & Mary Kate Johnson interning in my DC office. They're studying social work at @UofAlabama. I've been so thankful to have these impressive young women on my team this fall! Thanks for all your hard work.pic.twitter.com/Cyrxm3M3H8",2017-11-17 19:53:08,16,4,931611180766056454
GREAT news for those who want lower taxes: The House has passed our plan to reform the tax code & give Americans much-needed tax relief.pic.twitter.com/ZGsZpepq8a,2017-11-16 19:00:28,106,51,931235539197546498
Great to visit w/ @AuburnU President Dr. Steven Leath & Chairman Mike DeMairoubus today. I really enjoyed hearing about all the exciting things happening at Auburn!pic.twitter.com/HvQvLVl7tI,2017-11-15 18:24:26,28,2,930864083670355970
Great news! Yesterday the House passed the 2018 NDAA to support our troops & restore military readiness. Here are some other things you should know about this important piece of legislation --> https://www.gop.gov/top-10-things-you-should-know-about-the-ndaa/ …pic.twitter.com/8PFLtvIxH6,2017-11-15 14:18:17,9,6,930802136668975104
"Lots of interest in Russia as Attorney General Jeff Sessions testified at @HouseJudiciary today. Instead of a ""gotcha"" or ""bait-&-switch,"" I boiled it down to the basics and appreciated his straightforward answer. Next question.https://twitter.com/FoxNews/status/930528357581811714 …",2017-11-14 20:58:59,48,10,930540588520431617
Happy Veterans Day to all those who have served & to their families. America is great because of the men & women who sacrificed to defend our freedoms. Thank you for your service. pic.twitter.com/PQ4q6ReZbi,2017-11-11 14:14:05,32,5,929351529999593473
Truly an honor to meet Pearl Harbor survivor Thomas Edwards today and to be among so many heroes at Montgomery's Veterans Day event.https://twitter.com/mickeywelsh/status/929050547612737537 …,2017-11-10 18:48:07,32,5,929058103932473345
"Ahead of Veterans Day this Saturday, I'd like to encourage you to participate in a Veterans Day event near you! I'll be participating in Montgomery's festivities. via @MGMAdvertiserhttp://www.montgomeryadvertiser.com/story/opinion/columnists/2017/11/08/martha-roby-honor-veterans-your-hometown/844352001/ …",2017-11-09 14:33:42,23,3,928631687239651328
Enjoyed having you! It's always great to visit and discuss issues with friends from the Central Alabama Electric Cooperative.https://twitter.com/CAEC_COOP/status/928382320188542981 …,2017-11-08 22:15:40,9,2,928385559516667904
"Today I was honored to pay tribute to the men & women who served. As Veterans Day nears, let's remember the sacrifices made on our behalf.pic.twitter.com/RrqHXu1JFb",2017-11-07 18:18:07,15,3,927963390466838528
"The House is scheduled to take up 11 bills today, including 9 related to veterans. I'm proud we're taking action as Veterans Day approaches.pic.twitter.com/SGIBC1Zygg",2017-11-07 15:52:37,16,12,927926775182712832
"“We overcome evil with good.”

This Texas community and these families need our prayers for comfort, peace, and strength.https://twitter.com/foxnews/status/927282158221254656 …",2017-11-05 21:42:19,25,6,927290002861711360
The AL delegation made a strong showing at @UofAlabama today! Many thanks to President Bell for hosting us. #RollTide pic.twitter.com/ap6YBKPeCc,2017-11-05 00:32:31,43,12,926970445324316672
The Roby family is ready to watch the Tide roll! Great to see @SteveScalise & his wife Jennifer on campus. May the best team win! #RollTidepic.twitter.com/F6NRvXw1Qg,2017-11-05 00:14:13,108,13,926965841236815872
The National Peanut Festival starts tonight! Since 1938 this special event has celebrated the crop that saved the Wiregrass. @peanutfestivalhttps://twitter.com/WTVYNews4/status/926432669663137793 …,2017-11-03 21:01:56,9,2,926555063845351425
Today the House passed H.R. 3922 to provide funding extensions of important public health programs including a 5-year extension of CHIP.https://twitter.com/HouseCommerce/status/926467474354294784 …,2017-11-03 18:40:24,14,4,926519445169811456
"""Tax Cuts & Jobs Act"" is a unique & exciting opportunity to deliver pro-growth #TaxReform. More $$$ in the pockets of hardworking taxpayers!pic.twitter.com/GrKlnQSM8T",2017-11-02 20:43:41,22,6,926188084487774209
We've been working to rein in the Obama-era regulatory state. The House is doing MORE to ensure that the federal government will do LESS.pic.twitter.com/Z5QTiI1XTu,2017-11-02 18:24:52,14,8,926153149324386304
