Text,Date,Favorites,Retweets,Tweet ID
"""I rise to call on President Trump to move the U.S. Embassy to Jerusalem. Jerusalem is the eternal undivided capitol of @Israel and yet, our embassy is in Tel Aviv. This is disrespectful, dismissive and wrong. We must honor our friend and ally and move our embassy to Jerusalem.""pic.twitter.com/5ajovKsjq8",2017-11-30 23:17:28,95,32,936373643214512128
@weartv @WPNNTalk790 @navarrepress @NBACOC @nwfdailynews @srpressgazette @routzen @WEARSaul @washingtonpost @OANN,2017-11-29 23:11:47,1,1,936009825485557762
"ICYMI: Navarre Open Gaetz Day 
WATCH:https://youtu.be/lahVQMj5in8 ",2017-11-29 23:09:34,3,1,936009267018108928
"TODAY: Don't miss my interview at 4:30pm ET with @seanhannity Radio. We'll be discussing new evidence found that the @FBI gave @HillaryClinton ""Special"" treatment during their investigation.",2017-11-29 20:36:09,146,60,935970659020300289
COMING UP: Catch me on @OANN's The Daily Ledger with @GrahamLedger at 2:45pm ET today.,2017-11-29 18:34:23,23,10,935940017461039106
"""If there are a bunch of bail outs for Obamacare insurance companies, don't expect the conservatives in the house, myself being one of them to just jump onboard and be happy with any give-away as long as it comes with a tax cut"" 
@FoxBusinesspic.twitter.com/l3Njmnh6M9",2017-11-29 15:22:40,66,21,935891770692591617
TONIGHT: Tune in at 6:00pm ET for my interview with Making Money's Charles Payne (@cvpayne) on @FoxBusiness. We'll be discussing the latest update on #taxreform.,2017-11-28 22:01:47,29,6,935629820637208576
"Gaetz Believes in Climate Change not EPA 
@routzen  
MORE: https://goo.gl/rvgaZd ",2017-11-28 16:24:21,19,10,935544905820196865
Voters quiz Gaetzhttp://nwfdailynews.com/news/20171127/voters-quiz-gaetz …,2017-11-28 15:46:29,8,4,935535377246334979
Matt Gaetz says he will still push for Navarre Passhttps://goo.gl/dVcTpP ,2017-11-28 14:47:33,6,2,935520543377428480
"Town hall at East River Smokehouse 
#OpenGaetz Daypic.twitter.com/aXClly8vu4",2017-11-27 23:57:49,12,2,935296635508228096
Navarre Beach Sea Turtle Conservation Center #OpenGaetz pic.twitter.com/nMQWcNP8Yf,2017-11-27 22:10:54,19,6,935269728095997953
Answering questions from constituents at #Navarre Beach Roundtablepic.twitter.com/XAj28ZNUhp,2017-11-27 21:22:47,18,8,935257621413625857
"Navarre Beach Fee Simple roundtable discussion to a room full of concerned lease-holders. 
#OpenGaetz Daypic.twitter.com/TP0Ro2xFeO",2017-11-27 21:08:15,7,3,935253961371774978
Getting dressed for #OpenGaetz Day! Thanks to the Holley Navarre firefighters for the assistance. pic.twitter.com/7qVs263Y7G,2017-11-27 19:45:07,11,2,935233040166653952
Holley Navarre firefighters show Congressman Gaetz some of their tools and equipment they use to fight fires.  #OpenGaetz Daypic.twitter.com/ICXXceFXpi,2017-11-27 19:37:49,9,2,935231204328079360
"Congressman Gaetz visits the Holley Navarre Fire Department.
#OpenGaetz Dayhttps://www.pscp.tv/w/bOsHmjF4ZUVXeE9lTXJPUVB8MWVhSmJxbHdEbVJHWHywbeBm_f3y8VIt2u8TEUkFqC4zlcopB6hT54OWpCOT …",2017-11-27 19:04:01,20,6,935222697881231360
"Congressman Gaetz visits the Holley Navarre Fire Department.
#OpenGaetz Daypic.twitter.com/DewGQy2y6Y – at Holley Navarre Fire",2017-11-27 18:55:42,9,4,935220604923514881
"""We now have evidence that the @FBI's investigation of @HillaryClinton (e-mails) did not follow normal or standard procedure. Now, we will be calling for a full review by the Judiciary Committee to look into..."" @FoxNews @foxandfriends #tcotpic.twitter.com/Oj62Oul5b2",2017-11-27 18:52:06,344,182,935219699075436544
Congressman Gaetz speaks with the Rotary Club in Navarre. #OpenGaetz Daypic.twitter.com/xqVevaQNcN,2017-11-27 17:45:10,7,4,935202853622308864
I had an amazing time at @Hurlburt_Field today.pic.twitter.com/YUaoiqZJNa,2017-11-27 17:05:40,5,1,935192913461596161
"Congressman Gaetz gets a tour of the S.T.E.A.M. room.
Science Technology Engineering Art Mathematicspic.twitter.com/TmpjiiUSTz",2017-11-27 16:53:53,12,7,935189950735273984
"Congressman Gaetz meets with Hurlburt's Youth of the Year, Amayah Edwards!pic.twitter.com/5KB3jGcd4Q",2017-11-27 16:47:08,11,5,935188251668832256
Congressman Gaetz visits a Family Childcare Home at Hurlburt Field. #OpenGaetz Daypic.twitter.com/Fwi9UolTe8,2017-11-27 16:27:22,17,4,935183277492711424
"Always a good time to read 3 Billy Goats Gruff. Child Development Center, Hurlburt Field. #OpenGaetz Daypic.twitter.com/7ur6wmblzl",2017-11-27 16:09:35,11,3,935178800031297537
"Congressman Gaetz reads 3 Billy Goats Gruff at the Child Development Center at Hurlburt Field.
#OpenGaetz Daypic.twitter.com/86NRyQ1YMR",2017-11-27 16:09:33,24,6,935178790942146560
Congressman Gaetz visits Mrs. Peek's music class at Holley-Navarre Intermediate School. #OpenGaetz Daypic.twitter.com/mHU35v033z,2017-11-27 15:20:14,21,3,935166382983012352
#OpenGaetz Day has begun at Holley-Navarre Intermediate School!pic.twitter.com/Lvy2m6MCpC,2017-11-27 14:13:09,12,5,935149498527047680
pic.twitter.com/mAS1Xpg0c9,2017-11-27 11:47:51,34,17,935112932018532352
"TOMORROW is #OpenGaetz Day in Navarre, FL!
Town Hall begins at 5:30pm at East River Smokehouse.
WATCH:https://youtu.be/mXQJlWHsUXU ",2017-11-27 00:17:00,36,23,934939076028915712
"Join me TOMORROW in Navarre for #OpenGaetz Day!
Our #TownHall begins at 5:30pm at East River Smokehouse, 8491 Navarre Pkwy, Navarre, FL!",2017-11-26 21:44:00,42,23,934900571928010752
"#OpenGaetz Day is tomorrow in Navarre! 
A big townhall will begin at 5:30pm at East River Smokehouse in Navarre!pic.twitter.com/UR8c3bMI8E",2017-11-26 19:49:52,36,16,934871850353643521
"On Monday, join me for #OpenGaetz Day in Navarre, FL!
Town Hall begins at 5:30pm at East River Smokehouse.
WATCH:https://youtu.be/mXQJlWHsUXU ",2017-11-25 22:17:00,14,4,934546489409449984
"What are your biggest concerns with government?
NFL Anthem Protest... North Korea... Healthcare... Military Readiness... Taxes..?
Share your concerns at #OpenGaetz Day on Monday Nov. 27 in Navarre!",2017-11-25 19:43:00,87,26,934507733520326656
"I have a lot to be thankful for in #2017.
In September, I had the chance to speak to Boy Scout Troop 157 in #Niceville in #Okaloosa County.    
#Thankyou to everyone who helped make that day special.      
I wish everyone a #HappyThanksgiving!pic.twitter.com/GnUnf8xtXe",2017-11-23 22:13:00,60,14,933820705287823361
"I have a lot to be thankful for in #2017.
In October, I was invited to speak at the road dedication ceremony for Shirley and Charlie Brown in #SantaRosa County. 
I'm #thankful for the chance to speak at their ceremony.         
I wish everyone a #HappyThanksgiving!",2017-11-23 19:10:01,75,13,933774655181144064
