Text,Date,Favorites,Retweets,Tweet ID
"Today my bill, H.R. 3607, to assure continued operation of the Yosemite Medical Clinic passed the Natural Resources Committee and was favorably reported to the floor.http://bit.ly/2ngEkVd ",2017-11-30 23:10:17,13,1,936371836111159297
The tax bill leaves too many California families behind. I am voting No. See full statement at https://go.usa.gov/xnZEd .,2017-11-16 18:03:10,144,40,931221118186393600
"If it’s going to hurt Californians, postpone some of the tax plan. Leave no taxpayer behind. My column: http://bit.ly/2ApeU9x .",2017-11-09 19:06:13,30,16,928700268979654656
Leave no taxpayer behind. Just lower the rates.pic.twitter.com/z37ZQPBHlk,2017-11-08 21:56:19,30,14,928380688084164609
My comments as submitted to @SecretaryZinke in opposition to the proposed National Park fee increases.pic.twitter.com/cBDf0p7NGB,2017-11-03 16:48:14,31,10,926491217948495872
Comment period on proposed National Park fee increases runs through 11/23. Submit your comments here: https://parkplanning.nps.gov/document.cfm?documentID=83652 …,2017-10-31 17:53:32,17,19,925420486720475142
I strongly oppose #Yosemite fee increases and expressed strong objection to @SecretaryZinke.pic.twitter.com/V5BHYgufyD,2017-10-27 22:20:00,55,21,924037995921072128
"#CA04 #townhall this week: O'Neals, Thur Oct 19 6:00 PM. Minarets High School Gym, 45077 N Fork Rd.https://mcclintock.house.gov/about/events/town-hall-meeting-in-o-neals …",2017-10-18 20:06:11,5,6,920742828988358656
"Next #CA04 #townhall:  O’Neals Thur Oct 19 6:00PM.  Minarets High School Gym, 45077 N Fork Rd.https://www.google.com/maps/place/45077+N+Fork+Rd,+O'Neals,+CA+93645/@37.124631,-119.727005,15z/data=!4m5!3m4!1s0x80943c58ebf19dcf:0xbd564845ce3a3e81!8m2!3d37.1246312!4d-119.7270051?hl=en-US …",2017-10-14 02:23:58,7,4,919025960132935685
House #Budget moves us long way in the right direction and closer to morning again in America. Proud to vote yes.,2017-10-05 16:55:56,22,6,915983909598449664
"If political will were there, we could do so much more, such as enact #RSCBudgethttps://www.youtube.com/watch?v=2oan-Zm4DYU …",2017-10-05 14:13:53,12,8,915943127625666560
House #Budget Resolution uses reconciliation to bring mandatory spending under controlhttps://www.youtube.com/watch?v=0JumrGELdI4 …,2017-10-05 03:38:59,11,7,915783349100253184
Words cannot express the enormity of the #LasVegasShooting loss and reason is useless in understanding pure evil. Time to mourn and reflect.,2017-10-03 13:04:15,35,5,915200827945623552
