Text,Date,Favorites,Retweets,Tweet ID
"I'm proud of the work this task force has done thus far, and I look forward to accomplishing all of our goals in 2018.",2017-11-30 23:14:05,1,1,936372792475430914
"Thank you to Sue Hoppins, president and CEO of @NMSNetwork, for joining the forum as my guest.pic.twitter.com/2Tu7aYsnCV",2017-11-30 23:12:14,2,3,936372328912572417
We had a wonderful conversation about the many efforts available that help our vets and their families find employment and start businesses as a civilian.,2017-11-30 23:10:45,0,1,936371952192761856
"This afternoon, the @HouseDemocrats' Reinvesting in Our Returning Heroes task force co-chairs hosted the “Challenges of Vets Starting a Business and What Congress Can Do To Help” forum.",2017-11-30 23:09:51,5,2,936371728321794048
"The GOP Tax Scam is irresponsible governing. We need commonsense,  reality-based legislation that will create opportunities and savings for all Americans; not just the select few. http://bit.ly/2kexu1h pic.twitter.com/of51bUipvo",2017-11-30 22:46:30,7,3,936365849614671877
Everyone is safer when we are not polluting the air; including miners who are dying because of black lung and other deadly diseases.,2017-11-29 15:04:03,8,4,935887082433794049
Embracing clean energy and #greenjobs is a matter of public health.http://bit.ly/2j1NWyH ,2017-11-29 15:03:00,5,1,935886821971591168
Thank you @TheLiteracyLab for your work addressing the achievement gap in our classrooms!pic.twitter.com/8PBpaOtSSJ,2017-11-28 23:06:41,17,4,935646155853193216
#DidYouKnow solar and wind jobs grow at a rate 12 times faster than the rest of the U.S. economy:http://read.bi/2kAxHqP ,2017-11-28 22:37:32,12,6,935638819302526978
Pollution has real consequences. Let’s move forward and support clean energy. #ProtectCleanAir,2017-11-28 22:37:13,4,3,935638738545315842
"Regulations such as the #CPP have many health benefits such as preventing asthma in our children, and our children’s children.",2017-11-28 22:36:55,4,4,935638663555420160
We can have a strong economy and a clean environment with #greenjobs.,2017-11-28 22:36:31,5,3,935638563466694658
We have to #ProtectCPP because it protects us from air pollution and the impacts of #climatechange.,2017-11-28 22:36:16,3,2,935638500988391424
"As the co-founder of the #UnitedforClimate and #EnvironmentalJustice task force, I know we need to #protectcpp.",2017-11-28 22:35:56,5,1,935638415210635265
Americans need and deserve more than today and tomorrow to publicly inform the @epa about why we should #ProtectCPP.,2017-11-28 22:35:40,5,2,935638348688969734
Why would the @EPA hold just one hearing on an issue that is important for all Americans? #EPAinWV,2017-11-28 22:35:17,2,4,935638253620924416
All roads lead to Richmond! Virginia’s strong economy is the reason why our Richmond International Airport had a record-breaking month. #RVAhttp://www.richmond.com/business/local/in-october-richmond-international-airport-breaks-record-for-passenger-traffic/article_566d8b43-2762-54ac-a3a1-5894db101d56.html?utm_source=RTD%20Email …,2017-11-28 17:12:42,2,1,935557072514633728
You can find out more about my Pollution Transparency Act here --> http://bit.ly/2hWi0e2 ,2017-11-28 14:15:01,1,1,935512355575869441
There are clear and undeniable costs of climate change and greenhouse gas emissions – we have had enough.,2017-11-28 14:10:00,9,3,935511096231731200
"I introduced this bill to ensure that federal agencies calculate a per-unit, dollar-value cost of carbon dioxide, methane, and nitrous oxide emissions, and make those figures a part of cost-benefit analyses of proposed policy actions.",2017-11-28 14:05:01,7,3,935509840150982657
"Thank you, @RepBarragan for cosponsoring my Pollution Transparency Act. #HR3981http://bit.ly/2xYcejg ",2017-11-28 14:00:01,1,1,935508581801082880
Veterans Day should not be simply a designation on the calendar but a reminder to all of us to appreciate the service of our men and women in uniform:http://bit.ly/2hTpoqs ,2017-11-26 17:30:32,6,3,934836784827125762
In my monthly column I discuss the importance of serving our veterans as honorably as they served us: http://bit.ly/2hTpoqs ,2017-11-26 17:29:48,3,1,934836598444785666
In all of my work as a congressman — from the policy decisions I make in Washington to the services my office provides here at home — I keep veterans and their loved ones at the forefront of my mind.,2017-11-26 17:28:51,9,1,934836360757891072
You can read my monthly @RTDopinion column here: http://bit.ly/2hTpoqs ,2017-11-26 17:28:13,1,1,934836201374265344
"On this day we take time to appreciate our loved ones, blessings, and continued progress. I am thankful for the opportunity to serve the 4th Congressional District, and hope that all of my constituents have a safe and happy Thanksgiving Day with their loved ones.pic.twitter.com/fEJmcWOPxx",2017-11-23 22:20:10,10,1,933822509891440640
I am glad that eight sailors were already rescued. I hope that the remaining three are alive and rescued soon.https://twitter.com/usnavy/status/933281288563208194 …,2017-11-22 15:42:06,5,1,933359942823751680
Yesterday I joined the Transgender Veterans Support group and others to honor and remember transgender individuals we lost to senseless violence. Thank you for having me. #TDORhttp://bit.ly/2Al6y6W ,2017-11-21 22:33:47,22,8,933101158565945345
"I am appalled at tonight’s news that @FCC plans to undermine #NetNeutrality. I'll be fighting to keep the Internet a free, open, and neutral platform for all.https://twitter.com/thehill/status/932796218866130944 …",2017-11-21 03:08:19,46,19,932807862119731201
"As a member of the Transgender Equality task force, I will continue to fight for equal rights for all #LGBTQ community members.",2017-11-20 19:44:47,41,9,932696240965521408
This year at least 25 transgender individuals were killed. One life lost to hate is one too many. #TDOR,2017-11-20 19:44:32,16,8,932696177824460802
"On #TDOR, I recommit to a world where the #LGBTQ community can live without fear.",2017-11-20 19:44:19,9,6,932696124745486339
Trans rights are HUMAN rights! #TransWeek,2017-11-20 19:43:59,11,5,932696040628727809
The world would be a much better place if we all followed the #goldenrule.,2017-11-20 19:43:49,6,1,932695999595892736
We are stronger and better because of our diversity. #TransWeek,2017-11-20 19:43:40,14,8,932695959452160000
"While a compromise, I am pleased to see real progress on so many issues, and I look forward to building on what we have accomplished in this year’s bill. #NDAA2018http://bit.ly/2z2pZRY ",2017-11-15 14:50:01,2,1,930810121004961793
"Throughout the #NDAA process, I fought for language that would benefit not just our country, but residents of the 4th Congressional District. #VA04",2017-11-15 14:47:00,0,1,930809364805332993
"Here is my official statement on #HR2810, the 2018 #NDAA:pic.twitter.com/eCIYnJi6Te",2017-11-15 14:45:00,0,1,930808861493039105
You can read my full letter to @BetsyDeVosED here: http://bit.ly/2hAfTjI ,2017-11-15 14:18:00,3,1,930802065399463937
I am committed to ensuring that we address and resolve the discipline disparities that presently exist in our #publicschools.,2017-11-15 14:15:01,5,1,930801314832904194
We know the harmful effects these practices have on our young people – particularly minority students and students with disabilities.,2017-11-15 14:11:00,2,3,930800303917715456
I am alarmed by @usedgov's failure to explicitly endorse initiatives that would reduce suspensions and expulsions in our public schools.http://bit.ly/2ijjDmT ,2017-11-15 14:07:00,0,1,930799297418981377
"Rather than supporting proactive measures that keep children in the classroom and improve student outcomes, @usedgov seems to be looking back to the failed ‘zero-tolerance, no excuses’ approach of the past.",2017-11-15 14:04:00,6,2,930798542582464512
That is why I sent a letter to @BetsyDeVosED asking her to refrain from rewarding excessive discipline: http://bit.ly/2ijjDmT ,2017-11-15 14:00:02,5,4,930797542899458049
Priority 10 of @usedgov's proposed supplemental priorities for discretionary grant programs could worsen documented discipline disparities. http://bit.ly/2ijjDmT ,2017-11-15 13:57:00,0,1,930796781067268096
"Our country is safe because of the brave men and women in uniform. Happy #VeteransDay to those who are currently serving, those who have served, their family and loved ones. Thank you!pic.twitter.com/b6xA4yePkE",2017-11-11 20:30:15,5,1,929446194014760964
"It was an honor and a privilege to celebrate the service of  Virginians who served our country. We cannot thank our service men and women enough for their dedication to our safety, liberty, and freedom.pic.twitter.com/7bHedHLjsA",2017-11-11 20:29:50,5,4,929446087886278656
Smells fishy...http://bzfd.it/2zpUCQz ,2017-11-10 00:07:32,9,7,928776099756150784
400+ national parks are FREE this weekend in honor of #VeteransDay! https://on.doi.gov/2lsdZ1p  #FindYourPark,2017-11-09 22:56:51,2,2,928758308961443840
I call on @HouseGOP to find solutions that do not sacrifice those who have sacrificed enough. #GOPTaxBill,2017-11-08 23:12:36,7,4,928399884952141831
The #GOPTaxBill would cut the successful Work Opportunity Tax Credit – a federal credit available to incentivize hiring veterans.,2017-11-08 23:09:51,2,4,928399194381082625
The so-called “Tax Cuts and Jobs Act” will hurt our Veterans. #GOPTaxBill,2017-11-08 23:08:51,2,1,928398941049249792
I spoke on the House floor in opposition to the #GOPTaxBill.pic.twitter.com/fU3NSGXJ68,2017-11-08 23:04:30,11,2,928397846650458119
My official statement on #EssexVillage sale.pic.twitter.com/ncfDm6lzQD,2017-11-08 19:45:00,2,1,928347644518453250
"While collecting millions of taxpayer dollars, P.K. Management failed to meet its basic responsibilities – and that failure has hurt residents. #EssexVillage",2017-11-08 19:37:09,2,1,928345666593742849
"Under P.K. Management's poor management, residents lived in unsafe and unsanitary conditions for far too long. Everyone deserves to live in a clean, sanitary, and safe home. #EssexVillagehttp://bit.ly/2m70AAs ",2017-11-08 19:36:23,0,1,928345475463475201
"After months of my continued inquiries and pressure, I am pleased that P.K. Management has sold Essex Village. http://bit.ly/2m70AAs https://twitter.com/RTDNEWS/status/928326439618994181 …",2017-11-08 19:34:42,0,0,928345049351557120
pic.twitter.com/ksSR0CCaQH,2017-11-08 18:40:07,1,0,928331313358176259
Live interview with @CNN’s @KateBolduan just minutes away. #StayTunedpic.twitter.com/HS9OIUUC2d,2017-11-08 16:28:44,9,2,928298252130234373
".@realDonaldTrump, is this what leading looks like?https://twitter.com/nytpolitics/status/927907489223503877 …",2017-11-07 22:59:02,13,5,928034084693168129
We must do everything we can to eliminate food deserts.,2017-11-06 23:59:36,2,1,927686937435103232
This commonsense bill will help my constituents secure healthier food options for themselves and their families. #HFAAA,2017-11-06 23:59:00,3,1,927686786960240641
Our bill would create incentives for food providers to establish themselves in communities with little access to fresh foods.,2017-11-06 23:58:06,2,1,927686561264750592
That is why I introduced the Healthy Food Access for all Americans Act w/ @RepTimRyan @RepRyanCostello & @RepDwightEvans. #HFAAA,2017-11-06 23:56:37,2,1,927686189448155137
I am committed to addressing hunger and food insecurity.,2017-11-06 23:54:55,5,1,927685759833989120
Yet thousands of families in my district live in areas where food access is a problem.,2017-11-06 23:54:10,5,1,927685570960162817
"Every person, regardless of where he or she lives, deserves access to nutritious, affordable food.",2017-11-06 23:53:17,22,3,927685350293757952
#SutherlandSpringspic.twitter.com/z0D3i7G4sn,2017-11-05 23:05:11,10,4,927310856504963072
https://twitter.com/nbcnews/status/926149149082443776 …,2017-11-03 16:21:04,9,5,926484382990393344
I am hosting this Veterans Resource Fair because I am committed to serving our veterans as honorably as they have served us. #VA04pic.twitter.com/SgHhQDdIlc,2017-11-03 16:00:04,0,1,926479096653152257
"In Virginia there are 66,000 children and 1,100 pregnant women in Virginia who rely on #CHIP.pic.twitter.com/tZ2Ydm1OsI",2017-11-03 13:58:41,12,5,926448551303016448
This fair is free and open to the public. I hope to see you all there!pic.twitter.com/lDGgJSqdP1,2017-11-02 13:00:02,1,2,926071401592766464
Ignoring climate scientists will only make #sealevelrise worse.,2017-11-01 21:18:20,5,2,925834417045680130
#MustRead @13JanetRoach’s story on how #sealevelrise hurts homeowners in #VA.http://bit.ly/2h4ndnw ,2017-11-01 21:17:59,0,3,925834327576973312
"On the 1st day of #MilitaryFamilyAppreciationMonth, I recommit to shared vision to serve veterans, active servicemembers, & their families.",2017-11-01 17:23:47,2,1,925775388592177152
"Recently, I met with @VirginiaVADA to talk about how my office can best work w/ the Virginia Veterans & Defense Affairs Office.pic.twitter.com/HPGTC4cNIx",2017-11-01 17:21:14,6,3,925774749241954304
Virginians can #getcovered here: http://www.healthcare.gov  #VA04pic.twitter.com/LcWME8ENtH,2017-11-01 13:37:02,6,6,925718325526781954
I’m pleased that there are no “bare counties” in Virginia. #GetCovered,2017-11-01 13:35:02,6,3,925717823644565504
Don’t forget – if you qualified for a subsidy last year; you will almost certainly qualify again next year. #GetCovered,2017-11-01 13:32:00,15,10,925717061006970881
You can #GetCovered starting TODAY --> http://www.healthcare.gov ,2017-11-01 13:30:02,8,8,925716565168934912
"Come to my Veterans' Resource Fair on Friday, November 17th from 3:00 p.m. to 7:00 p.m. at the  @ReynoldsCollege Downtown Campus.pic.twitter.com/xOreznwdQ1",2017-11-01 13:00:03,1,3,925709019255332871
"Unfortunately, years later, pregnant workers still face discrimination in the workplace. Let's recommit to the fight for #maternaljustice.",2017-10-31 22:47:15,8,1,925494403015368705
"Thirty-nine yrs ago today, the Pregnancy Discrimination Act of 1978 became law to ensure that women are treated fairly by their employers.",2017-10-31 22:46:09,18,9,925494127206240257
Denying science is foolish. Let’s arm ourselves with the truth to protect public health now and in the future.,2017-10-31 17:29:01,6,2,925414319591907328
It’s clear: @realDonaldTrump values climate denial over actual qualifications when hiring his #DirtyDeputies.http://bit.ly/2gWUIYO ,2017-10-31 17:28:00,11,8,925414064209010688
Trump’s nominee to lead the White House environmental council is an outspoken climate denier. #DirtyDeputies http://bit.ly/2gWUIYO ,2017-10-31 17:25:51,4,7,925413520665075712
"This ban remains a slap in the face to every one of those Americans, and I am pleased that it has largely been blocked from taking effect.",2017-10-31 13:00:04,6,3,925346634447204352
Open Enrollment is Nov 1 - Dec 15! Don’t miss your chance to #GetCovered & buy/change your health insurance plan.,2017-10-31 12:05:01,9,15,925332782057844737
"Starting tomorrow, you can select 2018 healthcare plans for you and your family. #GetCovered #VA #VA04",2017-10-31 12:00:05,7,7,925331537561661440
@POTUS' baseless transgender military ban was another discriminatory item on the White House’s hate-filled agenda.http://bit.ly/2ifZ89J ,2017-10-30 21:28:37,7,4,925112228151545856
No one should ever be unfairly targeted — least of all the brave Americans who serve in our military. #transmilitaryban,2017-10-30 21:27:27,21,4,925111933828784129
Here is my official statement about today's court ruling on @realDonaldTrump's #transmilitaryban:pic.twitter.com/kcdMlZFtxG,2017-10-30 21:26:45,14,5,925111758494355456
The courts have protected our American values!https://twitter.com/reutersus/status/925063048943063042 …,2017-10-30 18:25:42,11,1,925066195182739457
This law provided a good beginning so that victims of hate crimes van receive justice.,2017-10-28 16:02:02,2,1,924305263213056004
On #ThisDayinHistory the Hate Crime Prevention Act was signed into law.,2017-10-28 16:00:01,8,4,924304755933016064
"#Birthcontrol is #healthcare, plain and simple.pic.twitter.com/DSF8kFOj15",2017-10-26 15:43:30,14,1,923575824091172865
"Isolating #contraception from other #healthcare benefits would be a harmful step backward for women, companies, and families.pic.twitter.com/SCUl0QzFhB",2017-10-26 15:42:00,4,2,923575449174794240
Insurance execs shouldn’t have a license to discriminate against women. The benefits of #birthcontrol & family planning are undeniable.,2017-10-26 15:39:26,9,2,923574800152432642
Congress must reverse @POTUS' rule allowing employers to opt out of covering #birthcontrol.,2017-10-26 15:39:16,7,1,923574758708580352
"Proud to stand with @RepDianaDeGette, 180+ of my colleagues & millions of women who rely on the #ACA’s #birthcontrol mandate.",2017-10-26 15:39:03,4,1,923574706552426496
I signed a letter expressing concerns about @POTUS’ latest assault on #reprorights. Contraception is an essential part of healthcare.,2017-10-26 15:38:28,6,1,923574556891246593
pic.twitter.com/7DYS1QqWzh,2017-10-25 22:35:04,1,1,923317010389438465
I urge my colleagues to support my amendment to #HR469. Justice delayed is justice denied. https://twitter.com/demcloakroom/status/923303638575001600 …,2017-10-25 21:48:01,2,1,923305172469723142
Litigation empowers citizens to hold federal agencies accountable when they fail to take required actions by concrete deadlines.,2017-10-25 21:29:35,21,15,923300533737160704
My amendment would except consent decrees & settlement agreements  pertaining to the maintenance/improvement of air and water quality.,2017-10-25 21:28:38,16,7,923300294678548480
My amendment seeks to reduce H.R. 469’s adverse effects on public health and environmental quality.https://twitter.com/DemCloakroom/status/923299635954794496 …,2017-10-25 21:27:25,26,10,923299984467836928
#HappeningSoon I will be on the House floor debating my amendment to #HR469https://twitter.com/DemCloakroom/status/923283773168463875 …,2017-10-25 20:41:17,12,5,923288377486606336
The deadline for the @CongressionalAC is one week away! All #VA04 students can apply here: http://bit.ly/2uyJT19 ,2017-10-25 16:00:04,1,1,923217607079219201
"Ignoring facts doesn’t make them go away, @EPAScottPruitt.http://nyti.ms/2zDASFJ ",2017-10-25 14:55:44,71,37,923201417850032128
Don’t miss your chance to #GetCovered. Health Insurance Marketplace Open Enrollment starts November 1st. http://bit.ly/1dn07dY ,2017-10-25 14:52:28,3,4,923200593740619776
I thank @GovernorVA for committing Virginia to upholding the Paris Agreement.,2017-10-25 13:33:32,8,3,923180729957212160
The U.S. & Syria are the only countries that don't support the Paris Climate Accord. Embarrassment and disgrace.http://bit.ly/2yIFM7t ,2017-10-25 13:31:21,16,10,923180181757444096
It’s beyond time to #stoptheabuse. I stand in solidarity w/ all who have been affected by domestic violence. #DomesticViolenceAwarenessMonth,2017-10-24 20:05:09,6,2,922916893521932288
"Thank you, @LamazeOnline, for your work to help women and their families make informed, healthy choices about childbirth.pic.twitter.com/vlRBINf596",2017-10-24 18:49:50,1,1,922897941282598914
"In the words of @RepMaxineWaters, let’s reclaim our time. #breastcancermonthpic.twitter.com/hNOm1DhePU",2017-10-24 16:00:01,2,1,922855203992322048
I spoke on the House floor to honor the 100th anniversary of @USArmy's Fort Lee​ in Virginia. We're grateful to all who served at Fort Lee.pic.twitter.com/2Y9qkYOlDR,2017-10-24 15:41:03,4,2,922850431935631360
Conservative & liberal think tanks agree: deporting #DREAMers would hurt the economy.http://bit.ly/2l7jlmG ,2017-10-23 14:05:04,24,18,922463889819947009
#DREAMers share our American values and principles. http://bit.ly/2l7jlmG ,2017-10-23 14:04:02,1,1,922463628657332226
