Text,Date,Favorites,Retweets,Tweet ID
The bill passed on a 409-8 vote. This was a rare example of bipartisanship at its finest as both sides came together to reauthorize and strengthen a bill that helps economic development nationwide.pic.twitter.com/MmULPX54JE,2017-11-30 22:40:25,8,4,936364322615422982
"The House just passed my bill reauthorizing the Brownfields Program. In West Virginia we have hundreds of these sites, and the Brownfields Program has been an important tool to turn these abandoned eyesores into economic opportunity.http://thehill.com/policy/energy-environment/362664-house-passes-epa-contaminated-site-clean-up-bill …",2017-11-30 22:21:32,4,0,936359568329924608
"Today, the House will vote on my bill to reauthorize the Brownfields Program. West Virginia has hundreds of these properties. This bill will speed up our ability to mitigate the environmental hazards present & turn these eyesores into economic opportunity.https://youtu.be/xZK5GBQVLos ",2017-11-30 20:40:02,5,3,936334026322907136
Great having you and the family here today Jon!,2017-11-30 20:25:27,1,1,936330355220598785
It was awesome having @PastorJonLands serve as Guest Chaplain for the House this afternoon!https://twitter.com/PastorJonLands/status/936328706028654597 …,2017-11-30 20:24:28,4,0,936330107995787265
"It was an honor to give an introduction for @PastorJonLands this afternoon. His service to his church, and our community, is inspiring.https://youtu.be/dFSPg75N2zA ",2017-11-30 19:08:02,28,19,936310872271712257
"Today, @PastorJonLands , the Senior Pastor of Fellowship Baptist Church in Parkersburg, served as Guest Chaplain for the House of Representatives. Click the link to listen to his invocation.https://youtu.be/UTXdsk4w704 ",2017-11-30 19:05:45,5,2,936310299946311681
Thanks to @NAIFA for stopping by today!pic.twitter.com/FxoAaRH7Ak,2017-11-30 16:25:33,4,4,936269980437565440
Great having @OilGasCanada in the office today!pic.twitter.com/kG1tOKDCag,2017-11-30 16:23:56,1,1,936269575896948737
Enjoyed speaking to Potomac Edison this evening about ensuring our electric grid’s liability and the status of tax reform.pic.twitter.com/HTBoXCiA1l,2017-11-30 02:03:56,5,2,936053149936308225
"The House just voted unanimously to require sexual harassment training for members and staff. While this is a good first step, there is still more work to do.http://thehill.com/blogs/floor-action/house/362405-house-votes-to-mandate-sexual-harassment-training-for-members-and …",2017-11-29 20:46:36,5,4,935973290673426432
Great to have the @WVaChamber in the office today.pic.twitter.com/l4qfYnNN7N,2017-11-29 20:30:42,7,3,935969288573374464
"Today, I gave a one minute speech honoring Dr. Robert Martino of Clarksburg, West Virginia. in 2013 he founded @FreedomDayUSA, which is a day of free services to active duty military and their families. Thank you for your example Dr. Martino!https://youtu.be/xhfFOet9tNI ",2017-11-29 17:58:21,6,6,935930948557901824
Glad to see these fine young West Virginians receive the recognition they deserve!http://www.wdtv.com/content/news/service-460596943.html …,2017-11-29 13:59:25,1,1,935870818428604418
Mary and I had a great time listening to @KenBurns discuss his famous Vietnam and Civil War documentaries this evening.pic.twitter.com/wfLi21JWmZ,2017-11-29 02:33:43,17,3,935698257992404992
I'm speaking before the Rules Committee now on the Brownfields Reauthorization legislation. Click the link to watch live! https://rules.house.gov/video/rules-committee-hearing-hr-3905-and-3017 …,2017-11-28 22:34:52,1,2,935638150000635905
Join us at a forum on the opioid crisis this Monday @ 6:30 pm. Hear from federal & state reps on efforts to fight this public health emergency. Event will be at at University High School in Morgantown.http://www.businessinsider.com/opioid-crisis-death-rates-four-states-us-average-trump-2017-10 …,2017-11-28 18:40:16,2,3,935579107076853764
"Glad to see the Trump Administration coming to the heart of coal country, the area most affected by these harmful policies, to listen to those closest to the issue on the coal-crushing effects of the power plant regulations.https://www.washingtontimes.com/news/2017/nov/27/epa-officials-to-visit-charleston-west-virginia/ …",2017-11-28 14:28:44,1,6,935515810143047680
"Join us Monday, Dec 4th in Morgantown for a public forum on the opioid crisis in rural America. Will be hearing from federal & state reps on coordinated efforts to combat opioid abuse. 6:00 pm at University High School. Click the link for more details. https://mckinley.house.gov/events/public-forum-on-efforts-to-combat-the-opioid-epidemic/ …",2017-11-27 17:36:47,1,3,935200744478838784
"On Monday, December 4th, we will be holding a public forum in Morgantown on the opioid epidemic. We will hear from federal and state agencies on the coordinated effort to combat this crisis. Click the link to find out more! https://mckinley.house.gov/events/public-forum-on-efforts-to-combat-the-opioid-epidemic/ …",2017-11-22 15:39:48,7,5,933359367063265280
Great coverage honoring our 14 nominated students. https://www.theet.com/news/free/mckinley-nominates-to-service-academies/article_df7fa7bf-7c5f-5299-b868-69a110a2896b.html …,2017-11-21 18:39:57,3,4,933042316109078528
"Today, I nominated 14 student to the U.S. Service Academies. These young men and women represent the best our state has to offer.  West Virginia continues to produce the next generation of leaders. https://mckinley.house.gov/press-releases/mckinley-nominates-14-students-to-service-academies/ …",2017-11-21 17:53:21,19,6,933030588503744513
"On Dec. 7th, the Energy Subcommittee will be hearing from EPA Administrator Scott Pruitt for the 1st time. I'd like some feedback from you all before this hearing. Click the link to send the questions you'd like us to ask Mr. Pruitt! https://mckinley.house.gov/surveys1 ",2017-11-21 13:32:16,0,1,932964885289369600
More coverage on our legislation to prevent $1.6 billion in cuts to rural hospitals. https://www.beckershospitalreview.com/finance/2-lawmakers-seek-to-stop-1-6b-in-payment-cuts-to-hospitals.html …,2017-11-21 03:32:56,1,3,932814057635278849
Deer hunting season begins today. Click the link below to find important safety and regulations tips.  http://www.wvdnr.gov/hunting/hunting_regs.shtm …,2017-11-20 18:32:01,5,1,932677932006469632
Mortgage interest deductions for existing home owners aren’t changed at all under the legislation.,2017-11-19 15:48:43,0,2,932274447242989571
"Disappointing result today for @WVUfootball, but it was great to run into our good friend David Tyson from Huntington. Oklahoma up next!pic.twitter.com/YIwq0fWyDm",2017-11-18 22:42:09,5,1,932016100799336484
"By doubling the standard deduction, most families will be able to file their taxes on the a form the size of a postcard. #FairAndSimple #1182Morepic.twitter.com/U9QwhRu4Yt",2017-11-18 17:20:52,4,2,931935249734471680
"#TaxReform cuts rates for small businesses, opening the door for job growth on Main Streets nationwide.pic.twitter.com/oibKD52zRH",2017-11-17 21:06:12,3,3,931629566375989248
"Have you signed up for my weekly newsletter? Visit the link to join, and stay up to date with everything we're doing for the citizens of the 1st District. https://mckinley.house.gov/enewsletters/ ",2017-11-17 19:32:33,2,1,931606001312256001
"Under the House passed bill, a typical middle-class family of four will see a tax cut of $1,182. #TaxReform #1182morepic.twitter.com/MQjNx0Cj8v",2017-11-17 18:56:04,17,5,931596820186320897
"For new home mortgages, you will still be able to claim a mortgage-interest deduction on up to $500,000 of mortgage principal. #1182more #TaxReformhttps://twitter.com/SpeakerRyan/status/931580271673176064 …",2017-11-17 18:11:00,121,39,931585476741517312
Fact: this tax plan will bring much needed relief to the middle-class and allow families to keep more of their hard-earned dollars! #TaxReform #1182morepic.twitter.com/dCHp4Q3HDr,2017-11-17 15:49:28,10,6,931549858703577089
ICYMI: I will fight to ensure the #HistoricTaxCredit is included in the final version of #TaxReform.https://twitter.com/ShawSprague/status/931256825177047042 …,2017-11-16 21:58:21,7,6,931280303871746049
pic.twitter.com/AYFMv35DFZ,2017-11-16 20:38:57,3,1,931260322337427456
"The Tax Cuts & Jobs Act has PASSED! Here’s how it will help your family:
 Lowers tax rates
 Increases the standard deduction
 Eliminates special-interest deductions
 Preserves the Adoption credit
 Repeals the Death Tax",2017-11-16 20:28:09,12,7,931257602981421056
"We must make the tax code simpler & fairer. This bill removes special interest loopholes, reduces rates, & makes it so that most can file taxes on a postcard. It will also increase America’s competitiveness on the world stage, & open the door for private sector job creation.pic.twitter.com/mVpwHOCjmg",2017-11-16 19:53:37,2,1,931248915327877121
"We have a clear choice here: do we allow the status quo to continue, which only benefits the wealthy and politically connected? Or do we allow the process to continue and fight to ensure the final version is the best deal possible for the middle class and small employers?pic.twitter.com/MsmzvgcIEx",2017-11-16 19:51:56,9,4,931248491820707840
"Great to have @POTUS join us ahead of today's vote on #TaxReform. It's been 31 years since we've updated our code, and it's time to bring some much needed relief to the middle-class!pic.twitter.com/iG2kUKgHLG",2017-11-16 17:25:36,6,5,931211663163953152
"This legislation ensures that hospitals can continue providing affordable services, and gives rural families peace of mind. (2/2)https://twitter.com/RepMcKinley/status/930930010298470400 …",2017-11-15 22:47:01,3,0,930930161771515909
"Protecting access to to care for low income communities is a priority.  I led a bipartisan letter 2 CMS w/nearly 250 signers, asking 2 reconsider, but they didn’t listen. (1/2)https://www.axios.com/bipartisan-bill-would-halt-cuts-to-hospitals-drug-subsidies-2509725144.html …",2017-11-15 22:46:24,3,1,930930010298470400
"As these reforms are implemented, we would appreciate hearing from homeowners. That’s one way for us to know if these changes are effective in keeping premiums low.http://thehill.com/business-a-lobbying/360350-house-passes-bill-to-renew-overhaul-federal-flood-insurance …",2017-11-15 16:11:33,4,2,930830639758225408
"WV was just awarded a $642,000 grant to reduce mining accidents, injuries, and illnesses by supporting safety and health courses, and other programs. The grant covers training and retraining of miners working in surface and underground coal mines.https://www.dol.gov/newsroom/releases/msha/msha20171113 …",2017-11-14 13:59:26,3,2,930435003279962112
The Museum of the Bible in DC is an absolute “must see” for Americans of all faiths.  It opens officially this Saturday.  Awe inspiring,2017-11-14 01:29:32,10,5,930246287663992832
"Shenhua Energy Company's planned $83.7 billion investment will be the largest in our state's history. There's still work to be done, but there is much to be hopeful about in the Mountain State.http://www.wdtv.com/content/news/Congressman-McKinley-talks-about-China-energy-deal-456689493.html …",2017-11-13 15:59:01,1,1,930102713349824512
Happy Veterans Day! Thank you to all who have served and guarded the wall!pic.twitter.com/JDCqafFJu0,2017-11-11 16:50:26,5,2,929390873581969408
Happy 242nd birthday to the United States Marine Corps!pic.twitter.com/VXhAvHs7Pe,2017-11-10 17:41:53,3,2,929041433163714560
