Text,Date,Favorites,Retweets,Tweet ID
Pleased to partner w/ my colleague @RepMikeQuigley on a bipartisan effort to help law enforcement better enforce our gun lawshttps://meehan.house.gov/media-center/press-releases/meehan-quigley-introduce-bipartisan-bill-to-alert-law-enforcement-when …,2017-11-29 17:10:47,3,2,935918977066389505
"As Thanksgiving comes to a close, be sure to say a special prayer of thanks for our first responders and military personnel who spent today away from their families to serve their community and country.",2017-11-24 00:45:01,38,6,933858962017013760
"From my family to yours, Happy Thanksgiving!",2017-11-23 16:05:32,25,1,933728230418407424
My thoughts are with former Gov. Tom Ridge -- hopeful he makes a full recovery.,2017-11-16 21:11:06,7,4,931268411434209280
The House just passed historic tax relief for the middle class in Pennsylvania.https://meehan.house.gov/media-center/press-releases/house-passes-landmark-tax-relief-package …,2017-11-16 21:09:10,16,6,931267926522507264
"#TaxReform means for a family of four, the first $55,000 in income will be tax free.pic.twitter.com/ZkLnEpYBh7",2017-11-15 14:57:03,6,5,930811893354237955
"A middle-income family of four in #PA7 will see a tax cut of more than $5,100 -- that's more money in YOUR pocket to spend putting your kids through school or making a mortgage payment.",2017-11-14 17:44:43,19,11,930491701214568449
"Had the opportunity to honor our veterans this past weekend at the Tel Hai retirement community in Honey Brook, Chester County.pic.twitter.com/X83tcwvNHs",2017-11-13 14:06:43,2,1,930074451236065286
The House is one step closer to bringing tax relief to middle-class Pennsylvania familieshttps://meehan.house.gov/media-center/press-releases/house-moves-one-step-closer-to-bringing-tax-relief-to-middle-class …,2017-11-09 22:49:15,13,4,928756398153977856
"""...a reduction in tax liability for every scenario...largest cuts accruing to moderate-income families...""https://taxfoundation.org/gets-tax-cut-tax-cuts-jobs-act?utm_source=Federal+Legislative+Outreach&utm_campaign=54cd368397-EMAIL_CAMPAIGN_2017_11_01&utm_medium=email&utm_term=0_027933e101-54cd368397-429125513&mc_cid=54cd368397&mc_eid=079b3c8c23 …",2017-11-03 00:02:01,4,5,926237996671754243
"What does the tax reform bill released today mean for YOU? 

Find out: https://waysandmeans.house.gov/wp-content/uploads/2017/11/WM_TCJA_TP.pdf …",2017-11-02 23:08:25,0,0,926224508029231105
"The Tax Cuts & Jobs Act brings tax relief to those who need it most: hardworking Pennsylvania taxpayers 

---->https://meehan.house.gov/media-center/press-releases/tax-bill-brings-tax-relief-to-those-who-need-it-most-hardworking …",2017-11-02 20:16:06,2,2,926181143967346689
"Seven House Representatives: Opioid addiction and abuse is not partisan, it's about saving lives http://fxn.ws/2zbujwT  #FoxNews",2017-11-01 21:02:27,3,5,925830416887615488
"November is #NationalDiabetesMonth, learn about prevention and treatment options here:http://1.usa.gov/1RCAr1D ",2017-11-01 20:38:44,4,4,925824448548220929
Praying for all those affected by today's events in Lower Manhattan.,2017-10-31 23:49:47,13,3,925510140991803392
Thank you all for making the trip to DC. Enjoyed the chance to speak with you.https://twitter.com/iiluscri/status/918819192689872899 …,2017-10-13 14:33:51,0,0,918847255951626241
Pleased to be on hand for @POTUS speech on #TaxReform in PA -- strong focus on what tax reform means for middle class & small business jobs,2017-10-11 23:15:07,20,6,918253660227989505
"Happy Birthday to my friend and @WaysandMeansGOP colleague from Texas, @SamsPressShop",2017-10-11 15:08:55,2,2,918131305602322433
"Next up at #meehanYLS17: @Rafaelilishayev, founder of @GoPuffpic.twitter.com/KA6Z51xCAT",2017-10-10 14:49:08,5,4,917763936220524544
"Our first speaker for #meehanYLS17: @girlsautoclinic -- Patrice Banks, owner of a small business in Upper Darby, Delaware Countypic.twitter.com/A1JAgXNXCI",2017-10-10 14:20:56,1,3,917756839898607616
"So many braved the rain this AM to fight for good-paying refinery jobs at risk because of a broken Washington policy
http://www.philly.com/philly/business/energy/philly-refiners-urge-trump-to-protect-their-embattled-industry-20171009.html …pic.twitter.com/2zUM0sbFSY",2017-10-10 02:21:11,3,1,917575707773063168
Pleased to work with my friend @DonaldNorcross on such an important issue for working familieshttps://twitter.com/cm_greenwood/status/915658100669116418 …,2017-10-04 19:22:52,4,0,915658499132198912
Talking about how we can lower the cost of prescription drugs with @KathleenKoch1 at an @AtlanticLive forum this AMpic.twitter.com/iD7gEJLbcT,2017-10-03 13:23:30,6,3,915205670793867265
Terrible news out of Las Vegas this morning. Praying for all the victims and their families.,2017-10-02 12:40:39,13,2,914832499053821954
With the @ReadingChamber this morning for a roundtable discussion with small businesses on tax reform and the framework released this weekpic.twitter.com/SSCJwKFNOy,2017-09-29 15:33:32,0,1,913788843693871104
With @SpeakerRyan at Penn Machine in Aston to talk about #taxreform and how it will mean more manufacturing jobs for Pennsylvania familiespic.twitter.com/9fqVlgYmAg,2017-09-28 19:00:02,77,16,913478423250644999
One of the very special moments on the House floor. Welcoming back our friend @SteveScalise. Tears in many eyes & many answered prayers.pic.twitter.com/f75z2D5ufN,2017-09-28 15:41:50,50,9,913428546961461248
Thrilled to have you back and great to see you Steve.https://twitter.com/stevescalise/status/913405166178783232 …,2017-09-28 15:29:06,9,1,913425339132579841
"The framework announced today is a serious, thoughtful path to revamping a broken tax code. Learn more: https://meehan.house.gov/media-center/press-releases/gop-tax-framework-a-serious-thoughtful-path-to-revamping-a-broken-tax …pic.twitter.com/RO0asBUMQ9",2017-09-27 19:33:37,9,3,913124486198775808
"Joined @DelawareCCC as it celebrates its 50th anniversary and introduces its new President, Dr. Joy Gates Black.pic.twitter.com/L96gcpiv7U",2017-09-24 00:38:15,10,2,911751598308814850
Joining @HallieJackson with @RepMarciaFudge to discuss our bipartisan #REACHAct which takes on dangerous on-campus hazing.pic.twitter.com/dA8dHJw55F,2017-09-18 14:54:14,25,8,909792687171276801
With the @TODAYshow's Matt Lauer moments after appearing live to discuss bipartisan #REACHActpic.twitter.com/27QBM2HiIE,2017-09-18 12:55:02,5,3,909762691681660929
In the @TODAYshow Green Room -- will appear in the 8am hour to talk about bipartisan legislation that addresses hazing on college campusespic.twitter.com/KIRuAExE2w,2017-09-18 11:07:15,38,7,909735566245339137
Thank you to my former colleague @SecPriceMD for joining us in #Delco today to talk about efforts to fight the opioid addiction crisis.https://twitter.com/SecPriceMD/status/908785519945031680 …,2017-09-15 20:18:13,7,2,908787055467143169
"Honoring the memory of Plymouth Township Police Officer Brad Fox, who lost his life in the line of duty five years ago today.pic.twitter.com/o94VMERG2G",2017-09-13 15:59:17,12,5,907997116861177856
"Tax reform means more jobs & more opportunity for hardworking Pennsylvania families 

https://fairandsimple.gop/?utm_source=meehan …

^Learn more here^",2017-09-12 21:49:56,9,2,907722972856815619
Paid tribute to the memory of the lives lost in the 9/11 attacks yesterday at the Delaware County September 11th Memorial Service.pic.twitter.com/YnYwXoronj,2017-09-12 16:36:02,4,3,907643978870411264
With @thehill's Bob Cusack to talk about innovation in medicine & health care #genes4medicinepic.twitter.com/7c8sruRGSz,2017-09-12 13:04:40,5,4,907590785377427456
Honoring all the lives lost on this anniversary of 9/11 #NeverForgetpic.twitter.com/LTQuKuyukN,2017-09-11 17:41:20,12,6,907298025260843009
Praying for all those in Florida as #Irma begins to hit the Florida Keys. My thoughts will be with you the next few days.,2017-09-10 00:14:42,8,1,906672242276388870
"My friend @RepCharlieDent is an accomplished legislator, a fighter for PA & a friend. His voice and insight will be missed in our delegation",2017-09-08 03:24:02,23,6,905995113695981568
Apprenticeship programs can be a terrific path to a good-paying middle-class career http://www.delcotimes.com/article/DC/20170905/NEWS/170909840 … via @delcotimes,2017-09-06 17:40:03,3,1,905485760857550849
The House just approved a $7.85 billion aid package for #Harvey victims.,2017-09-06 16:35:58,19,7,905469634400399361
Joined @DonaldNorcross at IBEW 654 in #Delco to push for passage of legislation that would make apprenticeships more affordablepic.twitter.com/4YrbNVWlNc,2017-09-05 14:53:35,9,1,905081483504881664
Toured Retliff Testing Laboratories on Tuesday to talk about what #TaxReform could mean for jobs & our economy.pic.twitter.com/DoSEE3xlkI,2017-08-30 18:44:53,3,3,902965361619894274
I was caught reading this week for @Interboro_SD Summer Reading Challenge! #GetCaughtReadingISDpic.twitter.com/51ABQqsxFz,2017-08-30 17:46:22,12,3,902950635221463049
Thank you to Advanced Rx for hosting me yesterday for a tour of its facility and a discussion on the work they do as a compounding pharmacy.pic.twitter.com/yCuL1ojmAb,2017-08-30 17:39:00,3,1,902948784551886848
"Honored to join @BoeingDefense in Ridley Park, #Delco today as workers begin upgrades to the venerable H-47 Chinook series of helicopters",2017-08-24 15:30:32,2,3,900742126727827456
"The @UrbanOutfitters fulfillment center in Gap, Lancaster County supports hundreds of jobs. Had the opportunity to visit today.pic.twitter.com/X0YskrbE62",2017-08-23 19:45:15,7,4,900443839772721155
"Joined the Lancaster County Farm Bureau for a farm visit today to learn more about challenges, opportunities in the agriculture industrypic.twitter.com/ioYjLqFayg",2017-08-23 15:08:49,8,2,900374272090161153
Sad news. My prayers for the injured.https://twitter.com/philheron/status/899953539035930626 …,2017-08-22 12:06:15,4,2,899965940376494082
"2/ No more artificial timelines, just a firm commitment to finishing the job and leaving a stable Afghanistan that won't harbor terrorists.",2017-08-22 03:17:17,5,5,899832823720415233
"1/ After more than 16 years of war in Afghanistan, pleased to see @potus lay out a strategy to defeat the Taliban/al-Qaeda and win the war.",2017-08-22 03:16:08,8,4,899832533872934914
"Good news. Will make our cyber defenses more effective
--
White House to elevate cyber to full combatant commandhttps://www.stripes.com/white-house-to-elevate-cyber-to-full-combatant-command-1.483535#.WZdHremBCiE.twitter …",2017-08-18 20:05:56,7,6,898637106326552576
My condolences and prayers for all the victims of the senseless act of terror in #Barcelona today.,2017-08-17 20:18:34,12,1,898277897617760257
A man of great character and integrity. Pleased to see him at the helm of the @FBI.https://twitter.com/cnbc/status/892494283508416513 …,2017-08-01 21:33:55,10,4,892498655630028800
Sad news. Jan was a passionate advocate and a strong voice for what she believed in. My condolences to her family.http://www.delcotimes.com/general-news/20170731/haverford-activist-fought-to-the-end-for-environment …,2017-08-01 15:48:23,16,4,892411697310437378
