Text,Date,Favorites,Retweets,Tweet ID
Congratulations @LaneBeattie who has provided great leadership to the @SaltLakeChamber for 15 years! #utpolhttp://www.sltrib.com/news/business/2017/11/30/beattie-to-step-aside-after-15-years-as-president-of-the-salt-lake-chamber/ …,2017-11-30 23:01:44,17,4,936369683632140288
"We're hearing every day about #sexualharassment.  It's unacceptable and shocking, but we need to have these conversations to stop this behavior. 
#utpolpic.twitter.com/VpsWjpEmHz",2017-11-30 20:03:30,33,7,936324830626017280
"Here's the #bottomline with #TaxReform: Families will be able to keep more of their own $$$ so they can make their own decisions about how to spend it. #utpol
@TeamCavuto #TaxCutsandJobsActpic.twitter.com/cKkg8jhUfs",2017-11-30 18:55:58,40,15,936307834052104192
"Looking at #TaxReform in the @USSenate - We need to simplify the #TaxCode and let people keep more of their own $$$. #utpol
@TeamCavutopic.twitter.com/QEFlZV3NSU",2017-11-30 18:52:02,22,9,936306845551128577
Talking #taxReform on @TeamCavuto NOW! #utpol #foxbusinesspic.twitter.com/8mxRUOYPBK,2017-11-30 17:52:35,19,2,936291883369881602
"Tune in to @kslnewsradio @DougWrightShow in a few minutes, we're talking about my work toward bipartisanship in D.C.
#utpol",2017-11-30 17:15:02,7,2,936282433493852160
"I'll be appearing on @kslnewsradio @DougWrightShow to talk about bipartisanship forum at 10:20 MT.
#utpol 
Here's more:http://thehill.com/latino/362495-lawmakers-discuss-how-to-curb-partisanship …",2017-11-30 16:44:00,3,3,936274626786877443
"#Partisanship is a big problem in DC. Last night, @TheHill forum, talked about how I am reaching across the aisle in the interest of representing my district better.  
Here is a write up:  
http://thehill.com/latino/362495-lawmakers-discuss-how-to-curb-partisanship …
#utpol",2017-11-30 15:19:36,26,8,936253386210578433
"About to start @thehill conversation on #bipartisanship
#utpolpic.twitter.com/3Y9Q727Ws3",2017-11-29 23:39:54,10,3,936016900152352768
"I just voted YES on H.Res. 630, to require Members of Congress and their staff to take anti-sexual harassment training.  This is the first step in reforming a broken process.  #utpol",2017-11-29 20:38:41,170,33,935971296273297408
Too many people have gotten really comfortable doing inappropriate things. #utpolhttp://www.sltrib.com/news/politics/2017/11/29/utahs-female-politicians-have-been-kissed-and-touched-without-consent-here-are-some-of-their-stories/ …,2017-11-29 18:37:19,55,22,935940755583045632
"Tonight: @TheHill forum on #Bipartisanship-I'll be talking about my work w/@OfficialCBC & several issues.  Watch here, 4:30pm MT http://bit.ly/2AdhuTd 
#utpolpic.twitter.com/gWpA4I21C3",2017-11-29 17:02:01,6,1,935916769742598144
"I believe in getting things done, and reaching across the aisle when I can.
I'll be talking w/@TheHill about #Bipartisanship tomorrow, 4:30pm MT. Info: …https://leadershipinactionnewsmaker.splashthat.com/  Online tomorrow: http://bit.ly/2AdhuTd  #Issues #utpolpic.twitter.com/K9eQcZkOSc",2017-11-28 22:09:00,31,9,935631640705032193
