Text,Date,Favorites,Retweets,Tweet ID
Back at number one! Livingston County in #MI08 has the lowest unemployment rate in the state @ 3% http://whmi.com/news/article/29952 …pic.twitter.com/IZrc6lbvBx,2017-11-30 15:51:07,9,5,936261317794648064
"Absolutely devastating. Our prayers are with Deputy Overall's family, the Oakland County Sheriff's Office and our brothers and sisters in blue.http://www.detroitnews.com/story/news/local/oakland-county/2017/11/23/oakland-deputy-killed-fleeing-suspect-car/891134001/ …",2017-11-24 03:28:22,5,1,933900069979467777
"From my family to yours, I hope you've had a relaxing and bountiful Thanksgiving, #MI08. We are especially grateful for our brave men and women in uniform who are defending our freedom today.",2017-11-24 03:19:28,16,2,933897832527990785
"America, we're ready to deliver real relief to hardworking taxpayers at every income level - and soon. MY STATEMENT HERE: https://mikebishop.house.gov/media-center/press-releases/bishop-joins-house-passing-historic-tax-reform-legislation … @WaysandMeansGOP #MI08 @HouseGOPpic.twitter.com/fHj93zka9c",2017-11-16 19:07:05,11,3,931237204847886336
"Today is the day - it's time to deliver on #taxreform. The ""Tax Cuts & Jobs Act"" will deliver real relief and create new jobs all across Michigan and #MI08.pic.twitter.com/hsXH4CysaV",2017-11-16 16:18:15,20,12,931194716971991042
"We know there’s a lot of information flying around out there, but we've got the numbers you need to know. It's time for #taxreform.pic.twitter.com/oofYORv9in",2017-11-15 19:01:25,118,34,930873387639083008
"The largest troop pay raise in 8 years passed 356-70 in the House last night. Our men & women in uniform deserve this kind of support, and more. #NDAAhttps://mikebishop.house.gov/media-center/press-releases/house-passes-bipartisan-2018-ndaa-bishop-s-support …",2017-11-15 18:53:47,4,2,930871469097279489
"The Michigan Republican delegation is united in advancing pro-growth, pro-American #taxreform at every level. @WaysandMeansGOP @HouseGOP https://youtu.be/zv_cIwLrUpQ pic.twitter.com/DHZqEEiShO",2017-11-13 22:32:18,49,19,930201683795300352
"These brave men and women fought for us; now it’s our duty to continue fighting for them. God bless our veterans. This #VeteransDay, learn more about this bills we passed this Congress to improve care for our heroes:https://www.gop.gov/today-we-thank-our-veterans/?utm_source=twitter&utm_content=vaday …",2017-11-11 16:01:18,3,2,929378510556278787
"On #VeteransDay, we set aside time to honor their sacrifice – their immeasurable effort, time, and dedication to our country. They deserve this recognition every single day of our lives.",2017-11-11 15:49:15,12,2,929375476023472130
