Text,Date,Favorites,Retweets,Tweet ID
"It’s time taxpayers stop paying for anonymous sexual harassment settlements. I cosponsored legislation to end these secretive payments, prohibit such payments in the future, and require the perpetrators who previously settled claims to reimburse taxpayers.http://bit.ly/2ALhLht ",2017-11-30 22:57:34,25,6,936368636809371648
"TODAY: Join my staff in Rancho Santa Margarita and the Canyons for mobile office hours.  For a full list of services offered to constituents, please visit: http://Walters.House.Gov .pic.twitter.com/vW3BPjDIax",2017-11-30 14:50:38,3,3,936246094396297217
Harassment & discrimination have no place in in the halls of Congress. I'm proud to cosponsor legislation that passed the House that mandates annual anti-harassment & discrimination training for every congressional member & employee. Read More:http://bit.ly/2jwMzat ,2017-11-29 21:01:19,18,11,935976992213696513
"Great to welcome my friends from Sacramento, Janet and Jim Cassie, to my Washington, D.C. office today. They will be touring the White House tomorrow and taking in the incredible Christmas decorations!pic.twitter.com/C8JaCKKrKI",2017-11-28 23:30:00,4,2,935652023374106624
"Today’s ICBM launch by N. Korea was its highest yet and a provocation to the U.S. & our allies.  Given specific concerns of a nuclear strike on the West Coast, we must continue to pressure N. Korea and strengthen our missile defense capabilities.http://www.cnn.com/2017/11/28/politics/north-korea-missile-launch/index.html …",2017-11-28 21:25:29,10,5,935620687850541057
America is the most charitable Nation on earth.  I encourage everyone to get involved this #GivingTuesday to help make #CA45 and our country a better place.  Many thanks to all the great charities and non-profits across #OC for their selfless work in our community.,2017-11-28 18:57:23,11,4,935583416581582848
"The GOP tax reform bill was a crucial step toward lowering the tax burden of hard working Californians. Middle income Americans deserve to keep more of their hard-earned paychecks, and local businesses deserve a tax code that makes them more competitive.http://www.ocregister.com/2017/11/25/tax-reform-plan-in-congress-will-make-california-more-globally-competitive/ …",2017-11-26 18:40:25,47,23,934854372617539584
Today is Small Business Saturday!  Be sure to start you Christmas shopping off right by visiting one of the great small businesses across #CA45! #ShopSmallpic.twitter.com/6IPom1dDQr,2017-11-25 19:00:04,6,5,934496928783650822
This week and every week we give thanks to the brave men and women who have served in our Nation's armed forces.  Help me honor their sacrifice by sending in the story of a #CA45 veteran to CA45Vets@mail.house.gov so we can share it with a grateful community!pic.twitter.com/28G0g7ud7w,2017-11-24 20:00:01,12,6,934149627095289856
Praying for the victims of today’s cowardly attack in Sinai.  Attacking peaceful worshipers is truly evil.https://twitter.com/ap/status/934086236549124096 …,2017-11-24 17:50:37,11,8,934117063370690560
"From my family to yours, have a safe and happy Thanksgiving!pic.twitter.com/ZDhXAKncQH",2017-11-23 16:14:54,38,10,933730585796849664
"On this day in 1995, the Irvine Spectrum opened!pic.twitter.com/kup1HX4cth",2017-11-22 22:00:00,14,3,933455048377483264
"I enjoyed touring and volunteering at @FamiliesForward in Irvine yesterday afternoon. Thank you for all the wonderful services you provide to our community, especially during the holiday season!pic.twitter.com/yikkjlHPPN",2017-11-22 17:42:55,14,3,933390350126895117
"Today, I had the opportunity to deliver Meals on Wheels to residents of Laguna Woods with the nonprofit @MyAgeWell, which provides 300,000 meals to seniors on an annual basis.pic.twitter.com/NfZ6uTzUZL",2017-11-22 03:17:52,19,7,933172653636059137
I had a great time speaking with @UCILaw students today.  Many thanks to Senators Joe Dunn and Dick Ackerman for inviting me!pic.twitter.com/wUmmkqsTXu,2017-11-22 02:53:23,12,3,933166492803321856
A great event for those looking for somewhere special to spend Thanksgiving. Kudos to Operation Warm Wishes for another year of spreading love in the community. #CA45http://www.ocregister.com/2017/11/13/enjoy-turkey-with-all-the-trimmings-at-peppertree-park-on-thanksgiving-day/ …,2017-11-21 20:06:44,5,2,933064154298093570
"North Korea’s human rights abuses & rapid weapons development pose a serious threat to the US, particularly the West Coast. Relisting NK as a state sponsor of terrorism sends a strong message to Pyongyang & provides America w/ additional tools to counter the Kim Jong-Un regime.https://twitter.com/WSJ/status/932663359362789376 …",2017-11-20 18:50:33,7,7,932682593815941122
"Help us honor our local heroes by sending in your story of service, or that of a loved one! #OC is home to some of the bravest men & women to ever serve in our military & we want all of #CA45 to know their story. Simply email CA45Vets@mail.house.gov & be sure to include a photo!pic.twitter.com/YCT43qlPas",2017-11-18 19:15:43,5,3,931964153748652032
"Today, I voted in favor of the Tax Cuts and Jobs Act to ensure that we continue to move toward fundamental tax reform.  Washington cannot repeat the reckless tax and spend policies enacted by the CA legislature. Learn more here: http://bit.ly/2zOd2YP pic.twitter.com/Ej52olK4Wi",2017-11-16 21:28:06,20,7,931272692740734976
"The current tax reform bill will create prosperity and allow middle income Americans to keep more of their hard-earned paychecks. However, I do have concerns due to Sacramento’s reckless tax and spend policies. I explained them to @WaysandMeansGOP Chair @RepKevinBrady last night:pic.twitter.com/CitB5mSKkb",2017-11-16 17:24:42,22,10,931211437615321088
"Today, I introduced bipartisan legislation that will provide financial relief for Californians impacted by the recent deadly wildfires. Learn more here: http://bit.ly/2ALS3Fg pic.twitter.com/oK6t01jvJz",2017-11-16 00:20:06,25,12,930953586900701184
"America faces a growing number of national security threats. Today, the House reaffirmed its commitment to the security of our Nation and the safety of those who serve by passing the #FY18NDAA Conference Report. Learn more here: http://bit.ly/2zDuRwk pic.twitter.com/ok6F3mSDhp",2017-11-14 22:39:44,21,9,930565943713026049
"Great to meet with @CalChiefs President Ed Medrano, and Vice Presidents David Swing and Ron Lawrence, to discuss the issues facing California's law enforcement community. Thank you for all that you do to keep us safe!pic.twitter.com/CPZoicTgsN",2017-11-14 01:38:14,11,4,930248476163788802
ICYMI: My op-ed from Friday's @ocregister about our community's commitment to our Nation's heroes.http://www.ocregister.com/2017/11/09/honoring-our-orange-county-veterans-with-a-cemetery/ …,2017-11-13 02:08:37,5,2,929893732949876736
