Text,Date,Favorites,Retweets,Tweet ID
Thank you for having me. The students were outstanding. They are on the front lines of the job opportunities in the skilled trades and manufacturing.https://twitter.com/Betterwrench/status/935642109209608192 …,2017-11-29 00:00:10,3,1,935659612895875074
"Today's tax relief helps middle class families in mid and northern Michigan. Increasing the child tax credit will help more than 40,000 people in our district keep more of their own money and provide for their kids.pic.twitter.com/RoGkUKGDUK",2017-11-16 22:57:04,6,3,931295078848565249
"Great conversation with MPS about tax reform today. Under the plan introduced, a four-person middle class family would get an $1182 tax cut.https://twitter.com/mibigshow/status/926481620806307841 …",2017-11-03 17:07:02,1,0,926495948292812800
"In case you missed it last week, take a moment to watch Frank's outstanding speech. It was one of the best I have heard in Congress.https://twitter.com/GDSFoundation/status/923548271376658432 …",2017-10-30 15:22:41,7,1,925020135836053506
The deadline for applications is coming up on Wednesday. Look forward to seeing this year's entries.https://twitter.com/CongressionalAC/status/923932471804043265 …,2017-10-30 15:15:22,1,2,925018294419165185
This new report from Treasury does that. It ends overregulation & judges companies by the potential risks of their behavior and activities.,2017-10-30 15:11:56,1,1,925017432565207040
"Insurance regulators should evaluate products and activities for risks to consumers, w/o burdensome bureaucracy.  https://www.treasury.gov/press-center/press-releases/Documents/A-Financial-System-That-Creates-Economic-Opportunities-Asset_Management-Insurance.pdf …",2017-10-30 15:11:35,1,1,925017345558548480
I was honored to speak @CMUniversity's Great Lakes Symposium. The Lakes are a natl priority & I will continue working w/colleagues on GLRI.https://twitter.com/MPMorningSun/status/923248547394473985 …,2017-10-25 21:06:34,6,1,923294739465519106
It was an outstanding speech. One of the best I have heard in Congress. Thank you Frank!https://twitter.com/LatriciaTnc9/status/923221491306688512 …,2017-10-25 17:15:32,5,0,923236598652768256
The @CongressionalAC is a great opportunity for all K-12 students in the 4th District to practice coding. The deadline is November 1.https://twitter.com/CongressionalAC/status/916413727003467777 …,2017-10-10 15:28:26,3,3,917773829346340865
The @NUIAS is an outstanding event for the community and it's great to see Dave Camp and Keith Pretty!https://twitter.com/NorthwoodU/status/916293320955002881 …,2017-10-06 13:38:05,1,1,916296503957835776
