Text,Date,Favorites,Retweets,Tweet ID
Completed cleanup of a high-hazard waste site at #Hanford is a testament to commitment of workers + greater Tri-Cities community. Fed gov't is legally + morally obligated to finish the job. #WA04https://newhouse.house.gov/media-center/press-releases/hanford-senators-murray-cantwell-and-rep-newhouse-highlight-milestone …,2017-11-30 15:49:13,6,4,936260836951080960
At #AppleCup2017 to cheer on @WSUCougars with @WSU_Cougar_Pres! #GoCougs #WA04pic.twitter.com/4roUD1cmRs,2017-11-26 00:03:36,29,7,934573315641020419
Today @Davereichert and I introduced legislation to authorize the next phase of the Yakima Basin Project + streamline the Bureau of Reclamation and Bureau of Indian Affairs process for new water projects. #WA04https://newhouse.house.gov/media-center/press-releases/newhouse-reichert-introduce-legislation-streamline-new-water-projects …,2017-11-16 22:04:55,9,8,931281957576691712
I was proud to cast my vote today for historic tax reform that provides a simpler and fairer system as well as real relief for families and businesses in #WA04. https://newhouse.house.gov/media-center/press-releases/real-tax-relief-families …pic.twitter.com/K3n15iCmKB,2017-11-16 19:36:49,17,6,931244685305184262
Proud to join #DACA beneficiaries and my friend @RepCurbelo to speak in support of a legislative solution before the end of 2017.pic.twitter.com/gWsOxtai6W,2017-11-15 20:39:59,56,23,930898196146114560
"In my district, more than 80% of filers use standard deduction. The #Tax Cut and Jobs Act will nearly double it, which helps families in Central Washington. Check out https://fairandsimple.gop/  for more info. #WA04",2017-11-15 18:16:25,17,5,930862064767291401
"Great to meet with @WANationalGuard Adjutant General Bret Daugherty and Major Kosik today. Grateful for more than 8,000 WA citizen-soldiers serving in the Guard. #WA04pic.twitter.com/NJOnx3oZ8k",2017-11-15 17:28:11,6,1,930849925046374402
"Approving #FY18NDAA = good news for our troops, strong national defense, and #Hanford cleanup. #WA04 https://newhouse.house.gov/media-center/press-releases/newhouse-applauds-passage-conference-report-national-defense …pic.twitter.com/PIg79PcpsS",2017-11-15 15:10:27,2,4,930815266069630976
Read my op-ed in @TriCityHerald about how pro-growth #TaxReform will help families in #WA04 keep more of what they earn.http://www.tri-cityherald.com/opinion/opn-columns-blogs/article184449743.html …,2017-11-14 13:48:00,45,15,930432128743100417
"""No bill is going to be perfect, but inaction is just not acceptable.""https://www.cbsnews.com/news/house-republicans-talk-daca-fix-negotiations-live-stream/ …",2017-11-09 15:48:33,4,3,928650525792505856
"""This should not be a political football."" #DACA @RepLanceNJ7",2017-11-09 14:49:27,7,5,928635652136108033
"""We reject the all or none approach."" #DACA @RepCurbelo",2017-11-09 14:47:04,2,5,928635051004317697
Thank you @RepErikPaulsen for speaking to support action on #DACA,2017-11-09 14:46:02,4,1,928634793448833024
"""It's time for people to come to the middle"" on #DACA - @DarrellIssa",2017-11-09 14:43:59,6,6,928634275318022144
"""It's vital that we act."" @RepJohnFaso #DACA",2017-11-09 14:42:56,3,3,928634013262254080
"Thank you, @RepBrianFitz for speaking out for a #DACA solution.",2017-11-09 14:42:19,6,4,928633857070567424
"""They pledge allegiance to the same flag."" #DACA @SusanWBrooks",2017-11-09 14:40:42,5,5,928633448872411136
