Text,Date,Favorites,Retweets,Tweet ID
"Two weeks ago, @RepLujanGrisham and I introduced the Rural Broadband Expansion Act. I am committed to investing in 21st century technology for the rural communities of #AZ01. Learn more about the bill:http://bit.ly/2AmfnuE ",2017-12-01 01:30:00,5,5,936406999302107142
"Last month, I sent a letter urging @realdonaldtrump to not lift the ban on uranium mining near the Grand Canyon. #AZ01 Read more about my letter: http://bit.ly/2BiwA7u pic.twitter.com/TvwkGgweDc",2017-11-30 22:17:56,19,9,936358662519623680
"One of the founding principles of this great country is the celebration of the diversity of its people. When we recognize that as a strength, we truly are a more perfect union. #NativeAmericanHeritageMonth #AZ01https://youtu.be/-bcWf32hKMg ",2017-11-30 18:46:03,10,7,936305338508341248
"Sexual harassment and discrimination have absolutely no place in any workplace, especially in Congress among elected officials who are given the public’s trust. #AZ01 Read my statement on today's vote to require members of Congress to take training:https://ohalleran.house.gov/newsroom/press-releases/o-halleran-praises-passage-harassment-and-discrimination-training …",2017-11-30 02:38:00,16,8,936061723949260800
My staff worked with the Northern Arizona VA to provide cultural sensitivity training to staff last week. It is important for VA staff to understand what is culturally appropriate as they work with Native American veterans and their families. #AZ01pic.twitter.com/eeiQIHMWO4,2017-11-30 00:32:01,37,15,936030018442022913
#NativeAmericanHeritageMonth affords us the opportunity to honor and celebrate the service of Native American veterans. Today I spoke about the Native American Code Talkers and their indispensable contributions to our great country. #AZ01pic.twitter.com/VA8zwGLTgr,2017-11-29 21:50:06,29,13,935989271705604096
"Congratulations on your installation, @UofAPres! @UofA is in good hands. 

I look forward to working with you to promote our great state and prepare Arizona students for 21st century careers. #BearDown #UofAPres22pic.twitter.com/lg5hsrJYjy",2017-11-29 19:53:51,32,11,935960013331488774
REMINDER: My staff is hosting an #AZ01 mobile office in Safford today. Stop by to talk to a caseworker about federal programs and agencies.https://twitter.com/RepOHalleran/status/935666367239405568 …,2017-11-29 17:18:01,8,2,935920797578944514
Folks living in Safford who have questions for my staff can stop by our mobile office tomorrow at the General Services Building. A caseworker will be available to discuss federal programs and benefits. #AZ01pic.twitter.com/wAwLun7Shs,2017-11-29 00:27:00,8,7,935666367239405568
The Native American Code Talkers have dutifully served our country and saved countless lives. As we observe #NativeAmericanHeritageMonth it s is important to reflect on their contributions and service. #AZ01http://abcnews.go.com/US/native-american-code-talkers/story?id=51406325 …,2017-11-28 21:17:00,56,22,935618553373446151
"Earlier this month, I introduced the Fairness for Rural Veterans Act. My bill would make it easier for rural communities to compete for federal funding to build new state veterans nursing homes. #AZ01 Read more: http://bit.ly/2AEso5C pic.twitter.com/1NqxBAef2I",2017-11-28 17:10:01,25,14,935556395985973248
"REMINDER: My staff is in Show Low today to answer your questions about Social Security, Medicare, and other federal programs. See upcoming #AZ01 mobile offices here: http://bit.ly/2qMH78N pic.twitter.com/1MipLpBXsS",2017-11-28 14:43:07,12,2,935519426669096962
"Today’s ceremony was about their contributions to our nation, not for the President to take a cheap political shot at an opponent. President Trump owes the Navajo Nation and Code Talkers a sincere apology.",2017-11-28 00:54:02,88,39,935310780794359811
.@realDonaldTrump’s remarks during an event to honor the service of Navajo Code Talkers were callous and insulting to the brave servicemembers who sacrificed for our nation and to the heritage and history of all Native Americans.,2017-11-28 00:53:38,210,75,935310680932208640
My staff will host a mobile office in Show Low tomorrow and Safford on Wednesday. Stop by and talk to a caseworker about questions or issues you're having with federal programs. #AZ01pic.twitter.com/e0AGT7QOfR,2017-11-27 19:32:44,7,7,935229926613143552
Open enrollment ends December 15th. Visit my website for more information and FAQs about signing up for health insurance (https://ohalleran.house.gov/helping-you/healthcare-open-enrollment …) and visit http://healthcare.gov  to find plans that fit your needs and #GetCovered. #AZ01pic.twitter.com/DHMdXVQ77x,2017-11-27 17:26:22,9,9,935198121805713408
WATCH: Today is #SmallBusinessSaturday. Get out and #shoplocal and support your local economy. #AZ01https://www.youtube.com/watch?v=4rz9ofRY-2Y&feature=youtu.be …,2017-11-25 16:30:02,6,10,934459169293271040
Grateful for those who give back to their communities and those in need. #AZ01https://twitter.com/cgdispatch/status/933731872227463168 …,2017-11-24 20:13:46,13,5,934153088176443393
I am wishing you all a happy and fulfilling Thanksgiving today. I am thankful for the time I get with my grandchildren today. #AZ01 #HappyThanksgivingpic.twitter.com/p3BQbEbM8r,2017-11-23 17:11:00,38,6,933744705875083264
I am getting a head start on #SmallBusinessSaturday. Join me this weekend to #shopsmall!https://www.youtube.com/watch?v=4rz9ofRY-2Y&t=3s …,2017-11-22 19:30:02,12,8,933417305362530304
I send out regular updates about my work and events I am hosting across #AZ01. Sign up to get my e-newsletter here: http://bit.ly/2kBVTNw pic.twitter.com/xMQSHaCOHt,2017-11-22 16:36:02,10,5,933373516681846784
I introduced a bill with my colleagues that would give our troops a well-deserved pay raise. Learn more: http://bit.ly/2tp7UJe  #AZ01pic.twitter.com/Dk0UWkittQ,2017-11-21 22:30:01,5,5,933100211668471808
"I am proud to have hosted events in 40+ communities throughout #AZ01.

Sign up to receive #TomInYourTown updates and never miss an upcoming event in your town: http://bit.ly/2kBVTNw pic.twitter.com/Lv1rLvHbe4",2017-11-21 19:27:28,20,11,933054271888781312
"Today's #AZ01 #MobileOffice hours:

Show Low: 10am - 2pm
Globe: 12pm - 3pm

Stop by to discuss:
 Student Aid
 Social Security and Medicare
 Military and Veterans Benefits
and more...pic.twitter.com/KePs0ksgea",2017-11-21 16:00:03,4,5,933002074723438592
Our AZ military operations stimulate local economies and provide good-paying jobs. #AZ01 Read more:http://ktar.com/story/1833783/arizonas-military-operations-bring-in-255m-each-year-report-finds/ …,2017-11-21 01:30:01,10,11,932783122369802241
My staff is hosting #AZ01 mobile offices in Show Low and Globe tomorrow. Stop by and talk to a caseworker about issues you're having with federal programs or agencies.pic.twitter.com/fdsoxiuR5l,2017-11-20 23:00:01,2,3,932745373877186560
Congratulations to the @NAUAthletics men's cross country team on their @NCAA National Championship win! #AZ01https://twitter.com/azds/status/931911334635167745 …,2017-11-20 19:11:46,11,4,932687931860488198
Thank you to our #AZ01 Military Academy Nomination Board for interviewing candidates for nomination to one of our U.S. Military Academies. Learn more about the nomination process here: https://ohalleran.house.gov/services/military-academy-nominations …pic.twitter.com/fJ2mPuFEpm,2017-11-20 17:30:02,7,5,932662333008109569
I joined the @nabtweets and @NSBAAdvocate to support #AZ01 small businesses. Remember to go out this weekend and #shoplocal for #SmallBusinessSaturday.pic.twitter.com/HdcUd4VmHe,2017-11-20 15:20:13,10,8,932629661640740866
"I joined @RepLujanGrisham to introduce the Rural Broadband Expansion Act and expand access to reliable, rural broadband across #AZ01 and the West.http://knau.org/post/lawmakers-hope-close-digital-divide-rural-broadband-act …",2017-11-18 19:47:00,32,12,931972024725098496
"Nov. 25th is #SmallBusinessSaturday. I urge all Arizonans to shop local and dine local and support the more than 500,000 small businesses throughout AZ. #AZ01pic.twitter.com/zWMLZCshWr",2017-11-17 20:14:12,21,14,931616482613694466
I was joined by 89 members of Congress in calling on @SecretaryZinke to not raise the entry fees at our national parks. #AZ01 communities will suffer if we restrict access to our beautiful national parks. Read more about the letter: https://ohalleran.house.gov/newsroom/press-releases/o-halleran-89-members-congress-urge-zinke-not-increase-national-park-fees … …pic.twitter.com/T6AzF9xj9K,2017-11-17 18:15:06,34,24,931586508833861633
REMINDER: My staff is hosting a mobile office at the Camp Verde Library today. Stop by and talk to a caseworker about issues you have with federal programs and agencies. #AZ01https://twitter.com/RepOHalleran/status/931292047549566976 …,2017-11-17 17:28:00,10,4,931574656661942274
"Have questions or concerns about your Social Security or Veterans Benefits? Visit one of my three district office locations in Flagstaff, Casa Grande, and NW Tucson to talk to a staff member. See more services we provide: https://ohalleran.house.gov/services pic.twitter.com/vnUEk0GPTI",2017-11-17 15:19:02,9,10,931542199342379009
My staff is bringing our services directly to communities across #AZ01. The next mobile office is tomorrow morning in Camp Verde. See more info pic.twitter.com/8nmUthI3En,2017-11-16 22:45:01,8,9,931292047549566976
