Text,Date,Favorites,Retweets,Tweet ID
Happening now on the House floor: I’ll be giving a speech to honor the Veterans Esteem Team in Lapeer County. Watch LIVE ON @cspan https://www.c-span.org/congress/ ,2017-11-30 16:59:37,2,1,936278554458886145
ICYMI: Tuscola Pastor Ron Dunn delivered the opening prayer before the U.S. House of Representatives today. #MI10pic.twitter.com/nijGMM8NoG,2017-11-29 20:35:41,4,2,935970542045278208
"HAPPENING NOW: Tune into @cspan to watch Pastor Dunn from Akron, MI deliver the opening prayer on the House floor! https://www.c-span.org/congress/ ",2017-11-29 17:01:09,1,2,935916554931273731
Wishing you and your family a Happy Thanksgiving!,2017-11-23 14:55:00,6,1,933710480610177024
The USDA Meat & Poultry Hotline will be open 8am-2pm ET Thanksgiving day! Call for on the spot #TurkeyDayTips @ 1-888-MPHotline. #foodsafetypic.twitter.com/PyiggmQ1rx,2017-11-22 16:01:00,1,1,933364703048470530
"Frying your turkey this year? Don’t make turkey frying a disaster this #Thanksgiving! Things to remember before, during & after you fry your turkey → https://go.usa.gov/xnbQt  #foodsafetypic.twitter.com/eESLoFZiVk",2017-11-22 15:00:01,3,3,933349353930059776
Sign up to get the next one here:https://mitchell.house.gov/contact/newsletter …,2017-11-21 21:26:40,1,1,933084272050737153
Just sent out my latest newsletter. Didn't receive it? Check it out here:https://mitchell.house.gov/media/newsletters/newsletter-november-21-2017 …,2017-11-21 21:26:00,1,1,933084102160539648
"In case you missed it, check out my latest on the #TaxCutsAndJobsAct in the @macombdailyhttp://www.macombdaily.com/opinion/20171117/mitchell-this-is-tax-reform-for-all-americans …",2017-11-20 14:59:00,4,4,932624323621347328
Joining Paul Miller on @WPHM1380 tune in http://www.wphm.net ,2017-11-17 14:11:30,0,1,931525204513312769
Joining @SiriusXMPatriot at 9:05PM to talk about the #TaxCutsAndJobsAct Tune in!,2017-11-17 01:37:56,1,1,931335563684319233
The #TaxCutsandJobsAct is #taxreform for all Americans. #1182more #taxreform https://mitchell.house.gov/media/press-releases/mitchell-votes-tax-reform-will-benefit-all-americans …pic.twitter.com/jqZuOxa24k,2017-11-16 21:19:49,14,2,931270607358038016
Joining @newsGuy760 on @wjrradio momentarily to talk about our landmark #TaxCutsAndJobsAct tune in http://www.wjr.com ,2017-11-16 20:45:29,3,1,931261964545871874
The #TaxCutsAndJobsAct just passed the House #1182more,2017-11-16 18:52:58,6,2,931233650213117952
"Working together, we can and we will provide #taxreform and relief for all Americans. #TaxCutsAndJobsAct #1182morepic.twitter.com/PBnlaLsxBD",2017-11-14 20:35:35,7,6,930534697695961090
Thank you!,2017-11-14 14:16:26,0,1,930439282183073792
"5 years ago, Sherry and I adopted our son from an orphanage. People say it changed his life. He really changed ours. #NationalAdoptionMonthpic.twitter.com/8x50uDxugk",2017-11-13 21:04:12,17,3,930179511697723392
"To all who have served, thank you. #VeteransDay2017",2017-11-11 15:36:00,3,1,929372145062379521
We need the #SaveLocalBiz to protect local employees who are most likely to be impacted by this confusing rule made by unelected bureaucratspic.twitter.com/UXrTwqbeKc,2017-11-07 22:53:12,3,3,928032618708430848
