Text,Date,Favorites,Retweets,Tweet ID
"Keeping the people of Cohoes in my prayers tonight. I am told dozens have already been displaced by this tragic fire. Thank you to the countless first responders pitching in from all across our region to save lives and protect our community. Please, please stay safe.https://twitter.com/SPECNewsAlbany/status/936329649101123585 …",2017-11-30 22:58:35,14,3,936368893656027136
This debt isn't free. Just paying the interest is going to cost us $51 billion over the next 10 years.https://twitter.com/TopherSpiro/status/936331799894155264 …,2017-11-30 21:37:47,5,4,936348559204585472
"If that doesn’t make you rethink this plan consider one other note in the report:

“An increase in interest rates generated by the increase in Federal debt is expected to increase the cost of Federal debt service by about $51 billion”

That’s 51 billion dollars just gone. Whoosh.",2017-11-30 20:57:18,8,5,936338371231780870
Trickle  down  doesn’t  work,2017-11-30 20:50:54,28,13,936336759713140738
"This is bad. Despite Senators racing to pass this thing, the Joint Committee on Taxation managed to publish a lightning-fast assessment of the #GOPTaxScam a few minutes ago 

They found that the budget hole it digs is about three times (3x) the size of the revenue growth expectedpic.twitter.com/4wCTxEuHDW",2017-11-30 20:49:56,117,149,936336517299081216
Trickle  down  doesn’t  work,2017-11-30 20:46:54,8,2,936335753134698496
"NO surprise that #GOPTaxScam is deeply unpopular -- raising taxes on half the country to give more breaks to the wealthiest people & corporations doesn't really have a populist ring to it. 

What IS a surprise is Republican leaders falling all over themselves to vote for it.https://twitter.com/BillPascrell/status/936246443119128576 …",2017-11-30 15:26:35,18,9,936255142839701504
"Clear evidence Republican leaders are gearing up to slash Medicare & Social Security. 

Remember, the #GOPTaxScam ADDS $1.5 trillion to the deficit & gives more billions to billionaires. This was never about fiscal responsibility.https://twitter.com/glennkesslerwp/status/935991772978864129 …",2017-11-30 13:32:12,16,17,936226359373942784
"The Historic Preservation Tax Credit has delivered real value, jobs and economic redevelopment throughout New York State. The #GOPTaxScam eliminates it. 

h/t @ah_Spotlight showing impact on our region: https://www.spotlightnews.com/news/2017/11/29/local-officials-speak-out-about-the-possible-elimination-of-national-historic-preservation-incentive/ …pic.twitter.com/A2hCD6ybDZ",2017-11-29 23:30:55,10,5,936014640265531392
That chart doesn't even include the repeal of a tax gift on inheritances of more than $11 million or huge tax breaks for the wealthiest corporations. It also doesn't show painful cuts that will be triggered by trlilions in deficit spending to pay for this ridiculous boondoggle.,2017-11-29 21:27:36,6,5,935983609441341441
"The #GOPTaxScam is designed to confuse you, but it's built on a simple set of ideas:

1. Raise taxes on working poor & head-fake middle class with tiny breaks that turn into tax increases in 5-10 years. 

2. Give huge permanent tax breaks to wealthiest individuals & corporations.pic.twitter.com/HnqkitFdFD",2017-11-29 21:22:54,17,18,935982426966450176
"More evidence the #GOPTaxPlan is bad news for New York: eliminating the Historic Preservation Tax Credit ""would kill a lot of the rehabilitation jobs that we’re able to do in historic downtowns... It’ll make the kind of rehabs we do impossible.""https://www.bizjournals.com/albany/news/2017/11/29/eliminating-this-tax-credit-could-make-certain.html …",2017-11-29 20:49:31,7,8,935974023728594944
Today is day two of the Clean Power Plan public hearing in West Virginia. The federal government cannot back away from its responsibility to lead on #climatechange.https://twitter.com/bruneski/status/935675366420594689 …,2017-11-29 14:56:38,7,4,935885218925416448
"More costly kickbacks to the noncompetitive coal industry won't help consumers or the U.S. economy --> ""How Trump’s Plan to Help Coal Will Raise People’s Power Billshttps://www.bloomberg.com/news/articles/2017-11-28/how-trump-s-coal-aid-plan-will-raise-power-bills-quicktake-q-a …",2017-11-28 18:36:22,5,4,935578127966883841
"#NetNeutrality protects the rights of consumers & ensures a level playing field for #smallbiz to compete. 

http://wnyt.com/news/critics-on-fccs-internet-plan-some-websites-could-be-slowed-others-blocked/4678600/?cat=10114 …pic.twitter.com/sVNdZCju5s",2017-11-28 18:06:18,18,9,935570559630442498
"Senate leaders keep offering little changes to the #GOPTaxScam to try to win votes, but at its heart this is a giveaway to the wealthiest individuals & corporations paid for by millions of middle class & working poor families. No amount of tinkering will make that right.pic.twitter.com/na3SrsRCfN",2017-11-28 17:37:10,19,10,935563228540751873
"Just to recap, most top independent economists who were asked believe the #GOPTaxScam will:

1. significantly increase U.S. debt
2. not significantly improve the U.S. economy",2017-11-28 15:42:14,58,55,935534306180632582
"The same economists were asked whether the #GOPTaxPlan will substantially increase America's national debt in relation to our economic productivity. 

One (2%) said maybe.
Most (88%) said yes.pic.twitter.com/TyK62lF2xJ",2017-11-28 15:33:47,4,5,935532179412660225
".@UChicago asked more than 40 of our nation's leading economic experts whether the #GOPTaxPlan will make the U.S. substantially more productive.

One (2%) said yes. 
Most (52%) said no. 

Source: http://www.igmchicago.org/surveys/tax-reform-2 …pic.twitter.com/rfh3mOU7Xh",2017-11-28 15:29:20,4,4,935531059088953344
"""The lowest-income Americans would take a hit under new tax plan, says @USCBO... while higher-earning taxpayers would see their burden reduced.""

This is why it's being called a #GOPTaxScamhttps://twitter.com/YahooNews/status/935522442373562369 …",2017-11-28 15:03:15,1,2,935524496911618049
"“Increasingly rewards wealthy” — as in, the GOP tax scam was already a boondoggle for the wealthiest 0.1% & they’re racing to make it worse:https://www.nytimes.com/2017/11/27/us/politics/senate-tax-bills-potential-hurdle-republicans.html …",2017-11-28 13:20:56,9,12,935498744933515265
"Thank you for reaching out & for your service & sacrifice, Kenny. That tax credit helps businesses hire veterans like yourself. Sounds like you could use a hand with benefits though. Best bet is to contact your representatives @RepSteveStivers @SenSherrodBrown or @SenRobPortmanpic.twitter.com/9qiED9sHfh",2017-11-28 12:29:08,1,1,935485711603597313
"Proud to support @RepSpeier & @SenGillibrand's #MeToo Act to prevent & better respond to sexual harassment in Congress → more transparency, better complaint process & real protections for victims and whistle-blowers.pic.twitter.com/l2b6ehECdb",2017-11-27 21:19:44,13,5,935256852660654081
"Thanks for your tweet, Rebecca. That text message is incorrect. I believe strongly in a free and open Internet & will continue to speak out against the FCC push to gut #NetNeutrality protections. I hope you will continue to join me.https://twitter.com/RepPaulTonko/status/933036212016861184 …",2017-11-27 15:44:25,9,1,935172466867081216
Thanks for your note. I absolutely oppose the FCC push to eliminate #NetNeutrality protections and will continue to speak out against that effort. I hope you will continue to join me.https://twitter.com/RepPaulTonko/status/933036212016861184 …,2017-11-27 15:42:07,0,0,935171886635470848
Thanks for your questions Michael. Right on both counts. I will NOT vote for the Ryan-McConnell tax plan that raises taxes on middle class families and I strongly oppose the FCC push to gut #NetNeutrality protections.,2017-11-27 15:38:27,1,1,935170964056363008
Had a blast going on with Quinn and Cantara at @PYX106 106.5 WPYX last week. Thanks to everyone who tuned in!pic.twitter.com/411YijFm9h,2017-11-27 15:21:08,3,1,935166607076323329
"Congratulations to Troy's Flying Horses football team, coach Bobby Burns & all of the players, for their 2nd straight undefeated season. The team has gone 26-0 over 2 years & successfully defended their title as Section II Class AA champions this weekend. 

Truly extraordinary.https://twitter.com/TUSidelines/status/935141051899228160 …",2017-11-27 15:10:01,9,4,935163810331222016
Wonderful stop at Florals By Design in East Greenbush for Small Business Saturday today! #shopsmallpic.twitter.com/VaYUy0AOw4,2017-11-26 00:23:33,17,1,934578335186915329
"Great visit to Zachary’s Pastry Shop in East Greenbush, NY today for Small Business Saturday. Look at that pie! #shopsmallpic.twitter.com/jMQf4lUCCv",2017-11-26 00:15:18,10,2,934576260189171715
"Got a full dose of holiday spirit at @Beckersfarm1870 in East Greenbush, NY today visiting local #smallbiz for #smallbusinesssaturday!pic.twitter.com/3Xff1kR78Q",2017-11-25 23:32:46,9,2,934565556602236928
