Text,Date,Favorites,Retweets,Tweet ID
We’re witnessing a much-needed sea change in society in which sexual harassment and abuse of power is no longer tolerated: http://bit.ly/2BvpXPY ,2017-11-29 22:28:51,48,7,935999020027215872
"North Korea has launched another missile, and all President Trump can do is continue to escalate tensions. We cannot let this president turn his statements into a global war, which is why I've introduced a bill to curb his war-making abilities:https://youtu.be/atWKGBcqyJ0 ",2017-11-29 01:46:21,118,56,935686337017065472
"Big corporations are pushing to get rid of worker protections and incentivize outsourcing in NAFTA negotiations. If the U.S. withdraws from the deal, it will be thanks to corporate lobbying:http://thehill.com/blogs/congress-blog/economy-budget/361575-the-corporate-lobby-might-seek-to-kill-nafta-rather-than …",2017-11-28 20:56:33,11,9,935613404135546881
"#NetNeutrality is about protecting fairness, openness, access, and competition.",2017-11-22 18:07:55,89,25,933396640140021760
Open Enrollment for 2018 ends December 15. Don’t miss out on affordable plans. Go to http://healthcare.gov  and #GetCoveredNow!pic.twitter.com/XkKVvLHJAC,2017-11-17 22:28:43,24,22,931650334967189504
Today House GOP pushed through their massive tax plan that will likely put America on the road to bankruptcy #GOPTaxScampic.twitter.com/tC1aW98rqv,2017-11-16 20:48:47,86,58,931262795462582273
"This Veterans Day, and every day, I'm grateful to our nation's #veterans and their families for their dedication, sacrifice, and service.",2017-11-09 22:17:16,25,8,928748351356592135
Investigators from the VA's Office of the Medical Inspector will be returning to the Roseburg and Eugene VA facilities next week:pic.twitter.com/4S6GDFGXTW,2017-11-09 22:03:08,8,5,928744790807732224
"After committee markup of the GOP tax plan, the bill is still a massive tax break for the wealthy paid for by raising taxes on the middle class and exploding our national debt, leaving the next generation to pay the bill. #GOPTaxScam",2017-11-09 21:57:19,54,22,928743329034104832
"Republicans say that their tax plan will help the middle class, but nothing could be further from the truth.pic.twitter.com/K7D7QkQKcW",2017-11-03 13:47:10,67,43,926445653542260736
"The Republican tax plan is a turkey, and it should die before Thanksgiving:pic.twitter.com/NtKSG2RETn",2017-11-02 19:11:25,72,21,926164865009496064
