Text,Date,Favorites,Retweets,Tweet ID
"At best, the #GOPTaxPlan will do nothing for working families. At worst, it will hike taxes, increase healthcare costs, and cut important services for families who are working hard and playing by the rules.pic.twitter.com/8jIDpDJLOA",2017-11-30 21:30:14,10,15,936346658727759872
"A few things we don't know about the Senate #GOPTaxBill:

-What's the dynamic score from the nonpartisan Joint Committee on Taxation?
-How will the SALT provision be paid for?
-How this bill will affect President Trump’s taxes?",2017-11-30 16:30:13,27,27,936271155559886848
"What’s on the chopping block if the #GOPTaxScam passes? Medicare, Medicaid, Social Security, & other programs for millions of Americans.pic.twitter.com/cGIgkc7H2J",2017-11-29 16:40:04,327,440,935911246104223744
"My sincere condolences to the families of these young men, including #Navy Lt. Steven Combs of #Dalton. These individuals paid the ultimate sacrifice to ensure our safety. We are forever grateful for their heroic service to our country.http://bit.ly/2ACgrgJ ",2017-11-27 14:58:03,5,3,935160796799172609
"On this Thanksgiving, I am thankful to serve the people of the state of Massachusetts. Happy Thanksgiving to you and your families.",2017-11-23 17:44:17,43,4,933753083011706886
Congratulations to the new #Springfield Postmaster Joe Conti as he is sworn in today.pic.twitter.com/ZVUvxzHSrD,2017-11-17 18:15:14,4,2,931586540849057796
This is a missed opportunity. Constructing this tax bill could have been a great bipartisan accomplishment but instead it is a #GOPTaxScam https://www.c-span.org/video/?c4692251/neal-closing-statment-gop-tax-reform-bill …,2017-11-16 18:17:15,14,5,931224662335475712
Newspapers across the country have a message for Republicans: the GOP bill is a #GOPTaxScam that raises taxes on middle class families.pic.twitter.com/WZ7S5E8WHS,2017-11-16 17:22:03,37,35,931210771496710144
"Last night I continued to argue against the #GOPTaxScam that is a bad deal for millions of Americans, particularly those in the Middle Class. This bill is simply not what the American people asked us to do and it is not something that I can support.https://youtu.be/7k8dyirWE6A ",2017-11-16 14:08:41,39,27,931162109018279936
FACT CHECK: Who gets tax cuts under #GOPTaxScam? The wealthiest Americans & corps. Who gets tax increase? 36 million middle class families.pic.twitter.com/RJOVpkPg6C,2017-11-15 17:04:03,203,151,930843851119411202
"Last night I voted in favor of the #NDAA to ensure large employers in #CD1 like Westover, Barnes, Warren Pumps & General Dynamics have the adequate support from the fed govt to continue to do their work supporting our country on the national & intl level.http://bit.ly/2zEZe5r ",2017-11-15 14:50:05,0,1,930810140701294595
"Who wins with the #GOPTaxScam? 
-Wealthy Americans
-Corporations

Who pays the bill?
-Middle-class families
-Seniors
-Students 
-Veteranspic.twitter.com/UI27hUd5nd",2017-11-14 17:01:06,17,19,930480724813127680
"In #NorthAdams this afternoon for the dedication of the Armory site in memory of SPC. Michael R. DeMascio II, a #Drury High School grad. On #VeteransDay let us remember all those like Michael who paid the ultimate sacrifice for our freedom.pic.twitter.com/Bnao0IMvsB",2017-11-11 18:46:23,13,4,929420056638914560
"I spent the morning at the home of Vietnam Vet Wilder Dupree with @HomeDepot’s Celebration of Service program in which their employees volunteer to projects serving veterans. A great program, thank you for your service.pic.twitter.com/nAel8M0gvd",2017-11-10 15:19:46,48,19,929005671932219392
The #GOPTaxBill that advanced today will hurt Americans at every stage of their lives. We will continue to fight this middle-class tax hike and are committed to a fairer path forward.http://bit.ly/2hpKAYC ,2017-11-09 21:25:06,15,6,928735223319232512
"This #GOPTaxBill discussion has been inartful & indefensible. After 4 days, not one Democratic amendment has passed. This #GOPTaxScam contributes to complexity after having been advertised as the avenue to simplicity. http://cs.pn/2hYHO9I pic.twitter.com/k014OC5t2J",2017-11-09 20:02:05,11,1,928714328160817152
"Historic Tax Credits help to tell the story of our country. These renovated churches, meeting houses, & town halls here in New England benefit greatly from these funds. I support @RepTerriSewell's amendment.  http://cs.pn/2m8j0AH pic.twitter.com/MCqF71XCZ6",2017-11-09 15:58:27,7,7,928653018219929600
"Day 4 of markup on #GOPTaxBill and still:

 - NO expert witnesses
 - NO public input
 - NO time for analysis 

RT if you think this is a #GOPTaxScampic.twitter.com/9d62A9yiPJ",2017-11-09 14:56:21,36,40,928637389223972864
Thanks to @BillPascrell for his amendment to #GOPTaxBill offering financial support to U.S. territories impacted by recent natural disasters. With so many #PuertoRican families in #CD1 I couldn't be more supportive. http://cs.pn/2yJE864 ,2017-11-08 21:03:47,40,21,928367468581740609
"#GOPTaxScam eliminates:
   
  -medical expenses deduction
  -adoption tax credit
  -student loan deduction
   
RT if you oppose.",2017-11-08 14:07:03,37,82,928262593290129413
We're gearing up for day 2 of #GOPTaxReform debate. Watch live at 10am here:http://bit.ly/2iCa8y9 ,2017-11-07 13:22:03,4,1,927888881957122048
Follow along as we markup the #GOPTaxPlan in the Ways and Means Committee right now:https://www.youtube.com/watch?v=8rUjwgqNyMY …,2017-11-06 17:01:14,4,5,927581652666249216
"As we begin marking up the #GOPTaxPlan, take a listen to this interview I did with @WBUR for my thoughts on the billhttp://wbur.fm/2y5fybP ",2017-11-06 16:26:03,5,4,927572799983620097
This week I joined @oneholyoke for a panel on affordable home ownership programs. This group knows the importance of smart #taxreformpic.twitter.com/Vy4iRYY44H,2017-11-04 15:00:09,6,4,926826407644110853
LIVE now with @NancyPelosi discussing the GOP tax bill and its effect on middle class families. Watch here: http://bit.ly/2hB4jRZ ,2017-11-03 15:00:52,5,6,926464198942523392
Link here: https://www.facebook.com/NancyPelosi/videos/10156122755859384/ …,2017-11-02 18:24:53,0,2,926153154869198849
Watch live at 2:30pm as @NancyPelosi and I join fellow Democrats to speak out against the GOP #BillionairesFirst tax plan. https://twitter.com/NancyPelosi/status/926148456120332288 …,2017-11-02 18:11:58,3,3,926149901628657666
I have been around Congress long enough to know that bad process usually leads to terrible policy. This Republican tax bill is no different.pic.twitter.com/a3xnzRX21R,2017-11-02 17:16:26,56,31,926135927394750464
Republicans are phasing out savings to pay for a tax cut for the top. Democrats are trying to make it easier for people to plan their futurepic.twitter.com/f32l9859dL,2017-11-01 20:27:08,11,8,925821528624771072
Joined @RepThompson & @BillPascrell to introduce disaster tax relief legislation for all those still recovering.http://bit.ly/2xKYWWw ,2017-11-01 13:02:18,0,3,925709584467144704
Thank you to the @WACWestMA for having me to speak about #Brexit at their 91st Annual Meeting tonight in #Springfield.pic.twitter.com/LFsUOYYGkS,2017-10-30 23:31:16,6,5,925143092528910339
I invited @stevenmnuchin1 to join the Ways & Means Committee as we markup the Ryan-McConnell #taxplan next week.http://bit.ly/2zRhl4E ,2017-10-30 21:18:05,7,3,925109577569439744
Thanks to the @bostonchamber for hosting me this morning at their government affairs forum talking #taxreformpic.twitter.com/5pQT65xTqf,2017-10-27 12:19:38,6,3,923886906462687233
Today I intro'd legislation to allow Medicare beneficiaries access to critical opioid addiction treatment medicationhttps://neal.house.gov/media-center/press-releases/neal-announces-legislation-expand-access-opioid-treatment-medicare …,2017-10-23 19:56:34,7,2,922552348794392576
Republicans want you to think their tax plan is the only option. Democrats know there’s a better way.pic.twitter.com/HBhfEFE9DI,2017-10-21 13:25:01,831,452,921729035679535104
Happy to spend some time today with the Professional Fire Fighters of Massachusetts at their monthly meeting.pic.twitter.com/HBimkytwoT,2017-10-20 17:38:08,9,5,921430347593723905
Important conversation with residents about the opioid epidemic in Franklin Co. Full replay of panel to follow.pic.twitter.com/NorGTDNyZ8,2017-10-19 15:43:12,6,5,921039035035926528
"Join me and Michael Botticelli, former director of the White House Office of National Drug Policy, in Shelburne Falls tomorrow.https://twitter.com/ShannonYoung413/status/920669846098018309 …",2017-10-18 17:43:19,3,1,920706876551069696
Thank you for joining us today @RepMcGovern for this very important conference.https://twitter.com/RepMcGovern/status/920677160456802304 …,2017-10-18 17:38:14,4,2,920705595086442507
Great tour of WinnDevelopment's restored Ludlow Mills for affordable housing. All 75 units have been rented and look great.pic.twitter.com/G7m0CeE8ki,2017-10-17 19:56:30,6,3,920378005301682176
Groundbreaking for renovations at Jaime Ulloa Park in North End of Springfield. Fitting way to preserve the memory of a good friend.pic.twitter.com/3aohC1GBu2,2017-10-17 15:13:29,4,3,920306778541379585
We need to assure people in these devastated areas Congress will stand with them in the short and long term.pic.twitter.com/A1vvmHoW5i,2017-10-13 18:05:42,12,7,918900566683557888
Chosen by @NancyPelosi to be a conferee to deliberate the final version of the #NDAA. Happy to represent the interests of #CD1.pic.twitter.com/5eHRtqxCjE,2017-10-12 20:36:59,11,4,918576251350200321
Today's executive order is more of the same sabotage and undermining that we have come to expect from President  and the GOP on healthcare.pic.twitter.com/62E3YS9Eoe,2017-10-12 16:09:55,11,13,918509042674339840
It was great to meet Canadian PM @JustinTrudeau today with @WaysMeansCmte to talk Canada-US trade.pic.twitter.com/Q57XWmoWfJ,2017-10-11 20:37:34,19,5,918214012680245249
Spent the morning at @RATECoalition's #TaxRateTalk talking #TaxReform with @BobCusack @thehillpic.twitter.com/HOzKNcf7k6,2017-10-11 14:31:48,5,5,918121964677533697
Beautiful day to walk in the Lenox 250th Anniversary Parade #intheberkshires.pic.twitter.com/3AsQmG1t3r,2017-10-07 16:29:06,17,5,916701930738601984
Starting the day at the @BCBSMA #WesternMA Municipal Forum in @my01089 talking about the importance of preserving health care.pic.twitter.com/Hct1Ohn9uG,2017-10-06 13:37:18,8,5,916296308226514944
Millionaire households make up 0.8% of the population in #Massachusetts but would receive 68.4% of the tax cuts under the #GOPBudgethttps://twitter.com/WaysMeansCmte/status/915934050149437441 …,2017-10-05 16:52:26,12,25,915983028874342401
Why aren't we offering tax relief to middle class? The proposed GOP budget actually includes a tax increase for them http://cs.pn/2yY40rq ,2017-10-04 20:51:51,19,10,915680889681653760
I joined my colleagues this morning to honor the victims of the #LasVegas shooting & demand commonsense gun violence prevention legislationhttps://twitter.com/HouseDemocrats/status/915565174668644353 …,2017-10-04 13:45:57,8,5,915573709095698432
"Waking up to news of tragedy in #LasVegas leaves me heartbroken for the victims, families & friends. Thankful for brave 1st responders.",2017-10-02 14:32:28,12,5,914860639948066816
Thanks to my friend @adamghinds for marching with me in the #NorthAdams Fall Foliage Parade #intheberkshirespic.twitter.com/Q3RS895v6m,2017-10-01 18:03:02,8,3,914551241908289536
It's a stunning day #intheberkshires. On my way to #NorthAdams for the 62nd Annual Fall Foliage Parade.,2017-10-01 14:42:00,17,2,914500653136965632
Hosting a forum on Puerto Rico recovery in Springfield with @SenWarren. Watch live here via @masslivenews https://www.facebook.com/masslive/videos/10155163014957029/ …,2017-09-29 21:23:41,8,4,913876960643895297
Lively conversation with @chamberworc this afternoon at their Business & Government Forum at @MCPHSWorcesterpic.twitter.com/RRg9trXOtR,2017-09-29 16:57:24,5,3,913809949947555840
Congratulations to @SpfldCollege on the dedication of the Candaras Davison Center for Inclusion. What an important addition to campus.pic.twitter.com/HzLhnlC89r,2017-09-29 14:15:12,11,7,913769129374552064
