Text,Date,Favorites,Retweets,Tweet ID
"#GA12 REMINDER -  My staff will be holding community office hours across the district in December. Tomorrow they will be available in Treutlen, Montgomery and Wheeler counties. 

For the full list of dates and locations please click here → http://bit.ly/2s0iFkN pic.twitter.com/teBUeVVUPo",2017-11-30 20:21:40,0,1,936329401398067200
"ICYMI: ""An open letter to Congress signed by 137 economists supporting GOP tax reform bill""http://cnb.cx/2Bpha0X ",2017-11-30 15:50:50,3,5,936261244323008512
"Our current tax system is broken -
 I think we all agree on that. Thankfully, we are now closer than ever to making tax reform a reality for families and businesses in #GA12 and across America.pic.twitter.com/rI8ygyRbtr",2017-11-29 21:03:17,17,23,935977489419161606
Thrilled to see the continued investments @GovernorDeal and our state are making in Augusta! #GA12http://bit.ly/2hYd4Fo ,2017-11-28 15:25:07,2,3,935529997237964800
"Today I am thankful for my family, loved ones, and for the honor of representing the great people of #GA12. From our family to yours, Happy Thanksgiving! pic.twitter.com/VZ5vNRSnbX",2017-11-23 16:10:22,16,5,933729444430336002
"#GA12 My staff will be holding community office hours across the district in December. They stand ready to help with any issues at the federal level including problems with federal agencies such as Social Security, Veterans Affairs, Medicare and others. → http://bit.ly/2s0iFkN ",2017-11-20 20:30:40,0,2,932707789436223491
Read more about how the Tax Cuts and Jobs Act will benefit the economy →https://www.investors.com/politics/editorials/the-coming-tax-cut-boom/ …,2017-11-20 19:12:27,2,3,932688105387298816
Take a look at my e-newsletter to see what I did this week in Washington → http://bit.ly/2A8NuIW pic.twitter.com/RtlWMpbU7J,2017-11-17 21:17:24,2,4,931632385468354560
It has been 76 years since President Franklin D. Roosevelt declared National Bible Week. This week I spoke on the House floor about my personal commitment to put God first through the reading and study of His word.http://bit.ly/2ySYk1E ,2017-11-17 20:09:21,7,5,931615261651857408
"I'm talking to @GetAustinRhodes on Newstalk WGAC now (95.1 FM, AM 580 and streaming live at http://wgac.com ) Tune in!",2017-11-16 22:11:14,1,1,931283544374173696
BREAKING → The House just passed the Tax Cuts and Jobs Act. Read my full statement here http://bit.ly/2ATpMgY pic.twitter.com/Dfx3THaxDE,2017-11-16 18:50:23,5,4,931233000448253952
"Today is the day!

Later today the House will vote on the Tax Cuts and Jobs Act - keeping our promise to deliver tax relief to hardworking American families and job creators across the nation.pic.twitter.com/TYQBsSQ0sX",2017-11-16 15:13:49,55,26,931178498894508034
"Thanks to @USDOL @SecretaryAcosta for testifying before @EdWorkforce today. It was a great opportunity for me to ask him for an update on OSHA's Silica rule, which will affect many business owners in #GA12 and across the nation.http://youtu.be/mKWSzl_YrXQ ",2017-11-15 19:47:43,5,3,930885040522846209
"I am happy to say that with the passage of the National Defense Authorization Act – we have provided for the common defense, supported our service members and worked to close the critical readiness gap. http://bit.ly/2ihJD1N pic.twitter.com/4jdcmdcC6s",2017-11-14 22:53:31,110,33,930569411886485504
"The Tax Cuts and Jobs Act will deliver tax relief to hardworking American families in #GA12 and across the nation. Whether you're a first time homeowner or nearing retirement, our plan will put more money back in your pocket.https://twitter.com/SpeakerRyan/status/930132292739256320 …",2017-11-13 18:46:10,87,19,930144776099368960
This #VeteransDay may we always remember what they've done on our behalf. Without our veterans we would not be the America we are today. Happy Veterans day to all the veterans in #GA12 - I thank you for your service from the bottom of my heart.pic.twitter.com/KUGGkTt6PI,2017-11-11 15:51:14,50,19,929375978035478528
Click here to read some of the highlights from Monday's telephone town hall →http://bit.ly/2zKMmes ,2017-11-10 16:00:02,0,2,929015803873243136
Take a look at my e-newsletter to see what I did this week in Washington → http://bit.ly/2hnVZZc pic.twitter.com/qkUf0n4ODT,2017-11-09 21:29:53,0,2,928736425029373952
"29 million Americans have diabetes, including more than 1 million in my home state of Georgia. Not only does the link between Type 2 diabetes and heart disease have a devastating personal toll; it’s a strain on our nation’s limited healthcare dollars.http://bit.ly/2Ap5JpV ",2017-11-09 19:06:40,2,1,928700384264192005
#TaxReform is about providing relief to hardworking American families and growing our economy. @WaysandMeansGOP is currently marking up the Tax Cuts and Jobs Act. Follow the markup here → https://www.youtube.com/watch?v=6gf_QBUyZFQ …pic.twitter.com/lQJKz45Kf0,2017-11-08 18:23:54,19,4,928327233957187584
"From Robin, staff, friends and family, we wish you a Happy Birthday Congressman! We promise you can have all the ice cream you want today! pic.twitter.com/oVvyALQZWk",2017-11-07 20:53:18,12,2,928002442914131969
ICYMI This Week In Washingtonpic.twitter.com/epdRenbe1y,2017-11-05 15:07:41,1,3,927190689762435072
IPAB is made up of 15 unelected bureaucrats w/ authority to slash Medicare spending. Today I voted to repeal IPABhttp://bit.ly/2z7l7dr ,2017-11-02 21:23:07,1,2,926198008148103169
Great news for #GA12 and for the future of nuclear energy in Americahttp://bit.ly/2z8qTcp ,2017-11-02 17:43:01,1,2,926142617385099264
Today's the day! @WaysandMeansGOP released the Tax Cuts and Jobs Act. Read the full bill text for yourself → http://bit.ly/2gWj9Sp ,2017-11-02 17:31:29,1,1,926139715656527872
It was a pleasure to join the Georgia House Military Affairs Working Group this morning. Thanks for hosting @RepLoudermilk!pic.twitter.com/Mw0patbhuD,2017-11-02 14:33:50,4,4,926095007769157632
"#GA12 - The deadline to apply for for disaster unemployment assistance in Coffee County is Friday, November 3rd → https://www.fema.gov/news-release/2017/10/31/disaster-unemployment-assistance-deadline-nears …",2017-11-01 21:22:34,10,18,925835480947666944
Ag guestworker programs are critical to farmers in #GA12. Thank you @RepGoodlatte for your leadership on the AG Acthttp://bit.ly/2z9bpqz ,2017-11-01 15:48:16,1,2,925751350868303872
Happy Halloween from our trick or treaters to yours! I hope everyone in #GA12 has a fun and safe Halloween.pic.twitter.com/kRMUECA3P7,2017-10-31 19:59:36,3,3,925452215732658176
"ICYMI: ""Allen Applauds USDA for Revising Peanut Grading Rule""http://bit.ly/2iOBtBa ",2017-10-31 15:16:50,1,2,925381053191245825
The Nuclear Production Tax Credit is critical to #GA12 where we are leading the way in nuclear energy expansion →http://bit.ly/2gWlccV ,2017-10-30 18:21:10,1,2,925065052759183366
This Week in Washington pic.twitter.com/epQDmSGzkK,2017-10-27 20:36:34,5,3,924011964749185029
"Now that we are one step closer to tax reform, don't forget to take my survey! I want to hear your thoughts → http://bit.ly/2ygGHLi ",2017-10-26 20:02:15,2,2,923640942770388992
"""Allen Supports Pathway for Tax Reform"" http://bit.ly/2gFp3ag pic.twitter.com/8BNpRJXwGH",2017-10-26 17:18:28,1,2,923599722736177155
"ICYMI: ""Allen Votes for Legislation to End Sue-and-Settle""http://bit.ly/2gKNtmu ",2017-10-26 02:26:41,1,2,923375300469313536
Today I had the opportunity to speak with CSRA leaders to discuss legislative priorities that will affect our area. Thanks for having me!pic.twitter.com/UJN8Ld65kS,2017-10-25 20:50:27,0,3,923290683288506368
#GA12 - Saturday is National Prescription Drug Take Back Day. Visit https://takebackday.dea.gov/  to find a collection site near you.,2017-10-24 14:50:04,0,3,922837602729889792
Cybersecurity workforce development is critical in #GA12 where we are at the forefront of cyber defense in America. Tune in @ 2pm!https://twitter.com/EdWorkforce/status/922491744750620672 …,2017-10-24 13:12:10,0,2,922812963563728897
"I'll be joining @GetAustinRhodes on Newstalk WGAC soon! (95.1 FM, AM 580 and streaming live at http://wgac.com ) Tune in!",2017-10-23 21:05:19,2,2,922569647521705984
