Text,Date,Favorites,Retweets,Tweet ID
Plans on http://HealthCare.gov  are more affordable than ever. Many consumers can find plans with $0 premiums or plans with premiums of $20 a month or less. Deadline is December 15. #GetCoveredpic.twitter.com/0dQ0a10KQq,2017-12-01 02:21:01,4,6,936419836376203264
Bay Area patients need your help this holiday season. Give back to your community by being a blood donor and helping patients in need.http://bit.ly/2jNmlo4 ,2017-12-01 00:46:00,0,2,936395926192652288
We must fight to reverse this racial disparity. Black people are incarcerated at five times the rate of whites. It is time to end this terrible injustice.http://bit.ly/2B8aBRh ,2017-11-30 22:29:00,13,2,936361447654801408
Opioid abuse is a nationwide epidemic. We need more awareness & treatment programs to curb use and assist in recovery.http://n.pr/2ndTomm ,2017-11-30 21:08:00,0,1,936341064180518912
"The GOP must renew the Children’s Health Insurance Program (CHIP). There are 9,000,000 kids who are counting on Congress to fund their coverage. We cannot let them down.http://bit.ly/2hFyNBR ",2017-11-30 20:21:01,12,4,936329238998855681
"The clock is ticking. We must stand up for our 700,000 #DREAMers.http://wapo.st/2AG4lmT ",2017-11-30 19:10:01,6,2,936311371024580609
Great discussion with @SenBooker on the future of tech jobs and criminal justice reform. He was nice enough to come to our office and even stick around for photos with our team!pic.twitter.com/AAooofs6SP,2017-11-30 16:50:18,29,7,936276209931096065
"Climate change is not just about the environment, it’s also about justice, because brunt of the impact of natural disasters fall to the most vulnerable in our society.http://bit.ly/2hPJB4j ",2017-11-30 16:01:02,8,5,936263810633039873
I support the protection of medical marijuana laws and will continue to fight for patient’s wellness and comfort.  http://bit.ly/2AeP0bY ,2017-11-30 14:27:00,18,5,936240148932542464
My town hall for December is this Saturday. Join me at Lynnbrook High School in San Jose. We will begin at 4:30pm. RSVP at this link: https://khannaforms.house.gov/forms/form/?ID=17 …  and I will see you there!pic.twitter.com/rYeS5Bc7OT,2017-11-30 02:35:01,8,5,936060969909809153
"Looking forward to joining @FP4America to discuss congressional war powers and US policy in Yemen. Tune into the livestream at 3:30pm PT / 6:30pm ET.
https://www.facebook.com/fp4america ",2017-11-29 22:27:00,3,2,935998557399654400
"This half-measure will not fix the misguided GOP tax plan. We need support for the middle class, not corporations and the wealthy.http://bit.ly/2zzLrd0 ",2017-11-29 21:03:00,10,7,935977417683869696
Puerto Rico has been devastated. This  is the kind of bold rebuilding and investment the island needs.http://wapo.st/2AbX510 ,2017-11-29 19:59:01,3,2,935961315058778112
New generations of sustainable farmers must have access to affordable farmland.http://bit.ly/2A97TND ,2017-11-29 18:24:00,7,4,935937403599990784
We need more women in leadership to change the culture around sexual assault. I admire the courage of victims who are coming forward to share their stories.http://bit.ly/2Aehgf7 ,2017-11-29 17:11:00,19,6,935919033068802048
"We must maintain #netneutrality. It’s imperative we keep the internet accessible, vibrant & free.",2017-11-29 16:28:00,28,17,935908211231670272
"Looking forward to joining on Friday, @AM2DM!https://twitter.com/AM2DM/status/935504085041762304 …",2017-11-29 15:53:22,4,1,935899494159405058
"There’s still time left to sign up for 2018 coverage on http://HealthCare.gov . Thanks to financial help, 8 in 10 people can find plans for less than $75 a month and many for a lot lower. #GetCoveredpic.twitter.com/hNRvxhNx0h",2017-11-29 14:52:00,3,6,935884052992753664
It is the right decision to allow these DREAMers to submit their applications.http://bit.ly/2z8kcpP ,2017-11-29 01:19:00,8,6,935679455384743941
I’m glad this investigation is taking place. We must ensure our disaster response system is fully equipped to handle natural disasters.http://bit.ly/2B2y2ur ,2017-11-29 00:06:00,4,3,935661084652064769
I am against opening up the Arctic to oil exploration or drilling. Any concessions to fossil fuel interests will devastate the environment and wildlife.,2017-11-28 22:53:00,52,17,935642712484741122
Sexual harassment and assault are never acceptable. As a collective society we must do far better and work to eliminate this vile behavior.https://www.americanprogress.org/issues/women/news/2017/11/20/443139/not-just-rich-famous/ …,2017-11-28 21:02:01,18,6,935614783000334336
"As I’ve said previously, we must be willing to sit down with North Korea to explore all options to prevent them from developing dangerous capabilities.",2017-11-28 20:15:58,5,4,935603194645897216
North Korea’s latest missile test highlights the urgent need for the Trump administration to produce a coherent strategy. Now is the time to learn from what President Bill Clinton achieved in the 1990s and engage in bilateral negotiations.,2017-11-28 20:15:55,5,4,935603179265380359
