Text,Date,Favorites,Retweets,Tweet ID
Happy birthday to one of my heroes – Congresswoman Shirley Chisholm!pic.twitter.com/oSXiQRMB3d,2017-12-01 00:24:25,53,18,936390494594191366
REMINDER - #OpenEnrollment ends on December 15th. Be sure to #GetCovered in 2018! http://www.getcovered.illinois.gov ,2017-11-30 23:13:44,7,11,936372704722276352
"Far from keeping his promise, @POTUS’ #TaxScam will mean higher taxes for middle class families in the Midwest.http://www.msnbc.com/rachel-maddow-show/his-tax-plan-trump-forgets-the-forgotten-men-and-women …",2017-11-30 22:52:03,14,8,936367248029224960
"This #GOPTaxScam means more than just higher taxes, it means fewer cures for diseases.https://www.npr.org/sections/health-shots/2017/11/29/567052592/advocates-for-patients-with-rare-diseases-defend-tax-credits-for-orphan-drugs …",2017-11-30 22:25:48,9,5,936360643229339650
"By backing #HR38, @HouseGOP is putting the @NRA’s agenda above the lives of our law enforcement officers. #StopCCRpic.twitter.com/a2HbMJut2p",2017-11-29 18:17:36,71,75,935935793369174016
Weapons of war have no place on American streets.http://thehill.com/regulation/court-battles/361969-supreme-court-refuses-to-take-up-marylands-assault-weapons-ban …,2017-11-28 21:24:00,20,13,935620314301689858
"This Thanksgiving, I remain thankful for the opportunity to serve the people of Illinois’ 2nd Congressional district.pic.twitter.com/RhIcvyOOm2",2017-11-23 18:11:14,21,3,933759861875240962
Own a private jet or golf course? Then the #GOPTaxScam is for you. Don’t own one - @HouseGOP says you’re out of luckhttps://www.ft.com/content/e494f47e-ce1a-11e7-9dbb-291a884dd8c6 …,2017-11-22 18:37:37,27,21,933404114112958466
"As we confront sexual assault and harassment in public office, organizations like @FRCdc & CNP need to stop sweeping it under the rug. https://www.washingtonpost.com/amphtml/politics/how-a-conservative-group-dealt-with-a-fondling-charge-against-a-rising-gop-star/2017/11/17/b3b4b8da-c956-11e7-b0cf-7689a9f2d84e_story.html …",2017-11-22 16:40:52,7,6,933374734397526016
"#TaxTalk: U., a junior college student, called opposing the #GOPTaxScam because of the negative impact it will have a students across the country.",2017-11-22 16:00:40,8,5,933364618101174274
#TaxTalk: L. from #Chicago called because this #GOPTaxScam means MILLIONS in Medicare cuts for seniors and older Americans.,2017-11-22 16:00:25,11,12,933364552565248001
"A hard day’s work deserves a fair day’s pay, no matter if you’re a man or a woman.https://qz.com/1117632/its-going-to-take-217-years-to-close-the-global-economic-gender-gap/ …",2017-11-22 14:34:13,10,5,933342861441019904
Had a wonderful day at @PoeClassical meeting students and celebrating their National Blue Ribbon School status.pic.twitter.com/L5GkFc4Wr4,2017-11-22 00:49:03,5,2,933135202775334914
"Happy birthday to my dear friend and co-chair of the #CBWG, @RepYvetteClarke!pic.twitter.com/ZDyCZSyEdM",2017-11-21 21:40:56,7,2,933087859350876161
"…and another unconstitutional,  un-American Trump policy is blocked in court.https://www.huffingtonpost.com/entry/sanctuary-cities-executive-order-blocked_us_5a139666e4b0aa32975d6b3f?utm_campaign=hp_fb_pages&utm_source=main_fb&utm_medium=facebook&ncid=fcbklnkushpmg00000063 …",2017-11-21 20:47:48,27,12,933074489272881157
This #GOPTaxScam has some unhelpful and down-right malicious surprises for seniors and retired people. Proud to stand with @AARP in voting NO!https://www.forbes.com/sites/johnwasik/2017/11/13/how-gop-tax-plan-would-ruin-retirees-underinsured/#27cb097d60ad …,2017-11-21 18:28:43,13,14,933039488913289216
Businesses keep coming to & expanding in #Kankakee. #IL02Proud http://www.daily-journal.com/news/local/kankakee-county-transforming-into-business-destination/article_27df2fb2-9ac5-56a5-8d77-73a35a2e802a.html …,2017-11-21 17:06:52,1,2,933018889734250497
"Congratulations to Illinois Student Laureate, Charles DeLoach III, a student at @OlivetNazareneU. #IL02Proudhttp://www.chicagotribune.com/suburbs/daily-southtown/community/chi-ugc-article-charles-deloach-iii-a-chsd-170-alum-is-hon-2017-11-16-story.html …",2017-11-21 14:37:20,10,6,932981259340582913
"Thank you to the millions of #publichealth professionals working hard, every day to save lives. #PHTYDpic.twitter.com/ySqyemMe22",2017-11-20 23:57:03,13,4,932759726579994624
"Let us recommit to a future where all children grow up safe, loved, empowered and able to learn. #WorldChildrensDay #HR2408pic.twitter.com/CSDSpLy7wJ",2017-11-20 21:51:43,10,11,932728186433138689
This #GOPTaxScam is a direct assault on young people & their #education. We can’t lead the world if we can’t train our young people to be the best.https://www.cnbc.com/2017/11/17/how-the-house-gop-tax-plan-affects-students-parents-and-universities.html …,2017-11-20 20:05:13,10,11,932701382897029121
Trained tradespeople are in high demand. I’m working with @SenDuckworth to pass the CC2CF Act so companies and community colleges can work together on curriculum that ensure students are career-ready. #BetterDealhttps://www.pbs.org/newshour/education/decades-pushing-bachelors-degrees-u-s-needs-tradespeople …,2017-11-20 18:34:33,7,4,932678569679032322
No official – let alone @POTUS’ son-in-law – should be hiding #nationalsecurity documents from the Senate. #TrumpRussiahttps://www.washingtonpost.com/powerpost/senate-judiciary-panel-kushner-had-contacts-about-wikileaks-russian-overtures-he-did-not-disclose/2017/11/16/402586b4-cb05-11e7-8321-481fd63f174d_story.html?utm_term=.df098b3768b9 …,2017-11-20 16:45:55,39,28,932651229272006661
".@realDonaldTrump: 3 tweets on athletes in 24 hours. Shouldn’t you be working to address North Korea’s nuclear threat, the #opioid crisis or the #gunviolence epidemic? SAD!https://twitter.com/realDonaldTrump/status/932570628451954688 …",2017-11-20 16:10:14,98,38,932642250185756672
"""Sexual harassment isn't just a problem in DC and Hollywood, but also everywhere in between."" #CNNSOTU",2017-11-19 18:30:57,40,15,932315272584757248
Looking forward to joining @CNNSOTU on Sunday morning. Tune in at 8am CST!,2017-11-18 17:55:50,12,10,931944046460915712
"Earn less than $75,000 a year? @SenateRepublicans is planning to raise your taxes with their #GOPTaxScam.https://www.washingtonpost.com/news/wonk/wp/2017/11/16/senate-tax-bill-cuts-taxes-of-wealthy-and-hikes-taxes-of-families-earning-under-75000-over-a-decade/?utm_term=.5b5238bd4cf3 …",2017-11-17 19:39:09,29,43,931607662936117253
.@SenateGOP doesn't think you deserve to deduct your state & local taxes but private jet owners keep their deductionhttp://thehill.com/blogs/blog-briefing-room/360785-senate-tax-bill-includes-tax-break-for-private-jets …,2017-11-17 17:30:07,19,22,931575187010740224
Excited to join this fantastic group of experts and advocates to discuss #mentalhealth in our communities.pic.twitter.com/aWMmSTFewy,2017-11-17 16:23:37,20,8,931558452014600197
"When it comes to #mentalhealth, it's stigma and barriers to accessing care that prevent people from getting better. Let's fix both.",2017-11-17 15:34:22,12,4,931546060794851331
Great to kick off this morning's @amprog event on #mentalhealth care & access for women and girls of color.pic.twitter.com/Ch4Em3BMjz,2017-11-17 15:21:06,6,4,931542722573369345
"As am I! An estimated 854,000 Illinoisans will see a tax hike because of this bill. https://robinkelly.house.gov/media-center/press-releases/854000-illinoisans-to-see-tax-hike-thanks-to-illinois-republican …https://twitter.com/jbakermsw/status/931240242492968960 …",2017-11-17 14:34:47,12,11,931531062806802432
"This is great news! @POTUS & @GOP tried to kill the ACA & the American people said no! 
Not one of these 1.4 million? Be sure to sign up and #getcovered by December 15th.https://twitter.com/kylegriffin1/status/930834112876826625 …",2017-11-16 17:30:12,30,24,931212822918455297
Even senior Republicans think that #taxreform is nothing but a scam.http://thehill.com/blogs/blog-briefing-room/news/360413-ny-gop-official-quits-position-over-republican-tax-bill …,2017-11-16 15:33:08,10,7,931183362798059525
A majority of Americans & the @GLFOP oppose this #GOPTaxScam. @HouseGOP should stand w/ law enforcement and vote NO! https://fop.net/CmsDocument/Doc/FOP%20on%20SALT.pdf …,2017-11-16 02:12:00,7,9,930981749454245888
#TaxTalk: C. from #Chicago called and asked me to oppose the #GOPTaxScam so Americans can keep their healthcare.,2017-11-16 00:41:20,13,12,930958934130806784
"#TaxTalk: M. from #ParkForest called because as a person of faith, she’s opposed to the #GOPTaxScam.",2017-11-16 00:38:27,7,4,930958207647911936
#TaxTalk: Spoke with R. from Momence. He opposes the #GOPTaxScam as well.,2017-11-16 00:35:55,13,9,930957569207820293
#TaxTalk: J. from #Homewood opposed the #GOPTaxScam because more than half of the benefits go to the richest 1 percent.,2017-11-16 00:31:47,5,8,930956530140270592
#TaxTalk: A. from #RichtonPark called because the #GOPTaxScam means cuts to Medicare.,2017-11-16 00:24:38,9,7,930954728858685440
#TaxTalk: Spoke with P. from #Homewood. She’s rightfully concerned that the #GOPTaxScam will hurt her sick relatives who need long-term care,2017-11-16 00:19:58,10,7,930953554046652417
I’m getting a lot of calls from constituents opposing the #GOPTaxScam. I’ll be sharing some stories here using: #TaxTalk,2017-11-16 00:19:29,51,28,930953433905057793
"More than a month after #LasVegas, nothing has been done to address #bumpstocks. Will @SpeakerRyan allow a vote?https://www.washingtonpost.com/world/national-security/no-action-by-congress-or-atf-on-the-device-used-in-las-vegas-shooting/2017/11/15/ed6e464e-c8b7-11e7-8321-481fd63f174d_story.html?tid=ss_tw-bottom&utm_term=.735e058d55cc …",2017-11-15 23:35:45,17,13,930942429653618688
There is more to so-called #TaxReform than @SpeakerRyan will tell you. It could cut your Medicare.http://thehill.com/policy/finance/budget/360300-tax-bill-could-spur-25-billion-in-medicare-cuts-cbo …,2017-11-15 22:50:21,26,45,930931000955240451
"When it comes to #OpenEnrollment, don’t be WRONG! #GetCovered by December 15th!pic.twitter.com/9GjCgStJGU",2017-11-15 22:30:22,24,24,930925972139991041
"Between 700-1,200 American moms die every year giving birth. It’s time to find solutions that save lives.http://www.cnn.com/2017/11/15/health/black-women-maternal-mortality/index.html …",2017-11-15 20:43:53,15,14,930899174215835648
My Connected Government Act just unanimously passed the U.S. House. Onward to the Senate!https://twitter.com/RepCloakroom/status/930882249108676609 …,2017-11-15 19:40:00,12,5,930883097754849281
Happy #AmericaRecyclesDay! Something as small as recycling can make a world of difference for us all.https://www.epa.gov/recycle/recycling-basics …,2017-11-15 19:33:45,4,0,930881527386427392
.@mluckovichajc brilliantly reminds us that @GOP #taxreform is for the children – the TRUMP children.pic.twitter.com/masZowsJ17,2017-11-15 18:23:34,17,9,930863863729459200
Because the @GOP doesn’t want middle class families to know how much they are raising their taxes. #TaxReform = #GOPTaxScamhttps://twitter.com/clairecmc/status/930786875052384257 …,2017-11-15 17:09:26,12,5,930845209189068800
"Congratulations to Hannah Davis, of #Kankakee Central HS, on winning this year’s @NoGunViolence art contest. #IL02Proud http://www.daily-journal.com/news/local/central-student-wins-anti-violence-art-contest/article_cbc17c96-7fbe-5fea-8da3-16f80df7e096.html …",2017-11-15 15:14:14,9,4,930816215987245057
Having a little fun w/ @RepBeatty as we raise awareness about the #OpenEnrollment period that ends on December 15th. Be sure to #GetCovered.pic.twitter.com/NtiEXYKHi8,2017-11-15 02:00:48,52,25,930616541061812225
Important conversation with the @Fox32News team about stopping #gunviolence and defeating the #GOPTaxScam. http://www.fox32chicago.com/news/293413050-video …,2017-11-14 23:50:49,7,5,930583830439874560
I support the 2nd Amendment but I also support common sense ideas like universal background checks and preventing stalkers & abusers from getting guns.https://twitter.com/BlueOwl0313/status/930553256643907585 …,2017-11-14 22:00:15,33,10,930556005372526595
"Could you afford a $2,000 TAX HIKE? Under the #GOPTaxScam, one in four Americans will see one.http://www.taxpolicycenter.org/publications/distributional-analysis-tax-cuts-and-jobs-act-passed-house-ways-and-means-committee …",2017-11-14 21:33:04,13,12,930549164068491264
