Text,Date,Favorites,Retweets,Tweet ID
"From my family to yours, happy #Thanksgiving.pic.twitter.com/M5zeGEUyL9",2017-11-23 13:55:49,7,3,933695587647655936
"For more than three decades, families have paid a growing cost for our country’s increasingly complex and burdensome tax code that's loaded with special interest loopholes. This isn’t fair to hardworking Kansans. That's why today I voted for #TaxReform.pic.twitter.com/RvOA2gn8lN",2017-11-16 22:41:09,6,2,931291073980370944
"Today, on #VeteransDay, we honor all those who have donned the uniform & served our great nation. We thank you from the bottom of our heart.pic.twitter.com/geayzinaz1",2017-11-11 17:55:09,7,3,929407162056695809
We’re committed to helping families because the family unit is the cornerstone of our nation.http://www.washingtonexaminer.com/rep-ron-estes-republican-tax-reform-puts-families-first-again/article/2639592 …,2017-11-07 19:09:46,3,1,927976389948649472
"What’s the scariest thing this Halloween? The 74,000+ pages of the tax code. That’s why we need a fair and simple plan. #TaxReformTuesdaypic.twitter.com/aZ6TZLFUGi",2017-10-31 19:17:12,28,12,925441542122242049
Kansans have lost a true champion of life with the passing of David Gittrich. Susan and I will miss David greatly. @kansansforlife,2017-10-18 21:24:59,6,4,920762657287876609
"LIVE NOW: Markup of H.R. 3548, The Border Security for America Act: https://www.youtube.com/watch?v=MaWSAChPs-E …pic.twitter.com/dL53DDDH0J",2017-10-04 14:06:53,7,4,915578979347832833
I'm deeply saddened by the events last night in #LasVegas. My family and I are praying for all those affected.,2017-10-02 12:14:00,9,7,914825792693133312
Follow the link to see what the plan does: https://fairandsimple.gop/?utm_source=RepRonEstes … … #TaxReformpic.twitter.com/7vcyJe2b1T,2017-09-27 17:32:55,3,3,913094112974446592
See what the tax reform framework does: https://fairandsimple.gop/?utm_source=RepRonEstes … #TaxReformpic.twitter.com/CX1thqmY18,2017-09-27 16:24:43,4,4,913076948234063872
Proud to support this bill!https://twitter.com/GOPLeader/status/912729744881455105 …,2017-09-26 18:26:51,4,0,912745296563712000
FYI: LIVE at @ 2pm @HouseHomeland's hearing on the modernization of @DHSgov financial systems → http://youtu.be/169WUmhUD1Q pic.twitter.com/ip8iY3JE7X,2017-09-26 13:01:24,1,2,912663396579004416
Happy B-day USAF! #AFBday Check out the @usairforce Flickr account (https://www.flickr.com/photos/usairforce/ …) for incredible photos of the USAF in action.pic.twitter.com/1ml6Y4kdjf,2017-09-18 15:57:10,7,2,909808526129844224
#NotForgotten #POWMIARecognitionDaypic.twitter.com/q7um13aCC1,2017-09-15 19:16:41,7,2,908771572269424645
pic.twitter.com/NiPfPr4H8P,2017-09-08 16:09:55,5,1,906187853272580096
Praying for all those caught in the path of Hurricane Harvey. I'm thankful for the heroism of our first responders and the many volunteers.,2017-08-28 22:29:33,11,3,902297126247559168
Our outdated tax code is holding our economy back. It's about time we fix this. #TaxReformTuesdaypic.twitter.com/VDq4yuEQde,2017-08-22 17:50:47,6,3,900052643367837697
"Glad to have the opportunity to talk about regulatory reform, growing our economy, & tax code… https://www.instagram.com/p/BXyBbr8Dxzh/ ",2017-08-14 17:02:05,5,0,897141288163848192
"Q: What do s like best about math?
A: Cow-culus @ Keriel Dairy https://www.instagram.com/p/BXoJf62DeOs/ ",2017-08-10 21:06:06,7,2,895753145556578305
Enjoyed a great Friday in Cowley County. Thanks to all who hosted and took the time to share their thoughts. #KS04 http://www.ctnewsonline.com/news/article_97fa0586-796b-11e7-9964-5f1f022c4403.html …,2017-08-07 21:19:00,3,0,894669226107162624
My comments regarding the nomination of fellow Kansan @govsambrownback as Ambassador at Large for International Religious Freedom:pic.twitter.com/jL22vBH86M,2017-07-27 02:42:10,11,2,890401899354238976
"My statement upon introducing legislation to name the M.S. ""Mitch"" Mitchell Floodway:https://estes.house.gov/news/documentsingle.aspx?DocumentID=95 …",2017-07-25 21:25:58,2,0,889959936922406912
The DHS Authorization Act will be vital to ensuring America’s continued safety. Read my full statement here:https://estes.house.gov/news/documentsingle.aspx?DocumentID=90 …,2017-07-20 20:19:18,6,2,888131220478898177
"America faces threats from terrorism, foreign cyber attacks, and an unsecured southern border. This bill helps @DHSgov combat these threats.pic.twitter.com/T90BWAvxGL",2017-07-20 14:42:22,6,7,888046427703738369
Our new Miss Kansas stopped by! It was great to get to chat with Krystian about her plans for… https://www.instagram.com/p/BWsjJoLDBUl/ ,2017-07-18 17:42:48,6,3,887367061474881537
https://homeland.house.gov/hearing/persistent-threat-al-qaedas-evolution-resilience/ …pic.twitter.com/1L7xqkXMQa,2017-07-13 14:18:34,5,1,885503723514015747
"Read my latest e-newsletter here, and sign up to receive them hot off the press! #KS04 https://estes.house.gov/news/email/ ",2017-07-11 19:43:07,4,1,884860624043483141
A big honor to welcome home our Kansas veterans from the 50th @KSHonorFlight today. I am tremendously grateful for these American heroes.pic.twitter.com/MucXKCt9iv,2017-06-30 21:25:47,14,4,880900194564485121
Thanks Gen. Myers for stopping by today. @KStatepic.twitter.com/yfSBkgZ9J1,2017-06-27 22:56:59,9,0,879835983549779971
I'm honored to begin serving on the @HouseHomeland. Click here for my full statement:https://estes.house.gov/news/documentsingle.aspx?DocumentID=48 …,2017-06-27 20:43:33,11,6,879802401175347206
Fact: All 39 states using http://healthcare.gov  saw an increase in individual market premiums since 2013 #repealobamacare,2017-06-22 15:50:09,10,5,877916628532551680
"Please keep Rep. @SteveScalise, his staff, and law enforcement officers who were involved in your thoughts and prayers.",2017-06-14 12:47:31,59,26,874971561345912832
Our veterans deserve to receive the highest quality of care. Here is my statement on today's congressional action towards that goal.pic.twitter.com/U3fCSNNDar,2017-06-13 21:28:27,16,3,874740274068697089
Good luck with the competition Katrina! Thanks for stopping by to talk history with us. #nhd2017 @NationalHistorypic.twitter.com/avH7UgBEPL,2017-06-13 14:41:45,10,3,874637921172828161
My oped on repealing Obama’s regulatory nightmare.@kansasdotcomhttp://www.kansas.com/opinion/opn-columns-blogs/article155445894.html …,2017-06-11 14:10:14,8,2,873905213878521857
I was proud to support and co-sponsor the #CHOICEAct. Here's my full statement:pic.twitter.com/bhZnH3HBBR,2017-06-08 21:01:32,25,17,872921560943919104
Glad to meet with some of my former State Treasurer colleagues to discuss financial issues today.pic.twitter.com/zsxqlbMkZL,2017-06-08 20:43:03,3,0,872916909485948928
Dodd-Frank created more rules than all other laws passed under the Obama Administration ... combined. This is why we need the #CHOICEActpic.twitter.com/rpG3pTuQsP,2017-06-08 19:52:10,12,13,872904100756770817
Are you receiving my e-newsletter? Click here to read past editions and sign up for updates: https://estes.house.gov/news/email/ ,2017-06-07 18:11:43,1,1,872516437168066561
Initial thoughts regarding @POTUS' plan to privatize America's air traffic control system:pic.twitter.com/V0opXitFyO,2017-06-05 19:27:24,5,2,871810704789131264
A tremendous honor to observe our troops (including Kansans) during readiness training at @NTC_UPDATE. Our forces truly are second-to-none.pic.twitter.com/EUs6ELi0wH,2017-06-01 20:24:51,15,7,870375614372610048
A brief reflection for #MemorialDay:pic.twitter.com/K069WtELUV,2017-05-29 15:10:14,10,3,869209271187251201
"Glad we could help, and thanks to everyone involved. Enjoy a safe Memorial Day weekend in #Kansas! @KDWPT @usbr http://ksoutdoors.com/KDWPT-Info/News/Weekly-News/Cheney-News-5-26-17/New-Cheney-Marina-To-Open-This-Weekend …",2017-05-27 16:30:16,2,0,868504636893908992
My official e-newsletter is up and running. Read the first one here and sign up to receive future #KS04 updates! https://estes.house.gov/news/email/show.aspx?ID=LYDHHFWXHFGBO …,2017-05-25 16:35:24,2,1,867781154375684096
Wonderful seeing Dr. Mildred Edwards and Kenya Cox while they're in Washington with @linksinc. Thanks for visiting my office! @WichitaLinkspic.twitter.com/EiCdS2Z5bO,2017-05-23 21:55:27,10,5,867136921205710852
And we do thank them. God bless and protect all of our nation's heroes and their families. #ArmedForcesDay #ks04 #gratefulhttps://twitter.com/DeptofDefense/status/865900236392210432 …,2017-05-20 16:48:00,2,2,865972384666464256
My statement on the appointment of former FBI Director Robert Mueller as Special Counsel:pic.twitter.com/FllWYBb1dp,2017-05-18 16:35:48,3,2,865244538301972484
"ICYMI: Here are my comments with @LouDobbs last night. Ultimately, we all should want the #USA to be successful.http://video.foxbusiness.com/v/5437046578001/?#sp=show-clips …",2017-05-18 00:15:05,1,0,864997736126365696
Wonderful to visit with friends and business leaders from the @ChamberWichita today. Glad to see so many Kansans in DC!pic.twitter.com/gLSGe4mdma,2017-05-17 21:13:29,7,1,864952032008052738
"A great week engaging with Kansans across #KS04. Read my full letter here. Thanks, Deb Lucia, for your letter too!http://www.kansas.com/opinion/letters-to-the-editor/article150847012.html …",2017-05-17 16:37:10,1,0,864882497091510273
"Prayers for a full and speedy recovery, @SenThomTillis.https://twitter.com/AP/status/864822053504987137 …",2017-05-17 14:05:42,3,0,864844377499340800
Looking forward to joining @LouDobbs tonight at 6:40 PM Central / 7:40 PM Eastern on the FOX Business Network. Hope you'll tune in!,2017-05-16 21:03:45,0,0,864587194597617664
Special gratitude to all those in our law enforcement community who work so diligently to protect and serve. Thank you. #NationalPoliceWeekpic.twitter.com/4CaR8fzF5v,2017-05-15 20:58:10,5,1,864223404878155778
"I'll be on KFRM 550 AM Radio at 2:30pm CT today. Listen in or stream online. Thanks, Kyle Bauer, for having me. http://www.kfrm.com/ ",2017-05-15 17:46:47,0,0,864175238912892929
Thank you @GraceMedHealth for the tour of the new clinic in S. Wichita. They are a great team achieving a mission to serve those in need.pic.twitter.com/WCM2vTUBmB,2017-05-12 15:50:24,3,1,863058785815973889
Really enjoyed visiting @WichitaUSD259 schools this week. Sincere thanks to all teachers & staff for your commitment to our next generation.pic.twitter.com/iUkAPDQG1j,2017-05-10 22:00:21,6,1,862427114611593216
The honor was mine. Thank you @HelpEnvision for your time and all your great work!https://twitter.com/HelpEnvision/status/862059597665796097 …,2017-05-10 17:50:10,0,0,862364153989791746
Thanks @NexStepAlliance for the tour. Great work being done by this partnership between @Goodwill_Kansas and @watcwichita!pic.twitter.com/qMe4ZBp0xA,2017-05-09 18:27:47,2,0,862011229132529664
Good week. Voted to repeal/replace Obamacare & even got to chair a joint subcommittee mtg. Now looking forward to a great week in #KS04!pic.twitter.com/NOqJw9AXCh,2017-05-05 22:13:37,2,0,860618512137695232
It's time to put people – not politics – back at the center of our health care system. Today we took the first step.pic.twitter.com/dQy9xRxRww,2017-05-04 19:35:30,5,3,860216333350428672
The message from Kansas voters was crystal clear -- Produce results or go home. Read my full op-ed in the @WSJ here:https://www.wsj.com/articles/why-kansans-asked-whats-the-matter-with-republicans-1493766540 …,2017-05-03 00:37:36,6,4,859567584848605184
Wonderful to meet with the Community Bankers Association of Kansas today. They are vital partners with our local businesses and communities!pic.twitter.com/UBblxpL63g,2017-05-02 19:12:35,3,1,859485790216343552
Profound thanks to the soldiers of @35Div. I'm grateful to them and their families for their service and sacrifice.http://www.wibw.com/content/news/Entire--420831333.html …,2017-04-30 16:13:30,3,2,858715947472965632
"Thank you, Mr. Speaker! I'm honored and ready to get to work.https://twitter.com/SpeakerRyan/status/857013643984162816 …",2017-04-26 00:17:58,289,48,857025928811220992
Looking forward to getting to work for #KS04.  Follow for updates!,2017-04-21 21:24:34,17,5,855532739944173569
