Text,Date,Favorites,Retweets,Tweet ID
"Chronic wasting disease has the potential to devastate deer herds, and it is time we bring hunters, scientists, and officials together to create a comprehensive plan to manage and prevent the spread of the disease. Learn more here:http://bit.ly/2zOcyFl ",2017-11-29 22:50:26,5,5,936004453894905859
"With my good friend & America’s best story teller, @KenBurns, @librarycongress. Thanked him for his support of my Vets History Project.pic.twitter.com/Ev5CXsUcpx",2017-11-29 02:09:17,15,2,935692107368534017
More concerning news keeps coming out about Foxconn:https://www.ft.com/content/7cb56786-cda1-11e7-b781-794ce08b24dc?accessToken=zwAAAV_lCMiYkc98tWeGzaER59O3gXlM4Isk3A.MEQCICsnDsJ1wCKgHNmoEInvn4V_vxA4Whkvrr2ipD24pTl_AiALkqvfNUf2t4bKcpeKrDY8uFNs4lpeGLVNxf-P3cH2XA&sharetype=gift …,2017-11-22 17:42:45,4,4,933390308808806401
"Today is National Rural Health Day. Thank you to all of the doctors, nurses and healthcare providers that help keep our families and loved ones safe and healthy in western and central Wisconsin.  #ruralhealthday",2017-11-16 23:48:13,11,3,931307954288185344
Given the news that Foxconn's profits dropped almost 40% from this time last year I am not sure that a 25 year $3 billion bet is the best thing for Wisconsinites.https://www.ft.com/content/a7421056-c9d4-11e7-ab18-7a9fb7d6163e?accessToken=zwAAAV_GHZeIkdOnQhBWydQR59OrGHqft9YWPg.MEYCIQDsoc4JtYnemzTp-sUCCXeRtsApL47SlJfy9pilgKoIkAIhAI5eilEM_vHpD0hB2vZU1wt34oNrj5me04aFWj35nZzw&sharetype=gift …,2017-11-16 17:41:28,12,8,931215657198391296
#GOPTaxPlan sticks our children and grandchildren with $1.7 Trillion in debt while giving tax breaks to powerful special interests and the wealthy.,2017-11-16 17:14:04,41,35,931208759870918659
"There is no question that our current tax code is in need of reform. However, I believe that the current #GOPtaxbill isn’t the kind of reform Wisconsinites need.",2017-11-09 20:56:35,24,4,928728046219268096
"Instead of a President who goes to China and praises them for “leaving America behind”, I want to work with a President who wants to help America be the most competitive, creative, and innovative nation in the world!http://abcnews.go.com/Politics/trump-dont-blame-china-us-china-trade-imbalances/story?id=51030935 …",2017-11-09 16:06:41,13,6,928655090055024641
"Outrageous! The nonpartisan Tax Policy Center found that the #GOPTaxBill would raise the taxes of 38 million Americans, and confirmed that the largest share of the bill's tax cuts would go to the wealthy. Wisconsin, and the rest of the country, deserves a better plan!",2017-11-08 21:32:02,60,43,928374579223023616
Reminder to our Vets: Please join me at my Veterans Town Halls in La Crosse & Eau Claire this Friday. Learn more here: http://bit.ly/2ym0P0b pic.twitter.com/NKugMqLxpi,2017-11-08 21:24:53,0,2,928372780541857796
"The Johnson Amendment repeal included in the #GOPTaxPlan could create a civil war in the pews. It would lead to the creation of democratic or republican churches, synagogues, or mosques, and turn many of our young people away from the church and religion in their lives.pic.twitter.com/VEqQxnV9kV",2017-11-08 19:13:43,44,38,928339768617984001
Day 3 of the #GOPTaxBill Markup.  I'm ready to continue to fight for hardworking Wisconsinites. We deserve a bill that helps real American families - not powerful special interests and corporations.pic.twitter.com/rLbvxXzhqE,2017-11-08 15:39:38,6,4,928285892254601216
"We need to protect the Work Opportunity Tax Credit, & commit to helping our veterans find a good job after they return from war. #GOPTaxBillpic.twitter.com/MttKG5wjf1",2017-11-07 21:45:15,18,13,928015517805408258
Watch live as I fight to hold powerful special interests to the same standard as hardworking Wisconsinites: https://www.c-span.org/video/?436876-1/house-ways-means-committee-marks-tax-reform-bill&live …,2017-11-07 19:54:49,9,3,927987726850412546
Reminder to our Vets: Please join me at my Veterans Town Halls in La Crosse & Eau Claire 11/10. Learn more here: http://bit.ly/2ym0P0b pic.twitter.com/N89hL3Bgck,2017-11-07 16:56:42,5,1,927942902394867712
"Who benefits from #GOPTaxBill?  Wealthiest Americans & corporations. Who gets the bill? Middle-class families, small biz, future generations",2017-11-07 15:35:42,15,9,927922515342712833
Who loses under the #GOPtaxbill? Middle-class Wisconsin families - while the wealthiest Americans and corporations get a tax break.,2017-11-06 19:42:39,41,29,927622275553210368
I stand ready & willing to fix our broken tax system - but not @ the cost of hard working Wisconsinites. Watch here: http://cs.pn/2AmOoOR ,2017-11-06 17:19:52,9,6,927586342007164928
"WISCONSINITES: Today is the first day of the Open Enrollment period, visit http://healthcare.gov  and #GetCovered!pic.twitter.com/yB0uopZ5RE",2017-11-01 22:16:25,10,6,925849033670905857
"I hope you can join me at my Veterans Town Halls in La Crosse and Eau Claire on Friday, Nov. 10. Learn more here: http://bit.ly/2ym0P0b pic.twitter.com/iEGhUXN8Mw",2017-11-01 20:51:53,1,1,925827759498256392
"We stand with the people of NYC following today's horrific terror attack. My thoughts & prayers are w. families, victims, & first responders",2017-10-31 21:54:52,18,11,925481219747385345
WISCONSINITES: Open Enrollment starts TOMORROW. Don't wait until the last minute. Visit http://localhelp.healthcare.gov  and #GetCovered!,2017-10-31 18:31:44,8,13,925430102816681985
Proud that in the current Congress I am ranked 2nd out of all 435 members when it comes to independence.pic.twitter.com/bvJ04Iof83,2017-10-27 18:40:49,33,12,923982835765178368
Wisconsinites: Open Enrollment is soon: Nov 1 - Dec 15th. Make sure you have everything you need to #GetCovered: https://go.usa.gov/xnYmw ,2017-10-25 19:07:51,67,55,923264863312531458
This week the Dr. Chris Kirkpatrick Whistleblower Protection Act passed the House w/ bipartisan support. Learn more:http://bit.ly/2yh1TPG ,2017-10-13 16:19:13,0,1,918873769304784901
Happy #NationalComingOutDay to all of the LGBTQ people & allies in western and central WI. Proud to protect your right to be you!,2017-10-11 21:28:07,26,4,918226733438038017
On #WorldTeachersDay we thank those that inspire and educate our next generation of Wisconsinites.  Thank you teachers - we appreciate you!,2017-10-05 20:31:00,12,2,916038030082871298
"A reminder that America needs to continue funding STEM education & supporting innovation,https://twitter.com/NASAhistory/status/915547052721000449 …",2017-10-04 16:35:10,10,2,915616293138632704
"As we wake to the horrific news of the mass shooting in Las Vegas our prayers are with the victims, families, and law enforcement officials",2017-10-02 12:37:34,18,7,914831722507841536
No better way to start your Oktoberfest weekend than the Slicing of the Golden Brat! Hope everyone has a safe and fun Oktoberfest weekend.pic.twitter.com/GGlu3DQcve,2017-09-29 17:42:05,15,4,913821195652431877
Welcome back! Your strength and courage serves as an inspiration to all.https://twitter.com/SteveScalise/status/913405166178783232 …,2017-09-28 15:25:20,11,1,913424392629170176
"I hope Congressional Republicans are willing to work together to make our tax system simpler, more competitive, and fair for all.",2017-09-27 20:16:35,7,3,913135299974266880
Last thing WI needs is a plan that gives massive tax cuts to wealthy special interests while sticking our kids & grandchildren with the bill,2017-09-27 20:08:10,30,15,913133181552988162
I agree with @SenJohnMcCain. It is time we work together through regular order to recognize what works in health care & fix what doesn’t.,2017-09-22 18:30:26,107,27,911296648239775744
Thanks to @CVTC & @UWStoutMOC for showcasing great manufacturing work in the Chippewa Valley. WI is working hard & building a great future!pic.twitter.com/f1wH9pyfUw,2017-09-22 16:14:04,4,1,911262328829693952
WI expects people to work together to solve problems. @JimPressOffice & I are working to find bipartisan solutions:http://jsonl.in/2wcV6IN ,2017-09-15 17:49:11,5,1,908749550462042112
