Text,Date,Favorites,Retweets,Tweet ID
Proud to cosponsor the Congressional Accountability and Hush Fund Elimination Act introduced by @RepDeSantis,2017-11-30 22:38:55,83,49,936363941365796864
Touring @FSWCollege with @BetsyDeVosED in #SWFLpic.twitter.com/O6aIQT83kz,2017-11-27 16:02:55,18,2,935177121177194496
Keep oil drilling out of the Eastern Gulf http://newspr.es/2APgVwb  via @thenewspress,2017-11-20 17:18:37,5,6,932659459259805696
Tune in to @CNN at 2:05 today - I'll be discussing the latest news on Russia and other topics.,2017-11-19 18:53:01,4,1,932320827546185728
Tune in to @FoxNews today at noon as I discuss tax reform with @ElizabethPrann #TaxCutsAndJobsAct,2017-11-18 16:45:42,3,2,931926397815226368
Congressmen Rooney-Norman Introduce the Pell for Performance Act -http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=273 …,2017-11-17 20:49:48,0,1,931625439143124992
I appreciated being able to take part in @AmbJohnBolton briefing this morning on President Trump's recent trip abroad.pic.twitter.com/j0pe7XNWQA,2017-11-14 20:46:27,4,1,930537433061523457
"I must vigorously and relentlessly oppose any move towards seismic testing or offshore drilling in the eastern Gulf of Mexico and along the west coast of FL

https://www.facebook.com/RepRooney/videos/944068915740581/ …",2017-11-09 19:39:00,2,1,928708518521311232
Francis Rooney focuses on Lake Okeechobee and the Everglades in key meetings   -http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=267 …,2017-11-08 15:28:10,3,4,928283010365083649
Collier County Honor Flightpic.twitter.com/MUCmCQeCZw,2017-11-07 15:11:19,4,2,927916378555895809
Sitting down for an interview with @accionhispana to discuss latest updates from Washingtonpic.twitter.com/6nqLHhAJwR,2017-11-02 15:37:27,0,2,926111016412434432
I'll be joining @CNN at 10:18 this morning to discuss the #RAISEAct - which will end the Diversity Visa lottery system.,2017-11-02 14:08:13,0,2,926088561153232896
I am a cosponsor of RAISE Act that would eliminate Diversity Visa Lottery - the type used by NYC terrorist Sayfullo Saipov to enter the U.S.pic.twitter.com/7yQ9oUN0uk,2017-11-01 15:32:57,15,15,925747495350755328
Congressman Francis Rooney Applauds @POTUS Acceleration of Herbert Hoover Dike Repairs -http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=263 …,2017-10-27 16:20:38,4,4,923947556077481986
Let's de-fuel #RocketManhttp://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=261 …,2017-10-25 20:36:20,0,4,923287131560271877
Getting ready to go live on @CNN with @wolfblitzer to talk about the tragic events in Nigerpic.twitter.com/g7FUufCtop,2017-10-24 17:38:39,5,1,922880028748271617
"""Kate's Law"" passed the House in June yet is still awaiting Senate action. Isn't it time to make ""Kate's Law"" a law?http://www.foxnews.com/us/2017/10/23/kate-steinle-case-that-led-to-debate-over-us-sanctuary-cities-trump-s-call-for-wall-is-underway-in-court.html …",2017-10-24 15:28:07,0,1,922847177038319616
Looking forward to discussing tax reform this morning!https://twitter.com/morningbriefing/status/922782264001482752 …,2017-10-24 11:11:45,0,0,922782660208062464
Tune in to @MSNBC at 5pm - I'll be discussing the latest information on Niger with host @SteveKornacki,2017-10-23 21:00:05,7,5,922568332242382848
Speaking @CatholicUniv students about Catholic social teaching in today’s worldpic.twitter.com/xpUgPsV8vp,2017-10-23 17:51:57,13,6,922520987509325825
"Tune in to @MSNBC this morning at 9:10 - I'll be discussing tax reform, healthcare and world affairs.",2017-10-21 12:53:12,1,2,921721028908285952
At the dedication of the Freedom Horse sculptures at Lely Resort. The horse sculptures symbolize the personal drive for freedompic.twitter.com/p3WSmaiGMN,2017-10-19 15:39:59,4,2,921038226562969600
A long view on Iranhttp://thehill.com/blogs/congress-blog/foreign-policy/355740-a-long-view-on-iran#.WeYhvLFxo8I.twitter …,2017-10-17 15:29:03,0,2,920310696751108096
Congressman Francis Rooney Requests Extension of 90% Cost Share for Hurricane Irma Debris Removalhttps://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=254 …,2017-10-13 13:19:35,3,1,918828563608080384
United States withdrawal from UNESCO over its anti-Israel bias puts the UN on notice to change its wayshttps://reut.rs/2gzOXws ,2017-10-12 19:39:02,6,3,918561668384387072
Always a great day when constituents stop by the office!pic.twitter.com/aTvdZVScPN,2017-10-12 14:35:48,4,1,918485355925594114
My thoughts on the potential strategic advantages of an independent Kurdistanhttp://www.realclearworld.com/articles/2017/10/10/kurdistan_deserves_us_support_here_is_why_112579.html …,2017-10-11 14:35:39,5,3,918122932056059905
I'll be on @FoxBusiness with @TeamCavuto to discuss President Trump's immigration outline released yesterday. Tune in at 12:50PM today!,2017-10-09 16:43:12,6,1,917430254179889152
Tune in to @FoxNews today at 1:10PM for my discussion of Iran and N. Korea with @LelandVittert,2017-10-08 16:59:43,3,2,917072025340076033
Thank you to @RepGrothman for sponsoring H.R.3957 which will cut government waste from the Department of Education,2017-10-06 15:42:39,0,1,916327853444272130
Thank you to @RepSmucker for sponsoring H.R.3957 which will cut government waste from the Department of Education,2017-10-06 15:42:25,0,2,916327794044436480
Thank you to @RepDaveBrat for sponsoring H.R.3957 which will cut government waste from the Department of Education,2017-10-06 15:42:04,0,1,916327706605899776
Thank you to @RepDrewFerguson for sponsoring H.R.3957 which will cut government waste from the Department of Education,2017-10-06 15:41:43,0,1,916327618030505985
Thank you to @RepJasonLewis for sponsoring H.R.3957 which will cut government waste from the Department of Education,2017-10-06 15:41:28,0,1,916327555719983106
Thank you to @RepTomGarrett for sponsoring H.R.3957 which will cut government waste from the Department of Education,2017-10-06 15:41:02,3,4,916327448664518658
Congressman Rooney Sponsors Bill to Cut Wasteful Government Programs -http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=250 …,2017-10-05 17:43:59,2,3,915995998463430657
Another example of the UN's hostility toward Israel. The UN must end its anti-Semitic behaviorhttp://www.jpost.com/Arab-Israeli-Conflict/New-UNRWA-textbooks-display-extreme-anti-Jewish-and-anti-Israel-sentiments-study-shows-506174 …,2017-10-04 15:19:06,2,2,915597150926536706
Increased Funding for Hurricane Irma Debris Removal -http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=248 …,2017-10-03 13:25:32,1,1,915206183606210564
Honored to be taking part in this very important Summit.https://twitter.com/flgovscott/status/914600719914807296 …,2017-10-02 12:49:46,3,1,914834794445524992
"Kathleen and I offer our prayers and condolences for the victims of last
night's senseless shooting in Las Vegas. #PrayForLasVegas",2017-10-02 11:51:52,10,4,914820225559916544
"Tune in to @CNN today at 2:00PM -I'll be discussing the latest developments in North Korea, with @FWhitfield",2017-10-01 17:53:15,2,1,914548780640370689
Hurricane Irma recovery is well underway. We have a long way to go but we are making progress every day #swflpic.twitter.com/zXzu5FkK1B,2017-09-28 13:45:45,3,2,913399332698836992
Tune in to @925FOX_News at 6:00 tonight to listen as I discuss #IrmaRecovery and healthcare with @treyradel,2017-09-26 22:00:22,1,2,912799029544677376
https://fairandsimple.gop/?utm_source=repfrancisrooney …pic.twitter.com/WL6TbkmhGg,2017-09-26 14:38:39,1,2,912687867679387648
"Tune in to @FoxBusiness at 2:05PM, as we discuss the latest on North Korea",2017-09-25 17:58:44,1,2,912375832668237824
I stand when I hear The National Anthem,2017-09-25 17:45:08,38,12,912372410380439552
For helpful resources related to Hurricane Irma and Recovery please go here https://francisrooney.house.gov/constituent-services/hurricanes.htm …,2017-09-22 17:35:01,2,2,911282701755437057
What do you and your family want from a fair and simple tax code?https://fairandsimple.gop/?utm_source=repfrancisrooney …,2017-09-22 14:20:17,0,1,911233695998267394
Tune in to 92.5 in just a few minutes as I talk with Drew Steele about the latest on Hurricane #Irma2017 response & ways to reform  UN.,2017-09-21 11:35:44,1,1,910829897249157120
"Tax Reform 

https://fairandsimple.gop/?utm_source=repfrancisrooney …",2017-09-20 17:32:44,1,1,910557350087548928
The United Nations (UN) is failing its mission to make the world a better and safer place http://www.washingtonexaminer.com/its-time-for-serious-united-nations-reform/article/2634588?utm_medium=email&utm_campaign=Examiner+Today&utm_source=StructureCMS … #UNGA,2017-09-19 14:52:36,5,4,910154665475624960
Fair and Simple Tax Reform https://fairandsimple.gop/?utm_source=repfrancisrooney …,2017-09-19 14:01:38,1,1,910141838731997184
http://DisasterAssistance.gov https://www.disasterassistance.gov/#.Wb_35v2ctAE.twitter …,2017-09-18 16:44:25,1,3,909820415626944512
It's time for serious United Nations reform #UNGA http://www.washingtonexaminer.com/article/2634588  via @dcexaminer,2017-09-18 16:00:46,2,4,909809430635610113
Thanks to @PoliticsNation for having me on.https://twitter.com/politicsnation/status/909391759200980992 …,2017-09-17 12:22:16,1,0,909392055633313792
Looking forward to being on @MSNBC to provide updates on #Irma and my thoughts on DACAhttps://twitter.com/politicsnation/status/909389671586832385 …,2017-09-17 12:15:08,2,0,909390260718665728
Tune in to @FoxNews as I discuss the latest #HurricaineIrma relief updates with @LelandVittert,2017-09-16 17:46:18,1,1,909111214185287681
Toured the damage in the @cityftmyers thank you again for the tireless work of our emergency responders and local officialspic.twitter.com/Gz7NJZJIwH,2017-09-13 04:10:37,5,3,907818774811770880
Touring damage and flooding in Bonita Springs. Thank you to our first responders and city officials.pic.twitter.com/jxHHZMGt0X,2017-09-12 16:06:17,7,4,907636493598019584
Thank you to @leesheriff for keeping us informed on recovery effortspic.twitter.com/klXMqojoQC,2017-09-11 21:01:50,8,5,907348481626517505
Storm surge impactspic.twitter.com/j59RlYNehl,2017-09-09 18:43:15,1,1,906588832111480832
SWFL residents need to be aware of the possibility for tornadoes associated with Hurricane Irmapic.twitter.com/ZNIYhbTZNp,2017-09-09 18:42:50,1,2,906588725978771456
pic.twitter.com/r59CAZmZVI,2017-09-09 13:16:07,0,2,906506505368862720
"Lee County Expands Mandatory Evacuation 

http://www.leegov.com/publicsafety/EM%20Breaking%20News/Expanded%20Mandatory%20Evacuations.pdf …",2017-09-08 19:51:27,2,3,906243604619911168
