Text,Date,Favorites,Retweets,Tweet ID
I recently sat down for a Q&A with the @NSSF Read/listen here:https://www.nssf.org/nssf-qa-u-s-rep-steve-d-russell-r-okla/ …,2017-11-30 21:50:32,2,1,936351766035263493
I spoke with @thehill yesterday about the consequences that Kim Jong Un will face if he continues down the path he is on. He is playing a dangerous game.http://thehill.com/video/lawmaker-interviews/362381-watch-if-kim-jong-un-wants-to-stay-alive-he-needs-to-stop-gop-rep …,2017-11-30 18:47:32,4,1,936305713093271552
"I was on @AFRnet's Washington Watch program yesterday speaking with @tperkins, President of the @FRCdc. We discussed the progress of tax reform and how it will benefit our nation's economy.http://www.frc.org/wwlivewithtonyperkins/rep-steve-russell-ag-jeff-landry-sen-lindsey-graham …",2017-11-30 15:17:34,2,1,936252872576159744
Last week I discussed the important work Oklahoman soldiers are performing in the Ukraine with @OKCFOX.http://okcfox.com/news/connect-to-congress/cold-war-restarted-by-russia-says-oklahoma-congressman …,2017-11-29 19:09:07,9,1,935948756402532352
Earlier this week I spoke with @IngrahamAngle on her new show on @FoxNews. We talked about recent allegations of misconduct against members of Congress.http://www.foxnews.com/transcript/2017/11/27/do-dems-stand-with-women-when-its-politically-convenient.html …,2017-11-29 16:17:52,4,1,935905662495875072
"I spoke with @KOCOmarkie at @koconews last week. We discussed tax reform and I answered questions from viewers.

First segment:
http://www.koco.com/article/congressman-steve-russell-talks-about-tax-reform-bill/13819601 …
Second segment:
http://www.koco.com/article/what-s-the-tax-bill-good-for-low-and-middle-class-oklahomans/13819621 …pic.twitter.com/MjtkYdUi2w",2017-11-28 15:29:29,4,2,935531098687393799
"Last week, I stopped by @NewsOK to catch up with @_davemorris. We talked about foreign policy, tax reform, and more.https://www.youtube.com/watch?v=UB0jgFKEtNU …",2017-11-27 16:36:40,3,3,935185616362442753
"Happy birthday, Oklahoma! On November 16, 1907, Oklahoma became the 46th state.pic.twitter.com/3wUB25uKe5",2017-11-16 14:37:35,14,5,931169383430459392
"Today, I was glad to vote for the Fiscal Year 2018 National Defense Authorization Act (H.R. 2810) as it passed the House by a margin of 356 to 70. I proposed 11 amendments to the FY18 NDAA earlier this year, all of which were adopted.
https://www.facebook.com/reprussell/photos/a.1008697462491768.1073741829.996556490372532/1872568009438038/?type=3&theater …pic.twitter.com/C4Wgs6MTw6",2017-11-14 22:43:40,7,4,930566930905423874
It was great to be with members of the Oklahoma Army National Guard's 45th Infantry Brigade on Veterans Day.pic.twitter.com/6zcAKGFY59,2017-11-13 16:31:14,15,7,930110820343865344
"This Veterans Day, check out the @librarycongress' Veterans History Project (VHP). For more information, visit http://loc.gov/vets/  , call the toll-free VHP message line at (888) 371-5848, or call my district office at (405) 602-3074.pic.twitter.com/ABWECTG2At",2017-11-09 16:56:24,4,2,928667601064153090
"This is what Cindy & I looked like the last time America had tax reform- in 1986. With the FY18 budget resolution passed on October 26, and the Tax Cuts and Jobs Act introduced on November 2, we're now on our way toward historic tax reform. Read more here: https://fairandsimple.gop/ pic.twitter.com/DrAF4WL7GH",2017-11-08 18:49:39,22,6,928333711866818561
"Yesterday, I spoke w/ the @SportsFansVoice about my bill that's in the @HouseGOP Tax Cuts and Jobs Act. #TaxReform
https://www.facebook.com/reprussell/posts/1860048787356627 …pic.twitter.com/L6OYP1LnYG",2017-11-03 15:24:09,4,3,926470056707547137
My loophole-closing tax reform bill is included in the @HouseGOP Tax Cuts and Jobs Act introduced today. #TaxReform https://www.facebook.com/reprussell/posts/1859252997436206?notif_id=1509658106666723&notif_t=like&ref=notif …,2017-11-02 21:37:15,5,3,926201564062248961
"What tax reform means for you and your family: more jobs, fairer taxes, and bigger paychecks. #TaxReformhttps://fairandsimple.gop/ ",2017-11-02 18:44:31,11,6,926158095750959110
