Text,Date,Favorites,Retweets,Tweet ID
"Under the category of learning more about how the tax bill might impact you and your family, I would ask you to...http://fb.me/39yKWCZen ",2017-11-30 22:47:00,2,1,936365978333663232
"If you are interested in learning more about how the tax bill might affect you and you family, I would ask that you take a look at this interactive link from the New York Times. 
https://buff.ly/2iwoK6h pic.twitter.com/Il05Qyaz5e",2017-11-30 21:23:20,20,24,936344923133050880
Taxpayer dollars should not be used as a congressional piggy bank to bail out Members of Congress and staff who have committed acts of sexual harassment or assault.https://buff.ly/2it8wuL ,2017-11-30 20:52:40,23,8,936337202971316224
Great article in the @postandcourier today highlighting the current Supreme Court case on constitutional protections of cell phone privacy. I cosponsored the GPS Act this year which would require a warrant in instances such as this.https://buff.ly/2AriIuD ,2017-11-30 17:16:25,5,3,936282782019588097
"And, as always, please call my office with any questions or concerns: 
Beaufort: 843.521.2530
Charleston: 843.352.7572
Washington: 202.225.3176
Or electronic mail: mark.sanford@mail.house.gov",2017-11-30 01:46:44,3,4,936048822802935809
"A quick note for those of you on Johns Island, Kiawah Island & Seabrook Island: my team will be hosting Satellite Office Hours out your way tomorrow...pic.twitter.com/juqsI7HT4m",2017-11-30 01:38:53,2,1,936046843892568064
"With the Senate set to vote on their version of the tax bill as early as tomorrow, I thought you might like a... http://fb.me/B99wtojr ",2017-11-29 23:00:07,3,1,936006892341432320
My staff will be hosting Satellite Office Hours today in Summerville and Moncks Corner...pic.twitter.com/PCI38Hk0OW,2017-11-29 15:49:19,4,6,935898477258772485
"Happy post-Thanksgiving!

I do hope that yours was a good one. Thanksgiving really is my favorite holiday...ours... http://fb.me/3uC4ULEXB ",2017-11-28 22:48:44,1,1,935641639640375296
"I hope everyone had a wonderful Thanksgiving! We have a very busy few weeks ahead in Washington as the year winds down. To stay up-to-date, be sure to follow along on my Facebook page >> https://www.facebook.com/RepSanfordSC/ ",2017-11-27 19:38:02,4,1,935231260162707463
"Happy Thanksgiving! 
https://www.facebook.com/RepSanfordSC/posts/737426163133834 …pic.twitter.com/95rG3qYZGB",2017-11-23 17:26:24,14,2,933748582594772994
#marksman,2017-11-21 17:31:06,3,1,933024986729799680
"1 Corinthians 9:24 says, “Do you not know that all the runners in a race compete, but only one receives the...http://fb.me/5LHxnv0dW ",2017-11-17 21:55:04,3,1,931641865975328768
Enjoyed it. And looking forward to the commissioning of USS Ralph Johnson in Charleston next spring!https://twitter.com/navyleagueus/status/931548419927224320 …,2017-11-17 17:44:14,3,0,931578740194398208
"If you are interested in learning more about why I urged @USTradeRep to do no harm while renegotiating #NAFTA , please see the video belowhttps://twitter.com/PIIE/status/923527191253667840 …",2017-11-16 21:37:53,14,15,931275151739641856
"In the end, it’s my hope that the Senate measure - and the following Conference report - refines and improves the House bill. Today’s vote was a step in the right direction. 8/8",2017-11-16 19:10:59,3,2,931238184498991105
"PRO: It move us from a global corporate tax system to a territorial one, aligning us with the way most other countries tax corporate earnings. Not fixing this, as well as the corporate tax rate, has driven a long list of American companies to move their headquarters overseas. 7/8",2017-11-16 19:10:26,1,0,931238045399085056
CON: All told this is not a Fair Tax or Flat Tax simplification. I think the worst of these areas is with small businesses’ complicated 70-30 split on income. This part of the bill needs much more work. 6/8,2017-11-16 19:09:52,3,0,931237901941334018
"PRO: Currently, America’s marginal corporate tax rate is the highest worldwide at 35%, while the industrialized average is 23%. This moves us to 20%, making America more competitive globally. This was one of the major selling points for me. 5/8",2017-11-16 19:09:24,5,1,931237786031714305
"CON: There's value to people reviewing their tax return and asking if they got their money’s worth. By taking people off the rolls, as this bill does, we give them more reason to be unlimited in their demands of government since they’re not tangibly paying for benefits. 4/8",2017-11-16 19:09:02,1,0,931237693450801153
"PRO: On the individual side, the bill eliminates various exemptions and deductions while attempting to broaden the tax base, which allows the House version to drop from seven tax brackets to four. All this is done under the name of tax simplification. 3/8",2017-11-16 19:08:18,2,0,931237507919949826
"CON: I don’t like what it does to the deficit. To be clear, you can’t have a tax cut and revenue neutrality. Cutting spending and taxes are essential to smaller government, and I have consistently voted to do both. Congress oftentimes has voted for one but not the other. 2/8",2017-11-16 19:07:48,8,5,931237384708153344
"My vote today was consistent with the fact that I have always voted to reduce taxes when given the choice. The bill is a mixed bag, but in the end, I found it to do more good than bad. Allow me to share a few pros and cons as I see them…. 1/8",2017-11-16 19:07:12,7,1,931237232618475522
The House just passed historic tax reform legislation. My vote explanation here >> https://www.facebook.com/RepSanfordSC/posts/734872343389216 …,2017-11-16 18:56:12,1,0,931234462918168576
"A few moments ago, the House passed the Tax Cuts and Jobs Act of 2017. It passed by a vote of 227 to 205, and... http://fb.me/3fpVhGoKJ ",2017-11-16 18:52:46,2,2,931233599931772928
Heading to vote now on Tax Cuts and Jobs Act.  My vote explanation forthcoming at http://www.facebook.com/repsanfordsc pic.twitter.com/3cctiKDx7N,2017-11-16 18:46:51,1,4,931232111587221504
South Carolina is one of the top ten states in the country for auto supplier and manufacturing jobs. A reported change to #NAFTA could drastically hurt the progress our state has made. I sent a letter to @USTradeRep urging them to protect American jobs.http://bit.ly/2ik8kL8 ,2017-11-16 16:22:18,12,6,931195735298707456
"Right now, South Carolina is one of the top ten states in the country for auto supplier jobs with close to 40,000... http://fb.me/KyY7E7zQ ",2017-11-15 23:15:24,10,3,930937306403475457
.@USNavy Military Sealift Command currently prepping #USNSBrittin with supplies to ship from Charleston to Puerto Rico. A timely visit today w/Tatito Hernandez who serves in PR House of Representatives.https://twitter.com/tatitohdz/status/930860176676179968 …,2017-11-15 19:09:39,9,6,930875462926131201
"Today I joined @RepCohen ,@RepMikeBishop, and @RepTerriSewell in leading a letter to the U.S. Trade Representative, urging him to abandon any attempted increase in the NAFTA Rules of Origin, which could threaten millions of American jobs. http://bit.ly/2ik8kL8 ",2017-11-15 18:57:37,19,19,930872434751926274
