Text,Date,Favorites,Retweets,Tweet ID
The #GOPTaxScam is a national shame and a terrible sham that only benefits large corporations and the mega rich.pic.twitter.com/Gr9Q2nTin4,2017-11-30 22:04:38,28,17,936355316194856960
"The #GOPTaxScam is of, by and for the wealthy and well-connected donor class.pic.twitter.com/S8xxG7GxPp",2017-11-30 20:42:01,48,32,936334525650567169
".@realDonaldTrump broke his promise to drain the swamp. Instead of looking out for everyday people, the Trump Administration, @HouseGOP and @SenateGOP continue to #FloodTheSwamp in Washington  https://sarbanes.house.gov/sites/sarbanes.house.gov/files/300_Ways_in_300_Days_Report_WEB.pdf …pic.twitter.com/gU7bFcchjP",2017-11-17 13:47:52,64,50,931519257766256640
"#GOPTaxScam Winners  Wealthy Insiders & Corporations 

#GOPTaxScam Losers  Middle-class families, teachers, Americans with high medical costs, Americans with student debtpic.twitter.com/sj4k3KIp0r",2017-11-16 20:26:23,28,21,931257159475703809
I led 17 House colleagues in urging the @FEC to take stronger action to prevent foreign agents from continuing to misinform American voters and undermine our democracy. Read more here: https://sarbanes.house.gov/media-center/press-releases/democracy-reform-task-force-urges-fec-to-take-broader-and-stronger ….pic.twitter.com/Xuhxsc3bcW,2017-11-09 20:53:29,35,14,928727265097199617
This is what happens when wealthy and well-connected special interests call the shots in Washington. #FloodTheSwamphttps://mobile.nytimes.com/2017/11/06/business/republican-plan-would-raise-taxes-on-millions.html …,2017-11-07 14:46:01,17,7,927910012973912064
"Self dealing? 

Foreign payments?

The people deserve to know the truth about the Trump Hotel  http://bit.ly/2iniwBu 
#EnoughIsEnoughpic.twitter.com/qbzYRVfrTo",2017-11-03 20:55:00,215,121,926553320503873537
So much for his promise that he wouldn’t have time to play golf as president. /4,2017-11-03 13:37:43,8,3,926443271391535104
And what does @realDonaldTrump do on these trips?  Golf – a Lot! /3,2017-11-03 13:37:30,8,2,926443218182590464
"And worst of all, taxpayers foot the bill for all that travel. /2",2017-11-03 13:37:14,8,4,926443153749626880
"By spending tons of time at Trump-owned properties, @realDonaldTrump gets free advertising for them. /1",2017-11-03 13:37:02,7,2,926443103380279296
"For @realDonaldTrump, the presidency is all about self-promotion and self-enrichment.https://twitter.com/CREWcrew/status/926082206061223937 …",2017-11-03 13:36:39,45,15,926443005334183936
"TIPSHEET: @GOP’s New Tax Plan

  

MASSIVE GIVEAWAYS for the wealthy 
 CRUMBS (or nothing) for everyone elsehttps://www.vox.com/2017/11/2/16596896/house-republican-tax-reform-cuts-trump-ryan-explained …",2017-11-02 17:45:47,8,8,926143315225010176
"@usafmatthew, this ensures that the citizen-owned election system stays competitive in today’s big-money-drenched system. /2",2017-11-02 15:50:46,1,1,926114370211532801
"@usafmatthew, the limit on matching funds is indexed to prior election-year spending, so the maximum varies. /1",2017-11-02 15:50:17,1,2,926114244931870721
.@realDonaldTrump handed our gov’t over to the same CEOs & lobbyists that it's supposed to regulate. #FloodTheSwamphttps://www.thedailybeast.com/donald-trump-pledged-to-drain-the-swamp-instead-he-filled-it-with-industry-sharks …,2017-10-31 16:33:20,16,8,925400303226314753
"@usafmatthew, if interested, you can learn more about the bill here: https://sarbanes.house.gov/sites/sarbanes.house.gov/files/GBPA%20One-Pager.pdf …. /3",2017-10-31 15:18:24,1,1,925381447057276928
"@usafmatthew, one example of these perks is tax breaks for Big Oil and Gas companies (amounting to billions of dollars per year). /2",2017-10-31 15:18:04,1,2,925381362831515648
"@usafmatthew, it can be funded by ending special-interest perks in our big-money political system. /1",2017-10-31 15:17:35,1,1,925381243755167744
I voted against this bill. And I’m working with @HouseDemocrats to fix our government and our politics  https://sarbanes.house.gov/sites/sarbanes.house.gov/files/PUBLIC_ByThePeopleProject_OnePager.pdf ….,2017-10-30 19:55:05,24,6,925088688970878976
".@baltimoresun, spot on. Prime example of how Big Money infects our democracy.http://www.baltimoresun.com/news/opinion/editorial/bs-ed-1030-banks-20171026-story.html …",2017-10-30 19:54:09,72,49,925088452705648642
"Remember the @WellsFargo scandal? With this vote, @GOP is protecting Big Banks, like @WellsFargo, from being sued by abused customers.",2017-10-25 15:25:47,16,16,923208979446104064
Textbook example of special interests at work in Washington  @GOP-led Congress puts Big Banks over consumers.http://www.npr.org/sections/thetwo-way/2017/10/25/559950275/senate-kills-rule-on-class-action-suits-against-financial-companies …,2017-10-25 15:25:18,15,18,923208856112652289
"In a boon to the chemical industry, @realDonaldTrump nominated a ‘scientist for hire’ for No. 2 @EPA #FloodTheSwamphttps://www.nytimes.com/2017/10/17/opinion/mr-trump-outdoes-himself-in-picking-a-conflicted-regulator.html …",2017-10-18 16:07:46,14,9,920682830564347909
We just compiled all the times that @realDonaldTrump’s cabinet abused taxpayer dollars for flights on private jets  http://sarbanes.house.gov/sites/sarbanes.house.gov/files/Trump%27s_High-Flying_Cabinet_Special_Report_WEB.pdf …pic.twitter.com/OSB9mDnFHN,2017-10-12 20:23:17,52,41,918572805976928256
Embarrassing that @OfficeGovEthics has to remind the Trump Admin to stop abusing public office. #CultureofCorruptionhttp://www.cnn.com/2017/10/10/politics/office-of-government-ethics-david-apol/index.html …,2017-10-11 15:35:09,17,15,918137905322881025
Proud to join @MaxineWaters and @FSCDems in an effort to rein in the big banks. /2pic.twitter.com/wk5OVfGyVi,2017-10-05 20:37:19,19,10,916039620600705025
Megabanks (@WellsFargo @jpmorgan @Citi @BankofAmerica) are way too big. We need to stop them from running amuck & trampling over people. /1pic.twitter.com/0yXUYYxcDl,2017-10-05 20:35:23,23,12,916039136343134208
"""This isn't about Republicans or Democrats or Independents. This is about our election process, the bedrock of our democracy, and making sure that it is protected.""http://www.baltimoresun.com/news/opinion/readersrespond/bs-ed-rr-russia-20171003-story.html …",2017-10-03 20:46:23,18,10,915317129032994817
"A day in the life of Trump’s @EPA chief:

 Lunch at fancy restaurants with Big Oil and Gas lobbyists

 Keynote speeches at Big Polluter conferences

 Private jets (paid for by American taxpayers) to and from his home in Oklahoma

 #DrainTheSwamp https://www.nytimes.com/2017/10/03/us/politics/epa-scott-pruitt-calendar-industries-coal-oil-environmentalists.html …",2017-10-03 18:33:48,41,20,915283762077945856
A positive step. But the @FEC & Congress need to do more to stop foreign actors from influencing our elections.https://www.washingtonpost.com/business/technology/facebook-to-turn-over-thousands-of-russian-ads-to-congress-reversing-decision/2017/09/21/9790b242-9f00-11e7-9083-fbfddf6804c2_story.html …,2017-09-21 20:44:01,16,5,910967877162995712
RT if you agree: Foreign money/influence has no place in our elections.https://www.bloomberg.com/news/articles/2017-09-20/facebook-faces-calls-for-new-disclosure-rules-amid-russia-probe …,2017-09-20 20:29:32,21,14,910601844220710913
"Apparently, it’s “Trump First” not “America First.” #FloodTheSwamphttp://www.huffingtonpost.com/entry/trump-taxes-benefit_us_59b8082fe4b027c149e2da19 …",2017-09-13 14:42:25,13,12,907977772450054144
... Because they know they can get more bang for their buck in the @realDonaldTrump administration. #FloodTheSwamphttp://www.washingtonexaminer.com/lobbying-money-spikes-under-president-trump/article/2633536 …,2017-09-11 17:08:30,15,14,907289762704367616
.@HouseDemocrats have a plan to fix our democracy and put everyday people back in charge.  (w/ @davidcicilline)http://thehill.com/blogs/congress-blog/politics/349631-renewing-our-republic-putting-the-priorities-of-everyday-people …,2017-09-07 22:05:18,103,43,905914904024109056
President @realDonaldTrump not only gives special access to wealthy lobbyists; he gets paid by them too.https://www.usatoday.com/story/news/2017/09/06/trump-gets-millions-golf-members-ceos-and-lobbyists-get-access-president/632505001/ …,2017-09-07 21:14:34,42,34,905902136931868676
.@realDonaldTrump Ha! Here’s what’s really going on  https://sarbanes.house.gov/sites/sarbanes.house.gov/files/200%20Ways%20in%20200%20Days_Report_FINAL.pdf …pic.twitter.com/1U28UeqQdH,2017-08-23 17:49:54,26,10,900414812299173890
"Here’s proof (from Montgomery County, Maryland!) that citizen-owned elections can #FightBigMoney https://www.washingtonpost.com/local/md-politics/under-new-public-finance-law-montgomery-candidates-change-fundraising-tactics/2017/08/17/d00b534a-81f8-11e7-ab27-1a21a8e006ab_story.html …",2017-08-18 13:36:53,29,25,898539196020908032
 .@realDonaldTrump is profiting off the presidency. Case in point  https://www.washingtonpost.com/politics/trump-dc-hotel-turns-2-million-profit-in-four-months/2017/08/10/23bd97f0-7e02-11e7-9d08-b79f191668ed_story.html …,2017-08-11 15:20:59,37,27,896028681851764736
.@realDonaldTrump is failing to #DrainTheSwamp. See for yourself  http://sarbanes.house.gov/sites/sarbanes.house.gov/files/200%20Ways%20in%20200%20Days_Report_FINAL.pdf …pic.twitter.com/I41aXdoTBa,2017-08-09 12:54:57,367,218,895267153359904774
