Text,Date,Favorites,Retweets,Tweet ID
Glad to be an original co-sponsor of this bipartisan bill.https://twitter.com/RepDeSantis/status/936258816953540609 …,2017-11-30 21:53:13,3,2,936352443083952128
It’s outrageous and wrong that Members of Congress can use taxpayer money to cover-up sexual misconduct. Proud to be part of bipartisan effort to bring transparency and accountability by banning these payments. https://schneider.house.gov/media/press-releases/rep-schneider-joins-introduction-bill-prevent-taxpayer-funds-congressional …pic.twitter.com/EvUrFNIRzO,2017-11-30 21:10:40,8,5,936341732198825984
"Students lose out under the GOP tax plan. The bill takes away deductions for student loan interest and taxes tuition waivers at a much higher rate. We need to support, not hinder, students seeking an education to succeed in a 21st Century economy.https://www.nbcnews.com/nightly-news/video/students-come-out-in-vocal-opposition-of-gop-tax-plan-1106382403762 …",2017-11-30 19:54:29,7,8,936322562841247745
Looking forward to answering your questions at our next Congress On Your Corner event in Gurnee. This Saturday at @Woodland50News will be our 15th this year. Join us! https://schneider.house.gov/media/press-releases/rep-schneider-hold-congress-your-corner-gurnee-saturday …pic.twitter.com/EzlfB2L8mh,2017-11-30 18:44:45,3,3,936305012300505088
Today I offered an amendment at Judiciary to protect the state laws in Illinois that bar multiple DUI offenders from possessing concealed carry permits. The reckless concealed carry reciprocity bill undermines critical protections in our state laws.pic.twitter.com/4eMdKQO19z,2017-11-29 23:06:40,41,24,936008538996002816
It's outrageous that the House Judiciary Committee is debating a bill to recklessly expand concealed carry today instead of commonsense measures to reduce gun violence. This bill would dangerously undermine our state-level gun laws.https://www.usatoday.com/story/news/politics/2017/11/29/house-committee-takes-up-nra-backed-concealed-carry-bill/903001001/ …,2017-11-29 23:00:20,6,12,936006945349226496
Meeting today with Col. Aaron Reisinger and team from U.S. Army Corps of Engineers to discuss flood risk management in the Tenth District.pic.twitter.com/nfzR89rp8v,2017-11-29 16:47:52,7,3,935913209457987585
"Senate bill even worse for IL than the version that passed House. It completely eliminates the State and Local Tax Deduction, & increases uninsured by undermining the Affordable Care Act. We need a real tax reform debate with across the aisle input, not a partisan tax hike.https://twitter.com/thehill/status/935645492645593088 …",2017-11-29 15:31:46,4,1,935894058500751362
"Net Neutrality is critical to protecting the open internet & ensuring businesses of tomorrow can compete on a level playing field. I’m disappointed in FCC’s recent decision, & it’s all the more reason for Congress to step-up & legislate this issue.https://www.nytimes.com/2017/11/22/business/net-neutrality-small-businesses.html …",2017-11-29 15:25:45,16,15,935892547129442307
"More than 2,000 constituents have contacted our office concerned about how the tax bill will affect them. Today I shared some of their stories.pic.twitter.com/DxRZLen2Za",2017-11-28 20:53:30,19,15,935612636976304135
"Ghost guns are guns, and should be subject to a background check like other firearm purchases. That's why I introduced legislation earlier this year with @RepEspaillat to close this egregious loophole.https://www.nytimes.com/2017/11/27/us/ghost-guns-gabby-giffords.html …",2017-11-28 17:06:09,15,11,935555424392237057
Congrats to the Tenth District’s newest Eagle Scout John Draa. Glad to join your Court of Honor today in Libertyville.pic.twitter.com/Q74LXoNA6t,2017-11-25 18:40:35,17,3,934492025768022017
"Having breakfast with my Dad this morning at @Deerfields Bakery. This #SmallBusinessSaturday, stop in and support a local entrepreneur in your community. Small businesses are the engines of our economy.pic.twitter.com/SdS8dHaJn2",2017-11-25 17:08:11,19,3,934468770109841408
We send our condolences and prayers to Egypt following the horrific attack in a Sinai mosque this morning. The United States stands with all nations and people fighting terror.https://twitter.com/CNN/status/934089233844670466 …,2017-11-24 19:10:18,8,3,934137114316410881
