Text,Date,Favorites,Retweets,Tweet ID
"Right now our country is having a necessary and long-overdue discussion about sexual harassment and assault, and Congress must address its own institutional failures in order to credibly participate in that conversation. Today’s resolution is an important step.https://twitter.com/CBSEveningNews/status/935969170583416835 …",2017-11-29 21:00:17,18,7,935976733513342976
"Why can’t the White House take our nation’s out-of-control opioid crisis seriously? We need a serious, nonpartisan expert coordinating a national response – and Kellyanne Conway doesn’t fit the bill. #nhpoliticshttps://twitter.com/SariHorwitz/status/935912660000002055 …",2017-11-29 17:29:17,11,4,935923634790633472
Want to make your voice heard on #NetNeutrality? You can contact the @FCC at 202-418-1000.,2017-11-29 14:06:53,11,13,935872699460669440
"All Americans deserve to be safe at work. That’s why Congress should pass the Protecting America’s Workers Act, a bill I co-introduced to extend important @OSHA_DOL workplace safety protections to local, state, and federal government employees. #nhpoliticshttps://twitter.com/UnionLeader/status/935100893401436162 …",2017-11-28 23:38:35,8,5,935654184598335488
"I am encouraged by yesterday’s decision to block the deportation of 51 of our Indonesian immigrant neighbors, and pleased that the court will now consider the harm they would face if deported. I stand w/ the Seacoast alongside these valued members of our community. #nhpoliticshttps://twitter.com/ACLU_NH/status/935489955475984384 …",2017-11-28 15:58:37,29,8,935538427713544193
"The CFPB protects consumers, students, and small businesses from predatory and abusive financial practices. Americans deserve a director that believes in the Bureau's mission and will fight for consumers, not Wall Street.",2017-11-27 18:50:51,21,7,935219382833303556
"Proud to #ShopSmall in New Hampshire, especially today, Small Business Saturday. Supporting local entrepreneurs = supporting the American Dream!",2017-11-25 21:41:11,13,3,934537473505546241
"We come together today to celebrate and give thanks as we remember and help those who are less fortunate. Thank you to our servicemembers, military families, & first responders. Happy Thanksgiving to all!",2017-11-23 15:37:41,11,1,933721222503915520
The FCC chairman’s plan to repeal net neutrality will favor big tech businesses over startups and will give ISPs unprecedented control over what content consumers can access. ISPs shouldn’t be allowed to discriminate. That is not what consumers want.,2017-11-21 22:20:49,49,26,933097895716204544
Wearing purple on #PancreaticCancerDay to raise awareness about the need for earlier detection of this terrible disease. Funding medical research is critical.pic.twitter.com/yHPB3JDl0W,2017-11-16 23:34:26,27,5,931304485967814658
"The tax bill that House Republicans passed today seeks to steal from the vast majority of Americans to benefit the very few. #nhpolitics
http://bit.ly/2zGdyKR pic.twitter.com/KYg1WofU4n",2017-11-16 21:02:35,9,11,931266268467884032
"... but they need funding to hire more agents, and they need the government to improve access to treatment in order to reduce demand for these extremely lethal drugs. (2/2) #nhpolitics",2017-11-15 17:42:45,3,2,930853593422409728
"Today, the N.E. Congressional Delegation had a productive meeting w/ Michael J. Ferguson, Special Agent in Charge DEA New England. He and his agents are doing a heroic job fighting the onslaught of fentanyl, heroin, and other opioids with current resources ... (1/2)pic.twitter.com/RFltVS1X9I",2017-11-15 17:42:07,6,6,930853434353504256
"This #WorldDiabetesDay, we need to talk about the rising cost of insulin. People with diabetes should be focused on managing their blood sugar, not worrying about how to afford live-sustaining medicine.pic.twitter.com/YWHMNcL8b7",2017-11-14 23:25:54,4,3,930577560324444162
"The House just passed a defense bill that supports our troops w/ pay raise of 2.4% & prevents a new BRAC.

Read about the legislative initiatives I included in the final #FY18NDAA →
http://bit.ly/2z2Si2k  #nhpolitics",2017-11-14 23:05:15,10,5,930572364320051200
"Whether you’re a current Medicare beneficiary or someone who pays into Medicare & expects it to be there when you get older, under the GOP #TaxScam, you lose.https://twitter.com/thehill/status/930499603581034497 …",2017-11-14 18:58:37,8,11,930510297730777091
"Our National Guard and Reserve members deserve the same benefits as those they serve alongside. With this fix, all our overseas troops and their families will now have access to #TRICARE health benefits, both before and after deployment. http://bit.ly/2hrtGVO  @RepTimWalz #NDAA",2017-11-14 17:47:43,6,2,930492453685268481
House scheduled to vote THURSDAY on bill hiking taxes for 38 million middle class households. Asking workers to foot the bill for tax handout to big corporations & top 1%? I will vote NO! #NotOnePenny #TaxScam,2017-11-14 01:33:16,132,72,930247225598464001
