Text,Date,Favorites,Retweets,Tweet ID
"Hi @JeffinPhoenix I voted no on the bill, here’s my statement: https://sinema.house.gov/latest-news/sinema-votes-against-house-tax-bill/ …",2017-12-01 00:31:59,1,2,936392398808240129
"Hi @GlenResists, I voted no on the bill. Here’s my statement: https://sinema.house.gov/latest-news/sinema-votes-against-house-tax-bill/ …https://twitter.com/glenresists/status/936241801219805185 …",2017-12-01 00:29:30,41,6,936391770405031936
"Our team celebrated the @BCRforHeroes Arizona grand opening! This rural sanctuary provides no-cost retreats for combat veterans, first responders, and their families to focus on physical and mental wellness.pic.twitter.com/4yNrOowhO1",2017-11-30 23:13:13,14,6,936372575919394818
"Disaster relief should help American families and small biz recover, not provide outrageous perks to government contractors. We introduced the TRACE Act w/ @RepDanDonovan to improve disaster relief, hold contractors like @WhitefishEnergy accountable. READ: http://bit.ly/TRACEAct ",2017-11-30 17:43:18,11,5,936289550057529350
"Get help with federal agencies at #MobileOfficeHours TODAY (11/30), 1:00-2:30pm, Devonshire Senior Center (2802 E. Devonshire Ave., Phoenix).pic.twitter.com/vgifIHvowm",2017-11-30 14:49:55,2,1,936245913747673088
Happy birthday @SenatorBurr!,2017-11-30 13:00:03,2,1,936218265570902016
Happy birthday @RepKristiNoem!,2017-11-30 13:00:02,3,1,936218261909274624
Celebrating our new @UofAPres Robert C. Robbins! Looking forward to working together to increase access to affordable #highered for all AZ students.pic.twitter.com/PHOz4xengy,2017-11-30 02:49:58,12,2,936064733047816194
"No excuses, no exceptions. Americans put trust in their elected officials, and the halls of Congress should be an example for workplaces across the country. https://sinema.house.gov/latest-news/sinema-we-must-fix-the-broken-system-no-excuses/ …",2017-11-29 22:10:48,58,11,935994478808260608
"This year, we introduced the GI Bill STEM Extension Act with @RepMcKinley to help veterans pay for #STEM education programs. #MilitaryFamilyMonthpic.twitter.com/NPEtLXPmiw",2017-11-29 16:12:14,16,5,935904242870751233
"NEXT WEEK: Come to our #MasteringMedicare event in Chandler on Tuesday, 12/5, at 10:30am to learn more about the #Medicare system, prescription drug coverage, & more.pic.twitter.com/EScHPGEIoZ",2017-11-29 00:52:02,7,5,935672666912120833
"Today, we introduced a bipartisan resolution with @TulsiPress and @HurdOnTheHill recognizing #GivingTuesday! We celebrate the many Arizona nonprofits and charities making a difference in our community.pic.twitter.com/mQnY87aEOl",2017-11-28 21:48:06,8,5,935626378027905024
We cosponsored a bill to create a tax credit for family caregivers: http://bit.ly/2zLI2fw  #NationalFamilyCaregiversMonth @AZ_AARPpic.twitter.com/BOztwkndej,2017-11-28 19:15:02,7,5,935587859523915776
"Happy National Native American Heritage Day! Today we honor the history, traditions, and culture of Arizona's Native American communities.pic.twitter.com/GUicCtb8Ku",2017-11-28 16:05:05,51,10,935540057280335872
Happy birthday @SenBennetCO!,2017-11-28 13:00:02,0,1,935493485058125824
Seniors: Medicare Open Enrollment ends in TEN days (Dec. 7)! Have questions? We can help. Call us at 602-956-2285 or visit our website: http://bit.ly/2iVXdby ,2017-11-28 00:15:07,8,2,935300988059217920
"We cosponsored the National Clinical Care Commission Act to improve diabetes care and prevention programs. This month, our bill became law! #DiabetesMonthpic.twitter.com/0nFtacvjHc",2017-11-27 22:08:07,4,1,935269028817522699
Happy birthday @RepGosar!,2017-11-27 13:00:03,6,2,935131104704688128
"Get help with federal agencies at #MobileOfficeHours Thursday, November 30th, 1:00-2:30pm, Devonshire Senior Center (2802 E. Devonshire Ave., Phoenix).pic.twitter.com/jjJB0KRLIo",2017-11-26 23:10:10,8,3,934922256609923072
"Attention #AZ09 students! Thursday, November 30 is the last day to submit your #MilitaryFamilyMonth Bookmark. Details: http://bit.ly/VetsBookmarkContest …pic.twitter.com/geqTOCr2rW",2017-11-26 16:10:03,2,2,934816528704397318
Happy birthday @SenCapito!,2017-11-26 13:00:02,3,1,934768711638179840
"This week, we volunteered with @Habitat_org to improve the home of a Tempe Vietnam veteran. We're so thankful for Arizona veterans and won't stop working until they have the benefits they've earned and deserve. Read more in this week's newsletter: http://bit.ly/AZ-Thanksgiving ",2017-11-25 23:05:05,13,3,934558590706298880
Today is #SmallBusinessSaturday! Find some great #AZ09 small businesses and #ShopSmall all day! http://bit.ly/AZShopSmall ,2017-11-25 16:10:00,16,3,934454130856382465
"Get help with federal agencies at #MobileOfficeHours Thursday, November 30th, 1:00-2:30pm, Devonshire Senior Center (2802 E. Devonshire Ave., Phoenix).pic.twitter.com/iotPCHpMPB",2017-11-25 01:35:02,4,6,934233939048304640
Choosing to #OptOutside and enjoy our beautiful state? Share your best photos and tag @AZStateParks. They will give a free annual pass to the top 10 entries! Details: http://bit.ly/2AZM3sU pic.twitter.com/r66xUkwbOS,2017-11-24 16:05:22,14,4,934090576634540032
Grateful each day for the men and women serving our country. Thank you for your service and sacrifice.pic.twitter.com/0WlLFPKEZk,2017-11-23 21:10:12,54,12,933804900236001281
"Happy Thanksgiving, Arizona!pic.twitter.com/MGnILuQfDS",2017-11-23 16:25:06,32,2,933733155114291200
Happy birthday @SenSchumer!,2017-11-23 13:00:02,12,3,933681547944771585
Happy birthday @RepBobbyRush!,2017-11-23 13:00:02,1,1,933681546225160193
Happy birthday @RepDebDingell!,2017-11-23 13:00:02,5,1,933681545302351872
Met some amazing Arizona leaders at @chandlerchamber's Women in Leadership lunch! We shared advice on finding common ground to solve problems and get things done.pic.twitter.com/3swaV9M94A,2017-11-22 22:05:15,14,5,933456366651564034
"Our offices are closed for Thanksgiving & will reopen Monday, 11/27. If you're a veteran in need of help, contact @Rally4AZ at 855-725-5948.",2017-11-22 19:01:03,8,4,933410013229568003
"We remember President John F. Kennedy, assassinated today in 1963.pic.twitter.com/8pw6aSzWbg",2017-11-22 16:15:18,84,32,933368298590351361
"We're hosting a #MasteringMedicare event to help AZ #caregivers navigate the Medicare system & ensure their loved ones have needed coverage & support. Join us in Chandler on Tuesday, 12/5!pic.twitter.com/LVql6f7YVt",2017-11-22 06:15:22,16,8,933217323413942273
Such a great day volunteering with @Habitat_org! We helped improve the home of a Tempe Vietnam veteran.pic.twitter.com/RYQtvqQFdw,2017-11-21 21:32:41,46,11,933085785666080770
"Hi Randy - this is wonderful! We would LOVE to visit. Can you please email macey.matthews@mail.house.gov, and we will get something set up? Thanks! - Staff",2017-11-21 21:17:34,1,1,933081978479529984
Happy birthday Rep. @TomRooney!,2017-11-21 13:00:05,2,1,932956783907291136
Happy birthday @SenJohnKennedy!,2017-11-21 13:00:04,3,1,932956778811105282
Happy birthday @SenatorDurbin!,2017-11-21 13:00:04,6,2,932956777909547009
Happy birthday @RepYvetteClarke!,2017-11-21 13:00:02,6,1,932956773631148032
Happy birthday @RepAnthonyBrown!,2017-11-21 13:00:00,2,1,932956764680568832
"Last week, our bill with @RepRoKhanna, @RepArrington and @RepBetoORourke to increase job opportunities for Arizona veterans passed the Senate! The VALOR Act makes it easier for businesses to set up veterans apprenticeship programs.pic.twitter.com/zrpAAabrGa",2017-11-21 01:35:11,15,3,932784422612500480
We served #AZ09 residents at #MobileOfficeHours in Phoenix. Couldn't attend? Call us for help: 602-956-2285.pic.twitter.com/hikFxFzMDa,2017-11-20 21:55:51,5,1,932729228214329344
"Last chance! TOMORROW (11/21) is the deadline to apply for a spring internship in our Phoenix or Washington, DC office! http://bit.ly/2zTd1W4 pic.twitter.com/nG8s3yNKVR",2017-11-20 16:35:00,15,6,932648483022045186
Happy birthday @RepRubenGallego!,2017-11-20 13:00:03,46,9,932594389318230016
Happy birthday @RepMcGovern!,2017-11-20 13:00:01,4,1,932594378387984385
Today is @WomensEDay! We're working across the aisle to ensure AZ's AWESOME women innovators thrive. Read our plan: http://bit.ly/2mCkTWt  #OpportunityAZ,2017-11-19 19:05:03,12,4,932323854332162048
Happy birthday @LamarSmithTX21!,2017-11-19 13:00:03,2,1,932232000630538240
"Voted against the House tax plan because it explodes the federal debt, likely raises taxes on many small businesses and makes it harder for Arizona families to get ahead. We have more work to do. Read this week's newsletter: http://bit.ly/2mBOqQl ",2017-11-18 23:10:12,204,38,932023159456501760
Congratulations to the 200+ families finalizing adoptions today in Maricopa County! #NationalAdoptionDayhttp://bit.ly/2zJL8jg ,2017-11-18 15:35:00,51,6,931908607033126912
Happy birthday @RepWesterman!,2017-11-18 13:00:03,2,1,931869612785901569
Happy birthday @RepTomReed!,2017-11-18 13:00:02,2,1,931869609778610176
Happy birthday @RepCarbajal!,2017-11-18 13:00:00,1,1,931869600848871424
We welcomed the national champion @ASU Women's Triathlon team to the Capitol. These women are AMAZING! Congratulations @SunDevilTri! #Forkempic.twitter.com/1nKwwENYdU,2017-11-17 22:05:17,50,13,931644435682725893
"Our team helped dedicate the @AZNationalGuard Reserve Center in honor of former Arizona Congressman Bob Stump, a Navy medic who fought tirelessly for #AZvets in Congress.pic.twitter.com/zRXgslcwSs",2017-11-17 19:05:48,18,6,931599266245697536
Happy birthday @SenToomey!,2017-11-17 13:00:03,1,1,931507224584867840
Happy birthday Sen. @JimInhofe!,2017-11-17 13:00:02,2,1,931507222160465920
Excited to welcome Lykan BioScience to Arizona! We updated them on our Fostering Innovation Act which cuts burdensome red tape for innovative medical device and bioscience companies. Our bill passed the House Financial Services Committee in October.pic.twitter.com/Jvl5xpYkd0,2017-11-16 22:14:45,25,7,931284429217116160
Voted against the House tax bill because it is a bad deal for Arizona. It does not reflect the values and priorities of hardworking Arizonans. Read our statement: https://sinema.house.gov/latest-news/sinema-votes-against-house-tax-bill/ …,2017-11-16 19:18:18,308,52,931240027346165761
"Get help with federal agencies at #MobileOfficeHours TODAY, 1:00-2:30pm, Devonshire Senior Center (2802 E. Devonshire Ave., Phoenix).pic.twitter.com/Lcli7OLZ1f",2017-11-16 17:41:04,8,2,931215555763363840
Happy birthday @RepSwalwell!,2017-11-16 13:00:04,23,5,931144841253261317
"Troubling report, AZ veterans are four times more likely than civilians to take their own lives. We won’t stop fighting to improve VA mental health care & end veteran suicide. #StopSuicide http://bit.ly/2zEpixv pic.twitter.com/3A1iptzzkX",2017-11-16 01:15:07,41,27,930967434391162880
Updated @phxchamber on our work to repeal the Health Insurance Tax and lower healthcare costs for Arizona families and businesses.pic.twitter.com/j5OI8s3556,2017-11-16 00:11:32,18,3,930951430881542144
"Tech, transportation, trade, and tourism:  just a few issues we heard about from Tucson Mayor @JRothschildAZ. We're working together to help Tucson's economy grow and thrive.",2017-11-15 19:15:03,17,5,930876820676927491
.@BenchElec is breaking ground on a new Tempe headquarters! They’re partnering with @ASU and bringing up to 500 new #AZ09 jobs. http://bit.ly/2z2Evc6 pic.twitter.com/1NZLcYZNdM,2017-11-14 22:42:04,16,5,930566531511148544
.@ASU and @Starbucks created the Starbucks College Achievement Plan to help students afford college & achieve the American dream. We're working with @RepAndyBiggsAZ to protect the tax provision that supports this innovative program. Read more: http://bit.ly/2AGhwQE ,2017-11-14 21:14:53,32,7,930544590398124035
"Two weeks left to enter our #MilitaryFamilyMonth Bookmark Contest! Submit your entry by Thursday, November 30. Details here: http://bit.ly/VetsBookmarkContest …pic.twitter.com/CEjzbQqsls",2017-11-14 20:20:13,4,2,930530832229511173
"Get help with federal agencies at #MobileOfficeHours Thursday, November 16, 1:00-2:30pm, Devonshire Senior Center (2802 E. Devonshire Ave., Phoenix).pic.twitter.com/w3NGsiALUi",2017-11-14 02:06:02,6,3,930255472040521728
We introduced a bill with Rep. @HerreraBeutler to expand flexible spending accounts (FSAs) & help Arizonans pay for child & dependent care. http://bit.ly/2zbRXJy  #NationalFamilyCaregiversMonthpic.twitter.com/oR7MaHlelN,2017-11-13 22:05:01,19,7,930194819670007811
Happy birthday @SenDanSullivan!,2017-11-13 13:00:05,2,1,930057680198172672
"Looking for an internship? Work with us in our Phoenix or Washington, DC office! Deadline to apply is Tues., Nov. 21. https://sinema.house.gov/internship-opportunities/ …",2017-11-12 22:16:01,17,5,929835197369110528
Check out the highlights from our first annual #VeteransDay Salute to Service at @SirrineMPS!pic.twitter.com/d4vHi1byu8,2017-11-12 21:44:26,16,3,929827251415236608
Our team joined the @AlzAssociation Walk to End Alzheimer’s to support the thousands of Arizonans with #Alzheimers and their families. #EndALZpic.twitter.com/FDu3D1y6ZB,2017-11-12 19:24:04,37,7,929791924638072832
"This year, the #ForeverGiBill became law! This bill helps #AZvets & military families achieve the American dream. #MilitaryFamilyMonthpic.twitter.com/KmtfmrDfhL",2017-11-12 16:10:10,31,9,929743127690260480
Happy birthday @SenJackReed!,2017-11-12 13:00:01,3,1,929695277791023104
Our team delivered thank you cards to the Arizona State Veterans Home. Thank you all who sent in cards to #ThankOurHeroes and honor #VeteransDay!pic.twitter.com/6kxKzEC2yy,2017-11-12 01:10:35,33,10,929516740131917826
Great morning at the @RALLY4AZ Veterans Day Half Marathon & 5K. We ran to honor #AZvets & raise awareness of veteran suicide.pic.twitter.com/wuPv5aImwR,2017-11-11 21:00:02,10,2,929453687298297856
We owe so much to the men and women who have sacrificed for our freedoms. Thank you isn't enough. We won't stop working until every Arizona veteran has the care s/he has earned. http://bit.ly/2mecF75 ,2017-11-11 19:05:00,51,19,929424739508146177
Happy #VeteransDay! Thank you to the men and women who have sacrificed so much in service to our country.pic.twitter.com/d8bNvYHKMm,2017-11-11 15:24:12,27,10,929369173918183425
.@SirrineMPS students thanked Arizona veterans with handwritten cards & letters.pic.twitter.com/NR28DAW2Yp,2017-11-11 04:18:01,31,7,929201523871109120
"At our first annual #VeteransDay Salute to Service, Arizona veterans shared their stories of service & sacrifice with @SirrineMPS students.pic.twitter.com/SrSn8CahFa",2017-11-10 23:03:34,25,8,929122387219460096
"Veterans make the best employees, managers, and small business owners. That's why we introduced legislation with @RepBrianFitz to create jobs for #AZvets: http://bit.ly/2zxKvqh ",2017-11-10 20:53:26,23,8,929089637997563905
Happy 242nd birthday to the @USMarineCorps! #SemperFipic.twitter.com/slkSPEFpdr,2017-11-10 16:15:10,15,2,929019612326498304
Want one at your school? Call us: 602-956-2285https://twitter.com/RepSinema/status/928750024665726976 …,2017-11-10 15:10:15,5,1,929003273402626048
Happy birthday @RepBillJohnson!,2017-11-10 13:00:04,1,1,928970512981680130
"Get help with federal agencies at #MobileOfficeHours Thursday, November 16, 1:00-2:30pm, Devonshire Senior Center (2802 E. Devonshire Ave., Phoenix).pic.twitter.com/1I5TQysQPN",2017-11-10 02:11:00,7,4,928807171416084481
We held a Higher Education Resource Fair at Chandler High School to help students navigate the college application & financial aid process.pic.twitter.com/cBygiuDiOv,2017-11-09 22:23:55,28,4,928750024665726976
"We dedicated a POW/MIA Empty Chair in @uscapitol to remember American prisoners of war & the nearly 83,000 servicemembers missing in action.pic.twitter.com/rksZ3bY7tS",2017-11-09 19:01:00,12,4,928698958909722625
Thank you to all Arizonans who visited our weekly #AZcoffee!pic.twitter.com/IdR23ubMzx,2017-11-09 15:23:17,29,5,928644166170456064
Happy birthday @RepTipton!,2017-11-09 13:00:04,0,1,928608126365876225
Happy birthday @RepJohnKatko!,2017-11-09 13:00:02,0,1,928608115523809280
Happy birthday @SenSherrodBrown!,2017-11-09 13:00:00,1,2,928608110272483333
