Text,Date,Favorites,Retweets,Tweet ID
Met with community finance leaders from @jpmorgan to discuss workforce development and their business in the 8th Districtpic.twitter.com/QVARXwM6Pe,2017-11-30 19:06:04,3,1,936310378346221568
"Attended a @TransportDems markup on H.R. 4460, the Disaster Recovery Reform Act of 2017, and two bills combating human trafficking, H.R. 3814 and H.R. 3813.pic.twitter.com/puBiSpSCIz",2017-11-30 18:21:19,4,1,936299114115026949
"Former Mayor of Caracas @alcaldeledezma has bravely stood up to Maduro and tirelessly worked to restore civil rights and democracy to Venezuela. Today, my colleagues & I met with him to receive updates on these efforts.pic.twitter.com/zH4gx8qIIA",2017-11-29 21:33:37,27,25,935985120363892740
"As a cosponsor of H.Res.630, I am extremely pleased to see its passage today. Requiring every Member & employee of the House to take part in sexual harassment training is long overdue and an important first step to changing the culture in Congress.",2017-11-29 20:34:22,21,6,935970211446050816
"Since the decision to end DACA, an estimated 10,088 recipients have lost their protection. Congress must pass the #DREAMAct now and provide a permanent solution for these young people. #ProtectDREAMers",2017-11-28 18:49:30,15,10,935581431346139136
Happy Thanksgiving #NJ08! Make sure your celebration’s cook knows the USDA’s Meat & Poultry hotline to avoid any holiday-related emergencies.pic.twitter.com/vzWuG2y5l6,2017-11-23 20:40:25,7,3,933797405740453888
"Haiti has still not recovered from its 2010 earthquake, made even worse by Hurricane Matthew in 2016. They are in absolutely no position to handle the return of 59,000 Haitians.https://twitter.com/RepSires/status/933012200939245568 …",2017-11-21 16:40:34,6,2,933012269885161475
"The Administration’s decision to end TPS for Haitians is yet another cruel attack on immigrants, already a vulnerable population in this country. These men and women have called the United States home for years, contributing to our economy and society every day.",2017-11-21 16:40:17,7,5,933012200939245568
"In West New York on Friday, NJ Democrats from all branches of our government came together with community health advocates to bring attention to the continuing Open Enrollment period. Visit http://Healthcare.gov  before Dec 15 to sign up for health insurancepic.twitter.com/BOSfJD2Cnr",2017-11-20 16:58:18,3,6,932654345249787904
"We must do better than this GOP tax plan. I am disappointed in today’s vote, but will continue fighting against this cruel plan as it moves to the Senate. New Jerseyans & all Americans deserve so much better. My statement:http://bit.ly/2A6rnTA ",2017-11-16 20:09:33,10,2,931252922586976256
Spoke about the shared security interests between the US & Brazil with Brazil’s Defense Minister @Raul_Jungmannpic.twitter.com/z6xD7WikFG,2017-11-16 19:10:51,3,2,931238150881427457
"Congress must act to pass the DREAM Act, and protect these hard-working students from a cruel, uncertain futurehttps://twitter.com/RepSires/status/930910862881230848 …",2017-11-15 21:31:27,11,2,930911147666169856
"These students have been preparing for their time at @RutgersU since 8th grade as part of the @FutureScholars Program. Now, as DACA recpeients, their hard work and future success is in jeopardy.pic.twitter.com/wKathok91W",2017-11-15 21:30:19,8,3,930910862881230848
"Tomorrow, I will be voting No on the GOP Tax bill and am encouraging my colleagues to do the same. We cannot stand for reform that targets students, seniors, and the middle class to pay for corporate giveaways #GOPTaxScam",2017-11-15 20:06:00,39,8,930889642626437121
Happy #NationalEducationWeek to all the professionals who inspire our children and build them up to their greatest success,2017-11-15 19:43:11,2,2,930883898585862145
"Attended a @HFACDemocrats markup on a number of bills addressing human rights abroad, including a condemnation of the Rohingya crisis in Burmapic.twitter.com/W6PnZHXsRX",2017-11-15 17:19:53,4,1,930847836882767875
Met with @luigidimaio of Italy’s Chamber of Deputies to discuss the best ways to strengthen ties between Congress and Italypic.twitter.com/t9AGYSoTdu,2017-11-14 22:00:18,1,1,930556017619951618
"Discussed the challenges facing @MSGNetworks , one of the largest NY region sports broadcasterspic.twitter.com/VUvB0OK6rP",2017-11-14 21:56:33,0,1,930555076153880579
"The disastrous GOP tax plan would add $1.5 trillion to the deficit, causing an automatic cut that could slash Medicare by $25 billion and hurt countless American senior citizens. This is fiscally irresponsible, morally cruel, and cannot be accepted.",2017-11-14 19:32:07,11,7,930518726415470594
Reproductive health is more important than political games. Sat down with @PPActionNJ this morning to discuss legislative priorities for this Congresspic.twitter.com/NRLvS3ITSM,2017-11-14 17:58:42,13,4,930495220323667968
"40% of all NJ households claim state or local tax deductions, which would be wiped out in the GOP tax bill. This “reform” was clearly not designed with the middle class in mind.https://twitter.com/RepSires/status/930193841084403713 …",2017-11-13 22:01:31,7,3,930193936353845248
"Joined @BillPascrell @PhilMurphyNJ @FrankPallone @DonaldNorcross & @RepDonaldPayne to demand real economic solutions for NJ, not the disastrous GOP tax billpic.twitter.com/KNRrp5Lq8r",2017-11-13 22:01:08,12,3,930193841084403713
#MilitaryFamilyAppreciationMonth is a time to recognize the sacrifice and patriotism military families demonstrate each and every day. Thank you to all the incredible military families in #NJ08,2017-11-13 15:27:41,2,1,930094824899956736
"To each and every veteran, thank you for your service.https://twitter.com/repsires/status/929042576824586240 …",2017-11-10 17:46:38,4,1,929042630775894019
The freedoms our country enjoys today would not be possible without the bravery and sacrifice of our veterans.,2017-11-10 17:46:25,2,2,929042576824586240
"Met with President David Daly of @PSEGNews, New Jersey’s oldest and largest publicly owned utilitypic.twitter.com/7QAt15me5w",2017-11-09 21:29:20,3,2,928736286336315392
"The GOP hopes to rush their tax plan through as quickly as possible so that we don’t have time to discuss its devastating consequences for the middle & working class. I will continue to oppose this plan, just as I spoke about on Wednesday:http://bit.ly/2zs47w3 ",2017-11-09 21:24:08,6,4,928734976379641859
Attended Western Hemisphere Subcommittee hearing on the effectiveness of efforts to combat narcotic trafficking & global criminal networkspic.twitter.com/6jIolk1sRU,2017-11-08 21:51:34,1,1,928379494813130752
Sat down with Ambassador from @PakEmbassyDC Aizaz Ahmad Chaudhry to discuss US-Pakistan relationspic.twitter.com/saActWMdRK,2017-11-08 21:51:01,1,1,928379355860004864
November is National #Diabetes Awareness Month. Visit http://bit.ly/2g0VPW8  to learn more about how you can be an advocate this month,2017-11-08 21:48:17,2,1,928378668413485057
"This month is #NationalAdoptionMonth, a time to celebrate all the love adoptive families bring to our communities.",2017-11-08 21:43:23,1,1,928377433396596736
Watch here: http://bit.ly/2zs47w3  Or read my full statement here: http://bit.ly/2hRRWBc https://twitter.com/RepSires/status/928323606098128901 …,2017-11-08 18:10:00,3,1,928323735232417797
"This afternoon, I rose in opposition to the GOP tax plan & spoke on the House floor about its devastating consequences for NJpic.twitter.com/HbchwsSpPH",2017-11-08 18:09:29,21,8,928323606098128901
"With Syria joining the Paris Climate Agreement, the United States is now the only nation in the world not acting to address climate change",2017-11-08 15:43:06,6,6,928286765949046784
Attended a joint hearing with the subcommittees for Terrorism and Europe & Eurasia to assess our capabilities to fight terrorism with Russiapic.twitter.com/vJ39ttf9ZC,2017-11-07 23:04:32,2,2,928035470654701568
Ways to address Iran’s hostile behavior & strengthen the US-Israel partnership were among the topics I discussed today with @AIPACpic.twitter.com/v3oDwndGE0,2017-11-07 23:04:04,16,7,928035352669048832
"Meanwhile, 1 in 4 NJ taxpayers would pay an average of $2,200 MORE in federal taxes #GOPTaxBillhttps://twitter.com/RepSires/status/927646842141192194 …",2017-11-06 21:20:33,2,4,927646911347249153
"Once the plan is fully phased in, NJ’s wealthiest 1% of taxpayers would receive an average tax break of $25,100 each year #GOPTaxbill",2017-11-06 21:20:16,1,1,927646842141192194
The #GOPTaxBill takes extreme measures to protect the fortunes of America’s wealthiest individuals,2017-11-06 21:20:05,1,3,927646796511416320
Increasing medical expenses for American families is no solution for our nation’s economy,2017-11-06 20:37:40,1,2,927636120833265665
"Deductions for itemized medical expenses, which give relief to those facing large & unexpected medical costs, are completely eliminated",2017-11-06 20:37:32,1,5,927636088650420225
"The #GOPtaxbill is another appalling attack on affordable, quality health care by the GOP",2017-11-06 20:37:20,5,2,927636038440439809
Our tax code should be crafted to help the millions of Americans who will need this deduction in the future to help rebuild their lives,2017-11-06 18:08:09,2,1,927598493954461699
The cruel #GOPtaxbill would kill this deduction even as Americans are recovering from devastating hurricanes & wildfires in recent months,2017-11-06 18:04:58,1,2,927597690732662785
Current tax law provides a deduction for damages & property losses sustained from natural disasters.,2017-11-06 18:01:22,0,1,927596785413091328
"Without a single hearing, the GOP is going full speed ahead to ram their tax bill through @WaysandMeansGOP",2017-11-06 18:00:17,2,4,927596514045722624
"As our nation faces another day with another community torn apart by gun violence, it must be asked when enough is enough.https://twitter.com/RepSires/status/927552817665015808 …",2017-11-06 15:07:02,7,3,927552914524196867
My thoughts this morning continue to be with the First Baptist Church congregation and the Sutherland Springs community.,2017-11-06 15:06:39,6,1,927552817665015808
This elimination burdens students who need relief in order to pay for tax cuts for the wealthy and corporations.,2017-11-03 18:22:29,3,4,926514938058862592
More than 12 million American students and graduates claimed this deduction in 2015 to help cope with the soaring cost of higher ed.,2017-11-03 18:22:22,4,3,926514906429624321
The GOP tax plan increases the financial burden of getting a higher education by eliminating the student loan interest deduction.,2017-11-03 18:22:13,11,9,926514869356191745
"At @TransportationDems hearing, I asked FEMA Dir. to streamline disaster mitigation & explain how people in Puerto Rico are being kept safe",2017-11-02 20:51:39,1,1,926190089708896256
My statement on the Republican tax bill: http://bit.ly/2xQQLbg https://twitter.com/RepSires/status/926157800614584320 …,2017-11-02 18:43:34,2,2,926157855354490883
Deductions actually used by middle class NJ families are traded out for juicy tax cuts for corporations & the wealthy in the GOP tax plan,2017-11-02 18:43:21,8,4,926157800614584320
"This month is @NAHeritageMonth & a time to celebrate traditions, history, and culture of the Native American people",2017-11-01 22:11:20,1,1,925847751564423168
"This morning, I attended a @HFACDemocrats hearing on North Korea, where a defector from the North Korean regime gave testimony",2017-11-01 21:32:00,5,0,925837855552868358
"Spoke with Amb. @marlontabora, the Honduras Minister of Foreign Affairs & a delegation of legislators about the importance of preserving TPS",2017-11-01 21:31:32,7,3,925837736627621889
Ending #TPS would result in a loss of $6.9B in Social Security & Medicare payments over a decade. We must #SaveTPS,2017-11-01 18:40:52,2,6,925794786036146177
Ending #TPS & deporting legal workers would cost the country ~$164 billion in GDP over a decade. We must #SaveTPS,2017-11-01 18:40:43,2,14,925794748518096897
#TPS recipients are an integral part of our economy. Deporting #TPS holders would cost employers $967M. #SaveTPS https://goo.gl/8VzBHR ,2017-11-01 18:40:27,3,9,925794681417498630
