Text,Date,Favorites,Retweets,Tweet ID
"I joined the Problem Solvers Caucus because I, like most Americans, believe partisan politics are preventing Congress from addressing our nation's most pressing issues. I'm proud of the work our Caucus is doing to promote bipartisanship in Washington.http://www.cnn.com/2017/11/27/opinions/reps-bipartisanship-in-washington-is-happening-opinion-reed-gottheimer/index.html …",2017-11-30 17:43:00,29,3,936289471548542976
"Today Congress formally sent the National Defense Authorization Act to @POTUS's desk. This bill sets policy & authorizes funding for our military, & delivers the largest pay raise to our service members in years. Proud it includes several of my proposals to help #CFL. #FlaPolpic.twitter.com/3fC5l3CQy6",2017-11-30 16:55:07,11,1,936277424576389120
"The #OpioidEpidemic affects families from all walks of life. I'm working with @RepBrianFitz to help provide better treatment to Americans struggling with addiction. We have to work together, on all fronts, to address this national crisis.https://www.cbsnews.com/news/opioid-epidemic-retired-admiral-sandy-winnefeld-sons-death/ …",2017-11-29 21:18:02,4,1,935981199532740614
We can keep the most dangerous weapons out of the hands of the most dangerous individuals while also upholding the 2nd amd. I met w/ fellow Gun Violence Prevention Task Force members today to discuss bipartisan legislation to improve our national criminal background check system.pic.twitter.com/I71Vgp8G6H,2017-11-29 17:50:07,46,11,935928878345879556
Thousands of students are relocating to #CFL from #PuertoRico & #USVI after Maria. I led a bipartisan effort to secure $1.2 billion to help our schools provide a great education to new & existing students. Now I’m fighting to increase that funding.http://floridapolitics.com/archives/250553-florida-public-school-enrollment-jumped-8000-post-maria …,2017-11-29 01:05:12,65,38,935675980324229125
"Great welcoming Rep. @BobbyScott and @RepScottPeters to #FL07 for #IITSEC2017. We spoke to entrepreneurs & innovators about the different ways Congress can support their groundbreaking work in modeling, simulation, and training.pic.twitter.com/mSFayzhXX1",2017-11-27 20:26:31,18,9,935243458138267653
"Central Florida is a national leader in modeling, simulation, and training. I spoke at @iitsec in #Orlando today about my efforts to further strengthen this industry, which will bring more well-paying jobs to our region. #FlaPolpic.twitter.com/jqi6jwwoT6",2017-11-27 18:59:31,34,10,935221564827631616
"I’m grateful to the @USNavy rescue team that saved the lives of eight of our sailors, but my heart goes out to the families of the three brave young men we lost at sea, two of whom were from Florida.https://www.stripes.com/news/pacific/navy-identifies-sailors-missing-after-plane-went-down-in-western-pacific-1.499441 …",2017-11-25 22:28:09,58,21,934549294065078275
"In honor of #SmallBusinessSaturday,  @JsEverydayFash & I showed each other some of our favorite homegrown & locally owned #WinterPark boutiques. It’s important to support the local businesses that are making an impact in our communities. #FL07pic.twitter.com/rugQwvpvVD",2017-11-25 21:31:03,18,5,934534925751144450
Heart-stopping victory for @UCF_Football over valiant USF! Every player—from McKenzie Milton to Mike Hughes to Shaquem Griffin—gave a championship-worthy performance. @American_FB championship vs Memphis in Orlando next! #WarOnI4 #UCFvsUSF,2017-11-25 00:36:05,61,14,934219101253390336
Huge game today. Looking forward to the #WarOnI4 between our undefeated @UCF_Football Knights and 9-1 @USFFootball!https://www.sbnation.com/college-football/2017/11/22/16686712/ucf-usf-2017-war-on-i-4-rivalry-history-name …,2017-11-24 18:13:27,15,4,934122811114782720
"I’m thankful for my family and friends, and for the honor of representing the people of #FL07 in Congress. What are you thankful for? #ThanksgivingDaypic.twitter.com/EsLQb8CAV1",2017-11-23 19:39:46,42,4,933782143708393472
Joined @SenBillNelson & @RepDarrenSoto in #Orlando for a roundtable discussion about the needs of displaced Puerto Ricans now residing in #CFla. Great to hear from local officials & community leaders on ways we can work together to help these families. #FlaPolpic.twitter.com/krLTJxulzP,2017-11-22 21:17:08,15,5,933444257628770305
"Attention Florida homeowners, renters & business owners. You have until Friday, Nov. 24 to apply for federal disaster assistance for any property damage or loss caused by Hurricane Irma. Apply today:http://www.disasterassistance.gov ",2017-11-22 19:19:08,6,5,933414564938616832
"Haitians living in the U.S. under #TPS have strengthened our economy & enriched our communities. Due to the Administration’s decision not to extend TPS for Haiti, I will cosponsor @RepCurbelo's bipartisan bill to allow these individuals to apply for legal permanent residence.",2017-11-21 19:30:00,60,22,933054908605042689
"Visited @Deloitte yesterday. In 2014, Deloitte had 20 employees in central Florida; today they employ 1,800 workers.  We’ll keep working at the federal and local level to attract companies to the region and to strengthen local job creation.pic.twitter.com/5PHu79HX0v",2017-11-21 15:48:30,13,4,932999168083267586
"Pleased @OrangeCoSheriff, @OrlandoPolice, @SanfordPolice & @Casselberry_PD will receive vital federal funding to hire new officers & to strengthen community policing. Proud to have helped @CitySanfordFL in its successful grant application. #FL07http://www.orlandosentinel.com/news/politics/political-pulse/os-cops-grant-central-florida-20171120-story.html …",2017-11-21 00:07:53,8,5,932762454127468551
It was great visiting @SYFNews today. They have nearly 700 employees in #AltamonteSprings. I’ll keep working in Congress to make central Florida an even better place to do business. #FL07pic.twitter.com/7k4my07J4J,2017-11-20 22:10:12,8,3,932732839040253953
"Simone Askew, the first African-American woman to be named First Captain of @WestPoint_USMA Corps of Cadets—USMA’s highest student position—has been chosen as a Rhode Scholar. I had the honor to meet this distinguished student. I'm proud to serve her & all cadets on USMA’s board.pic.twitter.com/UZ7XooQAuF",2017-11-20 19:17:13,39,6,932689307084746754
It was a pleasure to tour the @UPS Customer Center in #Longwood this morning and to meet many of its hard-working employees. #FL07pic.twitter.com/yIlHW7q5Ip,2017-11-20 16:30:46,15,2,932647417790550018
It was great to meet w/ 6th graders from Lake Highland Prep in #Orlando on the steps of the U.S. Capitol this week! I spoke to them about my role in Congress & the importance of public service. #FL07pic.twitter.com/Ifik1QKrgx,2017-11-18 21:15:42,25,5,931994346794123267
"Rooting for undefeated @UCF_Football, led by their defensive warrior Shaquem Griffin, against Temple! #ChargeOnhttps://www.si.com/college-football/2017/11/16/shaquem-griffin-hand-ucf-nfl-draft …",2017-11-18 18:00:19,16,3,931945176712597504
"As a proud @williamandmary alumna, it was an honor to speak to the college’s Board of Visitors yesterday about my work in Congress and about the future of education. #TribePride #WMAlumnipic.twitter.com/xEjLJ3iRrN – at The College of William & Mary",2017-11-18 15:43:56,15,5,931910855616356352
"This week, I asked my constituents to tell me what they thought about the #GOPTaxBill. We received thousands of responses & an overwhelming majority were in opposition of the legislation, which I voted against. Thank you for making your voices heard! #FlaPolpic.twitter.com/1AigwCxRhO",2017-11-17 21:48:59,61,16,931640334995599360
