Text,Date,Favorites,Retweets,Tweet ID
"Hi Kenny, my VA casework in our Lancaster office might be able to help. Give him a call at (740) 654-2654",2017-11-28 16:19:37,1,1,935543713367035905
"It's #GivingTuesday. As a reminder, you can drop off new and unwrapped toys for the Toys-For-Tots Foundation at any of my Ohio offices. Details here: http://bit.ly/2yX9UNh pic.twitter.com/ZJoHn5bM32",2017-11-28 14:50:23,7,5,935521257516396544
It’s Small Business Saturday - support your local entrepreneurs and #ShopSmall. http://bit.ly/2zV2B8j pic.twitter.com/JipRzMVBHk,2017-11-25 14:18:22,10,5,934426034274840576
Wishing you and your family a safe and #HappyThanksgiving.pic.twitter.com/v1b5yfCAZl,2017-11-23 16:34:47,16,2,933735588955607040
Love seeing #OH15 representing in the #MacysParade. Way to go @ohiou!pic.twitter.com/JOCgu1zIQ2,2017-11-23 16:32:59,32,9,933735136893562881
Thanks to the Perry Behavioral Health staff for the tour of ClearView - an important resource in combatting the opiate epidemic in #OH15.pic.twitter.com/CCGtY5BBVh,2017-11-22 17:40:20,8,1,933389698537574410
"Great meeting with Jason, who served with the 101st Airborne Division, and Abraham Lincoln. I introduced the Veterans Dog Training Therapy Act to support veterans like him. Read more here: http://bit.ly/2yFmpcE pic.twitter.com/g0ybltGS9J",2017-11-21 20:52:40,12,3,933075712176803841
"Last week I sat down with my colleagues, and friends, @RepBeatty and @PatTiberi to talk about setting the table for civility. Watch our full conversation: http://bit.ly/2B0gMGa  @NICDInstitute #ReviveCivilitypic.twitter.com/8ipwm1rHRW",2017-11-21 15:43:31,20,7,932997914493939713
"Yesterday, I wore purple in support of two very important causes: #WPCD and #EndAlz. @PanCANColumbus @AlzCbusJCpic.twitter.com/l96z7c3X21",2017-11-17 16:20:45,23,2,931557732926226437
"From now until 12/7, you can drop off new and unwrapped toys for the Toys-For-Tots Foundation at any of my Ohio offices. Details here: http://bit.ly/2yX9UNh pic.twitter.com/NRx5LbArKi",2017-11-13 20:31:43,21,13,930171340195270656
"This #VeteransDay, I'm proud to present a special project. Click here to read the stories of incredible patriots from #OH15. http://bit.ly/2hrDZwJ pic.twitter.com/ySBxyOZZmJ",2017-11-10 22:42:44,8,3,929117146457759745
"Yesterday, I introduced HR 4267 to support entrepreneurs and the impact they have on our local economies in #OH15. http://bit.ly/2hiBYzq pic.twitter.com/smsGJi6NIa",2017-11-09 22:02:55,10,1,928744736311177216
"Great visit from Randy Groff, an #OH15 veteran who travels to DC and volunteers to clean the Vietnam Memorial. Thanks for your service.pic.twitter.com/rNQIXHgYXI",2017-11-09 18:36:20,16,3,928692748923924480
"Today, the House passed H.R. 1900, sponsored by myself, @RepBeatty, @PatTiberi and the rest of the Ohio Delegation. http://bit.ly/2zFsc5K pic.twitter.com/hQjoWzkmX3",2017-11-07 22:43:37,30,10,928030203632406528
"(2/2) Praying for the victims, their families, and the whole community.",2017-11-06 00:21:39,24,7,927330101632610309
"(1/2) I was heartbroken to learn of the tragic events in Sutherland Springs, Texas today.",2017-11-06 00:21:25,11,3,927330040047693824
Progress on the National Veterans Memorial and Museum designation bill I introduced with @RepBeatty and @PatTiberi ->http://bit.ly/2iY32YB ,2017-11-02 21:10:22,14,6,926194799916539905
We must stand together in fighting terrorism both at home and abroad.,2017-10-31 23:31:26,29,7,925505522945658883
Saddened to learn of the tragic terrorist attack in New York today. Praying for all of the victims and their families.,2017-10-31 23:31:11,8,2,925505462174388224
Proud to serve with the Ohio National Guard. Thanks for your support of #PuertoRico relief efforts. http://bit.ly/2zTHq3I ,2017-10-27 21:01:52,27,4,924018332583555072
