Text,Date,Favorites,Retweets,Tweet ID
"Sexual harassment, the GOP tax plans, and government shutdown were on the agenda in my interview with @KPBSMidday today. Check it out.http://www.kpbs.org/news/2017/nov/29/rep-susan-davis-discusses-gop-tax-plan-sexual-hara/ …",2017-11-30 01:32:01,7,4,936045117135142912
"Of all issues, I’ve heard from my constituents more on #NetNeutrality than any other this Congress. The FCC needs to listen to the American people who are opposed to ending net neutrality.pic.twitter.com/r8jWb9IOhd",2017-11-29 22:45:11,148,77,936003134396170240
The House just passed with my support a resolution requiring Members and staff to undergo sexual harassment training. It’s a start but training alone doesn't change culture. No behavior that harasses people in any way is acceptable.http://thehill.com/blogs/floor-action/house/362405-house-votes-to-mandate-sexual-harassment-training-for-members-and …,2017-11-29 21:59:32,24,4,935991642926080001
"You can still let your voice be heard on Trump’s effort to end #netneutrality. Be sure to enter 17-108 in the “Proceeding(s)” box so the FCC knows your comment is about net neutrality.

https://consumercomplaints.fcc.gov/hc/en-us pic.twitter.com/4XGzly6oxM",2017-11-28 22:57:07,10,11,935643746045190145
Let’s celebrate small businesses all over San Diego. Be sure to #shopsmall and support your local stores during Small Business Saturday. #SmallBizSatpic.twitter.com/nY9r2zBGiQ,2017-11-24 18:01:00,12,7,934119676220661760
"Wishing all my constituents a most uplifting and celebratory Thanksgiving with warm memories all around.  From my family to yours. Do you have a favorite Thanksgiving memory?
#HappyThanksgivingpic.twitter.com/2GJYgNwpD2",2017-11-23 19:22:00,15,2,933777673364623361
"My bill to eliminate administration fees on federal #studentloans, which are nothing more than a hidden tax, would save students over $1.5 billion per year.https://www.washingtonpost.com/news/grade-point/wp/2017/11/20/financial-aid-officers-say-the-government-must-stop-charging-fees-to-borrow-money-for-college/?utm_term=.ffd16188ba7a …",2017-11-21 19:35:00,34,13,933056168976556032
Once again Trump is siding with corporate special interests. #NetNeutrality protects consumers. I’ll be fighting in Congress to ensure equal access to the internet.https://www.washingtonpost.com/news/the-switch/wp/2017/11/21/the-fcc-has-unveiled-its-plan-to-rollback-its-net-neutrality-rules/?utm_term=.28fee9cde971 …,2017-11-21 17:15:30,61,19,933021062429786113
On this Transgender Day of Rememberance we honor the lives of those we’ve lost to hate and violence simply for being who they are. #TransgenderDayofRemembrancepic.twitter.com/8QYnc2EAS0,2017-11-20 21:27:24,23,11,932722068478615552
Such an honor to have an opportunity to welcome these young people as newly sworn US citizens!pic.twitter.com/aPO7wRVVKK,2017-11-18 00:41:08,37,6,931683656732573696
My staff wearing purple today to raise awareness of #WorldPancreaticCancerDay.pic.twitter.com/te6aWCXw5x,2017-11-17 02:05:56,43,8,931342608756076544
"Tax reform should focus on Middle Class relief. The House GOP bill shortchanges everyday Americans in favor of corporate special interests. I voted no. #GOPTaxBill #GOPTaxScam
https://susandavis.house.gov/media-center/press-releases/congresswoman-susan-davis-house-gop-tax-bill-shortchanges-the-middle …pic.twitter.com/1Povwm6EB2",2017-11-16 21:35:15,32,10,931274492235649026
"Roundtable on how to expand apprenticeships to help workers. San Diego is home to some of the country's best apprenticeships. I will continue to bring attention to these innovative programs, and expand apprenticeships across the country #ApprenticeshipWeek""pic.twitter.com/T56qDvBEsr",2017-11-15 20:57:00,9,5,930902476634468352
"In the defense bill, I fought to secure $2.8B in survivor benefits for military widows of servicemembers who died on active duty. Benefits were set to expire & it was critical we continue to honor their sacrifice. Also added other major policy reforms.

https://susandavis.house.gov/media-center/press-releases/rep-susan-davis-secures-28-billion-for-military-widows-and-major-policy …pic.twitter.com/SwMcLiD1Vt",2017-11-15 20:35:12,3,4,930896991357415424
"The GOP Tax bills short change the Middle Class. I led local economic experts, advocates and constituents in denouncing the bills. #GOPTaxBillpic.twitter.com/hhYkGwNJiY",2017-11-14 19:10:57,13,8,930513402287546370
"This #ApprenticeshipWeek2017, Congress should focus on expanding #apprenticeship programs and ensuring that all students have prestigious pathways towards high paying jobs""",2017-11-14 17:27:02,20,11,930487250273685509
Thank you to all our veterans! I hope everyone will take time to reflect upon the sacrifices #veterans have made on behalf of our freedom and democracy. #VeteransDay #VeteransDay2017pic.twitter.com/gMBSM75vwq,2017-11-11 20:32:41,17,3,929446807016542208
"Holding a press conference slamming the GOP/Trump tax bill that would hurt seniors, veterans, our schools, and the housing market. This bill is Robin Hood in reverse and would explode the debt by $1.7 trillion. #GOPTaxScam #GOPtaxbillpic.twitter.com/xb9l63UqtE",2017-11-10 20:00:03,23,16,929076206909222917
"The #GOPtaxbill will no longer let teachers deduct the money they spend on pencils, pens, and paper for their students. However, a large corporation will still be able to deduct the money it spends on its office supplies. #GOPTaxScamhttps://www.washingtonpost.com/news/education/wp/2017/11/02/teachers-spend-nearly-1000-a-year-on-supplies-under-the-gop-tax-bill-they-will-no-longer-get-a-tax-deduction/?utm_term=.1728eab8189a …",2017-11-09 17:03:36,19,20,928669413871669248
"Ending the #OpioidCrisis in America is going to take federal resources. Tragically, we are seeing cuts to programs that will save lives. #OpioidEpidemicpic.twitter.com/OgIWgkGGYQ",2017-11-08 21:57:39,34,20,928381023334871040
GOP tax bill raises taxes on people paying off student loans. We should be making is easier to afford college. This bill does the opposite.pic.twitter.com/I6n6Zup0KZ,2017-11-07 20:03:58,47,27,927990026188804104
Sad to see yet another community shattered by gun violence. When will we say enough & finally see real action?http://www.sandiegouniontribune.com/news/nation-world/ct-sutherland-springs-texas-church-shooting-family-20171106-story.html …,2017-11-06 22:04:34,19,7,927657990068555776
80% of #TPS holders are employed. Nearly 90% speak English. 22% arrived as children. 11% are entrepreneurspic.twitter.com/FUUkTw8wgk,2017-11-06 18:22:00,7,15,927601980331106304
#TPS recipients are an integral part of our society. Deporting #TPS holders would cost employers $967M. #SaveTPSpic.twitter.com/3EG3jgdzSe,2017-11-06 18:03:00,9,25,927597199248076800
"Time for you to weigh in! House GOP unveiled their tax plan. Tell me what you think about it in my latest survey.

https://susandavis.house.gov/tell-me-what-you-think-about-the-gop-tax-plan …pic.twitter.com/iEAyUJ4WXs",2017-11-06 17:28:29,6,7,927588509359202307
"Latina women earn 54 cents for every dollar a white man makes, meaning they work nearly a year longer to earn the same pay. #LatinaEqualPaypic.twitter.com/5oGwZeIeiq",2017-11-02 21:32:50,28,13,926200450755518466
Trump doesn’t want you to know enrollment for health insurance starts today. RT to spread the word! #GetCoveredhttps://susandavis.house.gov/covered-california-open-enrollment …,2017-11-01 19:50:37,44,57,925812338946658305
