Text,Date,Favorites,Retweets,Tweet ID
"After last week’s attack in Egypt, I agree with @POTUS that we should strengthen our efforts to defeat terrorism and extremism in all of its forms.pic.twitter.com/rMzKuhaYFJ",2017-11-30 21:45:13,0,1,936350428542971905
"North Korea’s missile test further confirms that we must maintain our military, and attack sources of financing and money laundering to NK. Read more here → http://bit.ly/2zCfHnR ",2017-11-29 20:29:26,2,1,935968968162119685
"I had a great meeting with @ElectriCitiesNC, who serve power to more than 500,000 customers in our state.pic.twitter.com/GpwandtpZ1",2017-11-29 17:58:21,7,1,935930948117557249
"President Trump has the authority to appoint executive branch officials under the Constitution.  It's disturbing, but not surprising that Washington bureaucrats think otherwise.https://www.wsj.com/articles/richard-cordrays-political-stunt-1511752623 …",2017-11-28 18:52:04,6,1,935582077814177798
"Great news! After 485 days in the hospital, it is heartening to see this family come home to Mooresville in time for the holidays.http://www.statesville.com/news/twins-born-joined-at-the-head-finally-come-home-to/article_f3f200d0-cf99-11e7-8c45-ef2428d46591.html …",2017-11-27 20:41:48,2,2,935247304461824002
"From my family to yours, wishing you a safe and happy Thanksgiving!pic.twitter.com/kvZZY6qKlD",2017-11-23 18:44:37,6,1,933768265444274176
Thank you to everyone at the Family Services of Piedmont in Greensboro for all you do to empower and restore lives of those in need.pic.twitter.com/F8aMBaIb4T,2017-11-22 16:26:55,6,4,933371222137720832
"Today, I toured the award-winning Guilford Metro 911 with Director Melanie Neal. I'm grateful for this team's service and tireless efforts to keep our families safe over this holiday season and throughout the year.pic.twitter.com/vnlfSISgkZ",2017-11-21 22:40:43,11,6,933102904457682944
"Congratulations to Statesville resident and social studies teacher at @northviewib, Stephen Meyer for winning @WheelofFortune  last night!http://www.statesville.com/news/statesville-resident-a-winner-on-wheel-of-fortune/article_72641060-cece-11e7-a54f-7b1a15f2767b.html …",2017-11-21 17:12:03,10,4,933020193160343557
Congress has been busy keeping our promise of passing legislation that puts working families first and keeping our country safe. Check out last week's newsletter to learn more. https://budd.house.gov/news/email/show.aspx?ID=MVPJ37CINC5RE …,2017-11-20 15:27:01,2,4,932631374292451329
Great time visiting with everyone at the Farm-City Luncheon in the @CityofLexington.pic.twitter.com/iiQm1ku0Z9,2017-11-17 20:36:59,7,1,931622215254241285
Title VIII of Dodd-Frank has set up the pieces for a future bailout scenario. We have the chance to reverse this decision and and stop another disaster at the cost of the taxpayer.https://youtu.be/vmjTIfOCW1I ,2017-11-17 16:09:09,7,3,931554812147261440
"Historic day! The House just passed #TaxCutsandJobsAct, the largest tax overhaul in over 30 years! http://bit.ly/2ATqvyI pic.twitter.com/myhFRNVDRi",2017-11-16 18:51:49,18,9,931233359916879872
Today the House will vote on #TaxCutsAndJobsAct! Watch to find out how this bill will help hardworking families → https://youtu.be/q80asHA6N7w pic.twitter.com/3AhiPAlSen,2017-11-16 12:42:20,5,3,931140378601943041
Great news from the CFPB today. I'm looking forward to the opportunity to stopping the war on consumer credit and getting lending going again.https://twitter.com/CNBC/status/930841303881011200 …,2017-11-15 17:49:24,8,1,930855266928775170
Good news! The House will vote tomorrow on #TaxCutsAndJobsAct. That means we are getting closer to putting money back in the pockets of hardworking Americans.pic.twitter.com/nuE7LG49kd,2017-11-15 16:49:38,8,3,930840223835095040
Today the House passed the #FY18NDAA. We are one step closer to seeing our troops get the biggest pay raise in the past 8 years. https://budd.house.gov/news/documentsingle.aspx?DocumentID=155 …pic.twitter.com/YG3I8sjBtw,2017-11-14 22:41:46,33,16,930566455543980034
If you give Iran an inch they will take a mile. Today in @FinancialCmte markup we discussed legislation that would serve as an effective counterweight to Iranian destabilization efforts in the region.pic.twitter.com/8wSM92oAia,2017-11-14 19:31:15,4,1,930518511058857985
I want to remind all high school students in Piedmont that the deadline to submit apps for the US service academies is TOMORROW. More info: https://budd.house.gov/constituent-services/service-academy-nominations-faq.htm …pic.twitter.com/TDObFiOkzU,2017-11-14 16:22:27,1,2,930470994741006336
ICYMI: I joined @WFMY to discuss the importance of tax reform.http://www.wfmynews2.com/news/triad-congressman-ted-budd-talks-taxes-and-trump/490919602 …,2017-11-13 14:12:26,2,2,930075887898386432
On this Veterans Day join me in honoring those who put their service before self.pic.twitter.com/yfQFfod8DX,2017-11-11 17:27:01,13,8,929400082000154624
Thanks @wfmy for having me by today. Enjoyed talking with y'all.pic.twitter.com/mVHjdHgcCj,2017-11-10 19:39:18,6,2,929070982912004096
